Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,10267755,4290747,71507,12142,6483209,1268032,7069809,2911504
2002-11-01,9547305,3924870,65868,11530,5836804,1248937,6384907,2717393
2002-12-01,9939647,4179996,67672,12290,6473000,1428359,7239415,3112296
2003-01-01,9801309,4237389,65960,12254,5659172,1354646,6428843,2976704
2003-02-01,8476555,3665686,56960,10503,5224456,1139470,5861473,2493611
2003-03-01,9782676,4147309,65168,11957,6307672,1320809,7095490,2886137
2003-04-01,9336457,3874139,62117,11065,5905978,1197107,6764567,2561054
2003-05-01,9432542,3912655,62611,10770,6217128,1230334,7055380,2783080
2003-06-01,9477009,4280106,62115,11528,6547986,1443436,7547830,3306066
2003-07-01,10028508,4728775,64980,12912,7007137,1735273,8192931,3767023
2003-08-01,9937121,4725588,64236,12895,6696062,1728088,7923807,3752936
2003-09-01,9166289,4294746,60134,11117,5268120,1244953,6015739,2981061
2003-10-01,9620031,4343985,62989,11245,5999944,1273217,6823007,2989832
2003-11-01,9006214,4258190,56146,11457,5444921,1336110,6345182,3032221
2003-12-01,9512148,4494752,59292,12323,5892720,1531539,6932879,3409352
2004-01-01,9549791,4601140,58732,12147,5474024,1472700,6463552,3304365
2004-02-01,9250803,4334442,55969,11387,5493738,1335590,6458121,2913449
2004-03-01,10064912,4645930,60276,12143,6425095,1534482,7596733,3466124
2004-04-01,9745423,4670448,58345,11823,6209747,1515225,7412197,3406687
2004-05-01,9666776,4980580,58058,11917,6080757,1480462,7168145,3556862
2004-06-01,9763164,5085587,58002,12356,6520178,1655385,7830261,3911727
2004-07-01,9979086,5537698,58843,13741,6717316,1974326,8170618,4420268
2004-08-01,10010638,5496447,58920,13662,6405790,1914936,7909314,4268443
2004-09-01,8704450,4693408,52464,10805,5323045,1387152,6353111,3489849
2004-10-01,9335118,4954384,56305,11504,6036514,1459969,7124411,3586650
2004-11-01,9121793,4699694,54869,11652,5816595,1439853,6819002,3333751
2004-12-01,9631591,5064984,57650,12701,6119982,1673795,7202828,3772126
2005-01-01,9283530,5109701,55726,12826,5781201,1666774,6809753,3748104
2005-02-01,8615346,4669386,51555,11860,5474420,1454258,6365427,3232996
2005-03-01,9753725,5264376,58185,13251,6835385,1835057,7964044,4098787
2005-04-01,9313712,5271468,55573,12574,6417216,1652015,7435692,3866996
2005-05-01,9598325,5488379,57145,12847,6691650,1698810,7700682,4100162
2005-06-01,9683825,5588503,56984,13426,7069026,1884730,8224043,4433929
2005-07-01,10051042,5929906,59168,14354,7365675,2173280,8671965,4938976
2005-08-01,9783599,5699472,58124,13531,6768181,2003276,8044404,4595541
2005-09-01,8826889,5248185,52814,11752,5902861,1558472,6841868,3893433
2005-10-01,8882582,5194094,53325,11464,6205866,1502640,7130337,3737886
2005-11-01,8951655,4975890,53344,11476,6333292,1509583,7250039,3572236
2005-12-01,9190202,5334605,54072,12518,6415544,1750277,7398547,4081204
2006-01-01,9250645,5419143,54210,12882,6070476,1719677,7042279,3983437
2006-02-01,8290765,4840931,48771,11699,5649722,1478279,6492132,3365286
2006-03-01,9424489,5469144,55481,13207,6896601,1817529,7881341,4213465
2006-04-01,9087020,5510846,53271,12715,6612783,1806197,7672135,4259292
2006-05-01,9401853,5743932,55002,13029,6803345,1812274,7842874,4397100
2006-06-01,9152613,5659459,53404,12913,6912250,1926660,8005693,4650363
2006-07-01,9350637,5914922,54287,13520,7031056,2155261,8277155,5016360
2006-08-01,9363836,5837838,54654,13327,6500972,2020918,7739014,4728876
2006-09-01,8633028,5387210,50982,11802,5672594,1583732,6576768,4015197
2006-10-01,8903050,5429321,52849,11951,6248099,1599153,7152613,3967777
2006-11-01,8520257,4902136,50264,11348,6108544,1583859,7010882,3692636
2006-12-01,8979767,5360525,52526,12715,6277613,1782922,7238989,4109869
2007-01-01,9032155,5440494,52739,12980,5909950,1768738,6845494,4047266
2007-02-01,7970558,4743598,46687,11365,5541254,1492680,6328448,3402171
2007-03-01,9088622,5376901,53432,12875,6732096,1844066,7679511,4247042
2007-04-01,8706034,5346134,50822,12487,6408708,1787122,7393504,4148698
2007-05-01,9034995,5501955,52800,12677,6680679,1767736,7649605,4234342
2007-06-01,8635463,5383968,50597,12350,6767908,1882689,7766800,4455038
2007-07-01,9041140,5642940,53125,12979,7027480,2092470,8101986,4800023
2007-08-01,9063241,5659892,53110,12905,6785998,2018412,7872221,4644088
2007-09-01,8620279,5204915,50533,11496,5859871,1653459,6738623,4106348
2007-10-01,9029842,5265459,53086,11624,6479379,1697201,7372676,4144331
2007-11-01,8707815,5005368,50747,11406,6279415,1700061,7155686,3984400
2007-12-01,8766011,5479307,50937,12624,6078965,1840017,6944294,4288129
2008-01-01,8718002,5527518,50905,12736,5850893,1813264,6702338,4206991
2008-02-01,7965385,5011976,46513,11643,5531829,1603099,6290485,3684299
2008-03-01,8488064,5312467,49437,12415,6337511,1899842,7231640,4352908
2008-04-01,8211142,5241241,47765,11968,5847967,1693703,6778898,4004946
2008-05-01,8846853,5534318,52310,12518,6491559,1826707,7411767,4342223
2008-06-01,8413739,5440359,50175,12118,6537176,1868045,7422810,4420370
2008-07-01,8789659,5723917,52392,12766,6750738,2048892,7705085,4752305
2008-08-01,8816664,5735585,52247,12859,6406449,2027656,7453479,4701628
2008-09-01,7792648,5066543,47601,10566,5241968,1518292,5958049,3893537
2008-10-01,8080867,5209876,49556,10890,5854321,1578522,6524447,3982697
