Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1351693,224607,12931,1482,931774,122764,828901,133027
2002-11-01,1243428,294520,12004,1795,899258,156016,808997,187419
2002-12-01,1339857,304832,12627,1865,1082705,173780,998526,207236
2003-01-01,1317669,294826,12421,1799,878763,170253,807069,203103
2003-02-01,1185825,273817,11151,1673,856459,164965,782864,196809
2003-03-01,1351122,306568,12551,1878,1000331,187137,931817,221403
2003-04-01,1357907,285453,12510,1765,991258,168648,923120,200294
2003-05-01,1495658,228999,13508,1541,1083729,157820,1026466,171997
2003-06-01,1644544,221735,14557,1546,1246523,148990,1193666,163012
2003-07-01,1770009,239876,15488,1675,1376591,174662,1317996,188181
2003-08-01,1755604,242786,15432,1690,1393919,190237,1330507,203745
2003-09-01,1500287,211273,13419,1400,1032805,111875,965620,120329
2003-10-01,1496292,233072,13450,1487,1045731,137524,972495,153512
2003-11-01,1394690,298792,12581,1752,1042001,169578,970964,209405
2003-12-01,1479187,312114,13257,1833,1133722,183302,1075841,225781
2004-01-01,1364530,306047,12314,1796,944003,176837,907103,218462
2004-02-01,1369645,288111,12259,1699,966456,165809,917606,204724
2004-03-01,1533454,308945,13481,1823,1158433,176292,1114090,215144
2004-04-01,1498949,285499,13176,1707,1112449,177409,1060642,214735
2004-05-01,1632439,232106,14048,1503,1154085,155384,1130790,176218
2004-06-01,1756423,225191,14600,1589,1353734,158360,1344084,174575
2004-07-01,1865296,235309,15454,1690,1478369,172622,1478938,187998
2004-08-01,1854688,234535,15401,1691,1476184,177576,1461554,192469
2004-09-01,1608373,207721,13656,1470,1151559,126486,1110985,135059
2004-10-01,1587773,211179,13534,1456,1128834,139638,1096697,152739
2004-11-01,1485611,304393,12701,1760,1145747,173262,1096342,215554
2004-12-01,1544314,314186,13096,1806,1218281,188055,1180814,231942
2005-01-01,1502753,310582,12796,1783,1044032,186303,1018764,229476
2005-02-01,1388980,286259,11770,1674,999462,174533,972350,211470
2005-03-01,1553329,325876,13065,1926,1236038,208220,1215724,247868
2005-04-01,1495429,315643,12534,1867,1170371,190831,1156074,230850
2005-05-01,1555073,249514,12522,1669,1190350,169338,1203336,183367
2005-06-01,1688237,235235,13417,1516,1351254,155251,1364026,176246
2005-07-01,1738634,245269,14251,1569,1457784,173574,1436427,194944
2005-08-01,1743556,259836,14263,1695,1466903,185865,1430060,207901
2005-09-01,1598036,231562,13021,1537,1196558,144827,1168620,155427
2005-10-01,1606928,233483,13116,1546,1142357,155195,1129873,166931
2005-11-01,1498064,316878,12304,1860,1146869,196739,1127934,237029
2005-12-01,1559828,336741,12772,1954,1183755,214121,1180187,259241
2006-01-01,1531160,346045,12572,1979,1021481,215984,1030286,264402
2006-02-01,1398584,311556,11397,1750,1011068,197489,1015301,244033
2006-03-01,1593802,355601,12946,1970,1231127,224516,1249308,275677
2006-04-01,1547705,341473,12630,1901,1201561,217934,1215157,270937
2006-05-01,1677858,252366,13414,1548,1266710,176310,1294314,201605
2006-06-01,1774704,237672,13897,1497,1413046,164788,1451437,190316
2006-07-01,1859552,251553,14514,1601,1495730,176654,1543717,205417
2006-08-01,1870952,254800,14612,1604,1490338,177376,1512930,204799
2006-09-01,1671371,233686,13180,1433,1225379,138912,1242360,159648
2006-10-01,1655579,261424,13165,1541,1177951,153959,1193924,179769
2006-11-01,1512645,365244,12287,1970,1167309,191802,1147487,251753
2006-12-01,1574736,381040,12708,2062,1199400,211327,1191751,276677
2007-01-01,1554778,374409,12468,2044,1012179,202698,1016525,267024
2007-02-01,1425027,342893,11492,1843,1001350,194894,993212,256481
2007-03-01,1608476,385606,12812,2059,1223050,223753,1239721,291616
2007-04-01,1601483,367378,12658,1962,1229440,217243,1234460,280390
2007-05-01,1784638,265399,13968,1581,1353994,178036,1374728,206681
2007-06-01,1869017,248718,14179,1539,1481165,163121,1529083,192928
2007-07-01,1934333,256432,14648,1537,1562886,170516,1622310,205469
2007-08-01,1916375,256478,14611,1532,1578342,171556,1605686,205186
2007-09-01,1749398,236903,13376,1441,1250568,139036,1266186,159937
2007-10-01,1734074,261967,13231,1532,1204633,155614,1248268,181469
2007-11-01,1607424,354437,12262,1820,1194478,197964,1235535,269426
2007-12-01,1689845,370016,12769,1884,1222053,212328,1276917,285302
2008-01-01,1680095,367501,12506,1870,1051159,202597,1136603,273352
2008-02-01,1589392,343199,11795,1753,1090367,195173,1155905,262291
2008-03-01,1728567,369129,12804,1881,1308920,226270,1391856,303638
2008-04-01,1692333,341936,12471,1768,1211206,202386,1295835,270178
2008-05-01,1835235,241360,13117,1454,1299443,170720,1417675,198972
2008-06-01,1907917,215335,13388,1291,1387736,148722,1513644,173837
2008-07-01,2031343,211149,14200,1255,1469852,146018,1613122,174525
2008-08-01,1967467,202298,13738,1176,1473412,143278,1619020,172662
2008-09-01,1718825,164762,12112,913,1196038,97020,1308626,120321
2008-10-01,1736486,177646,12306,952,1162038,104095,1282112,130210
2008-11-01,1578398,248725,11061,1174,1078436,143214,1203171,198145
2008-12-01,1565025,267926,10847,1258,1118016,156810,1260445,220729
2009-01-01,1596392,270861,11071,1276,974702,151568,1124778,213775
2009-02-01,1479875,243161,10183,1142,948637,140563,1069488,196421
2009-03-01,1635883,269624,11114,1264,1177622,162358,1331161,225786
2009-04-01,1600995,260838,11029,1226,1123848,152790,1260381,211937
2009-05-01,1760038,183448,11809,1004,1191321,104383,1368136,124946
2009-06-01,1861946,169594,12127,926,1289849,111021,1505740,134677
2009-07-01,1983765,134021,12760,761,1404192,100541,1670102,116605
2009-08-01,1977418,128842,12618,744,1395516,99064,1660587,114679
2009-09-01,1743430,113970,11222,685,1153084,78437,1358088,89399
2009-10-01,1765558,122549,11409,724,1144501,81843,1361880,94584
2009-11-01,1621791,223796,10415,1082,1081248,130899,1295668,178999
2009-12-01,1660204,266110,10716,1252,1156146,159467,1386474,224406
2010-01-01,1635075,254142,10482,1215,1026473,152857,1256227,212246
2010-02-01,1468673,216190,9482,1056,964561,137049,1160514,184164
2010-03-01,1712942,236876,10914,1183,1191403,156834,1438164,209264
2010-04-01,1673863,234946,10730,1173,1146845,154375,1376402,205779
2010-05-01,1847871,183599,11584,1007,1231031,134728,1491844,162236
2010-06-01,2014396,143154,12339,845,1384884,111023,1698004,127806
2010-07-01,2125380,141506,12934,856,1502056,113677,1851534,129399
2010-08-01,2114715,140845,12843,850,1483361,113835,1822069,129091
2010-09-01,1864755,135986,11521,808,1238699,98081,1521578,111245
2010-10-01,1904168,157272,11623,903,1232225,116804,1552895,135345
2010-11-01,1817432,211491,11050,1106,1205713,140695,1525845,177591
2010-12-01,1886451,247441,11465,1273,1273498,164644,1613829,212525
2011-01-01,1871075,255984,11400,1251,1156935,155641,1494244,208469
2011-02-01,1719940,247590,10355,1212,1097813,150967,1402431,201372
2011-03-01,1971951,274817,11878,1367,1358245,180233,1725990,237849
2011-04-01,1932680,265708,11703,1317,1291800,175133,1634701,230787
2011-05-01,1981667,201833,12136,1086,1336780,144970,1672044,177102
2011-06-01,2132425,181729,12836,991,1447585,130734,1817401,159779
2011-07-01,2204353,192531,13304,1036,1547140,146063,1942594,178696
2011-08-01,2193126,190069,13260,1018,1554780,140959,1932091,172394
2011-09-01,1967684,181517,11806,960,1323514,119522,1658962,146564
2011-10-01,1980578,189582,11894,998,1280898,129554,1632096,159475
2011-11-01,1889756,238617,11193,1174,1274565,155117,1634132,205602
2011-12-01,1958881,258028,11446,1253,1311990,170553,1709330,227736
2012-01-01,1909650,256967,11017,1261,1187504,163461,1593394,219433
2012-02-01,1837114,242981,10753,1181,1181950,156478,1547996,209845
2012-03-01,2043057,270600,12020,1323,1393030,182833,1815067,241965
2012-04-01,2017431,250779,11899,1243,1342151,169293,1761173,222072
2012-05-01,2172447,195057,12610,1041,1423437,141009,1885045,172525
2012-06-01,2307747,178427,13278,957,1542274,127607,2027915,157477
2012-07-01,2415462,181763,13816,974,1630039,136981,2138659,168295
2012-08-01,2381048,177733,13655,958,1622760,131118,2114901,160361
2012-09-01,2093965,164232,11941,898,1349311,108930,1764585,133294
2012-10-01,2092208,187562,11947,990,1339492,126851,1782880,159881
2012-11-01,2117331,210700,11723,1066,1350793,141285,1825783,187086
2012-12-01,2191646,244050,11997,1196,1384690,161336,1887811,214721
2013-01-01,2187479,243888,11985,1198,1316741,158361,1815782,213095
2013-02-01,1973322,221222,10869,1086,1228236,145595,1672430,195462
2013-03-01,2309938,256760,12662,1297,1500910,176735,2034945,231653
2013-04-01,2254218,239625,12562,1204,1448264,163377,1952612,211509
2013-05-01,2337486,200184,13061,1067,1516303,147349,2015684,179076
2013-06-01,2500273,198919,13988,1083,1639778,149419,2179362,180696
2013-07-01,2624464,208323,14730,1116,1761878,159430,2326107,191713
2013-08-01,2590204,202171,14505,1090,1739495,152473,2274683,183340
2013-09-01,2217972,169199,12632,892,1424121,118164,1834241,142489
2013-10-01,2211436,180815,12639,948,1424234,133823,1853523,161151
2013-11-01,2241623,243335,12299,1181,1365712,159545,1834521,208389
2013-12-01,2293100,253236,12527,1182,1501145,168511,2016329,223522
2014-01-01,2254034,257333,12277,1210,1365648,169058,1866286,224444
2014-02-01,2053622,233726,11230,1094,1300456,153936,1742252,203408
2014-03-01,2427254,258784,12907,1249,1562809,176866,2128155,228595
2014-04-01,2352219,247897,12666,1206,1512446,172514,2037066,220252
2014-05-01,2450477,204047,13228,1041,1577668,151593,2108474,181445
2014-06-01,2617607,208540,14156,1086,1729779,153533,2287053,184523
2014-07-01,2789097,217452,14984,1136,1889798,162933,2480874,196685
2014-08-01,2771366,205991,15086,1061,1888364,154239,2424728,184415
2014-09-01,2477818,132892,13282,669,1557451,89649,2033904,109655
2014-10-01,2501602,140240,13386,657,1576340,90910,2086645,117713
2014-11-01,2471014,235965,13038,1052,1529706,141590,2047327,194447
2014-12-01,2589327,280911,13598,1182,1662694,165245,2214348,236156
2015-01-01,2517288,267777,13231,1136,1529707,147325,2040688,215060
2015-02-01,2279683,231042,12139,980,1468717,128210,1910896,188407
2015-03-01,2765232,275090,14303,1180,1799791,154162,2408408,222047
2015-04-01,2712327,242215,13942,1078,1702382,139728,2283352,197247
2015-05-01,2818124,159794,14672,831,1808234,109671,2394627,132307
2015-06-01,2881639,152541,15039,781,1910734,105471,2516303,126190
2015-07-01,3044264,153521,15814,772,2061564,111885,2695077,135691
2015-08-01,3045733,146509,16089,794,2068354,109206,2654923,126257
2015-09-01,2746680,127238,14257,703,1729247,79605,2260390,92915
2015-10-01,2823116,164621,14458,845,1747028,111205,2341254,133528
2015-11-01,2822235,259764,13956,1139,1696977,146825,2322938,208463
2015-12-01,2922713,292255,14469,1256,1799382,162126,2453934,236211
2016-01-01,2822595,298566,14113,1253,1646661,160447,2248195,237743
2016-02-01,2672173,271077,13382,1150,1590540,147570,2159619,216640
2016-03-01,2978842,293784,14761,1268,1918736,167012,2599034,241489
2016-04-01,2956827,263516,14673,1132,1853029,155715,2512593,222148
2016-05-01,3090727,187630,15396,890,1962402,121495,2646187,152771
2016-06-01,3167803,187107,15737,934,2042143,133997,2743204,163269
2016-07-01,3296584,197559,16271,992,2141495,147140,2870204,179065
2016-08-01,3319673,188146,16519,963,2169693,129505,2868663,155042
2016-09-01,2796189,170503,13873,920,1803356,103807,2393373,116008
2016-10-01,2837525,210139,14059,1118,1799719,143925,2419373,166908
2016-11-01,2873148,258688,13953,1230,1820053,163353,2477244,212278
2016-12-01,3000939,295733,14409,1394,1868147,180499,2562145,240311
