Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,780200,,4276,,546693,,631742,
2002-11-01,788014,,4287,,542247,,624101,
2002-12-01,889420,,4776,,637705,,750453,
2003-01-01,939498,,5006,,644223,,771921,
2003-02-01,925097,,4720,,599360,,707301,
2003-03-01,1086106,,5685,,748790,,893436,
2003-04-01,1067396,,5601,,744224,,897286,
2003-05-01,1091219,,5260,,718182,,926853,
2003-06-01,1114316,,5272,,731323,,968971,
2003-07-01,1269658,,5841,,852509,,1150449,
2003-08-01,1279686,,5837,,859620,,1167884,
2003-09-01,1160706,,5497,,687314,,929410,
2003-10-01,1223762,,5846,,777204,,1044403,
2003-11-01,1207291,,5894,,760019,,983843,
2003-12-01,1324234,,6461,,826976,,1077871,
2004-01-01,1388096,,6760,,826038,,1078559,
2004-02-01,1352910,,6719,,830896,,1052612,
2004-03-01,1485763,,7366,,975860,,1238531,
2004-04-01,1488126,,7426,,989971,,1283537,
2004-05-01,1567319,,7334,,941571,,1282061,
2004-06-01,1574350,25623,7275,110,967386,9485,1353492,14172
2004-07-01,1666708,43514,7725,186,1066625,20546,1471967,30807
2004-08-01,1675987,43514,7738,186,1075261,22851,1495872,34268
2004-09-01,1550795,36358,6908,150,821693,15687,1137904,23577
2004-10-01,1653072,29248,7856,124,1018740,10913,1380535,16461
2004-11-01,1610581,38563,7871,180,1029342,16561,1359569,22653
2004-12-01,1722826,39678,8433,185,1072630,19475,1418463,26808
2005-01-01,1721582,39849,8227,180,1054428,20682,1401907,28476
2005-02-01,1580359,35992,7827,168,1012385,18363,1320270,24851
2005-03-01,1833367,25592,9110,125,1263260,16801,1634834,21637
2005-04-01,1842675,27944,9202,140,1225898,18348,1601743,23125
2005-05-01,1942236,25321,8901,127,1187346,16116,1683783,20543
2005-06-01,1993658,24065,8892,120,1219847,15098,1771442,19380
2005-07-01,2147931,35467,9507,184,1344966,24214,1948206,29658
2005-08-01,2180207,35467,9522,186,1329343,25482,1954303,31207
2005-09-01,1938673,25774,8575,130,1034289,14439,1499977,18588
2005-10-01,2014038,24755,9134,123,1115026,13543,1580886,17370
2005-11-01,2062441,29194,10155,150,1276870,16008,1687431,19746
2005-12-01,2195717,33416,11127,174,1399053,19013,1825691,23318
2006-01-01,2141250,33074,11024,172,1354604,19768,1765673,24579
2006-02-01,1979796,40465,10372,210,1295512,25052,1653438,31037
2006-03-01,2331015,47557,12387,248,1592972,31949,2018912,39528
2006-04-01,2319725,48759,12535,256,1565206,33663,1986989,41197
2006-05-01,2351598,47320,12014,331,1385668,31579,1860201,36109
2006-06-01,2381619,51770,12188,364,1459971,35390,1957475,39756
2006-07-01,2562161,61180,13819,409,1671123,43995,2149171,50730
2006-08-01,2583217,64512,14321,422,1678379,46957,2162115,54617
2006-09-01,2210292,53149,13021,307,1294543,26500,1609237,34364
2006-10-01,2299703,59693,13928,316,1512825,32935,1814688,43860
2006-11-01,2298392,60378,14302,325,1596680,35095,1860659,46373
2006-12-01,2465731,90494,15394,455,1690538,46099,1966090,64766
2007-01-01,2457539,88355,15337,436,1600180,45017,1874012,64246
2007-02-01,2169817,78637,13209,387,1435522,41924,1675735,58328
2007-03-01,2625061,109249,16234,521,1867683,61996,2169771,86739
2007-04-01,2655066,108006,16257,519,1871106,61899,2172017,85923
2007-05-01,2605039,98051,15818,562,1758736,54437,2145966,72484
2007-06-01,2550250,137675,15245,726,1745168,67628,2158649,92898
2007-07-01,2705194,167362,16284,856,1923201,91202,2370963,129758
2007-08-01,2730929,177946,16550,926,1926750,98386,2379503,139237
2007-09-01,2448427,124860,15079,632,1432461,53175,1760347,76239
2007-10-01,2507371,113511,15428,576,1571677,52676,1912906,75702
2007-11-01,2530181,146244,16065,691,1669047,65535,1963904,96568
2007-12-01,2628105,186065,16658,862,1726062,83254,2036168,124948
2008-01-01,2566250,183345,16250,843,1639370,87937,1944219,132945
2008-02-01,2466324,175726,15633,805,1617653,90084,1893967,135487
2008-03-01,2792100,208705,17715,1019,1943610,118446,2282860,171599
2008-04-01,2672474,198817,17016,1006,1823912,107130,2129441,153393
2008-05-01,2565381,170236,16144,926,1697095,98118,2029662,137519
2008-06-01,2591921,182004,16167,977,1782082,105413,2157707,146427
2008-07-01,2706518,224388,16910,1181,1954980,136755,2344275,192694
2008-08-01,2699953,242203,16955,1254,1943559,151919,2350570,211185
2008-09-01,2111027,170672,13932,902,1348592,90281,1626434,127674
2008-10-01,2155293,175953,14500,905,1494997,102096,1736333,145809
2008-11-01,2278104,228757,15554,1123,1537056,117891,1727283,171697
2008-12-01,2398753,272342,16261,1420,1696031,139396,1926208,195276
2009-01-01,2332383,276949,16001,1451,1512870,147109,1721799,208553
2009-02-01,2196244,301047,14997,1700,1468858,167247,1634256,227343
2009-03-01,2485265,348909,16884,1979,1772633,198373,1979155,266984
2009-04-01,2412475,343940,16370,1966,1747015,199694,1957856,264584
2009-05-01,2371946,334496,16168,1958,1646075,178229,1861828,233395
2009-06-01,2421968,350555,16351,2072,1708753,192823,1983658,243852
2009-07-01,2553519,403782,17160,2383,1922565,258611,2216849,328140
2009-08-01,2550087,409180,17147,2409,1919323,271441,2214353,347290
2009-09-01,2164902,309647,14483,1838,1446836,173145,1696003,223827
2009-10-01,2196245,300855,14695,1750,1551790,170422,1790945,225835
2009-11-01,2284998,356149,15357,1967,1575934,191511,1788590,256793
2009-12-01,2446458,401759,16246,2192,1735840,221176,1987696,292082
2010-01-01,2447225,395592,16027,2183,1536621,212671,1813430,292657
2010-02-01,2190626,373667,14484,2052,1436320,205392,1636712,274365
2010-03-01,2579991,435045,17268,2353,1857652,256107,2110745,340839
2010-04-01,2499401,426355,16786,2299,1782058,251517,2022985,332063
2010-05-01,2386375,442169,16002,2409,1729301,251827,1970993,329720
2010-06-01,2469688,463847,16320,2506,1808994,280265,2106291,363923
2010-07-01,2647786,548694,17740,2942,2002980,347006,2297261,458884
2010-08-01,2628750,545380,17651,2920,1986949,352005,2276398,465835
2010-09-01,2347516,383537,15716,2089,1639859,228337,1900649,299926
2010-10-01,2455603,370128,16483,2027,1783521,221749,2039355,295174
2010-11-01,2459892,364514,16718,1962,1776516,212382,2001933,283284
2010-12-01,2456855,423339,16654,2278,1788497,250172,2034829,329590
2011-01-01,2349490,418137,16244,2260,1666910,246521,1885791,328447
2011-02-01,2205895,393533,15259,2106,1596782,220204,1784901,297614
2011-03-01,2665496,477092,18466,2522,2025200,279672,2248609,377442
2011-04-01,2640563,494368,18106,2589,1901180,283316,2119104,380119
2011-05-01,2653693,426953,17901,2390,1923880,270895,2197100,347894
2011-06-01,2750487,474980,18205,2601,1951745,286895,2283178,364659
2011-07-01,2969261,596359,19501,3180,2195724,379032,2569430,493698
2011-08-01,2777796,542775,18276,2903,2063123,359149,2427910,472268
2011-09-01,2528006,441066,16940,2456,1759225,253830,2037525,331397
2011-10-01,2589461,420692,17411,2384,1904825,253874,2179241,332914
2011-11-01,2598967,443938,17636,2550,1928157,269137,2181530,352160
2011-12-01,2811743,558819,18908,3225,2007341,326283,2281081,421501
2012-01-01,2604143,503098,17842,2842,1863646,299674,2110025,398532
2012-02-01,2519414,483901,17349,2720,1830931,289752,2056517,387838
2012-03-01,2861072,562902,19707,3151,2219395,344264,2492441,461382
2012-04-01,2802979,553794,19135,3148,2121516,352723,2395093,464800
2012-05-01,2743769,477758,18713,2941,2061439,311021,2338769,393575
2012-06-01,2858743,522577,19079,3147,2138056,348751,2463350,440459
2012-07-01,3108904,654471,20719,3787,2348297,440570,2715510,564272
2012-08-01,3098097,646843,20693,3753,2350214,442553,2715815,565477
2012-09-01,2708545,488004,18152,2927,1862866,295743,2140785,373085
2012-10-01,2577079,431899,17302,2676,1921819,272640,2195540,341699
2012-11-01,2761615,524425,18630,3104,2028019,310394,2285079,393235
2012-12-01,2951992,625925,19862,3592,2124496,355590,2405548,461798
2013-01-01,2826313,587427,19292,3287,2041023,342195,2326747,461527
2013-02-01,2507701,536232,17126,2993,1851783,310614,2091067,416768
2013-03-01,3064366,617215,20748,3429,2348755,393028,2680076,528682
2013-04-01,2963227,613578,19937,3417,2163142,385299,2482815,512138
2013-05-01,2975791,536006,20232,3219,2204878,355089,2539980,449857
2013-06-01,3062748,589715,20587,3502,2247822,386659,2636562,494129
2013-07-01,3275188,744777,22027,4312,2442024,504325,2878579,643194
2013-08-01,3270717,745140,21999,4306,2424528,500188,2848276,635526
2013-09-01,2702374,513176,18590,3104,1869672,309334,2168988,385954
2013-10-01,2830784,507159,19380,3102,2021520,308731,2336209,381368
2013-11-01,2889133,562166,19570,3256,1970159,342352,2261232,441554
2013-12-01,3146579,754476,20988,4224,2253102,451312,2630619,602471
2014-01-01,2677481,687735,18190,3870,1924406,415806,2224857,560303
2014-02-01,2591248,643793,17576,3600,1856355,373545,2135371,503245
2014-03-01,3096233,722190,21092,4020,2309097,443279,2640965,597055
2014-04-01,3064091,721844,20713,4016,2244592,442573,2583426,593319
2014-05-01,3000297,755393,20791,4218,2273622,461956,2604084,594988
2014-06-01,3050583,792921,20877,4437,2265374,486289,2641486,614081
2014-07-01,3219273,942644,21992,5162,2462573,625078,2870942,802866
2014-08-01,3258957,951529,22241,5216,2499568,630550,2898812,819633
2014-09-01,2722753,656961,19071,3667,1975628,380530,2242204,492464
2014-10-01,2919293,673902,20080,3775,2187763,397748,2492042,507467
2014-11-01,2920974,738502,19935,4023,2123703,420661,2422990,554695
2014-12-01,3276236,906674,21952,4878,2326056,529367,2712180,702218
2015-01-01,3019807,865685,20572,4572,2154498,501790,2500168,682718
2015-02-01,2754789,720032,18539,3839,2014931,419677,2327035,573461
2015-03-01,3273394,785167,22253,4247,2497416,499085,2870432,667879
2015-04-01,3245610,791829,21954,4296,2425597,495760,2800233,661116
2015-05-01,3306347,741990,22434,4200,2473838,483312,2846247,621871
2015-06-01,3343483,810535,22418,4466,2452560,527709,2866850,676934
2015-07-01,3583974,1011929,23870,5311,2645339,672464,3115143,884061
2015-08-01,3541322,1017561,23642,5326,2607840,673900,3073917,892943
2015-09-01,3097545,724492,21086,3919,2192625,440247,2526969,570904
2015-10-01,3261120,766911,21826,4082,2407418,461284,2753830,601010
2015-11-01,3268653,782693,21622,4174,2390905,486610,2752320,647330
2015-12-01,3554250,1024347,23347,5222,2544915,604335,2977903,822035
2016-01-01,3349977,954192,22175,4900,2361374,582384,2757375,798186
2016-02-01,3279671,874467,21301,4441,2344496,514768,2743445,711347
2016-03-01,3629081,936954,23775,4809,2716571,589916,3160231,805024
2016-04-01,3545357,926548,23066,4730,2562863,564168,2986164,774966
2016-05-01,3661046,880830,24186,4698,2700059,542469,3121228,717660
2016-06-01,3644781,942403,23703,5035,2685827,597715,3177281,776637
2016-07-01,3779940,1069923,24506,5636,2812030,714540,3323127,938175
2016-08-01,3744283,1082488,24488,5745,2778076,725392,3266293,950341
2016-09-01,3331887,792112,22322,4284,2416554,501363,2786477,646416
2016-10-01,3419889,797225,22753,4242,2532802,501919,2911905,660623
2016-11-01,3451239,810270,22967,4419,2597905,521952,2965686,675702
2016-12-01,3671912,1057628,24181,5588,2714148,661789,3117300,854937
2017-01-01,3638354,,24189,,2648950,,3038917,
2017-02-01,3287787,,21632,,2383341,,2740393,
2017-03-01,3772112,,25012,,2846297,,3263030,
