Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,8332093,2766881,60691,4097,7079446,570431,5904082,1997636
2002-11-01,7919522,2505819,57316,3822,6612595,502136,5471145,1674572
2002-12-01,8127073,2405204,58234,3851,7220998,531834,6167157,1714144
2003-01-01,8152502,2363170,59177,3822,6256572,501708,5401199,1605825
2003-02-01,7127819,1886963,51166,3168,5870602,406908,4985764,1256870
2003-03-01,8052021,2202747,57904,3619,6962353,491280,5926067,1556456
2003-04-01,7380656,1954703,51740,3284,6145813,448587,5269285,1373104
2003-05-01,7302481,2022747,52123,3320,6330578,482973,5455220,1557675
2003-06-01,7415623,2280425,53524,3694,6819044,584526,6001880,1930992
2003-07-01,7680255,2448048,55080,3885,7186864,631965,6428528,2080484
2003-08-01,7824917,2536182,55822,4049,6997110,640776,6340679,2106144
2003-09-01,7600587,2470132,53629,3900,5728266,532769,5021464,1889135
2003-10-01,7992370,2362573,56374,3832,6657727,536982,5804640,1815454
2003-11-01,7759608,2186187,54121,3619,6222544,501685,5473482,1646562
2003-12-01,7971250,2254221,55768,3854,6494295,546344,5894158,1772599
2004-01-01,7911945,2182615,55623,3758,5811244,505444,5289995,1615081
2004-02-01,7535675,2012109,53479,3424,5945233,435337,5257576,1353987
2004-03-01,8324290,2203703,58574,3692,6939267,554436,6270417,1789501
2004-04-01,8170122,2508628,57034,4047,6697058,602306,6064842,1971982
2004-05-01,8319449,2786296,58122,4346,6756571,636447,6109087,2165943
2004-06-01,8277422,2844865,57390,4437,7227106,727669,6745778,2464548
2004-07-01,8467006,2949557,58209,4619,7465888,770449,7128122,2538790
2004-08-01,8463957,2939300,58254,4597,6990016,735386,6720924,2415836
2004-09-01,7645424,2799630,52800,4326,5592484,618841,5266401,2183442
2004-10-01,8325119,2647622,57833,4227,6719259,613865,6127967,2067964
2004-11-01,8100939,2407358,55673,3909,6534768,558698,5960217,1814007
2004-12-01,8228768,2649057,56593,4392,6585438,630844,6080286,2029623
2005-01-01,8053243,2589787,54831,4336,6181166,617932,5810566,1955744
2005-02-01,7789674,2300354,54023,3947,6037652,529426,5606251,1632834
2005-03-01,8631773,2750413,59503,4658,7451564,715546,6993262,2246516
2005-04-01,8342196,2786034,57192,4575,6852422,685445,6399972,2212711
2005-05-01,8644347,3060103,58405,4891,6918818,743673,6563739,2499622
2005-06-01,8444540,3085468,55511,4927,7052541,792338,6952172,2651713
2005-07-01,8721019,3248943,56553,5165,7392260,839396,7478734,2776477
2005-08-01,8705676,3251066,56616,5153,6971761,785448,7140574,2607592
2005-09-01,7657245,3105170,48208,4903,5590403,682944,5601580,2392819
2005-10-01,7882137,2921653,49981,4759,5791053,660114,5688900,2222265
2005-11-01,7558117,2577621,47534,4303,5729451,597837,5620285,1927141
2005-12-01,7306966,2865619,44871,5018,5502327,702173,5532042,2174875
2006-01-01,6991072,2800073,44210,4933,5178427,669107,5165378,2052368
2006-02-01,6253806,2441731,39463,4330,4832741,562043,4758339,1697609
2006-03-01,7382389,3112041,45366,5471,5984020,793447,6030385,2467313
2006-04-01,7029226,3150381,42586,5395,5359953,784461,5476931,2494200
2006-05-01,6794639,3599174,41606,5726,5146846,841844,5146193,2841582
2006-06-01,7023569,4082950,41545,6439,5621749,1034440,5968657,3487021
2006-07-01,7278404,4325473,42284,6922,5800757,1118062,6348220,3681283
2006-08-01,7291954,4242253,42765,6700,5425930,1008984,5953651,3352301
2006-09-01,6368923,3820523,39315,5495,4624176,800356,4733617,2938327
2006-10-01,6602894,3744644,41557,5440,5244035,771702,5230044,2781345
