Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,420087,31036,23590,790,757030,24984,287064,20932
2002-11-01,408854,34993,22812,863,726365,23545,278205,20060
2002-12-01,409010,36899,22838,903,756097,25497,290716,22113
2003-01-01,434176,37036,23638,911,670125,24695,260708,21666
2003-02-01,389053,33574,20443,816,637314,22637,251826,19923
2003-03-01,443256,36970,23113,909,759399,24786,302910,21630
2003-04-01,467183,29810,23532,729,748709,16815,311067,15165
2003-05-01,476266,29900,22944,735,791385,18009,332134,16192
2003-06-01,466182,26312,21947,659,793112,18140,335280,16042
2003-07-01,473909,26537,21586,668,798586,21138,344664,18480
2003-08-01,474393,31390,21154,783,738275,24388,321535,21651
2003-09-01,484391,30818,21421,767,691199,21689,298079,19233
2003-10-01,517256,30932,22812,795,801708,23933,346033,21124
2003-11-01,499369,27532,21853,704,752563,10434,329207,17292
2003-12-01,517142,26935,22497,676,777074,19235,346475,17995
2004-01-01,508506,24708,22293,623,676969,17513,294599,16128
2004-02-01,482183,23031,20877,577,685947,16627,299888,15172
2004-03-01,531704,24226,23033,620,812992,17748,359991,16086
2004-04-01,522202,23437,22459,598,800261,17249,357385,15684
2004-05-01,548116,23214,23382,595,851494,16643,380741,15195
2004-06-01,539522,18120,22878,473,900833,14783,408932,13323
2004-07-01,574791,18980,24267,490,962619,16754,439857,15141
2004-08-01,590331,19423,24732,495,904362,16222,411942,14730
2004-09-01,563169,17067,23247,380,803531,10106,368491,10237
2004-10-01,606705,23336,24872,536,961515,15770,438407,15260
2004-11-01,567697,36404,24219,898,928740,28048,407243,24700
2004-12-01,574520,37276,24735,917,914353,29349,400709,25642
2005-01-01,547499,36236,24020,899,819400,28883,353643,25123
2005-02-01,572817,27936,22212,703,831126,24842,400255,21349
2005-03-01,653926,31379,25579,787,1014078,28576,492683,24418
2005-04-01,644232,29830,25310,759,974266,28407,464396,24223
2005-05-01,676531,31374,26925,778,1034921,28012,492877,24103
2005-06-01,653798,38102,25977,873,1042800,32245,500559,28830
2005-07-01,671643,37672,26500,832,1054850,32532,515103,29791
2005-08-01,682655,37523,26582,823,1015692,30290,505074,27845
2005-09-01,654439,35432,25366,788,954477,27661,469924,25201
2005-10-01,671789,37040,26187,817,999613,29839,489411,27433
2005-11-01,650416,37004,25149,807,987239,29387,486302,26804
2005-12-01,627401,35924,23407,847,946514,30256,482230,25707
2006-01-01,616846,35087,23082,835,897298,31106,456492,26440
2006-02-01,579347,30535,21393,722,882737,28560,451120,23955
2006-03-01,667240,36685,24280,847,1064279,33332,552786,29092
2006-04-01,629151,38154,23318,844,968338,32475,486550,29055
2006-05-01,653912,38525,23968,889,1021693,33929,521411,29837
2006-06-01,643813,45031,23377,915,1028756,38314,536470,36338
2006-07-01,678515,45963,24852,952,1073516,39099,559779,36923
2006-08-01,693455,48143,25406,984,984799,36648,515275,35015
2006-09-01,609825,57576,22199,1114,813003,39132,426277,38143
2006-10-01,625712,63817,23244,1212,907861,45821,467979,43826
2006-11-01,588606,66451,22398,1224,874069,47237,441282,45328
2006-12-01,582391,73131,21738,1341,839483,52557,434402,49196
2007-01-01,574664,75615,21891,1480,779838,55352,395060,51702
2007-02-01,539106,70863,20338,1383,770610,52932,392696,49769
2007-03-01,605989,79327,22676,1499,964151,64816,493328,60566
2007-04-01,604169,80342,22876,1514,947625,61053,473079,56688
2007-05-01,605122,75774,23408,1393,973497,57241,471718,53705
2007-06-01,621851,68490,24256,1266,1040441,55777,504706,50761
2007-07-01,633018,70748,24652,1312,1036549,60626,508288,55563
2007-08-01,644141,67925,25240,1258,1039830,55768,509620,50933
2007-09-01,572301,53847,22261,959,895069,41539,430128,39569
2007-10-01,641272,57191,24683,1049,1028966,46439,493897,43187
2007-11-01,604879,59012,23513,1066,963423,45329,457897,42026
2007-12-01,600695,61608,23175,1086,933601,47998,450285,44955
2008-01-01,574682,59596,22323,1100,881893,50849,424216,45071
2008-02-01,556269,58949,21804,1066,892997,52560,426758,45876
2008-03-01,600786,62196,23739,1218,1031084,61633,487310,50883
2008-04-01,588342,52838,23187,1034,1015077,49964,475532,41103
2008-05-01,585317,52428,23318,1016,1049067,49701,483262,40992
2008-06-01,619700,55304,24927,1135,1110002,54253,514922,42378
2008-07-01,634536,49746,25591,1096,1138035,51925,529609,39444
2008-08-01,611812,48413,24938,1031,1085011,52093,498628,39967
2008-09-01,504609,33786,20790,651,867643,30738,391402,24992
2008-10-01,518406,35371,21521,664,947802,34094,423292,27704
2008-11-01,542719,30015,22824,524,927302,25796,411837,21603
2008-12-01,553586,29009,22907,516,970254,27113,439444,22651
2009-01-01,543021,27916,22750,482,914221,24045,410373,20141
2009-02-01,506385,21857,21340,410,891177,20624,395017,17181
2009-03-01,569953,24639,24311,481,1022493,24628,447850,20332
2009-04-01,566793,25823,24210,498,1015657,24039,443794,19685
2009-05-01,596259,31433,25103,745,1124827,30491,490528,22752
2009-06-01,644550,27228,27358,601,1265478,26653,545995,20994
2009-07-01,674361,36153,28799,750,1321243,38626,571080,30490
2009-08-01,645329,32583,27644,676,1216619,34604,523966,27441
2009-09-01,519286,33772,22773,737,998318,31160,408081,24175
2009-10-01,525776,33635,23168,682,1040522,33566,423299,27153
2009-11-01,545549,38100,24563,810,1032690,34834,415730,26850
2009-12-01,516338,31198,23266,638,972011,31160,394689,23657
2010-01-01,530842,28461,23662,604,956652,26663,390232,20676
2010-02-01,487605,31162,21937,564,927559,29295,378409,24348
2010-03-01,572413,39588,25928,664,1167858,36490,474255,30936
2010-04-01,516158,35045,24625,660,1077328,35932,421696,28819
2010-05-01,539523,28927,25845,540,1136420,28138,447476,23004
2010-06-01,585564,27009,27378,511,1216826,25892,491237,20735
2010-07-01,621664,29579,28773,562,1273604,30704,517488,24397
2010-08-01,621850,28977,28900,565,1222627,31606,491125,24338
2010-09-01,591064,23515,26500,432,1118645,22916,455955,18539
2010-10-01,626551,26592,27797,439,1225848,24383,506141,22166
2010-11-01,593454,24341,26770,517,1139367,25034,463563,18147
2010-12-01,594626,26860,26834,537,1123514,27641,459219,20550
2011-01-01,551476,21175,24909,439,965316,20479,394559,15506
2011-02-01,521474,21109,23940,403,954779,19849,385493,16035
2011-03-01,634933,25973,28814,443,1236474,24723,503753,21192
2011-04-01,601041,18172,26364,416,1147774,21046,483544,14237
2011-05-01,617197,24325,27778,476,1249913,24646,510207,18927
2011-06-01,653075,20966,28182,450,1281643,22727,545599,16056
2011-07-01,707042,14397,29516,369,1325736,19271,587946,11494
2011-08-01,676401,15241,28700,383,1244045,20488,542977,12340
2011-09-01,597159,31816,25771,582,1128524,26517,480823,20164
2011-10-01,625604,40446,27170,678,1216010,31057,515589,25782
2011-11-01,581069,35792,25275,583,1109940,25666,472027,22288
2011-12-01,571351,36067,25264,584,1075167,26336,450080,23109
2012-01-01,1412986,187802,56932,5347,2038741,191448,1036022,132214
2012-02-01,1342629,183915,54373,5304,2121804,192821,1015818,129489
2012-03-01,1506990,213783,60655,6090,2516467,234865,1218551,157564
2012-04-01,1459428,190299,59072,5353,2420821,203314,1171346,138288
2012-05-01,1451556,198669,60742,5856,2548717,213589,1200665,139473
2012-06-01,1543387,203175,64700,5843,2728604,224118,1288793,150864
2012-07-01,1548964,215920,65966,6179,2723270,251801,1272360,170912
2012-08-01,1584825,213590,67134,6125,2717000,254733,1273290,168649
2012-09-01,1410102,209180,60158,6488,2419877,251272,1112375,155762
2012-10-01,1497486,215453,62895,6447,2596779,259890,1213578,166124
2012-11-01,1445269,179474,59960,5389,2451318,211695,1150393,138129
2012-12-01,1420309,193335,58692,5766,2368681,234413,1117795,152249
2013-01-01,1401481,200261,56950,5944,2157109,232651,1033776,152224
2013-02-01,1292716,183392,52555,5363,2050473,210760,983569,137760
2013-03-01,1607999,205247,64192,6153,2607172,249131,1279421,160614
2013-04-01,1587839,195032,62822,5676,2546130,228071,1254012,150689
2013-05-01,1611768,219650,63623,6194,2664184,255490,1314710,170941
2013-06-01,1615515,215136,64373,5927,2731608,253931,1347609,172736
2013-07-01,1660011,233104,65688,6509,2647468,293114,1346132,197268
2013-08-01,1645969,226590,65480,6373,2640153,289313,1321198,192260
2013-09-01,1548398,214889,60962,6162,2424555,254294,1214777,167993
2013-10-01,1634226,236723,63596,6663,2635631,284236,1310556,189306
2013-11-01,1515936,214684,58369,5982,2375189,250962,1193949,170004
2013-12-01,1456752,223193,56256,6121,2410409,264442,1209975,180648
2014-01-01,1297368,209954,50813,5583,1993091,232373,985353,163132
2014-02-01,1223608,200438,48143,5297,1962148,221969,964142,155341
2014-03-01,1526155,248869,59630,6631,2549559,282742,1261208,196352
2014-04-01,1447156,222616,56449,5991,2402703,258766,1184854,177506
2014-05-01,1477262,222393,57026,6063,2497887,264716,1248193,176876
2014-06-01,1493202,232075,57365,6309,2504121,280345,1263577,188496
2014-07-01,1543834,229927,60029,6289,2591762,296123,1289311,198300
2014-08-01,1508512,224722,58703,6216,2507497,290380,1242690,190933
