Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,515012,,4510,,311440,,287722,
2002-11-01,484631,,4318,,295688,,260056,
2002-12-01,527133,5540,4683,27,386895,1965,341794,3049
2003-01-01,527654,16621,4712,81,308392,4220,278466,6383
2003-02-01,478784,14774,4303,72,244482,2331,273204,6788
2003-03-01,511872,15215,4574,74,368087,12744,337016,8942
2003-04-01,544189,14418,4831,71,359112,6611,329337,10436
2003-05-01,538189,14639,4789,72,389827,7495,347407,11798
2003-06-01,546671,13893,4786,68,453662,7625,410939,12079
2003-07-01,571308,11015,5055,50,509599,5620,456048,9380
2003-08-01,573395,11676,5021,53,501375,5411,455077,9028
2003-09-01,547585,7618,4864,34,430480,2502,379807,4186
2003-10-01,574122,7490,5119,34,472005,3827,416938,6384
2003-11-01,550594,17292,4974,96,439005,9089,397649,13306
2003-12-01,628707,29759,5386,156,502534,15722,462721,22714
2004-01-01,611765,29294,5308,155,444096,17054,405401,24433
2004-02-01,568787,27773,5001,158,418894,14530,380325,26619
2004-03-01,646270,31131,5590,173,521802,20006,487783,29017
2004-04-01,626375,29184,5403,162,469714,17416,449707,25545
2004-05-01,697338,30921,5705,172,476039,18035,461005,26306
2004-06-01,735743,29293,6005,162,582611,17518,577903,25555
2004-07-01,804824,32325,6593,180,664275,17440,657331,25146
2004-08-01,768506,21854,6326,119,586969,10807,582198,16324
2004-09-01,676625,13865,5622,74,461020,6370,448081,9926
2004-10-01,677581,28263,5804,156,534932,15942,517153,23395
2004-11-01,643057,49649,5465,291,496985,25191,482863,35497
2004-12-01,703101,66103,5953,389,537215,31800,523121,44493
2005-01-01,670111,65778,5775,390,483770,34832,471876,48394
2005-02-01,583950,56859,5134,340,465303,32104,446552,44458
2005-03-01,711760,68772,6152,403,469904,32104,593466,55450
2005-04-01,638742,59971,5655,346,539759,30091,518575,46789
2005-05-01,708407,54236,6287,314,598322,30259,574454,41115
2005-06-01,722616,49556,6442,288,659042,29928,626289,42182
2005-07-01,808465,39269,7119,225,736958,19593,704201,27591
2005-08-01,777427,24895,6931,144,672762,10975,640680,15742
2005-09-01,717929,33832,6474,200,571834,14248,543058,21292
2005-10-01,741655,23715,6719,141,607610,12719,562666,17982
2005-11-01,709288,28986,6406,169,593548,15211,554120,20831
2005-12-01,762769,68226,6814,385,612863,31589,574110,45456
2006-01-01,754783,71138,6902,409,569595,34461,523474,48945
