Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,9672,,155,,8325,,3455,
2002-11-01,8703,,157,,10088,,4240,
2002-12-01,9175,,155,,12193,,5475,
2003-01-01,8092,,134,,10829,,4711,
2003-02-01,7019,,105,,9590,,4330,
2003-03-01,12958,,148,,15135,,9281,
2003-04-01,12803,,144,,14470,,8324,
2003-05-01,13564,,147,,15370,,9162,
2003-06-01,17005,,164,,21138,,13309,
2003-07-01,31963,,249,,29647,,23946,
2003-08-01,38674,,299,,34058,,27738,
2003-09-01,36648,,279,,28169,,23493,
2003-10-01,38841,,301,,32146,,27825,
2003-11-01,39438,,293,,30129,,25225,
2003-12-01,37915,,298,,30749,,25681,
2004-01-01,32406,,253,,27240,,22634,
2004-02-01,36784,,278,,33962,,28553,
2004-03-01,49959,,355,,44035,,39384,
2004-04-01,49599,,340,,39691,,36478,
2004-05-01,54846,,368,,39664,,36677,
2004-06-01,51502,,333,,41383,,39576,
2004-07-01,60069,,373,,48610,,48418,
2004-08-01,65827,,423,,48338,,47189,
2004-09-01,65313,,425,,47812,,46893,
2004-10-01,76341,281,486,1,55591,72,57442,125
2004-11-01,72941,,479,,53916,,54504,
2004-12-01,79332,,527,,59224,,59166,
2005-01-01,71032,,476,,51324,,53448,
2005-02-01,65409,,429,,53060,,55455,
2005-03-01,76482,,510,,66611,,68630,
2005-04-01,74190,,499,,63745,,65638,
2005-05-01,89868,,594,,73442,,76518,
2005-06-01,121136,1175,808,8,99902,821,102921,803
2005-07-01,123395,,808,,88969,,93624,
2005-08-01,122290,,780,,83627,,89124,
2005-09-01,119261,,740,,81435,,88767,
2005-10-01,128582,,816,,96081,,103894,
2005-11-01,138946,,877,,100066,,107957,
2005-12-01,178700,,1124,,127258,,137480,
2006-01-01,191115,,1206,,137268,,148087,
2006-02-01,191780,,1206,,141269,,154057,
2006-03-01,223937,,1392,,176113,,193408,
2006-04-01,207519,,1318,,155192,,169430,
2006-05-01,188233,,1236,,142924,,151444,
2006-06-01,213804,,1436,,178988,,183073,
2006-07-01,225153,,1533,,194492,,195537,
2006-08-01,208858,,1431,,163504,,163813,
2006-09-01,168601,,1162,,121641,,122614,
2006-10-01,184561,,1257,,145218,,147273,
2006-11-01,213992,,1523,,172873,,166637,
2006-12-01,252596,,1860,,213627,,198184,
