Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,544327,6803,4337,8,443823,1947,406432,5315
2002-11-01,545577,6858,4132,8,430822,1175,390912,3208
2002-12-01,582441,8408,4347,10,466366,2195,432591,5992
2003-01-01,555366,6803,4192,8,445822,1361,381771,3716
2003-02-01,492364,6011,3917,8,422443,1049,339979,2864
2003-03-01,549996,10052,4471,14,477925,2137,408706,5834
2003-04-01,543433,5738,4027,8,432155,1160,430766,3167
2003-05-01,554340,5607,4072,8,429618,1390,412165,3795
2003-06-01,593308,7131,4130,10,467998,2081,487302,5681
2003-07-01,625888,8594,4472,12,525320,2126,554667,5804
2003-08-01,643482,9762,4620,14,548633,2232,570438,6093
2003-09-01,548139,5010,3911,7,425301,1022,451191,2790
2003-10-01,559137,6426,4046,9,460482,1764,475486,4816
2003-11-01,566470,6945,3938,10,462310,1737,480730,4742
2003-12-01,608454,5738,4117,8,479793,1528,513382,4171
2004-01-01,571821,5700,4070,8,455724,1399,461081,3819
2004-02-01,526266,7114,3794,10,442044,1534,438673,4188
2004-03-01,605902,5711,4115,8,497114,1416,508465,3866
2004-04-01,575781,5569,4006,8,463396,1129,490652,3082
2004-05-01,543246,28459,4024,26,453419,4452,469834,18186
2004-06-01,550712,51211,4188,42,481823,7992,500266,36273
2004-07-01,595402,53886,4526,44,524697,6984,544770,31120
2004-08-01,594286,53886,4465,45,506403,6367,539563,27646
2004-09-01,519238,52455,3842,43,407904,8042,466036,38005
2004-10-01,523713,55310,3876,47,431290,9331,472799,42575
2004-11-01,538697,49968,3849,42,430218,8794,475476,41301
2004-12-01,563643,53240,4013,44,427233,7993,486772,36524
2005-01-01,551817,67884,3967,65,426518,9045,468927,43805
2005-02-01,511313,47746,3618,40,424679,5662,442071,25624
2005-03-01,542360,53218,3983,44,486014,7336,481266,33335
2005-04-01,556803,50322,3924,42,445240,5516,486683,25405
2005-05-01,586435,53111,4066,45,466528,5175,519532,26624
2005-06-01,596183,51305,4153,43,491356,6609,529844,29405
2005-07-01,630823,53652,4435,45,535090,8519,578458,37878
2005-08-01,631339,51852,4411,43,521830,6196,588740,28051
2005-09-01,576793,51598,3982,43,458432,8576,520915,41035
2005-10-01,582748,52241,4047,45,475589,9599,532486,43140
2005-11-01,569389,48587,3969,41,475937,7775,516676,36342
2005-12-01,607061,54582,4117,45,489746,9395,545775,44171
2006-01-01,593016,53532,4180,45,474959,8993,523049,42295
2006-02-01,526896,47690,3772,40,449992,6106,475497,27609
2006-03-01,581798,53643,4155,44,502897,6952,523777,31997
2006-04-01,570189,51654,4073,44,475862,7652,505071,35350
2006-05-01,586900,51781,4189,43,493353,6095,527133,27464
2006-06-01,605218,43729,4430,37,526439,6555,535875,28968
2006-07-01,643849,41336,4799,36,560767,6568,583618,27938
2006-08-01,641060,41041,4764,35,539191,5012,563264,21924
2006-09-01,608353,39712,4403,34,474988,6858,508280,31722
2006-10-01,642230,41191,4498,36,514749,6797,561475,30040
2006-11-01,662487,39921,4477,34,518843,6455,568167,29027
2006-12-01,697395,42364,4711,37,544483,7069,591260,31436
2007-01-01,687886,39865,4646,34,535214,6636,579760,30990
2007-02-01,611392,37421,4202,32,509044,6050,538775,27183
2007-03-01,703173,41380,4726,35,598127,7576,643754,34638
2007-04-01,703213,39859,4592,35,562521,6793,622142,31012
2007-05-01,725054,40822,4729,35,577725,6250,635535,28100
2007-06-01,725794,40081,4829,34,606096,6329,638770,27993
