Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,490643,18076,37836,919,966531,22649,307158,10952
2002-11-01,476577,16519,34740,830,871209,17615,291236,8769
2002-12-01,475110,16865,34556,834,927208,18593,311155,9293
2003-01-01,497817,18428,35522,901,819868,18716,274120,9169
2003-02-01,434460,15937,30655,784,787006,17251,265225,8390
2003-03-01,504675,17722,35494,910,950503,19575,320148,9370
2003-04-01,491484,17645,33871,891,933073,17925,318538,8898
2003-05-01,513991,17536,34649,905,989319,19536,345533,9605
2003-06-01,519248,17184,34453,872,1034670,21110,362435,10310
2003-07-01,420293,12219,31151,669,1071022,24723,293451,8590
2003-08-01,542445,17305,35147,868,1044966,25042,372862,12481
2003-09-01,534252,15944,34376,755,933656,19570,331074,10138
2003-10-01,570466,18935,36171,830,1046048,22439,374720,12333
2003-11-01,553174,15532,34211,671,1014337,17570,369885,10001
2003-12-01,589802,15823,36455,662,1059268,17824,387716,10304
2004-01-01,588694,20069,35891,933,936125,23035,346343,12104
2004-02-01,580882,20078,34931,940,1006408,24269,375326,12805
2004-03-01,636771,21231,38186,1000,1166685,28122,436672,14483
2004-04-01,643088,24377,38288,1136,1170293,33975,441612,17198
2004-05-01,653489,29619,38337,1351,1200075,41263,457716,20459
2004-06-01,662453,36536,38443,1500,1275621,46847,489852,25671
2004-07-01,697086,44815,39884,1778,1316870,58163,514184,33914
2004-08-01,711464,47739,40632,1855,1264545,61568,489149,35559
2004-09-01,704956,41119,39852,1713,1228603,53694,475332,29522
2004-10-01,742689,42050,41366,1780,1327766,54508,523768,29638
2004-11-01,715658,35683,39374,1548,1216186,42908,488314,23032
2004-12-01,748415,38574,41220,1607,1245334,46263,499783,25399
2005-01-01,726158,40970,39995,1592,1128357,42792,449303,24662
2005-02-01,707669,40523,38855,1565,1158342,43142,460324,24809
2005-03-01,799717,45799,43596,1711,1402327,52050,564294,30395
2005-04-01,796332,50298,42852,1817,1384995,54878,567551,32108
2005-05-01,844613,57905,44935,2210,1493965,67149,615887,37556
2005-06-01,838509,55974,43736,2119,1526166,65423,645534,37437
2005-07-01,856062,59948,44019,2270,1507029,75470,647842,43057
