Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,471270,,2865,,298142,,339613,
2002-11-01,498928,,3049,,329981,,383078,
2002-12-01,547592,,3305,,364041,,433486,
2003-01-01,524856,,3223,,337192,,400888,
2003-02-01,479216,,2910,,310319,,362505,
2003-03-01,540939,,3347,,360083,,406616,
2003-04-01,534159,,3299,,353921,,392490,
2003-05-01,423787,,2590,,297970,,326196,
2003-06-01,439111,,2666,,309012,,344492,
2003-07-01,514566,,3082,,379042,,422904,
2003-08-01,509600,,3055,,377566,,417130,
2003-09-01,388903,,2369,,282064,,317099,
2003-10-01,419217,473,2600,8,341408,,351866,157
2003-11-01,463634,,2955,,354747,,383702,
2003-12-01,558211,2306,3526,28,399773,2832,450489,1730
2004-01-01,538930,5023,3468,61,381233,6447,424289,3539
2004-02-01,511689,4776,3311,58,357334,6007,388856,3298
2004-03-01,550093,5106,3594,62,404029,5875,433005,3225
2004-04-01,542488,4941,3565,60,386773,5947,407427,3265
2004-05-01,513650,5106,3283,62,361688,6561,392293,3602
2004-06-01,519057,6588,3312,80,371801,8416,405905,4620
2004-07-01,572422,8894,3720,110,445580,11691,484437,6418
2004-08-01,537021,8803,3450,102,416423,10664,452893,6711
2004-09-01,366676,4586,2483,54,257047,4887,287379,3291
2004-10-01,419362,5106,2840,62,332066,7142,340171,3921
2004-11-01,553565,9329,3299,85,375433,10348,386413,6675
2004-12-01,564286,22311,3715,189,399158,20060,420111,15598
2005-01-01,526512,20387,3513,216,378081,25292,401070,15759
2005-02-01,520653,14417,3481,209,360730,23264,378495,10422
2005-03-01,549746,16415,3618,248,456232,27417,477493,12659
2005-04-01,533464,26049,3538,286,404165,29944,419068,18201
2005-05-01,422435,28042,2864,308,342736,39288,356337,22995
2005-06-01,424078,35901,2913,334,349505,42358,362314,27432
2005-07-01,489264,47107,3326,448,404716,52812,416775,33663
2005-08-01,424358,35873,2915,345,352407,40915,360410,26321
2005-09-01,321919,24355,2186,234,240118,19793,247800,14302
2005-10-01,317671,18310,2210,191,249199,21597,255911,14662
2005-11-01,368196,30664,2534,333,260634,37272,274943,24423
2005-12-01,396979,55239,2795,553,281691,67247,303786,41699
2006-01-01,427340,65912,2867,595,328131,60980,332395,40127
2006-02-01,377734,57503,2674,587,300525,54793,324267,37252
2006-03-01,450361,68622,3268,665,383690,74059,411061,50325
2006-04-01,426530,64768,3131,645,353036,74082,371527,50635
2006-05-01,343374,45899,2708,493,298519,55389,304886,36767
2006-06-01,398929,55734,2810,604,344519,69281,331516,42532
2006-07-01,421325,51866,3164,665,359515,78638,378572,45617
2006-08-01,413019,43033,3130,562,337184,63208,359134,35502
2006-09-01,360005,30669,2796,428,265409,41693,275797,23684
2006-10-01,376117,30107,2867,430,293465,44028,310948,24789
2006-11-01,443994,37922,2997,468,319951,51609,344355,29378
2006-12-01,495921,65711,3374,688,209128,65235,354228,45204
2007-01-01,499477,61829,3410,667,380378,65710,377299,42997
2007-02-01,548369,66355,3654,717,437955,65566,441878,42889
2007-03-01,658909,77070,4285,840,533191,83109,546022,52674
2007-04-01,658647,85432,4270,860,511939,95540,517591,63398
2007-05-01,586824,95635,3728,864,457036,100750,480645,73526
2007-06-01,610211,149751,3973,1316,499772,136250,525995,103979
2007-07-01,653597,176898,4283,1412,556790,167486,580246,140351
2007-08-01,620572,163236,4023,1293,507029,153141,539549,132220
2007-09-01,531625,117374,3435,860,389232,90087,411171,82736
2007-10-01,556731,113797,3575,805,438681,91144,465320,86877
2007-11-01,576482,121809,3783,900,444498,100575,463066,94650
2007-12-01,611660,149664,4087,1185,466349,128885,477565,112234
2008-01-01,586187,120876,4065,1035,454310,110048,455591,92914
2008-02-01,563293,103422,4016,883,453184,91620,447186,78750
2008-03-01,630511,114261,4569,966,529552,102008,519757,84174
2008-04-01,591904,111578,4280,941,482345,97568,471328,80611
2008-05-01,578887,144823,4288,1167,503269,123286,484473,102482
2008-06-01,598991,174352,4431,1302,502788,137281,486263,121281
2008-07-01,619036,192849,4524,1362,546480,161914,530564,149849
2008-08-01,540318,165132,3952,1206,464933,142823,456342,131796
2008-09-01,461878,118093,3269,863,356113,83138,362018,80398
2008-10-01,468307,118594,3295,859,397269,85551,404546,80799
2008-11-01,473415,113737,3363,797,395115,85621,392129,82416
2008-12-01,501262,122275,3613,850,415403,98256,407448,95985
2009-01-01,461704,127280,3395,865,382422,91288,367105,93904
2009-02-01,445680,113736,3216,790,363498,73630,352044,73815
2009-03-01,517962,134231,3832,942,436142,87924,416353,86017
2009-04-01,495185,125705,3547,858,425922,94049,407632,88250
2009-05-01,509844,139302,3571,1048,409829,96188,404959,89854
2009-06-01,498084,141615,3484,1062,426890,113526,423259,106132
2009-07-01,524310,156926,3676,1179,468446,137515,466713,127841
2009-08-01,518377,149440,3637,1128,444325,133918,439883,123128
2009-09-01,500198,81618,3442,697,375165,65881,380243,57406
2009-10-01,515958,86438,3581,744,403339,68967,408272,58180
2009-11-01,509757,88286,3543,753,403710,73348,406081,61369
2009-12-01,522867,110109,3659,865,414112,98554,415053,86368
2010-01-01,502263,108983,3498,843,403283,92021,405233,86934
2010-02-01,441755,100805,3071,767,351647,72916,352488,69784
2010-03-01,543365,123440,3794,940,470245,94685,461645,89124
2010-04-01,546076,125746,3808,916,476774,98775,451477,91097
2010-05-01,565445,114945,3922,922,476546,91090,467549,82670
2010-06-01,441771,106914,3115,791,353742,79321,345356,77738
2010-07-01,600637,169715,4146,1206,530790,138597,522807,136623
2010-08-01,594040,154355,4089,1090,522554,133576,511843,129144
2010-09-01,561839,113261,3821,864,441425,91145,436950,87516
2010-10-01,603819,110098,4073,864,517511,96108,519038,87580
2010-11-01,590204,122953,3963,955,503730,105958,507818,94658
2010-12-01,583850,150318,3924,1126,475516,132880,490895,120920
2011-01-01,578891,144702,3840,1040,471039,116928,487799,114794
2011-02-01,544171,114781,3585,826,437026,93823,453270,89809
2011-03-01,691166,126969,4535,912,581912,112982,597825,104337
2011-04-01,691108,123500,4533,900,574842,115420,585492,104909
