Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,335447,12169,27702,469,724267,12967,232644,6333
2002-11-01,387846,15870,29181,561,703437,10839,265093,7347
2002-12-01,407534,15946,29913,585,785685,13970,302120,9243
2003-01-01,418207,16325,30403,590,702147,15188,274068,10030
2003-02-01,395993,15109,28475,539,704287,14504,272205,9622
2003-03-01,449167,16622,31530,605,816169,15993,322771,10305
2003-04-01,432180,16058,30414,587,761170,12956,293072,8365
2003-05-01,449892,16361,30837,599,845868,14416,327226,9116
2003-06-01,455097,16095,31831,589,911952,15620,348091,10111
2003-07-01,492951,16802,33485,612,969833,18691,375689,11998
2003-08-01,512857,16810,34413,608,980165,19017,384398,12215
2003-09-01,507946,16532,33663,590,908686,15467,357185,9763
2003-10-01,529839,18719,34577,635,989330,15881,394731,10709
2003-11-01,512551,20031,34076,678,946546,14481,370553,9726
2003-12-01,528542,22309,35324,739,994144,17237,388912,11777
2004-01-01,536473,23343,35495,742,897539,17798,358347,12646
2004-02-01,507882,20764,33772,683,918200,18352,361856,12909
2004-03-01,549239,21854,36027,733,1014878,17847,407915,12089
2004-04-01,538200,19269,34990,659,964702,17075,386060,11925
2004-05-01,556664,19547,35933,673,1008305,17519,406633,11798
2004-06-01,578484,28216,37180,827,1123201,24176,455338,17937
2004-07-01,640271,30724,40056,862,1221789,29531,496438,22281
2004-08-01,663036,32700,41616,915,1263692,32491,510992,24848
2004-09-01,645697,31354,40283,893,1190535,29009,484137,22200
2004-10-01,663530,44288,40906,1022,1208791,32028,495259,27711
2004-11-01,647600,42634,38932,968,1139372,29276,471860,25776
2004-12-01,663070,42658,40091,1012,1167915,33699,484076,29334
2005-01-01,660443,41723,39602,997,1121385,35333,472497,30434
2005-02-01,647340,44862,37891,1040,1114296,40451,466902,35326
2005-03-01,777564,54624,44005,1217,1362477,44832,587558,40070
2005-04-01,769220,53879,42093,1212,1272624,43654,560553,39252
2005-05-01,801047,56511,43370,1287,1327170,46997,588752,41814
2005-06-01,812662,61609,42917,1268,1408328,48363,640255,45531
2005-07-01,836492,65434,43570,1330,1427783,54281,659437,51643
2005-08-01,854717,67650,44714,1392,1440394,55979,657557,52691
2005-09-01,827804,62037,42485,1262,1332311,48528,610113,45726
2005-10-01,864619,62100,44473,1331,1437788,50042,651241,46193
2005-11-01,808679,63125,42490,1208,1360442,47919,601856,44928
2005-12-01,788395,65394,42003,1250,1391979,48126,615546,45036
2006-01-01,809885,69852,42368,1364,1341396,55339,605952,51716
2006-02-01,777656,67720,39783,1314,1335439,57844,602116,54040
2006-03-01,896980,75683,45406,1466,1613501,64555,735512,60604
2006-04-01,879582,78874,43838,1473,1508669,62683,697948,60845
2006-05-01,915632,83091,45771,1531,1615007,65609,747555,63514
2006-06-01,923028,87817,45857,1597,1672676,67133,782533,65283
2006-07-01,967499,92754,47197,1696,1709162,74794,804452,73360
2006-08-01,955031,93565,47656,1699,1663995,76615,774503,74879
2006-09-01,915901,102839,44416,1766,1520410,77049,711905,77772
2006-10-01,960139,108652,45906,1843,1623763,80310,765549,81183
2006-11-01,936468,101894,43791,1791,1527311,73407,731721,71766
2006-12-01,949070,104660,45061,1836,1529683,79718,724662,78203
2007-01-01,987370,116581,46773,2080,1544510,83057,729116,80916
2007-02-01,915923,105302,42560,1874,1475652,80418,702445,77759
2007-03-01,1090915,117140,49469,2082,1787350,90664,872254,88091
2007-04-01,1072654,115781,47442,2062,1706850,86172,849157,83759
2007-05-01,1145399,118176,49284,2113,1826256,90160,925525,87912
2007-06-01,1181761,122837,50204,2190,1884489,95219,964816,91704
2007-07-01,1241030,128366,52431,2276,1938608,105952,1001359,102130
2007-08-01,1255723,129688,53215,2293,1956432,109763,1006395,105772
2007-09-01,1165212,108713,48737,1951,1722810,87263,878594,83480
2007-10-01,1211616,108709,50799,1949,1817355,88286,925970,84040
2007-11-01,1138382,103022,48175,1884,1690723,83186,849148,78454
2007-12-01,1139108,103916,48436,1861,1612869,83249,816538,79410
2008-01-01,1098406,111963,46480,1930,1502573,85780,758587,82726
2008-02-01,1047816,106808,44029,1822,1509288,91288,767744,88743
2008-03-01,1185346,126289,50037,2165,1784017,105679,913637,103179
2008-04-01,1130258,126344,48112,2161,1641110,100393,839626,98130
2008-05-01,1126476,128526,48234,2222,1701298,103623,863228,100441
2008-06-01,1135033,132073,48778,2340,1741940,101320,883478,97720
2008-07-01,1182783,139039,50805,2478,1827594,119209,924457,114175
2008-08-01,1144805,140680,49484,2493,1772659,124479,888405,118892
2008-09-01,1013577,141097,43697,2531,1554856,102473,783451,98590
2008-10-01,1035328,140996,44442,2562,1622266,107215,821610,101569
2008-11-01,964164,117883,40877,2238,1436085,88482,738741,82700
2008-12-01,1014709,128028,42244,2406,1359952,84614,792792,93909
2009-01-01,1038495,123863,43317,2322,1407515,88936,737049,83329
2009-02-01,972947,112332,40696,2090,1380450,91164,711012,85171
2009-03-01,1099801,121834,46194,2301,1643425,97860,845236,91829
2009-04-01,1069053,115201,44229,2209,1602089,93078,830564,86561
2009-05-01,1091154,119228,44400,2276,1666038,91989,872166,85301
2009-06-01,1178826,131755,47112,2488,1804996,98545,968956,92655
2009-07-01,1237686,146989,48683,2848,1904350,123677,1030443,114911
2009-08-01,1225763,150551,48254,2776,1855255,124845,1000732,119610
2009-09-01,1119559,138499,44913,2596,1688080,103989,886580,99479
2009-10-01,1168943,143015,45965,2752,1786240,111678,945140,103099
2009-11-01,1077600,122935,42003,2337,1585129,91732,843212,84096
2009-12-01,1161699,134515,45475,2529,1702312,103034,907137,95869
2010-01-01,1184709,133065,46972,2466,1641568,101267,864872,94144
2010-02-01,1116069,125269,44331,2320,1610642,106994,841494,99338
2010-03-01,1268847,142503,50859,2642,1956764,118594,1019232,110929
2010-04-01,1208271,152625,48545,2928,1841676,123502,960495,113152
2010-05-01,1248175,161067,49683,3162,1911468,131477,1003705,118710
2010-06-01,1294812,141042,50997,2759,2039120,116656,1076639,106668
2010-07-01,1319479,202513,52483,3907,2098247,168727,1094882,153796
2010-08-01,1330797,198233,52617,3836,2062301,170937,1080522,153707
2010-09-01,1205894,182432,48294,3400,1871146,153086,958081,141158
2010-10-01,1231644,184425,49074,3346,1928310,154744,990042,144459
2010-11-01,1204172,132683,47016,2659,1831376,113423,960012,101270
2010-12-01,1237886,133785,48295,2696,1853267,112800,972195,101092
2011-01-01,1220684,147099,48097,2922,1716213,124296,894975,109279
2011-02-01,1090000,132557,42985,2659,1603432,122298,828167,105900
2011-03-01,1308843,156181,49672,3368,1923090,144783,1029807,121979
2011-04-01,1226478,154378,47087,3159,1800972,135213,954215,117852
2011-05-01,1283759,166839,48375,3333,1932873,145988,1044063,128690
2011-06-01,1346297,167081,50397,3265,2041395,142034,1115749,127551
2011-07-01,1394526,162094,51805,3234,2135560,151321,1171074,135891
2011-08-01,1401797,162152,52781,3265,2123467,153510,1140880,136672
2011-09-01,1224224,159399,46857,3192,1888449,139911,991232,123840
2011-10-01,1260206,167826,47918,3370,1929280,147580,1025284,129106
2011-11-01,1189062,140347,44784,2833,1812962,121661,975005,107194
2011-12-01,1264127,137237,47379,2793,1852495,119098,1004029,104467
2012-01-01,1267467,108950,47613,2154,1770680,94224,956597,83914
2012-02-01,1198765,100263,45666,1989,1746293,92003,922625,80387
2012-03-01,1366433,115042,52556,2303,2111753,105022,1103832,91985
2012-04-01,1269739,110465,49695,2290,2021674,102200,1047333,89034
2012-05-01,1301750,126569,50227,2409,2079625,106316,1094588,98260
2012-06-01,1355912,141949,52273,2671,2192224,125406,1149262,115586
2012-07-01,1439149,130491,54716,2620,2295882,123010,1221399,110573
2012-08-01,1439008,130942,55087,2555,2330441,126069,1223195,114459
2012-09-01,1282295,109933,49649,2074,2054722,97528,1051576,88941
2012-10-01,1343533,122957,51337,2334,2165929,110366,1122881,99350
2012-11-01,1290261,109244,48636,2087,2036978,97808,1068555,86924
2012-12-01,1325885,117740,50780,2175,2062947,104030,1073182,95906
2013-01-01,1311116,125007,50697,2289,1978747,106150,1028067,98700
2013-02-01,1198141,117403,46790,2143,1885644,104963,965500,98144
