Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,8053702,4502478,51504,4798,4830714,792379,5468552,3420170
2002-11-01,7326292,4290445,46067,4525,4348668,712756,4913182,3123800
2002-12-01,7734611,4413386,48260,4684,5069138,777458,5826271,3401489
2003-01-01,7440414,4251615,47193,4580,4369263,732924,5036957,3244510
2003-02-01,6610564,3711828,41776,4018,4102945,603146,4652618,2582588
2003-03-01,7449105,4081684,46287,4464,4843520,689765,5579275,2928777
2003-04-01,6922462,3306998,42749,3748,4536394,517354,5291172,2061464
2003-05-01,6956968,3047861,43390,3858,4699311,587265,5457101,2326031
2003-06-01,7309463,3519090,44730,4238,5038178,728925,5965333,2945565
2003-07-01,7900956,3797397,47409,4658,5400012,812197,6463890,3255914
2003-08-01,7764395,4021751,46975,4796,5223454,839038,6286155,3442881
2003-09-01,6948478,3930761,43644,4387,4265898,754389,4918784,3217067
2003-10-01,7267791,4087500,45746,4500,4688073,766133,5393564,3303343
2003-11-01,6987275,3883162,43582,4135,4391521,723513,5039800,3180032
2003-12-01,7406953,4012112,45727,4322,4742188,771340,5592229,3358109
2004-01-01,7329291,4041490,44862,4373,4155776,732579,4958768,3214201
2004-02-01,6956269,3759566,42416,4124,4197443,669223,4943338,2878770
2004-03-01,7640669,4029509,46260,4439,5029770,793659,5922975,3419885
2004-04-01,7571578,3930045,45207,4343,5022073,744999,6005299,3197289
2004-05-01,7779495,3962634,46183,4414,5120358,772278,6085232,3334650
2004-06-01,7972985,4090322,47229,4678,5604403,856511,6736985,3655457
2004-07-01,8323849,4322893,49445,4934,5833064,878846,7045245,3696660
2004-08-01,8433301,4320189,50306,4924,5818290,876265,6996836,3696924
2004-09-01,7538654,4146340,45137,4615,4803786,806850,5621649,3440610
2004-10-01,7758257,4255615,46690,4700,5099458,789224,5975110,3393360
2004-11-01,6980214,4254887,42781,4496,4602256,734005,5331061,3224771
2004-12-01,7309420,4509027,43953,4897,4781381,813292,5661346,3526809
2005-01-01,6719736,4581028,40487,5139,4229943,832152,5062527,3549785
2005-02-01,6162569,4132704,36947,4642,3907166,721354,4672709,3028973
2005-03-01,6931508,4600290,40525,5137,4725384,906815,5742017,3857941
2005-04-01,6545082,4462606,38477,5076,4385818,837493,5312927,3543396
2005-05-01,6923464,4642202,40666,5098,4749146,882503,5715640,3794645
2005-06-01,7059521,4571210,40624,5054,5052563,942981,6233408,4051833
2005-07-01,7320172,4764971,41718,5277,5113511,956257,6398312,4074981
2005-08-01,7266834,4746153,41723,5252,4964338,949729,6176000,4042994
2005-09-01,6644817,4436142,39059,4752,4338021,843870,5251781,3673257
2005-10-01,6865427,4542946,40481,4932,4608511,840758,5558379,3680012
2005-11-01,6667026,4191723,39500,4445,4465313,769870,5318121,3374544
2005-12-01,7015355,4501083,40621,5028,4613608,845255,5602902,3610180
2006-01-01,6792577,4550372,39616,5225,4284312,852651,5210563,3597995
2006-02-01,6383274,4083398,37062,4738,4113536,740246,4991165,3046941
2006-03-01,7248165,4548358,41874,5275,5008165,922795,6074339,3847701
2006-04-01,7012330,4567054,40349,5262,4835959,895149,5897093,3705100
2006-05-01,7236285,4612466,42131,5274,5030198,920206,6059573,3888976
2006-06-01,7323341,4590253,41610,5429,5228045,986683,6387878,4147279
2006-07-01,7560104,4787748,42593,5787,5333170,1024491,6625071,4219485
2006-08-01,7630131,4787774,43619,5803,5093192,992326,6292118,4076960
2006-09-01,6855865,4512628,40264,5116,4460363,860956,5352700,3703716
2006-10-01,7106676,4610826,41826,5146,4827296,855258,5765685,3708772
2006-11-01,6797264,4413034,40356,5062,4538865,835501,5386904,3549442
2006-12-01,6878187,4633174,39961,5353,4455662,881800,5447589,3715823
2007-01-01,6920766,4633052,40730,5276,4364450,865601,5310625,3705838
2007-02-01,6178485,4148628,35901,4740,4055672,746826,4884559,3122301
2007-03-01,7222563,4658527,41911,5475,5088482,947707,6134043,3980429
2007-04-01,6847500,4671155,39940,5310,4921177,895584,5934996,3776921
2007-05-01,6959093,4873626,41276,5386,5047618,937792,6004346,4036850
2007-06-01,6938726,4883255,40370,5538,5136177,1010445,6254623,4304928
2007-07-01,7225382,5065445,41793,5767,5165814,1037716,6369350,4389538
2007-08-01,7268243,5081348,42221,5768,5157349,1023499,6370598,4309999
2007-09-01,6430653,4802857,38698,5137,4297104,896710,5107924,3927409
2007-10-01,6748986,4890797,40600,5289,4687662,895672,5535540,3927201
2007-11-01,6441894,4667060,38337,4999,4345102,835657,5184783,3660691
2007-12-01,6539046,5020799,37883,5476,4132676,915739,5085683,4012794
2008-01-01,6159360,5046114,36672,5574,3814616,885930,4642915,3922660
2008-02-01,6017335,4738584,35408,5209,3853886,791670,4627283,3367386
2008-03-01,6831218,5107928,39680,5630,4696223,978600,5698795,4191055
2008-04-01,6383422,4958699,38296,5452,4471328,890892,5358311,3795105
2008-05-01,6562811,5128712,39291,5497,4651223,946139,5555673,4110630
2008-06-01,6769245,5023299,39314,5534,4862311,984198,5955533,4252943
2008-07-01,7012118,5141941,40267,5723,4905103,1009938,6070225,4288995
2008-08-01,6874654,5128818,39694,5777,4854058,1004594,5934899,4231944
2008-09-01,5719255,4557697,34238,4878,3973826,814961,4631948,3583811
2008-10-01,5871279,4610729,35313,4903,4246756,809606,4955597,3587846
2008-11-01,5338991,4176479,30843,4506,3550947,706184,4240446,3097728
2008-12-01,5627456,4435746,31894,4907,3781104,798584,4601628,3441569
2009-01-01,5390096,4419013,30875,4917,3379371,756261,4170387,3288960
2009-02-01,5156931,3814369,29456,4376,3260853,630223,3989682,2601163
2009-03-01,6007634,4429983,33946,4977,4083279,789119,4990701,3297640
2009-04-01,5578820,4533417,30970,5035,3834934,793987,4761610,3381999
2009-05-01,5640372,4606171,31517,4749,3905735,772120,4803513,3456239
2009-06-01,5950322,4567435,32563,4918,4213529,868922,5297987,3861821
2009-07-01,6218525,4753988,33582,5175,4400040,943272,5544837,4104149
2009-08-01,6154739,4740645,33285,5158,4289258,953737,5415819,4104198
2009-09-01,5294649,4342859,29685,4445,3554837,790828,4369568,3561753
2009-10-01,5523436,4283026,30299,4391,3805704,773793,4723025,3521149
2009-11-01,5153276,3820738,27613,4005,3369503,670795,4216980,3068219
2009-12-01,5436326,3984063,28448,4318,3473568,758154,4434773,3388967
2010-01-01,5492362,4144835,27713,4541,3256750,746340,4290729,3361683
2010-02-01,4730286,3492987,24772,3912,2998199,625452,3839273,2689848
2010-03-01,5687965,4173049,29373,4632,3781975,795355,4863510,3459156
2010-04-01,5448092,4204420,28081,4237,3594361,725217,4637074,3284971
2010-05-01,5555556,4742679,28740,4665,3724578,859352,4762783,3911490
2010-06-01,5718062,4703100,29090,4692,3924482,908091,5124134,4156050
2010-07-01,5997361,4956592,30224,4973,4019575,952962,5336092,4314344
2010-08-01,5985876,4920127,30444,4866,4030843,936221,5317550,4266071
2010-09-01,5276893,4634389,27980,4362,3498724,836388,4445195,3951372
2010-10-01,5544207,4728498,29057,4535,3754131,830069,4797862,3896524
2010-11-01,5234863,4102328,27263,4133,3397281,709283,4360023,3289987
2010-12-01,5292675,4404326,27172,4597,3326001,800610,4376408,3655025
2011-01-01,4942003,4425767,25702,4738,3012378,770944,3974575,3528506
2011-02-01,4512970,3869932,23216,4242,2809725,638719,3694058,2808000
2011-03-01,5378343,4464386,27359,5053,3449670,811046,4590165,3459643
2011-04-01,5044589,4665668,25052,5117,3230000,828484,4348383,3602851
2011-05-01,5095952,4841503,25809,5052,3382600,894944,4476890,4017126
2011-06-01,5527025,4808381,27382,4942,3664079,932071,4970369,4177370
2011-07-01,5785744,5090547,28530,5227,3822906,999916,5240396,4413107
2011-08-01,5627182,5048810,28180,5051,3715505,959619,5012380,4307624
2011-09-01,4757445,4740951,24571,4629,3171710,857955,4145094,3935522
2011-10-01,4894523,4799817,25040,4672,3269782,832614,4287064,3858907
2011-11-01,4484418,4167590,22893,4204,2952856,737461,3874019,3290456
