Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2007-08-01,61508,,361,,38743,,48734,
2007-09-01,155010,,668,,53538,,82464,
2007-10-01,217702,,954,,82461,,129308,
2007-11-01,243343,,1142,,98238,,150132,
2007-12-01,262752,,1252,,110479,,169914,
2008-01-01,261528,,1235,,96186,,145761,
2008-02-01,252662,,1298,,99300,,135324,
2008-03-01,314981,,1700,,165984,,224723,
2008-04-01,342302,,1975,,198444,,251091,
2008-05-01,387329,,2205,,232562,,303713,
2008-06-01,421412,,2286,,241157,,337764,
2008-07-01,466390,,2536,,277212,,382500,
2008-08-01,454538,,2472,,270781,,373345,
2008-09-01,374795,,2068,,227589,,298405,
2008-10-01,388982,,2144,,227589,,311736,
2008-11-01,384758,,2142,,243626,,310096,
2008-12-01,407836,,2260,,256754,,337712,
2009-01-01,411979,,2263,,204830,,280118,
2009-02-01,435274,,2236,,219244,,310909,
2009-03-01,551174,,2724,,289980,,430935,
2009-04-01,532452,,2560,,287467,,453127,
2009-05-01,549022,,2851,,303979,,463144,
2009-06-01,561594,,2899,,312117,,486262,
2009-07-01,595750,,3057,,346525,,521406,
2009-08-01,617648,,3086,,358611,,541639,
2009-09-01,554855,,2776,,322286,,469117,
2009-10-01,563862,,2824,,329941,,477164,
2009-11-01,570803,,2825,,326476,,474693,
2009-12-01,600102,,2941,,342469,,512655,
2010-01-01,599118,,2870,,287612,,438901,
2010-02-01,533314,,2651,,266294,,399322,
2010-03-01,638066,,3161,,329083,,504876,
2010-04-01,619202,,3005,,319637,,495581,
2010-05-01,636818,,3017,,316771,,508392,
2010-06-01,617972,8443,2849,31,324952,1849,534429,4094
2010-07-01,638163,32729,2918,124,328068,10190,544160,22602
2010-08-01,639051,32729,2911,124,337104,11853,555132,26274
2010-09-01,573130,31819,2619,120,290782,8163,474867,18086
2010-10-01,618653,39980,2854,124,326393,10015,525192,22191
2010-11-01,648985,37014,3007,112,350722,9037,556398,20046
2010-12-01,664593,42237,3099,141,349367,13208,558501,27374
2011-01-01,675922,49154,3114,177,296484,11672,491840,23486
2011-02-01,609877,53217,2810,188,289719,16234,464633,33491
2011-03-01,722762,62801,3275,218,356926,22977,584668,47516
2011-04-01,738439,33035,3397,129,375063,13570,598366,26023
2011-05-01,797021,29303,3645,120,416601,11636,656065,21889
2011-06-01,819163,31719,3757,128,447883,14479,702815,25399
2011-07-01,856989,33270,3885,134,458884,15809,728912,28091
2011-08-01,829231,32758,3809,132,452311,15047,707535,26781
2011-09-01,800322,23078,3639,94,417803,9085,662474,16113
2011-10-01,829808,21299,3772,89,426301,10159,685197,16985
2011-11-01,839900,25170,3839,102,429326,10445,684122,18427
2011-12-01,891930,46996,4045,198,469436,18479,741945,31389
2012-01-01,885261,41699,4062,170,438385,14754,692147,25920
2012-02-01,843902,39102,3837,160,431731,13912,683458,24374
2012-03-01,959027,43300,4349,178,509093,18150,809346,31158
2012-04-01,998680,41415,4435,170,501030,18400,806230,31686
2012-05-01,1062838,42523,4715,176,513762,17571,835658,30331
2012-06-01,1049890,42172,4744,173,530241,19347,843043,33053
2012-07-01,1102410,43012,5025,178,551192,19836,877022,34290
2012-08-01,1125969,42684,5053,173,583251,17305,931787,30418
2012-09-01,1037939,23183,4627,96,507043,8848,804464,15475
2012-10-01,969719,24052,4418,102,493848,10880,786447,17800
2012-11-01,1006141,32913,4545,138,474620,14631,749808,24941
2012-12-01,1011714,45212,4646,192,485322,19762,767758,33798
2013-01-01,911512,29183,4229,122,410096,11580,651247,20126
2013-02-01,788558,24339,3725,98,394051,9398,598996,16631
2013-03-01,912928,28890,4292,116,499052,12134,781359,21526
2013-04-01,1017656,25416,4554,106,525044,11711,848749,20292
2013-05-01,1066436,27569,5127,110,574579,12301,885314,21551
2013-06-01,1082282,33566,5097,136,588676,16239,920276,27484
2013-07-01,1114550,33995,5279,138,584720,16147,920116,27511
2013-08-01,1081581,28976,5203,116,574251,13370,890046,23216
2013-09-01,963832,20287,4761,80,484463,7484,737813,13519
2013-10-01,992584,22891,4927,92,528050,10968,800231,18977
2013-11-01,960551,28255,4720,114,462074,12369,698137,21399
2013-12-01,1020947,27439,4961,112,545807,12747,836366,21737
2014-01-01,950179,25132,4752,102,478248,10557,726469,18102
