Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,6006555,,81876,,6063128,,3754364,
2002-11-01,5681559,,76818,,5598102,,3439403,
2002-12-01,5899788,,79481,,6104562,,3891291,
2003-01-01,5991225,,80620,,5484294,,3474326,
2003-02-01,5382904,,72108,,5357402,,3363428,
2003-03-01,6027126,,80362,,6327876,,4059191,
2003-04-01,5909157,,78676,,6133270,,3935024,
2003-05-01,6050221,,79998,,6537711,,4189524,
2003-06-01,5937934,,78862,,6775552,,4427485,
2003-07-01,6127338,,81282,,7132410,,4750318,
2003-08-01,6119325,,80940,,6833522,,4480716,
2003-09-01,5960957,,78702,,5742239,,3602650,
2003-10-01,6238401,,81970,,6274120,,3968193,
2003-11-01,5904969,,76596,,6006885,,3762069,
2003-12-01,6154327,,79822,,6114059,,3935309,
2004-01-01,6148886,,79508,,5358000,,3456658,
2004-02-01,5883000,,76342,,5746587,,3660185,
2004-03-01,6353296,,82634,,7085817,,4676795,
2004-04-01,6150773,,79876,,7115636,,4689118,
2004-05-01,6340534,,81437,,7139114,,4681633,
2004-06-01,6286798,,81100,,7373298,,4956418,
2004-07-01,6547405,,83700,,7620805,,5197468,
2004-08-01,6643194,,84944,,7357694,,4986682,
2004-09-01,6299602,,80357,,6124253,,3981300,
2004-10-01,6761369,,85083,,6891715,,4504693,
2004-11-01,6559565,,81138,,6632597,,4293323,
2004-12-01,6902921,,85555,,6620522,,4339381,
2005-01-01,6819544,,84320,,6034434,,4005174,
2005-02-01,6311432,,77736,,6078587,,3997623,
2005-03-01,7106615,,87097,,7667725,,5236541,
2005-04-01,6962595,,84345,,7125282,,4807554,
2005-05-01,7244760,,87625,,7774165,,5241698,
2005-06-01,7133855,,86364,,7878213,,5432516,
2005-07-01,7379498,,88481,,8483943,,5960400,
2005-08-01,7456473,,89712,,8125680,,5671942,
2005-09-01,7031849,,83745,,6986126,,4734562,
2005-10-01,7316987,,87122,,7563804,,5147509,
2005-11-01,7051185,,84104,,7406146,,4998833,
2005-12-01,7383104,,88152,,7255795,,4994635,
2006-01-01,7507719,,89547,,6860099,,4759328,
2006-02-01,6850387,,81336,,6818257,,4689999,
2006-03-01,7723677,,91567,,8337128,,5832625,
2006-04-01,7471419,,88619,,8130739,,5734094,
2006-05-01,7762000,,91855,,8488998,,5959988,
2006-06-01,7653128,,90475,,8687121,,6151375,
2006-07-01,7963876,,93312,,8763788,,6330623,
2006-08-01,8091256,,95199,,8657863,,6241206,
2006-09-01,7733114,,90528,,7458995,,5196914,
2006-10-01,8134336,,95524,,8140077,,5699554,
2006-11-01,7788504,,91210,,8064562,,5594810,
2006-12-01,7992104,,93171,,7869280,,5507054,
2007-01-01,8120276,,94752,,7284949,,5179612,
2007-02-01,7257974,,85027,,6987064,,4845967,
2007-03-01,8299782,,97124,,8631060,,6084978,
2007-04-01,8188976,,95668,,8434977,,5922529,
2007-05-01,8471785,,98504,,8929948,,6268874,
2007-06-01,8316418,,96476,,9524499,,6829087,
2007-07-01,8651642,,100278,,9657817,,7049832,
2007-08-01,8743212,,101411,,9605342,,6996146,
2007-09-01,8332777,,96102,,7979454,,5641492,
2007-10-01,8566372,,99783,,8524011,,6034766,
2007-11-01,8290441,,97326,,8271795,,5743016,
