Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2824495,1195044,33127,2225,2996724,245186,2013396,809409
2002-11-01,2679971,1123049,31504,2227,2826112,237832,1890579,766606
2002-12-01,2762865,1093904,32371,2302,3085834,257836,2134968,809230
2003-01-01,2794855,1089678,33041,2304,2686976,234276,1858455,736141
2003-02-01,2458733,904631,29104,1956,2554385,199800,1738958,602275
2003-03-01,2771575,1054498,33096,2233,3044047,235164,2058733,744490
2003-04-01,2641404,982574,31552,2084,2836458,215476,1934917,665274
2003-05-01,2724648,957978,32354,2020,2992648,237657,2078197,764685
2003-06-01,2820508,999403,33042,2149,3171845,283484,2272707,858538
2003-07-01,2914935,1039964,34162,2129,3326522,273685,2421544,814358
2003-08-01,2995179,1079702,35072,2208,3220210,269301,2372623,842048
2003-09-01,2865909,1019637,34141,2116,2712924,226395,1943370,765776
2003-10-01,2986377,1016895,35920,2172,3155206,239634,2218712,751959
2003-11-01,2876372,1024391,34343,2182,2933540,238648,2087572,778299
2003-12-01,2989055,1055408,35570,2273,3076441,272171,2263229,858875
2004-01-01,3004340,1040436,35511,2255,2747324,238932,2018387,761526
2004-02-01,2832634,943708,33737,2084,2776004,212972,1968010,642010
2004-03-01,3126430,1017271,37113,2258,3286980,266879,2363857,830621
2004-04-01,3023658,1097606,35983,2312,3200608,269769,2282201,852676
2004-05-01,3111544,1198082,36776,2450,3247361,300308,2343837,989846
2004-06-01,3075431,1160492,35916,2411,3382186,326807,2515609,1023372
2004-07-01,3184682,1205804,36990,2496,3498461,326822,2651488,986803
2004-08-01,3203010,1238329,37301,2479,3266995,298990,2466190,953805
2004-09-01,2939316,1132210,33879,2234,2651899,259317,1990808,872051
2004-10-01,3114521,1102002,36579,2341,3225533,265815,2312590,836235
2004-11-01,2996866,1039783,34792,2236,3105930,255184,2240185,783476
2004-12-01,3110630,1163731,35741,2449,3203559,302385,2378839,930723
2005-01-01,2986930,1156109,34181,2437,2878422,275475,2144281,849991
2005-02-01,3004856,1005971,34051,2155,2872057,242807,2132177,719810
2005-03-01,3364896,1148940,38110,2449,3557423,305175,2656747,916699
2005-04-01,3289887,1145281,37465,2359,3360270,289905,2488731,899855
2005-05-01,3399578,1286177,39385,2513,3497075,331551,2618188,1086485
2005-06-01,3293972,1292632,37606,2461,3521952,346349,2703047,1128543
2005-07-01,3380777,1356742,37835,2539,3604111,338294,2828531,1082529
2005-08-01,3380185,1367215,37898,2540,3375819,307897,2662693,1015191
2005-09-01,2990840,1279012,33804,2377,2868340,288269,2216274,977787
2005-10-01,3095924,1243838,35685,2382,3052116,278689,2298867,911631
2005-11-01,2962089,1185669,34137,2264,2991120,272312,2260808,870662
2005-12-01,3018218,1297112,34671,2577,3060904,339148,2378748,1026352
2006-01-01,2935653,1284247,34189,2553,2825100,293530,2176880,917354
2006-02-01,2653208,1127161,31273,2272,2695120,263476,2039956,795056
2006-03-01,3084595,1347710,36212,2742,3346864,356918,2546953,1084983
2006-04-01,2952662,1371819,34816,2700,3092980,335459,2340219,1047242
2006-05-01,2978391,1499735,35713,2792,3155950,377609,2403388,1263086
2006-06-01,3058310,1621544,36007,3067,3319604,438588,2619907,1443865
2006-07-01,3199187,1664735,37896,3206,3440481,415576,2760633,1312547
2006-08-01,3249212,1604503,38527,3107,3179002,368908,2571217,1208852
2006-09-01,2971033,1470360,35398,2671,2748243,314231,2143244,1128882
2006-10-01,3112086,1419120,37695,2671,3166004,297524,2399084,1021578
2006-11-01,3024810,1232830,36642,2624,3100776,305643,2335814,946950
2006-12-01,2973742,1353546,35958,2913,3027458,374982,2315677,1087557
2007-01-01,2878814,1388775,34841,2899,2744136,332738,2118867,1017321
2007-02-01,2625037,1241422,31754,2638,2642977,302883,2010332,890826
2007-03-01,3026838,1420188,36141,3021,3347887,393886,2528458,1195503
2007-04-01,2910686,1402616,35188,2880,3222845,348740,2416588,1093055
