Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1177654,518611,13886,1621,861825,155046,817631,401684
2002-11-01,1075673,394909,12108,1373,723987,120735,665350,302988
2002-12-01,1067345,396729,11919,1359,773015,121996,762872,311077
2003-01-01,1071938,397283,12074,1378,619641,102780,606688,262821
2003-02-01,913113,350106,10181,1175,641163,98632,621249,245145
2003-03-01,1070313,409249,12172,1374,752282,119039,715743,296426
2003-04-01,1036993,425154,11732,1283,769225,112652,728797,289828
2003-05-01,1047745,407325,12302,1218,778831,126736,736497,333275
2003-06-01,1090176,496110,13179,1477,841934,165853,808343,441700
2003-07-01,1139346,544992,14316,1676,878637,166952,867143,422257
2003-08-01,1140839,554567,14230,1667,902448,177033,894896,462123
2003-09-01,1068169,511407,13113,1545,724179,146858,679499,397047
2003-10-01,1147877,486264,13084,1577,896617,149739,857674,388517
2003-11-01,1093790,413202,11631,1379,771457,126356,738639,323913
2003-12-01,1078439,402037,11207,1314,783575,130342,799322,327875
2004-01-01,1147474,412887,11673,1288,664078,106611,696802,274877
2004-02-01,1156425,381086,11683,1185,776275,105281,791004,257814
2004-03-01,1303031,454751,12790,1431,877732,143866,915028,365661
2004-04-01,1324310,483494,13002,1470,952022,145874,976088,369355
2004-05-01,1345351,545531,13352,1566,893518,163598,934289,428550
2004-06-01,1383503,550887,14367,1581,987918,182301,1039608,484636
2004-07-01,1424528,602240,15523,1743,1008852,183432,1095324,473239
2004-08-01,1443963,605079,15871,1769,1044857,191579,1138860,496554
2004-09-01,1256762,552802,14246,1546,837616,166226,854628,446974
2004-10-01,1343793,522275,14226,1495,1012673,162212,1035970,425060
2004-11-01,1259681,400272,13092,1274,894009,128991,896348,322022
2004-12-01,1281244,411316,12880,1287,867802,131449,903823,330265
2005-01-01,1168292,403573,11780,1265,733148,117527,786253,294907
2005-02-01,1152920,396412,11888,1242,816257,115347,843260,280128
2005-03-01,1274705,447876,13323,1360,949957,141720,980987,351159
2005-04-01,1293197,514744,13765,1464,997140,156546,996922,404962
2005-05-01,1342469,581658,14600,1706,967626,180087,992709,476712
2005-06-01,1284058,573698,14432,1698,995524,192300,1024657,502217
2005-07-01,1313255,604864,15353,1763,1045969,191669,1108433,503250
2005-08-01,1314768,592084,15602,1721,1034299,189526,1090155,493573
2005-09-01,1237386,546886,14141,1589,884211,173570,896166,462308
2005-10-01,1258934,523551,13257,1466,972251,163970,1007733,430510
2005-11-01,1271888,421692,12830,1243,933461,132287,953354,336548
2005-12-01,1268076,433872,12508,1177,885114,133726,939943,345276
2006-01-01,1227615,427952,12461,1153,790551,113711,843969,289139
2006-02-01,1117370,395843,11552,1078,840925,111792,859043,275776
2006-03-01,1323465,465320,13618,1325,1017642,147291,1045137,365241
2006-04-01,1303641,500002,13318,1325,1031780,154929,1051814,394653
2006-05-01,1278265,550174,13627,1411,984342,167619,998915,444354
2006-06-01,1252394,547986,13983,1464,1022824,182709,1041506,489976
2006-07-01,1294532,597341,15207,1606,1053820,183087,1094797,488284
2006-08-01,1319808,585363,15785,1655,1059102,181167,1091027,476031
2006-09-01,1224241,644790,14269,1601,881299,188417,880748,526692
2006-10-01,1297251,549756,14345,1491,1045018,157827,1042226,422852
2006-11-01,1241904,389540,13301,1201,973249,124199,954398,312694
2006-12-01,1281871,408352,12947,1210,925937,127902,954650,327388
2007-01-01,1282168,395482,13284,1228,819055,109257,854859,275361
2007-02-01,1151095,363050,11606,1093,837892,103938,866495,257697
2007-03-01,1334556,425195,13579,1283,1028402,140975,1061087,351303
