Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,808382,53632,9543,279,759486,16418,565025,36480
2002-11-01,733320,47575,8757,258,687435,15603,502976,31066
2002-12-01,767914,51960,8912,255,730522,17237,557010,36857
2003-01-01,778589,53006,9198,246,634628,15912,494919,32303
2003-02-01,643013,43664,7601,214,557207,11668,435629,27019
2003-03-01,791104,50540,9470,233,733863,12042,561203,32740
2003-04-01,794165,75647,9288,281,774625,20702,592889,52313
2003-05-01,828619,74726,9425,135,832023,20468,630790,55234
2003-06-01,838249,77132,9312,256,871736,26438,670616,63344
2003-07-01,877616,76770,9551,319,947011,30010,739539,64799
2003-08-01,875773,74716,9557,273,915598,26801,709537,58128
2003-09-01,808208,65316,8881,266,702147,18223,532508,44449
2003-10-01,872288,69809,9604,283,839758,20220,636045,46229
2003-11-01,813407,63320,9013,263,769831,20122,580139,46760
2003-12-01,876518,66613,9399,266,785671,22096,624893,49382
2004-01-01,853697,73193,9279,273,665107,21154,540810,44786
2004-02-01,820557,67450,9005,273,680981,21242,543555,43449
2004-03-01,901601,76197,9836,311,839783,27155,680085,56887
2004-04-01,885085,74088,9585,267,891049,25751,709854,56165
2004-05-01,914674,82907,9842,295,881777,28411,691008,62768
2004-06-01,916535,82047,9774,323,919633,34619,732301,72875
2004-07-01,948038,91566,9939,352,926764,37574,753595,77325
2004-08-01,944421,85932,9985,349,868448,32949,714749,65491
2004-09-01,884438,61920,9400,227,684488,18863,562057,46541
2004-10-01,954259,68597,10126,255,791568,21879,645635,49543
2004-11-01,890516,63409,9623,254,750074,21519,595972,48124
2004-12-01,930927,53447,9995,263,736608,20240,604919,38792
2005-01-01,877042,59300,9555,273,657081,20620,545778,37881
2005-02-01,812122,49238,8934,248,623824,18230,508106,30674
2005-03-01,915884,62243,10122,289,829091,28030,675651,48287
2005-04-01,883265,58317,9839,265,760322,22786,602996,41500
2005-05-01,925445,59521,10190,268,827159,25056,656638,49164
2005-06-01,892423,58831,9845,276,857906,29257,693134,54292
2005-07-01,919387,62290,10068,291,923948,29618,750741,54665
2005-08-01,913047,61386,10110,292,884631,25812,712980,47355
2005-09-01,846899,53661,9449,266,748977,18560,586873,39280
2005-10-01,876228,51999,9898,255,803520,18434,635099,35905
2005-11-01,835742,50115,9545,245,792497,20091,621033,38324
2005-12-01,869226,57256,9559,261,754393,22352,618963,43953
2006-01-01,864161,58606,9569,285,682569,18505,568766,36498
2006-02-01,753527,53618,8414,259,668578,17880,547014,32784
2006-03-01,867940,61313,9656,290,845045,22991,683093,43654
2006-04-01,845141,62014,9421,292,861547,25210,690251,48348
2006-05-01,885296,60921,9791,281,896073,24508,713176,49680
2006-06-01,878473,64694,9763,272,936021,28005,748529,57713
2006-07-01,904122,54290,10097,259,941075,26392,759449,44802
2006-08-01,916347,67232,10195,281,917510,25985,740485,49245
2006-09-01,872112,81898,9723,284,774979,25279,620891,60298
