Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,746264,96278,15410,426,893520,37057,488777,66939
2002-11-01,712030,108893,14630,504,849925,44946,455772,79673
2002-12-01,675432,111090,14086,519,891351,44757,483193,80364
2003-01-01,675366,112197,13593,567,712522,45508,398068,75844
2003-02-01,614050,99676,12336,508,716877,45817,399194,71250
2003-03-01,724892,119573,14919,610,921831,58422,511297,92332
2003-04-01,694185,126806,14180,596,884202,57613,484646,97344
2003-05-01,742327,134612,15385,632,939978,62511,519283,107443
2003-06-01,759071,133391,15346,659,957352,68498,556097,113020
2003-07-01,787580,137742,16003,689,1022775,70493,601434,112858
2003-08-01,789011,136543,16048,688,972861,70459,573774,113244
2003-09-01,726754,112731,14848,538,772265,41325,441527,79185
2003-10-01,788710,116159,16015,552,957982,50201,545448,88920
2003-11-01,750545,132911,14522,661,909006,61363,515378,106499
2003-12-01,773953,141591,15023,701,935284,65075,545788,109417
2004-01-01,773784,145133,14827,705,789665,60169,467467,98384
2004-02-01,731904,146543,14131,716,810037,66591,473745,102420
2004-03-01,798287,165805,15610,805,1001728,79177,581125,130745
2004-04-01,780134,195451,15349,781,1031492,82112,593078,153584
2004-05-01,774438,203875,15459,811,989577,80781,565240,162269
2004-06-01,766722,194806,15148,795,1025136,84662,598637,164598
2004-07-01,790961,201856,15554,825,1072443,85282,634301,152141
2004-08-01,803662,199141,15767,812,986320,78255,587531,145712
2004-09-01,774333,163158,15292,571,841196,49996,501648,117662
2004-10-01,835657,166712,16575,574,1044518,56802,605576,120732
2004-11-01,825613,175890,16288,672,1002336,66371,580374,131521
2004-12-01,845283,180726,16728,712,995971,72455,590399,134836
2005-01-01,832050,179729,16452,741,904022,70359,541247,130276
2005-02-01,840530,173644,16329,712,946443,74190,560171,123581
2005-03-01,960638,209648,18688,821,1230758,96729,728098,172234
2005-04-01,928547,209877,18176,804,1133711,86576,656582,160631
2005-05-01,940027,208228,18805,831,1171461,87904,677004,166225
2005-06-01,934391,216187,18510,883,1197573,100606,709360,185124
2005-07-01,952188,226317,18805,917,1227641,97893,734395,172078
2005-08-01,937757,217765,18754,865,1104714,82493,657968,152658
2005-09-01,855067,178724,17305,641,977628,58052,574663,123039
2005-10-01,878678,171654,17848,596,1076467,60149,629483,123260
2005-11-01,843301,166538,17192,651,1032786,65827,599520,128670
2005-12-01,859630,190152,17478,767,1008629,79534,597119,143552
2006-01-01,837086,207136,17172,834,937852,79027,563588,138739
2006-02-01,749717,191715,15594,757,964428,78355,560364,130421
2006-03-01,845353,220145,17585,864,1206871,100837,691724,171571
2006-04-01,820388,230284,16981,878,1173745,99238,674861,179130
2006-05-01,877686,213630,17756,816,1228585,92029,724191,174076
2006-06-01,849265,210596,17119,814,1212563,97281,724300,182835
2006-07-01,880357,222117,17856,865,1229298,94776,743855,170235
