Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,139208,,3926,,255456,,83050,
2002-11-01,128605,,3623,,221827,,72930,
2002-12-01,131902,,3693,,225267,,76683,
2003-01-01,136371,,3821,,211866,,68552,
2003-02-01,121182,,3400,,206489,0,66523,
2003-03-01,134532,,3768,,240075,1,79359,
2003-04-01,134225,,3759,,228709,1,74401,
2003-05-01,134210,,3741,,241871,1,79016,
2003-06-01,130456,,3626,,241352,0,79236,
2003-07-01,134372,,3749,,243380,,80996,
2003-08-01,131815,,3667,,233078,,76500,
2003-09-01,131306,,3658,,227675,0,73125,
2003-10-01,138847,,3869,,257163,0,83226,
2003-11-01,125003,,3475,,230671,,74899,
2003-12-01,131445,,3656,,226561,,75219,
2004-01-01,130387,,3637,,199200,,63504,
2004-02-01,124945,,3484,,219540,,69807,
2004-03-01,137774,,3841,,262704,,85512,
2004-04-01,131449,,3704,,257502,0,83040,
2004-05-01,129867,,3647,,254524,,82963,
2004-06-01,129945,,3629,,253764,,82925,
2004-07-01,132216,,3701,,252907,,83111,
2004-08-01,137243,,3819,,242849,,77990,
2004-09-01,131813,,3652,,238457,,75372,
2004-10-01,136032,,3757,,264849,,84745,
2004-11-01,123704,,3427,,247890,,79265,
2004-12-01,132169,,3649,,243220,,79997,
2005-01-01,130564,,3582,,215841,,69699,
2005-02-01,119567,,3287,,225356,2,73049,
2005-03-01,133565,,3684,,273805,0,90349,
2005-04-01,125588,,3475,,252733,0,81728,
2005-05-01,128748,,3555,,264271,0,86800,
2005-06-01,126174,,3501,,261590,1,85870,
2005-07-01,124772,,3435,,260549,1,87474,
2005-08-01,127283,,3533,,245654,,80027,
2005-09-01,112484,,3181,,215120,0,68231,
2005-10-01,117352,,3365,,251479,1,79074,
2005-11-01,115323,,3251,,238536,0,76586,
2005-12-01,131634,,3533,,237282,0,80518,
2006-01-01,138227,,3654,,228582,,76558,
2006-02-01,124066,,3337,,237548,,78547,
2006-03-01,154925,,4207,,304949,0,103587,
2006-04-01,149887,,4046,,284129,,96834,
2006-05-01,156324,,4212,,307690,0,105630,
2006-06-01,153285,,4157,,307563,1,107533,
2006-07-01,152698,,4139,,291806,,104769,
2006-08-01,157709,,4292,,277577,,96984,
2006-09-01,148632,,4024,,265520,,91639,
2006-10-01,164527,,4382,,301966,,106102,
2006-11-01,158704,,4170,,309795,,110102,
2006-12-01,162797,,4250,,309976,0,112077,
2007-01-01,160540,,4236,,269527,,96735,
2007-02-01,147834,,3945,,277002,,97141,
2007-03-01,174593,,4525,,350428,,126841,
2007-04-01,171762,,4486,,339434,2,123295,
2007-05-01,174130,,4585,,355462,,129752,
2007-06-01,173209,,4491,,367642,,137265,
2007-07-01,178683,,4648,,359009,,136589,
2007-08-01,182087,,4763,,353214,2,132836,
2007-09-01,166858,,4344,,306100,0,112742,
2007-10-01,177910,,4663,,338107,,123516,
2007-11-01,175532,,4536,,333007,,123033,
2007-12-01,177892,,4530,,321029,,120863,
2008-01-01,182439,,4656,,301097,,111804,
2008-02-01,168726,,4291,,304962,,110021,
2008-03-01,184430,,4583,,353148,,133556,
2008-04-01,187179,,4680,,350172,,131094,
2008-05-01,188407,,4652,,365967,,137756,
2008-06-01,187327,,4653,,383228,,145724,
2008-07-01,191036,,4503,,370441,,143449,
2008-08-01,187251,,4397,,346077,,132450,
2008-09-01,175145,,4033,,289048,,109467,
2008-10-01,189115,,4394,,349009,,130960,
2008-11-01,172104,,4043,,296059,,112811,
2008-12-01,176928,,4155,,307750,,120846,
2009-01-01,175565,,4113,,266666,,102773,
2009-02-01,161986,,3802,,278738,,104843,
2009-03-01,184639,,4247,,328697,,128985,
2009-04-01,178501,,4089,,308203,,120018,
2009-05-01,177850,,4072,,305025,,118853,
2009-06-01,171804,,3935,,328010,,127919,
2009-07-01,176567,,4071,,336191,,132288,
2009-08-01,172577,,3992,,301338,,116559,
2009-09-01,164334,,3806,,287193,,109716,
2009-10-01,170935,,3958,,320621,,123804,
2009-11-01,165539,,3821,,302467,,117256,
2009-12-01,168520,,3850,,299065,,117705,
2010-01-01,165695,,3742,,270124,,104565,
2010-02-01,148984,,3412,,255456,,97104,
2010-03-01,173646,,3983,,325930,,126571,
2010-04-01,169342,,3876,,320428,,122952,
2010-05-01,169511,,3868,,326544,,123383,
2010-06-01,169427,,3891,,342737,,129566,
2010-07-01,170435,,3908,,342528,,131541,
2010-08-01,173003,,3950,,317632,,121526,
2010-09-01,162806,,3692,,298034,,112920,
2010-10-01,167947,,3812,,332076,,126736,
2010-11-01,164468,,3702,,315180,,122788,
2010-12-01,169037,,3811,,322734,,128138,
2011-01-01,170017,,3825,,301717,,116901,
2011-02-01,142857,,3195,,262770,,100010,
2011-03-01,173911,,3924,,334463,,128968,
2011-04-01,164753,,3724,,308840,,119279,
2011-05-01,174061,,3911,,339230,,132688,
2011-06-01,174865,,3909,,343112,,134288,
2011-07-01,174274,,3937,,332795,,131373,
2011-08-01,177516,,4093,,321120,,124554,
2011-09-01,165321,,3824,,311898,,120122,
2011-10-01,170736,,3951,,330349,,128960,
2011-11-01,164319,,3784,,328163,5,127809,
2011-12-01,169568,,3893,,323784,,128814,
2012-01-01,171254,,3946,,301549,,116936,
2012-02-01,161932,,3749,,299907,,113322,
2012-03-01,175304,,4035,,337111,,131643,
2012-04-01,169859,,3881,,324507,,125042,
2012-05-01,175092,,4011,,338780,,130357,
2012-06-01,169366,,3871,,336984,,133102,
2012-07-01,176519,,4012,,334698,,133568,
2012-08-01,173164,,3963,,326425,,126437,
2012-09-01,163314,,3716,,303855,,116167,
2012-10-01,173706,,4029,,347611,,133501,
2012-11-01,165225,,3770,,324511,,124268,
2012-12-01,166977,,3770,,311927,,121149,
2013-01-01,172285,,3916,,286723,,108293,
2013-02-01,155939,,3528,,285041,,106356,
2013-03-01,178910,,4068,,337587,,129065,
2013-04-01,180267,,4064,,329688,,124695,
2013-05-01,184703,,4129,,352625,,134981,
2013-06-01,176307,,3949,,362637,,140715,
2013-07-01,183253,,4109,,359851,,140024,
2013-08-01,180451,,4052,,339200,,130728,
2013-09-01,171086,,3832,,323685,,122877,
2013-10-01,181833,,4047,,361598,,135461,
2013-11-01,167719,,3681,,326522,,124577,
2013-12-01,171162,,3717,,342057,,133285,
2014-01-01,172468,,3791,,309904,,117958,
2014-02-01,157387,,3469,,300716,,112842,
2014-03-01,176579,,3898,,362581,,138626,
2014-04-01,178226,,3915,,357581,,135950,
2014-05-01,179942,,3929,,370573,,142548,
2014-06-01,176529,,3869,,370153,,144649,
2014-07-01,179808,,3933,,370213,,146053,
2014-08-01,170688,,3737,,342846,,131903,
2014-09-01,164759,,3614,,329948,,124641,
2014-10-01,261126,,4326,,413201,,204510,
2014-11-01,405994,,4807,,475112,,313687,
2014-12-01,424239,,5030,,505377,,343123,
2015-01-01,444278,,5128,,463385,,318644,
2015-02-01,395135,,4537,,438844,,297066,
2015-03-01,455609,,5080,,550215,,383325,
2015-04-01,491939,,5187,,569280,,417492,
2015-05-01,517112,,5402,,601331,,452191,
2015-06-01,505109,,5393,,600742,,447751,
2015-07-01,523060,,5648,,612901,,462360,
2015-08-01,564888,,5863,,622660,,472433,
2015-09-01,571105,,5811,,629039,,474425,
2015-10-01,587325,,5985,,665437,,500041,
2015-11-01,581001,,5730,,633884,,485544,
2015-12-01,601218,,5858,,637931,,498735,
2016-01-01,572979,,5829,,579294,,450042,
