Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,522531,9951,9935,384,570886,11743,337840,5039
2002-11-01,508069,9801,9865,361,535512,9756,318710,4604
2002-12-01,508960,9299,9788,353,556619,9656,340887,4594
2003-01-01,522656,8947,10231,357,441982,9103,269751,4363
2003-02-01,437740,7340,8279,278,441931,8006,275257,4087
2003-03-01,540428,9116,10299,329,565234,11051,353319,5513
2003-04-01,522033,11046,9930,311,579738,10938,357740,6164
2003-05-01,528717,9586,10130,326,609239,11130,371905,5666
2003-06-01,519539,9303,10079,346,595820,13461,366252,6068
2003-07-01,533581,9786,10233,357,587564,13650,369448,6419
2003-08-01,531767,9675,10206,321,566313,13477,357979,6284
2003-09-01,502024,8220,9584,307,487459,8677,295067,3514
2003-10-01,557517,9753,10608,355,629460,11751,376634,4894
2003-11-01,539452,9406,10166,345,591214,10808,367083,5167
2003-12-01,551562,9464,10181,342,581610,11068,377828,5311
2004-01-01,547064,9196,10117,324,458859,8980,300409,4288
2004-02-01,539778,9062,10123,328,544141,9787,343088,4786
2004-03-01,588135,10227,11048,375,653351,12139,412986,5876
2004-04-01,572251,12603,10812,391,683174,14972,423048,7750
2004-05-01,566474,13071,10822,398,666280,15666,409011,7512
2004-06-01,570853,12957,10634,390,674171,15993,427024,7948
2004-07-01,595113,13107,10682,393,660510,16751,434414,8333
2004-08-01,611213,13277,10993,398,614980,16664,411696,8311
2004-09-01,585782,9511,10475,355,580325,11575,374773,5221
2004-10-01,629849,9988,11115,358,690562,14886,450232,6314
2004-11-01,611967,9922,10679,362,643662,12226,418580,5595
2004-12-01,617007,9429,10663,334,628256,12109,424467,5418
2005-01-01,611589,9608,10533,339,533031,10216,366261,4585
2005-02-01,598857,8966,10150,315,581260,10914,391881,4932
2005-03-01,680830,10205,11409,360,768892,16193,517443,7069
2005-04-01,663273,12246,11093,378,747158,15645,498734,7201
2005-05-01,682427,13060,11440,397,779644,16406,515482,7381
2005-06-01,662512,12763,11047,384,778338,17214,518264,8120
2005-07-01,664727,12797,11138,383,769220,17482,518399,8519
2005-08-01,672824,13077,11450,382,707191,17347,479504,8422
2005-09-01,626643,10455,10812,358,658542,14564,426595,6177
2005-10-01,641818,10451,11042,342,709344,14605,471294,6175
2005-11-01,639630,11241,10801,340,714433,14302,476314,6200
2005-12-01,667191,10837,10916,316,697841,13984,482956,6225
2006-01-01,665573,10038,10861,330,579004,12486,405449,5614
2006-02-01,598718,9473,9918,316,619091,13324,424464,5521
2006-03-01,690365,10715,11418,361,796977,17257,540115,7252
2006-04-01,660877,14226,11008,381,797001,18931,531402,8852
2006-05-01,676354,14720,11355,400,807213,20681,534730,9329
2006-06-01,659195,13980,10878,383,820277,18799,547948,9141
2006-07-01,667723,14275,11041,394,771073,19493,530750,9050
2006-08-01,681234,14535,11439,401,734596,20947,503109,9695
2006-09-01,641710,10948,10799,358,651655,14347,437239,5989
2006-10-01,680995,10907,11492,361,758839,14985,507157,6313
2006-11-01,655002,10635,10859,279,735359,13660,485439,6672
2006-12-01,655016,10274,10773,261,702188,12967,479983,6305
2007-01-01,672457,9914,11097,251,598774,10313,411288,5209
2007-02-01,588819,9289,9585,235,616410,10066,422413,5446
2007-03-01,683204,10353,11099,265,794439,13194,542931,7066
2007-04-01,667657,10902,10977,287,787698,13055,529447,7029
2007-05-01,694209,10583,11500,291,825599,14412,550941,6882
2007-06-01,647900,10138,10680,277,825843,14610,552524,7236
2007-07-01,668881,12429,11070,308,806723,14790,550890,7901
2007-08-01,677835,13069,11322,314,799693,16373,541676,9119
2007-09-01,638988,9270,10909,276,666717,11103,446017,5144
2007-10-01,676903,8870,11545,276,783740,11577,522930,5255
2007-11-01,646549,9407,10873,263,730494,10905,490881,5545
2007-12-01,626867,9320,10416,249,647615,10318,457365,5347
2008-01-01,649626,9711,11024,271,576562,9367,406844,4608
2008-02-01,616257,8634,10294,234,621239,9105,431654,4776
2008-03-01,668156,9924,11062,276,751376,12719,520115,6586
2008-04-01,673363,10225,11058,286,758029,12311,517338,6305
2008-05-01,705278,11494,11380,307,789507,14435,541969,7345
2008-06-01,670013,10778,10907,284,780604,12478,539467,6630
2008-07-01,690926,13261,11277,310,790364,14280,550379,8347
2008-08-01,683600,13666,11205,323,752616,14111,521828,8122
2008-09-01,652575,8953,10979,270,646403,9296,440323,4287
2008-10-01,682958,9302,11455,289,753635,11364,513776,5236
2008-11-01,638002,9377,10427,267,652226,10513,446709,5419
2008-12-01,648611,8874,10420,252,683071,10649,489299,5399
2009-01-01,645618,8155,10536,252,563609,8698,405115,4521
2009-02-01,599799,8266,9921,245,585326,8298,410575,4559
2009-03-01,662194,9678,10867,280,713287,10786,499636,5861
2009-04-01,652708,9626,10797,280,752186,10711,519473,5727
2009-05-01,669532,6795,11138,149,751280,7911,519682,4400
2009-06-01,658402,12662,10911,307,758110,14515,528112,8031
2009-07-01,680316,13272,11347,320,779652,15074,548226,8280
2009-08-01,672674,12913,11151,309,730117,15861,516154,8833
2009-09-01,632880,7958,10694,265,651781,9172,446199,4061
2009-10-01,665387,6484,11101,260,756440,10306,522544,3924
2009-11-01,630146,9160,10408,265,670433,10938,466447,5440
2009-12-01,610426,8518,9861,244,635593,11121,457689,5441
2010-01-01,641418,8522,10486,260,556489,9419,399870,4525
2010-02-01,488435,7105,7876,205,483478,8493,344799,4423
2010-03-01,674575,9908,11028,286,762404,13375,536489,6900
2010-04-01,668158,9299,10786,265,753839,12216,525442,6269
2010-05-01,681080,10654,10838,307,764050,13867,533595,6922
2010-06-01,669519,13340,10866,329,764651,17004,536520,8955
2010-07-01,678144,13756,10990,338,770547,17771,545647,9488
2010-08-01,685368,13640,11266,335,762732,16948,539914,9057
2010-09-01,659542,8015,10944,272,698717,10889,479167,4409
2010-10-01,691691,6883,11520,276,800041,11124,550257,3988
2010-11-01,699096,6851,11170,253,744060,9513,514209,3706
2010-12-01,689512,8380,10729,264,714830,9726,514912,4656
2011-01-01,680392,7632,10777,270,579871,8580,420346,3519
2011-02-01,623266,6667,10023,241,591057,8379,420410,3373
2011-03-01,730542,7545,11836,277,772984,11471,541538,4787
2011-04-01,691152,7486,11244,270,778836,10558,538928,4417
2011-05-01,712662,7737,11656,274,825316,12709,566801,5165
