Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1814763,124733,18939,497,1293819,41744,1179249,84624
2002-11-01,1665407,115311,17683,469,1147358,37090,1030394,76894
2002-12-01,1780830,122401,19168,510,1437904,44361,1284880,85737
2003-01-01,1742054,127099,19163,531,1276666,43864,1149364,83140
2003-02-01,1573111,124000,16948,502,1197208,43037,1091150,87039
2003-03-01,1694628,126300,17813,529,1439085,50339,1303139,100047
2003-04-01,1671849,122603,17312,511,1288119,43782,1194381,88692
2003-05-01,1706648,125679,17876,546,1397147,49121,1293798,101166
2003-06-01,1803465,128504,18866,547,1575468,54381,1446434,109799
2003-07-01,1945399,153400,19907,582,1737351,55658,1619630,109962
2003-08-01,1915872,159019,19946,608,1661015,55572,1549660,116306
2003-09-01,1741268,130413,18745,563,1376431,46055,1257592,98395
2003-10-01,1809926,129796,19358,537,1472405,44493,1351000,92367
2003-11-01,1711637,114634,18475,482,1334660,42984,1227032,86251
2003-12-01,1862323,126835,20086,548,1523781,49955,1386714,94108
2004-01-01,1856990,147361,20256,561,1420640,50246,1300223,102062
2004-02-01,1762163,148223,19489,534,1386744,53358,1256608,109747
2004-03-01,1971095,163615,21862,596,1702288,63478,1560448,136881
2004-04-01,1925402,154765,20889,558,1543719,55132,1443939,120486
2004-05-01,2021257,163819,21546,603,1622802,61658,1516754,133869
2004-06-01,2074206,162438,22032,566,1842689,59574,1724971,135548
2004-07-01,2187431,165870,23002,582,1970664,57594,1848015,118886
2004-08-01,2188989,161460,22980,578,1871338,56700,1761783,123705
2004-09-01,1929363,146346,20845,498,1548863,49613,1425397,118728
2004-10-01,1960639,153440,20788,533,1598030,52211,1483001,113113
2004-11-01,1814858,150627,19399,533,1477855,47767,1360376,96896
2004-12-01,1926235,165605,20956,623,1603105,61790,1463228,122056
2005-01-01,1807551,169938,20242,648,1499626,64669,1361713,128451
2005-02-01,1673081,156468,18791,580,1399025,60416,1267255,117383
2005-03-01,1941138,180655,21553,661,1683692,70258,1610734,148125
2005-04-01,1762605,174399,19719,648,1512150,64645,1400792,135076
2005-05-01,1941822,182429,21570,698,1684747,71523,1555681,150720
2005-06-01,2001765,177062,22204,689,1876197,73086,1730060,153785
2005-07-01,2110276,173281,23349,661,1984326,66149,1829883,135072
2005-08-01,2085120,166384,23350,638,1881356,63875,1727325,135268
2005-09-01,1899732,150393,21250,522,1608517,54228,1468516,127997
2005-10-01,1951959,160029,21136,574,1637949,57369,1501483,120513
2005-11-01,1838638,144593,19832,530,1523152,49529,1395720,100454
2005-12-01,1941190,176263,21103,672,1634205,68203,1486262,133638
2006-01-01,1925625,185536,21711,738,1618330,71861,1462900,138471
2006-02-01,1771878,175800,20027,673,1545246,70667,1383929,135320
2006-03-01,2027946,206482,22762,809,1950046,92353,1752328,180349
2006-04-01,1952791,195475,21479,760,1753850,80246,1613601,157107
2006-05-01,2125866,193482,23367,749,1922831,83688,1757880,166865
2006-06-01,2128476,197441,23546,818,2039064,88311,1865355,176277
2006-07-01,2211735,203394,24605,845,2131831,84102,1951395,162632
2006-08-01,2260567,192853,25167,790,2025759,76715,1860262,151882
2006-09-01,2061205,208196,22798,766,1752862,74754,1588917,177327
2006-10-01,2104935,179733,23229,796,1839728,67672,1668887,133553
2006-11-01,2003743,184628,21759,814,1698997,70308,1540916,130557
2006-12-01,1901147,191923,20658,891,1560253,78562,1421536,147115
2007-01-01,2090219,206833,22979,958,1713797,80987,1556078,149186
2007-02-01,1895066,187619,20746,876,1615133,78006,1453165,142403
2007-03-01,2222448,223944,24144,1046,2038167,95891,1870952,179770
2007-04-01,2110050,242144,22761,988,1860634,89693,1733606,187094
2007-05-01,2200588,243502,23680,1036,1978613,95303,1823650,197745
2007-06-01,2224189,241630,23613,1020,2101018,99272,1961341,209242
2007-07-01,2369690,236232,25104,964,2235035,93065,2094221,192735
2007-08-01,2359384,234297,25134,958,2175567,89858,2032137,184634
2007-09-01,2135014,215341,22946,857,1841190,81264,1682495,178637
2007-10-01,2195230,225976,23778,941,1939447,84112,1763737,172442
2007-11-01,2090465,218739,22659,964,1769170,81604,1610950,156388
2007-12-01,2153951,250865,23021,1106,1730529,97502,1588791,189426
2008-01-01,2084065,242134,23175,992,1713640,92123,1565906,182708
2008-02-01,2031330,220012,22372,894,1724696,91133,1569074,178878
2008-03-01,2252889,248017,23883,1014,2040598,108085,1893808,214928
2008-04-01,2129308,269377,23501,978,1852006,97930,1704123,208954
2008-05-01,2268510,273850,24730,975,2016239,104433,1842183,228682
2008-06-01,2348334,269257,25004,978,2164789,100969,2002274,234241
2008-07-01,2435859,264092,25866,932,2263419,92879,2089772,212044
2008-08-01,2396144,267649,25444,936,2178537,93207,2005894,215838
2008-09-01,2049058,241300,22436,881,1834885,79424,1648434,197247
