Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2643906,589325,29537,1600,1912156,145464,1754532,377102
2002-11-01,2454372,549666,27705,1514,1735527,143025,1567727,359304
2002-12-01,2514626,569830,28455,1578,1990101,173367,1834057,429228
2003-01-01,2494958,583187,28625,1580,1691952,149932,1548019,388774
2003-02-01,2166959,498018,24807,1367,1561678,130262,1414230,324434
2003-03-01,2526581,571232,28753,1572,1951977,156711,1768099,395732
2003-04-01,2377181,526430,27835,1395,1770298,126518,1628802,323634
2003-05-01,2437815,528876,28738,1401,1948301,145912,1781036,397937
2003-06-01,2433193,567669,28260,1507,2066008,171645,1910551,459690
2003-07-01,2550294,629330,29103,1601,2220271,185690,2071149,460349
2003-08-01,2543977,638577,29092,1642,2058910,175739,1927393,450253
2003-09-01,2393384,563131,28011,1404,1677281,135117,1519597,380508
2003-10-01,2534857,571621,29646,1450,1940700,140735,1759810,377566
2003-11-01,2540351,600415,29039,1532,1939177,156395,1756869,422055
2003-12-01,2675442,621138,30608,1642,2110642,184877,1938859,486722
2004-01-01,2691899,632721,30351,1677,1912654,160841,1749043,439349
2004-02-01,2529000,587699,28326,1610,1880923,155821,1713233,389398
2004-03-01,2745688,637520,30985,1742,2231013,187010,2021345,484421
2004-04-01,2644783,634561,29981,1685,2115198,172091,1937661,446198
2004-05-01,2708026,661071,30695,1709,2204423,183586,2020388,508369
2004-06-01,2666925,679608,29807,1781,2332304,202991,2142471,548945
2004-07-01,2734857,726693,30722,1923,2400489,217993,2226627,546538
2004-08-01,2740620,707504,30933,1926,2201457,193218,2037903,493419
2004-09-01,2519363,633662,29086,1595,1985986,162499,1805438,471866
2004-10-01,2649859,646631,30423,1603,2192997,161715,1983941,454770
2004-11-01,2577215,624043,28652,1673,2091506,164643,1902050,438666
2004-12-01,2602044,660074,28382,1809,2113523,199007,1938514,514287
2005-01-01,2532317,671202,27441,1903,1952674,179383,1791981,478776
2005-02-01,2204377,605228,22778,1765,1762974,162414,1610635,414782
2005-03-01,2504043,698837,25814,1981,2168649,207467,1997007,534181
2005-04-01,2438824,680583,25209,1893,2056646,180459,1897142,482102
2005-05-01,2566679,713592,26658,1972,2182266,203794,2019967,561464
2005-06-01,2597456,756289,26531,2039,2328553,234952,2162186,618944
2005-07-01,2701300,795325,27460,2176,2414128,244712,2261808,611471
2005-08-01,2668117,752255,27412,2079,2186923,205889,2050433,530137
2005-09-01,2453323,696387,25535,1830,1998024,178561,1849731,499245
2005-10-01,2488100,704854,25975,1848,2137651,181450,1954800,497045
2005-11-01,2444074,719849,25342,1795,2137506,179593,1949146,504184
2005-12-01,2464416,747445,25661,1921,2147222,216911,1973175,593637
2006-01-01,2470271,753397,25651,1935,2013233,194824,1853716,531725
2006-02-01,2195220,664664,22802,1750,1871478,174355,1713881,454949
2006-03-01,2470043,755917,25377,1961,2246324,218875,2057791,589843
2006-04-01,2449894,743624,25138,1910,2188225,195570,2030889,511571
2006-05-01,2575554,766412,26293,1961,2331076,225273,2169590,622687
2006-06-01,2521584,753314,25719,1921,2382931,238248,2217038,645624
2006-07-01,2587226,809453,26380,2073,2412173,243612,2271164,634912
2006-08-01,2609073,783954,26528,2034,2169476,213442,2058767,560610
2006-09-01,2443844,740055,24912,1854,1968583,182930,1822988,535138
2006-10-01,2539947,713017,26182,1863,2166614,185846,1988614,512813
2006-11-01,2391391,648841,24440,1792,2070310,177486,1903352,467422
2006-12-01,2480778,679628,25328,1991,2138856,209862,1975992,535710
2007-01-01,2425677,687262,24532,2008,1944528,186550,1803701,482271
2007-02-01,2168914,609207,22301,1775,1862273,168374,1705254,429843
2007-03-01,2488615,687767,25354,2005,2248185,210210,2066507,546184
2007-04-01,2386427,665600,24298,1931,2146564,186645,1983908,483759
2007-05-01,2510147,697418,25431,1993,2275247,212267,2107660,560984
2007-06-01,2401692,690237,24357,1954,2304943,225485,2125807,586352
2007-07-01,2530325,720097,25805,2044,2402764,232360,2220981,573702
2007-08-01,2540797,726309,26166,2040,2298706,212925,2120956,536773
2007-09-01,2411710,645359,24668,1739,1988647,177085,1828301,488851
2007-10-01,2525910,651310,25800,1791,2197609,186139,2000077,490225
2007-11-01,2421177,608123,24875,1762,2139381,187678,1941418,475675
2007-12-01,2399214,650848,24507,1970,2073437,213867,1898336,516765
2008-01-01,2355168,647067,24175,1948,1956747,196357,1783208,487672
2008-02-01,2186955,592293,22528,1808,1901839,182947,1717851,446557
2008-03-01,2236885,614853,22832,1895,2082202,209103,1889766,509347
2008-04-01,2201045,653558,22999,1804,1950412,180479,1782403,466461
2008-05-01,2416530,698873,24752,1902,2169750,219493,1996782,576082
2008-06-01,2371840,684389,24629,1878,2286232,227131,2085849,591249
2008-07-01,2492977,732269,25846,1985,2351781,229460,2157103,584042
2008-08-01,2483252,734290,25626,2029,2181822,215712,2024074,552661
2008-09-01,2283516,647145,23587,1736,1860962,173210,1700834,487554
2008-10-01,2356842,663240,24073,1801,2083345,183710,1871199,500133
2008-11-01,2147937,649762,22297,1794,1845563,183614,1645498,481967
2008-12-01,2243738,665363,23025,1842,2019018,201528,1824917,525323
2009-01-01,2220167,670535,22926,1830,1783541,181406,1628985,475844
2009-02-01,2032035,598229,21207,1645,1711344,162678,1540156,403699
2009-03-01,2264771,666219,23465,1823,2064594,193780,1837952,504014
2009-04-01,2227343,655996,22789,1766,2010195,180111,1827981,477678
2009-05-01,2308487,709379,23735,1644,2068553,180097,1874321,548301
2009-06-01,2289511,722646,23493,1713,2236639,222458,2018059,619334
2009-07-01,2421382,758583,24716,1859,2360815,236742,2149790,621403
2009-08-01,2417640,745244,24844,1781,2149547,205989,1971377,560854
2009-09-01,2248202,673872,23499,1649,1898584,178367,1734662,515852
2009-10-01,2292354,691411,24039,1717,2065766,189078,1867537,535254
2009-11-01,2194530,650118,23264,1692,1925607,183587,1731713,497871
2009-12-01,2233937,684634,23475,1793,1993864,204020,1810785,555371
2010-01-01,2233267,693791,23755,1830,1829013,190064,1665900,514419
2010-02-01,1968304,605502,20806,1631,1658806,169197,1505211,432902
2010-03-01,2311296,699146,24397,1865,2088259,209189,1880933,551841
2010-04-01,2240564,665588,23791,1813,2036994,192403,1854846,509199
2010-05-01,2292003,742361,24071,1936,2097306,216866,1917726,614435
2010-06-01,2313749,754331,23923,1971,2234369,242062,2053282,655117
2010-07-01,2402767,802811,24721,2100,2275466,259693,2115943,658777
2010-08-01,2425412,781950,25117,1969,2117181,222740,1974094,593871
2010-09-01,2296724,713475,23682,1679,1970768,193868,1807490,570646
2010-10-01,2344321,741264,24420,1769,2141521,205834,1946692,589443
2010-11-01,2251909,672688,23346,1725,2002041,197590,1813288,529487
2010-12-01,2310867,712156,23917,1897,2049174,222833,1874378,578222
2011-01-01,2279991,745077,23605,1964,1844550,202204,1692024,556420
2011-02-01,1997891,659701,20181,1740,1675301,172785,1535599,464076
2011-03-01,2361097,756480,24548,2046,2110738,219149,1914588,583721
2011-04-01,2258446,688365,23075,1880,2005792,196168,1845611,527199
2011-05-01,2274749,759247,23045,1913,2106041,216662,1945325,630041
2011-06-01,2404377,799779,24262,2090,2312567,248759,2136515,696271
2011-07-01,2487573,862741,24947,2233,2359579,271395,2194102,727646
2011-08-01,2467250,829331,24849,2152,2180705,234222,2028619,654635
2011-09-01,2335046,764370,23425,1956,2057802,202736,1896253,610369
2011-10-01,2364094,777895,24003,2045,2163883,210661,1972959,614239
2011-11-01,2217679,682364,22510,1885,2017400,199189,1841462,542159
2011-12-01,2257908,763561,22834,2022,1992786,229051,1837737,624377
2012-01-01,2242067,772834,22941,1989,1855273,205518,1703201,598133
2012-02-01,2143956,770018,21650,1910,1830112,195021,1664830,579859
2012-03-01,2371723,840873,23661,2072,2156992,232194,1964540,684913
2012-04-01,2213786,830331,22664,1954,2000783,217125,1833315,654055
2012-05-01,2422546,892092,24561,2098,2230058,248400,2049908,773786
2012-06-01,2360085,929616,24058,2213,2276172,277918,2092105,828449
2012-07-01,2453350,1036345,24608,2436,2286257,295599,2130731,853523
2012-08-01,2454064,995668,24859,2300,2200780,260518,2040376,775178
2012-09-01,2285374,907869,23173,2017,1972731,223549,1809288,725176
2012-10-01,2332654,912451,24256,2122,2145674,235813,1934602,738546
2012-11-01,2280102,822754,23226,2155,2058545,235854,1856063,674458
2012-12-01,2329891,884834,23483,2410,2089677,265652,1902248,728917
2013-01-01,2342398,886284,23998,2356,1994045,240311,1805944,709612
2013-02-01,2153669,796902,22286,2113,1912274,213535,1712973,614608
2013-03-01,2418678,890239,25429,2389,2213486,255779,1989196,733929
2013-04-01,2339170,884157,24581,2242,2119794,236963,1930818,686554
2013-05-01,2446302,990802,25470,2426,2247800,275665,2071658,846056
2013-06-01,2425725,1073395,25123,2613,2322101,318379,2141030,930649
2013-07-01,2513542,1162668,25932,2803,2368476,333217,2190279,944292
2013-08-01,2513744,1123312,26010,2672,2258497,300994,2082037,881855
2013-09-01,2332619,1004230,24311,2138,2040942,243215,1840899,795529
2013-10-01,2429917,1026161,25455,2282,2247399,260348,2004832,831166
2013-11-01,2250989,947866,23363,2171,2015462,251345,1800228,751492
2013-12-01,2182235,970242,22278,2294,2065469,279828,1875927,806895
2014-01-01,2356815,1040298,24307,2542,2084164,273581,1875326,818691
2014-02-01,2062776,904229,21249,2172,1899494,229051,1695204,663866
2014-03-01,2404737,1036326,24734,2516,2284571,275387,2045306,805537
2014-04-01,2317914,1005327,23955,2390,2221816,256251,1992161,754102
2014-05-01,2427395,1076111,24564,2536,2369941,298284,2132144,895127
2014-06-01,2507064,1189890,24873,2711,2497531,339365,2252160,1002419
2014-07-01,2610135,1373270,25715,2890,2559855,352764,2329534,1035055
2014-08-01,2572103,1334077,25491,2697,2430793,317059,2199953,1000653
2014-09-01,2464169,1213604,24623,2281,2256546,261065,2012502,885854
2014-10-01,2477138,1299873,24879,2243,2341753,268049,2075496,934854
2014-11-01,2325549,1231025,23611,2439,2078769,271653,1838464,871005
2014-12-01,2514825,1304811,25051,2582,2284535,322616,2067030,1050786
2015-01-01,2426743,1293583,24679,2550,2118970,286009,1905581,956330
2015-02-01,2054879,1143886,20654,2168,1863444,245283,1667171,787291
2015-03-01,2457197,1301895,24628,2476,2311467,294926,2059252,958236
2015-04-01,2408536,1269108,24240,2422,2288006,278125,2033451,888627
2015-05-01,2436050,1391907,24263,2640,2342822,332116,2106798,1137176
2015-06-01,2569948,1405378,25235,2815,2521252,378661,2299646,1191226
2015-07-01,2706926,1474220,26367,2955,2659886,392700,2436794,1192380
2015-08-01,2656542,1435395,26023,2770,2505866,347803,2291269,1122592
2015-09-01,2445575,1329183,24084,2348,2307017,288623,2091208,999179
2015-10-01,2479684,1348682,24456,2400,2407787,304713,2172244,1067114
2015-11-01,2345439,1248204,23173,2315,2223013,283873,1993793,968569
2015-12-01,2436516,1340462,23830,2579,2253382,333075,2061661,1105751
2016-01-01,2389541,1361596,23745,2538,2152028,294274,1937287,1007821
2016-02-01,2259167,1222915,22378,2355,2050695,259852,1846449,892512
2016-03-01,2520304,1360996,24647,2698,2330612,324711,2119190,1055196
2016-04-01,2390855,1336834,23293,2600,2212483,287322,2008592,984366
2016-05-01,2524143,1403381,24315,2746,2348182,334936,2163319,1171345
2016-06-01,2590487,1429319,24357,2961,2452003,390867,2273492,1235698
2016-07-01,2686054,1494257,25135,3083,2504898,398630,2327092,1217183
2016-08-01,2625164,1455997,24519,2878,2327463,337147,2136841,1101471
2016-09-01,2475427,1343973,23202,2408,2300893,295715,2078953,1046913
2016-10-01,2511040,1394825,23634,2567,2342607,312981,2102800,1092025
2016-11-01,2354618,1309319,22152,2464,2166278,298433,1951904,1030534
2016-12-01,2433576,1382807,22979,2696,2177749,350544,2011167,1177775
2017-01-01,2405847,,22497,,2093354,,1899364,
2017-02-01,2192277,,20534,,1968043,,1757194,
2017-03-01,2508027,,23500,,2346924,,2107312,
