Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1178870,691427,18427,1056,1171844,135931,836452,565928
2002-11-01,1138310,643128,17383,986,1091289,114887,787587,479838
2002-12-01,1209530,663467,17657,1021,1223043,128228,910578,540860
2003-01-01,1127455,661042,17636,1092,978873,120063,739043,493893
2003-02-01,1064903,590888,16014,1003,1024936,107265,778559,415055
2003-03-01,1246141,653884,18725,1129,1199815,129463,895556,496789
2003-04-01,1164637,509237,17638,913,1157014,93150,826968,359897
2003-05-01,1121601,584589,18048,900,1163848,122498,808233,498808
2003-06-01,1142027,626940,18088,1072,1252163,137085,879428,544823
2003-07-01,1205448,691049,18878,1194,1349534,146083,965909,565036
2003-08-01,1200815,666545,18450,1162,1269070,147855,921200,556389
2003-09-01,1059296,654897,17579,1132,1085813,137858,745256,543762
2003-10-01,1164672,600948,18804,1065,1240375,129659,852514,508397
2003-11-01,1142350,539382,17928,986,1143617,108428,808243,434685
2003-12-01,1234499,552813,18590,939,1243034,115881,923183,468630
2004-01-01,1150122,564842,17787,982,974268,108207,729389,433173
2004-02-01,1133101,524148,17504,995,1069606,104982,793075,391010
2004-03-01,1299635,585315,19327,1108,1298862,136602,965825,505276
2004-04-01,1235625,590369,19113,1103,1310614,125014,927575,472560
2004-05-01,1229154,696150,19253,1094,1258115,154565,892964,634327
2004-06-01,1232404,704600,19275,1250,1384800,163780,982680,648437
2004-07-01,1275983,736580,19878,1402,1449208,168038,1043479,634136
2004-08-01,1271632,742670,20110,1428,1383591,163716,987479,608842
2004-09-01,1103997,703606,18773,1326,1184722,155248,810072,583361
2004-10-01,1214617,698647,19868,1278,1315771,146220,916493,571459
2004-11-01,1200273,603995,19144,1155,1257157,120687,880514,484306
2004-12-01,1256247,630904,19145,1148,1273012,133819,939427,540721
2005-01-01,1147345,633637,18443,1185,1083038,125151,794425,489249
2005-02-01,1088462,582811,17375,1133,1123629,115606,807032,434890
2005-03-01,1261969,655666,20172,1313,1433891,154448,1018211,571939
2005-04-01,1238118,671889,20165,1329,1325289,142928,912986,531315
2005-05-01,1228161,721801,20479,1331,1372460,168368,948375,668002
2005-06-01,1218734,751589,19784,1363,1429621,177708,1004905,704763
2005-07-01,1271154,799965,20241,1471,1482708,178668,1059725,688108
2005-08-01,1220933,797165,20018,1476,1386978,171063,975207,658409
