Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1523336,1263885,13012,2337,902187,290067,1012104,943278
2002-11-01,1448355,1134502,12258,2217,847886,264997,953166,838720
2002-12-01,1506474,1191756,12380,2330,949275,294598,1111615,930133
2003-01-01,1430530,1237352,12199,2484,764371,258807,899187,834140
2003-02-01,1237440,1046228,10512,2141,725871,227675,836056,702763
2003-03-01,1510545,1249580,13013,2638,868427,271825,996534,830894
2003-04-01,1427105,1138426,12351,2390,893929,249848,1017717,759671
2003-05-01,1458692,1197158,12802,2495,912647,299924,1047973,956073
2003-06-01,1454567,1350223,12694,2702,960538,358423,1120605,1156417
2003-07-01,1539764,1431726,13103,2919,1069074,380436,1286699,1154434
2003-08-01,1541519,1487496,12926,2878,1056371,387023,1261009,1218131
2003-09-01,1383506,1348867,11952,2595,772835,312551,902947,1030068
2003-10-01,1547547,1332601,13437,2608,935641,322187,1080010,1031472
2003-11-01,1530661,1167011,12710,2331,907685,293533,1058285,930556
2003-12-01,1569490,1220634,12661,2455,963598,326715,1165325,1021563
2004-01-01,1553465,1288368,12684,2578,788592,289213,963398,916493
2004-02-01,1507179,1213285,12658,2465,822918,270047,974010,820510
2004-03-01,1654818,1354691,13938,2785,960453,330230,1123724,1039209
2004-04-01,1597122,1367787,13693,2766,1011570,335000,1171283,1042198
2004-05-01,1544786,1501835,13279,2955,912663,366382,1077264,1185083
2004-06-01,1544313,1564958,13481,3082,1024058,419829,1212935,1369972
2004-07-01,1569899,1698141,13807,3210,1104089,433854,1328346,1388367
2004-08-01,1595063,1687269,14398,3266,1069465,435239,1283174,1394655
2004-09-01,1411716,1503804,12724,2797,821233,348347,972184,1172258
2004-10-01,1541032,1514433,14122,2833,998844,356851,1157813,1195569
2004-11-01,1489009,1341898,13483,2646,961227,333898,1107243,1084166
2004-12-01,1526482,1411793,13505,2729,970806,355302,1138198,1158054
2005-01-01,1386918,1444198,12248,2783,821199,326258,966311,1061136
2005-02-01,1339896,1276360,11892,2554,814463,286142,953145,900291
2005-03-01,1563995,1480811,13893,2932,1028235,367396,1197740,1174278
2005-04-01,1489678,1499117,13531,2905,991477,361845,1134133,1164291
2005-05-01,1494434,1578756,13744,3013,957445,393434,1111283,1322785
2005-06-01,1476594,1686883,13357,3205,1008674,423352,1180125,1423919
2005-07-01,1511548,1851847,13554,3527,1073161,463602,1268296,1515315
2005-08-01,1566005,1845202,14194,3523,1080486,455784,1275100,1487453
2005-09-01,1423772,1667927,12949,3020,908831,383035,1056870,1308308
2005-10-01,1541875,1674179,13606,2981,1021576,368743,1179031,1262309
2005-11-01,1542408,1455911,13431,2640,1059432,337947,1211614,1165202
2005-12-01,1622456,1571301,13769,2880,1068130,373207,1253457,1274932
2006-01-01,1530767,1577099,12913,2862,948258,332710,1110348,1134919
2006-02-01,1368378,1426784,11587,2636,900519,300215,1050647,1000561
2006-03-01,1679304,1713196,14390,3215,1139984,396723,1312872,1334255
2006-04-01,1597479,1725875,13784,3194,1166662,409551,1331141,1354419
2006-05-01,1572730,1874916,13886,3448,1091164,451500,1252742,1553093
2006-06-01,1561747,1922579,13326,3596,1125702,492593,1325782,1683701
2006-07-01,1610328,2051897,13645,3790,1174287,501218,1421541,1673164
2006-08-01,1637268,2029700,14221,3829,1155999,483271,1390689,1596448
2006-09-01,1448707,1865311,12905,3368,917838,415674,1094412,1449155
2006-10-01,1544711,1803236,13734,3291,1062556,395757,1244420,1379080
2006-11-01,1501400,1592590,13211,2934,1074939,369879,1237443,1250865
2006-12-01,1580260,1669907,13663,3166,1068641,408663,1250018,1372169
2007-01-01,1536233,1704586,13293,3199,960890,364201,1140455,1237960
