Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,709444,21333,5670,1068,557402,29866,512775,12808
2002-11-01,730176,39698,5758,1306,602032,44301,554949,26970
2002-12-01,802231,53028,6252,1283,658085,57250,621927,36731
2003-01-01,833968,68126,6403,1377,676133,54186,639251,47114
2003-02-01,782128,65347,5996,1316,639441,58005,604465,51115
2003-03-01,902236,74693,6933,1545,775192,70760,733974,61077
2003-04-01,858528,50840,6551,1371,722003,53972,685499,40727
2003-05-01,770192,24874,5978,1242,639990,35574,602796,16193
2003-06-01,731687,20306,5629,1313,616468,37934,586849,13063
2003-07-01,784553,27031,6007,1365,668878,41422,641092,15676
2003-08-01,784553,25370,5972,1403,666487,49435,636738,18597
2003-09-01,746692,21576,5670,1030,524336,24676,494116,10835
2003-10-01,833035,27044,6278,1093,629849,30429,599760,14636
2003-11-01,872792,65407,6439,1450,691247,51223,673139,36836
2003-12-01,940852,92058,6915,1671,709179,78356,709857,58250
2004-01-01,944458,96544,6937,1648,748977,70044,743336,64284
2004-02-01,968884,89040,7041,1599,768480,70124,756137,61209
2004-03-01,1067919,103369,7716,1719,900188,85020,892630,75339
2004-04-01,1034952,78464,7416,1650,866905,73021,860292,57806
2004-05-01,925838,46206,6745,1576,749750,49958,730527,29938
2004-06-01,889670,31903,6410,1490,741995,46603,735632,20904
2004-07-01,918211,54520,6580,1813,768895,64336,775000,36461
2004-08-01,920079,52863,6554,1747,748090,63375,752371,36567
2004-09-01,716860,28817,5148,765,485707,24798,478308,18434
2004-10-01,969134,42203,7071,1184,723071,39271,705418,25798
2004-11-01,1039300,73933,7218,1374,798317,58085,790201,47183
2004-12-01,1150253,91764,8423,1600,831351,82191,837012,64937
2005-01-01,1108922,96555,8441,1641,887188,76074,882626,70920
2005-02-01,1087097,94268,8363,1596,826342,80053,819354,70674
2005-03-01,1218207,117892,9310,2043,1033136,113230,1033517,99726
2005-04-01,1115972,92914,8643,1908,921203,83634,910989,68133
2005-05-01,1029812,67070,8178,1954,853716,72987,843701,45899
2005-06-01,969070,64726,7692,1807,814326,78761,809774,49344
2005-07-01,1010471,76637,8080,2079,851687,95888,848771,59043
2005-08-01,960730,68725,7821,1769,755954,83004,753476,50339
2005-09-01,810650,53551,6796,1390,618069,51313,602374,32731
2005-10-01,816401,57648,6578,1338,588102,53228,583476,36629
2005-11-01,1028232,82912,7964,1674,732197,68743,733917,51926
2005-12-01,1060071,114018,8042,1877,794582,104468,807659,81619
2006-01-01,1060872,122681,7845,1847,866317,96916,865151,83813
2006-02-01,983045,106087,7249,1689,778873,84157,786264,73998
2006-03-01,1165150,121206,8521,1926,944437,109807,963460,97092
2006-04-01,1095171,102677,8085,1865,913261,101433,929223,80499
2006-05-01,933116,69365,7070,1735,785460,74715,781588,48950
2006-06-01,883108,70529,6680,1811,747198,94476,734584,53011
2006-07-01,901231,77121,6847,1897,740437,91861,751975,62139
2006-08-01,873083,69255,6622,1650,671123,81115,682903,52283
2006-09-01,791017,51660,6019,1295,545576,50265,535660,32921
2006-10-01,852005,57798,6446,1368,630304,55971,621808,37361
2006-11-01,907313,90516,6764,1511,739083,78348,729374,62304
2006-12-01,1025769,128506,7504,1858,784559,110170,788575,90171
2007-01-01,1045238,138572,7654,1841,834761,106898,822347,99619
2007-02-01,991762,131644,7216,1814,779867,102646,770480,88479
2007-03-01,1177610,150962,8462,2137,954975,129004,953787,106531
2007-04-01,1112504,121489,8014,1927,925829,124098,926593,97221
2007-05-01,967780,88694,7289,1843,809193,103032,792317,66861
2007-06-01,922254,108716,7027,1961,795619,121352,780523,79138
2007-07-01,943178,127087,7221,2079,822587,139713,805705,100305
2007-08-01,927007,120492,7103,1978,792101,131763,777866,91970
2007-09-01,815279,87352,6318,1555,599204,80162,577542,58626
2007-10-01,874175,87193,6784,1532,690226,86789,666395,63912
2007-11-01,982906,118412,7387,1690,785939,110785,770732,88037
2007-12-01,1073163,165872,7972,2125,834263,155764,823716,125285
2008-01-01,1050880,175053,7939,2127,898610,136444,876354,128745
2008-02-01,1035790,203961,7866,2204,841246,158000,818868,153776
2008-03-01,1180837,176004,8858,2220,1024370,161540,1003540,143318
2008-04-01,1062812,148823,8112,1997,898384,126267,872283,109734
2008-05-01,968268,127828,7611,2000,848078,118532,802735,89683
2008-06-01,898796,142008,7058,2019,799259,135279,753937,107562
2008-07-01,912043,153947,7159,1993,819290,146340,772490,122458
2008-08-01,867400,137234,6733,1730,759795,131479,724211,104827
2008-09-01,671054,106255,5408,1284,512996,74496,469545,66183
2008-10-01,724789,111147,5844,1342,620341,86119,564968,74199
2008-11-01,840398,136457,6425,1503,693917,101169,647268,92648
2008-12-01,920048,162144,6957,1694,754064,138588,714492,131391
2009-01-01,904078,181529,6839,1774,788017,132194,742450,138229
2009-02-01,840926,162160,6321,1638,710890,119616,676550,122353
2009-03-01,966269,185854,7299,1840,866368,141126,827092,142359
2009-04-01,873197,163514,6757,1784,800150,135039,755283,124972
2009-05-01,813025,126778,6377,1702,718503,104145,677544,87126
2009-06-01,782306,127754,6133,1653,708154,119791,675667,101648
2009-07-01,828023,146306,6495,1857,766524,144130,735678,123687
2009-08-01,814748,140750,6385,1826,734438,132502,706266,108657
2009-09-01,710030,93885,5597,1333,558362,75428,527983,63523
2009-10-01,774975,97944,6033,1362,637216,79153,601089,66192
2009-11-01,873859,126744,6525,1576,725429,100338,703874,91320
2009-12-01,998605,164446,7189,1883,758858,148639,764421,134966
2010-01-01,998625,176492,7198,1806,829427,130603,824892,137502
2010-02-01,903028,155773,6485,1726,721941,118199,717763,116862
2010-03-01,1062436,184284,7601,1820,913511,150670,907933,147075
2010-04-01,965977,169223,6985,1703,847247,131972,837522,132392
