Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,815893,903218,10572,1228,522193,165429,530036,649656
2002-11-01,757211,844460,10105,1305,478428,153996,472273,598377
2002-12-01,802960,838269,10227,1317,552518,162636,586285,626910
2003-01-01,784102,779309,9830,1267,451331,139746,479595,532669
2003-02-01,648822,638746,7824,1035,390886,107879,401448,412495
2003-03-01,780637,735780,9634,1223,499579,135629,509701,511513
2003-04-01,711457,780208,8840,1150,497237,137963,504727,516067
2003-05-01,748853,769605,9107,1179,529144,167190,551637,639761
2003-06-01,762119,846708,9023,1275,552995,195382,587009,740842
2003-07-01,820410,889405,9383,1335,597628,184614,649110,695510
2003-08-01,812612,928510,9369,1445,572844,188778,614945,717952
2003-09-01,727943,825118,8869,1364,453330,169092,470256,644340
2003-10-01,779532,851436,9634,1419,533040,170202,546178,637542
2003-11-01,754829,761287,9248,1279,489254,159547,503723,595962
2003-12-01,806330,760470,9616,1275,535415,168953,581335,620099
2004-01-01,800968,780789,9517,1265,450064,150952,489864,567566
2004-02-01,758554,729156,9141,1204,465399,135225,483234,495746
2004-03-01,837548,795911,10138,1346,568180,176959,582349,645329
2004-04-01,881217,858996,10241,1350,600705,180084,632582,662242
2004-05-01,919175,893942,10525,1388,601918,202354,661364,756678
2004-06-01,963680,924467,11513,1419,688482,224176,746540,834722
2004-07-01,1079014,986633,15686,1496,838974,212573,842744,780112
2004-08-01,1156493,990106,19644,1504,909617,204865,837535,759404
2004-09-01,1097495,915318,20971,1349,807802,193491,694792,730233
2004-10-01,1158537,933041,22215,1370,970177,189427,814295,707445
2004-11-01,1051959,834794,19964,1266,882601,174890,730204,649790
2004-12-01,1075215,850324,19297,1289,914692,185132,784599,684897
2005-01-01,1011437,865303,18130,1330,775753,171930,681019,630845
2005-02-01,920761,774971,16029,1197,759573,146816,640830,536002
2005-03-01,1051792,875926,17969,1345,958444,192432,827021,704952
2005-04-01,1009234,895707,17392,1349,908060,188424,776830,695589
2005-05-01,1109025,975176,17885,1435,976944,218263,885455,826679
2005-06-01,1122592,963126,16854,1408,986793,228425,942191,865160
2005-07-01,1160643,1030586,17414,1484,1033903,224382,995655,839554
2005-08-01,1150185,1027603,17293,1476,968759,211167,926311,788953
2005-09-01,1045696,958751,15696,1380,820789,204286,768532,777110
2005-10-01,1050513,964559,15689,1357,865564,188219,816047,709582
2005-11-01,957819,867066,13597,1224,786086,176241,737303,667595
2005-12-01,984684,935740,13710,1328,798836,202628,761816,752875
