Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1463346,686048,15592,2306,1063821,186946,983289,425811
2002-11-01,1385129,647443,14669,2205,1027440,201710,955096,434622
2002-12-01,1447697,668663,15208,2355,1148957,236251,1087628,494832
2003-01-01,1407447,691998,14898,2410,1001319,205196,936764,444070
2003-02-01,1259158,614381,13585,2201,938329,181790,863129,377696
2003-03-01,1451870,689788,15730,2487,1145308,220222,1067300,458205
2003-04-01,1351938,615222,14934,2254,1051907,186815,986563,383165
2003-05-01,1427376,641131,15645,2442,1138856,216904,1080198,479013
2003-06-01,1455865,689392,15828,2594,1223982,258250,1174127,565063
2003-07-01,1554124,726544,16737,2840,1327383,271412,1306895,549897
2003-08-01,1504814,716969,16343,2692,1192823,237552,1170889,512080
2003-09-01,1379475,656618,15449,2322,1001663,177090,940849,422698
2003-10-01,1432296,668203,16336,2446,1119665,188799,1037372,418924
2003-11-01,1387581,676819,15776,2521,1099828,218630,1023571,475018
2003-12-01,1506201,681754,17056,2720,1200816,261428,1145074,537548
2004-01-01,1443064,725536,16369,2798,1022434,226657,971747,488003
2004-02-01,1375997,676110,15801,2667,1035448,215379,969145,436360
2004-03-01,1514543,738579,17485,2942,1202430,259675,1118307,550879
2004-04-01,1446222,721273,16809,2879,1182114,236474,1112280,503458
2004-05-01,1503273,739656,17119,3004,1188050,255113,1138014,568408
2004-06-01,1495537,884073,16836,3141,1268230,292396,1219092,624649
2004-07-01,1576843,804650,17715,3377,1363953,319122,1334845,625232
2004-08-01,1557365,787695,17676,3279,1225328,268610,1193080,560265
2004-09-01,1401895,713848,16153,2808,1055802,206968,996790,483016
2004-10-01,1460305,731239,17095,2890,1200953,226454,1111988,497351
2004-11-01,1469205,717192,16769,2939,1194284,242186,1106765,509959
2004-12-01,1574194,774481,17832,3342,1252994,300597,1194634,599935
2005-01-01,1482556,797756,17062,3447,1163246,272677,1106942,564238
2005-02-01,1375077,717207,15969,3136,1102856,241711,1034907,476159
2005-03-01,1649079,803889,19229,3571,1393624,303590,1326484,609340
2005-04-01,1557218,776991,18136,3324,1272522,259255,1212065,543286
2005-05-01,1627563,793846,18886,3332,1360022,278905,1311435,625151
2005-06-01,1647770,810899,19314,3696,1421428,322154,1376981,680205
2005-07-01,1718991,884364,19856,4106,1469687,344590,1448931,681749
2005-08-01,1705431,862015,19934,3889,1362858,293367,1354300,603114
2005-09-01,1410763,695355,16266,2837,1091952,206495,1051500,474528
2005-10-01,1573297,764614,19015,3144,1322968,231883,1237199,504118
2005-11-01,1523015,718533,18459,3154,1315701,249889,1217416,522777
2005-12-01,1660644,803439,19673,3601,1378781,318982,1322931,630382
2006-01-01,1576024,837419,18951,3643,1302759,286674,1239302,590642
2006-02-01,1433167,754754,17504,3332,1224667,255830,1143693,513088
2006-03-01,1658590,839500,20817,3841,1472196,314861,1362332,646735
2006-04-01,1563558,823625,19542,3755,1404955,297760,1310330,611199
2006-05-01,1648388,839924,20396,3569,1484388,307070,1390451,682322
2006-06-01,1687068,879775,20714,3940,1514314,354556,1435802,751555
2006-07-01,1742680,947041,21328,4300,1543685,369853,1485231,749521
2006-08-01,1723301,926409,21313,4192,1443713,318124,1394153,662269
2006-09-01,1549173,870093,19055,3263,1275208,245997,1213844,601051
2006-10-01,1621805,823050,20057,3308,1392813,251660,1298161,554611
2006-11-01,1587037,800537,19690,3407,1392450,275654,1294449,583998
2006-12-01,1682838,858463,20432,3779,1423707,330873,1359333,674043
2007-01-01,1614145,873045,19684,3661,1328594,292154,1258868,608894
2007-02-01,1476480,790454,18451,3416,1264355,266605,1179872,534158
2007-03-01,1692033,901961,21135,3965,1480625,330012,1385271,697763
2007-04-01,1631785,888414,20272,3892,1436668,305388,1354239,642474
2007-05-01,1686635,901135,20712,3691,1495984,325722,1420250,731454
2007-06-01,1662732,919281,20126,3917,1482370,369958,1431435,791106
2007-07-01,1709358,960145,20479,4135,1497577,379766,1465307,778798
2007-08-01,1735097,958741,21139,4100,1488465,340362,1461394,719631
2007-09-01,1533137,834992,18609,3201,1269101,251529,1217517,602631
2007-10-01,1654694,836549,20577,3365,1419649,265800,1325795,590201
2007-11-01,1591155,827650,19479,3458,1389471,288939,1301575,617091
2007-12-01,1671933,932325,20022,3882,1410862,341254,1349931,724155
2008-01-01,1571934,930726,19363,3739,1317951,302206,1243615,660271
2008-02-01,1477276,912518,18481,3678,1280580,299469,1191093,638258
2008-03-01,1620770,1026420,20007,4075,1465793,360875,1377798,782842
2008-04-01,1560588,1003061,19640,3920,1396235,307797,1311443,695912
2008-05-01,1635966,1040523,20151,3855,1458345,345179,1390898,835245
2008-06-01,1653017,1032527,20093,3933,1475219,379993,1429799,871962
2008-07-01,1739902,1094285,21069,4204,1494863,396118,1471927,878218
2008-08-01,1706306,1098181,20542,4183,1445753,354982,1425913,813849
2008-09-01,1304811,819156,15905,2848,1012126,211789,969553,530615
2008-10-01,1482304,944821,17945,3292,1293248,267140,1212448,646436
2008-11-01,1414923,923052,16992,3302,1202042,284876,1130855,665356
2008-12-01,1509553,979993,18065,3624,1320639,340065,1260099,770112
2009-01-01,1431933,1021612,17504,3681,1151808,301420,1096028,701679
2009-02-01,1306524,890666,16234,3375,1071693,269542,999508,569185
2009-03-01,1532421,1039054,18466,3979,1341263,329488,1279300,725151
2009-04-01,1433440,1021291,17273,3719,1284623,306912,1236061,713885
2009-05-01,1512663,994168,17811,2882,1316216,276985,1282851,773727
2009-06-01,1550362,1034188,18151,3704,1407323,379585,1385783,885224
2009-07-01,1628788,1092084,19135,3948,1493255,395341,1466151,877743
2009-08-01,1626905,1115545,19085,3908,1384861,348590,1380368,801895
2009-09-01,1421267,952296,16609,2915,1171429,251949,1160120,662007
2009-10-01,1518856,994960,17472,3157,1288819,279198,1245689,704471
2009-11-01,1461038,1030378,17003,3278,1213534,299886,1176622,741392
2009-12-01,1557067,1087048,17827,3632,1318970,372382,1302458,895921
2010-01-01,1465060,1177355,17014,3770,1157643,329497,1127711,809720
2010-02-01,1306187,1017859,15614,3369,1084944,295500,1033844,683263
2010-03-01,1480752,1115472,17554,3729,1293924,349516,1243556,831154
2010-04-01,1386885,1040080,16815,3528,1254619,310352,1198670,732156
2010-05-01,1490083,1088953,17258,3598,1321714,344970,1280488,899731
2010-06-01,1561791,1105009,17910,3813,1408622,395170,1392473,974715
2010-07-01,1616019,1204620,18545,4209,1441912,429835,1441039,996091
2010-08-01,1589017,1152157,18235,3860,1352846,353551,1350632,864694
2010-09-01,1405150,1023990,16306,3199,1177856,289206,1135256,778170
2010-10-01,1483260,1080257,17279,3452,1298975,318171,1228392,787007
2010-11-01,1443242,1124995,16533,3496,1239234,332511,1182423,801978
2010-12-01,1542274,1205836,17790,3916,1301427,406333,1269754,966138
2011-01-01,1420985,1245773,16451,3940,1141109,358516,1089696,888045
2011-02-01,1242914,1108036,14262,3400,1005238,296226,951517,706382
2011-03-01,1556164,1264390,17641,4009,1296916,366979,1242928,871364
2011-04-01,1452913,1205627,16780,3834,1223696,334878,1179445,815563
2011-05-01,1536302,1215461,17408,3802,1337383,373458,1300874,991148
2011-06-01,1578746,1201107,17556,3926,1398560,407604,1364012,1024669
2011-07-01,1640978,1273995,18517,4218,1464293,436442,1437354,1028618
2011-08-01,1591109,1219041,18034,3837,1338752,346931,1329988,874410
2011-09-01,1420380,1103331,16236,3257,1154299,274780,1143711,799903
2011-10-01,1466124,1153404,16616,3432,1222640,289855,1186414,800376
2011-11-01,1427448,1144228,16145,3402,1218896,314991,1166518,830431
2011-12-01,1535307,1247686,17383,3843,1263638,397696,1231521,1015341
2012-01-01,1384263,1270598,16162,3890,1130192,346457,1074060,890556
2012-02-01,1326998,1080722,15452,3573,1084285,299272,1017797,719953
2012-03-01,1480657,1222808,17058,4071,1275278,368234,1216615,900495
2012-04-01,1404428,1135436,16403,3833,1248748,338064,1194545,829092
2012-05-01,1466497,1176990,16513,3848,1309413,366711,1271107,990285
2012-06-01,1530432,1190981,16922,4046,1349918,422089,1333893,1051888
2012-07-01,1564013,1260766,16929,4275,1359565,429328,1365874,1025443
2012-08-01,1526986,1226449,16855,3881,1313780,360233,1315155,940326
2012-09-01,1351097,1111111,14943,3259,1108994,290253,1069013,829520
2012-10-01,1389078,1099323,15617,3354,1207398,301899,1145456,812802
2012-11-01,1371632,1075482,15405,3336,1188212,325539,1133460,854210
2012-12-01,1425872,1155018,15818,3646,1195622,382385,1166286,971955
2013-01-01,1357517,1180759,15523,3694,1125950,342707,1078825,885247
2013-02-01,1252046,1067582,14471,3280,1059035,295641,1006434,734445
2013-03-01,1459098,1221320,16938,3906,1261911,383652,1205060,947645
2013-04-01,1368640,1218331,15872,3699,1175697,341089,1137580,879559
2013-05-01,1464595,1262663,16546,3685,1270301,375302,1234713,1038548
2013-06-01,1520896,1266444,16675,3772,1326898,422118,1314319,1100683
2013-07-01,1559718,1309818,16973,4083,1315762,442803,1331888,1093644
2013-08-01,1515874,1288452,16495,3720,1269081,370787,1277694,1020740
2013-09-01,1381967,1184419,15433,3279,1105864,297789,1081092,885285
2013-10-01,1430172,1238558,16210,3453,1207595,325230,1153016,924616
2013-11-01,1389583,1209295,15383,3436,1163500,342915,1126472,921093
2013-12-01,1447543,1271025,15852,3727,1276646,413218,1261781,1082049
2014-01-01,1337790,1294313,14758,3737,1122642,376862,1094340,1010067
2014-02-01,1258889,1167594,14173,3383,1081987,327220,1035558,843451
2014-03-01,1453960,1369618,16543,4065,1292441,410358,1245202,1045798
2014-04-01,1314027,1358015,15140,3784,1178387,379898,1135901,1016354
2014-05-01,1443901,1531696,16480,3948,1291450,429965,1246641,1285854
2014-06-01,1447534,1520312,16194,4051,1299147,468023,1266521,1309738
2014-07-01,1525818,1590956,17120,4262,1376733,471128,1347802,1223795
2014-08-01,1473858,1537974,16577,3944,1308951,405151,1270969,1165881
2014-09-01,1385528,1382889,15523,3371,1170439,323148,1110625,999323
2014-10-01,1516772,1446413,16930,3603,1305649,340063,1228671,1003320
2014-11-01,1453097,1357541,15880,3792,1238351,363967,1176187,981434
2014-12-01,1511214,1485853,16190,4054,1309426,448797,1277891,1218748
2015-01-01,1390903,1513818,15104,4050,1176760,389455,1125350,1088492
2015-02-01,1269282,1332266,13844,3565,1095443,343202,1033455,906086
2015-03-01,1477307,1555665,16084,4167,1293580,425093,1245128,1114839
2015-04-01,1434170,1476034,15596,3944,1245000,381532,1197390,1008004
2015-05-01,1544209,1585178,16322,4057,1336413,441450,1310195,1269561
2015-06-01,1557092,1633728,16189,4308,1374436,509129,1349554,1387582
2015-07-01,1609926,1764964,16592,4675,1429082,544993,1427468,1416677
2015-08-01,1538092,1699762,15901,4279,1312525,454784,1294907,1254051
2015-09-01,1407564,1526234,14703,3570,1199266,350842,1154878,1061468
2015-10-01,1523583,1572908,15916,3726,1345381,386601,1287431,1124570
2015-11-01,1492841,1484334,15392,3785,1307664,409429,1259850,1116369
2015-12-01,1543640,1640347,15354,4199,1344847,506245,1324482,1349171
2016-01-01,1427275,1676313,14413,4135,1206271,437685,1174087,1244264
2016-02-01,1356426,1497681,13901,3728,1121224,377930,1079079,1024216
2016-03-01,1481565,1668048,14919,4188,1245703,452436,1222801,1209113
2016-04-01,1361687,1618480,13649,3809,1171790,382336,1143463,1075405
2016-05-01,1465748,1700485,14852,4011,1280153,458170,1263050,1350238
2016-06-01,1480672,1707928,15027,4137,1335173,526883,1320883,1458245
2016-07-01,1494941,1734287,14999,4385,1323526,545907,1321561,1398264
2016-08-01,1463995,1677731,14878,4012,1229629,441854,1212810,1220457
2016-09-01,1346996,1471037,13667,3406,1152382,368761,1114959,1084605
2016-10-01,1428518,1510736,14504,3560,1246283,386726,1190687,1079794
2016-11-01,1362449,1395925,14009,3449,1204732,394095,1152545,1083745
2016-12-01,1453755,1527894,14384,3996,1220913,493416,1241668,1310433
2017-01-01,1375939,,13809,,1157994,,1117457,
2017-02-01,1258986,,12648,,1064961,,1014225,
2017-03-01,1447346,,14601,,1269714,,1216853,
