Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1424548,3107840,7021,3674,612442,598710,976138,2203691
2002-11-01,1347850,2868665,6717,3439,581676,556622,902604,1992474
2002-12-01,1445339,3055525,6980,3642,699241,670301,1138102,2372750
2003-01-01,1437965,3042557,6896,3632,621399,540250,984425,1989507
2003-02-01,1263576,2521645,5919,3001,568540,465651,871958,1668722
2003-03-01,1482805,2879754,7113,3455,667845,505509,989110,1825051
2003-04-01,1415343,2512818,6765,3014,663250,469368,1005637,1624014
2003-05-01,1367221,2678866,6124,3172,642524,538448,1013703,1979203
2003-06-01,1383118,3091407,6181,3577,673732,672904,1076013,2504420
2003-07-01,1529007,3461480,6532,4044,812152,756511,1317207,2721949
2003-08-01,1499551,3415896,6422,3942,788365,747327,1279723,2701430
2003-09-01,1424938,3154650,6230,3545,588379,613393,971293,2312401
2003-10-01,1517529,3083240,6613,3493,693828,606994,1119292,2254713
2003-11-01,1492709,2882206,6455,3304,675247,602296,1067706,2162228
2003-12-01,1585464,2993249,6773,3505,773956,710237,1248767,2495412
2004-01-01,1627231,2996015,6900,3517,690145,572176,1109711,2074868
2004-02-01,1562811,2753022,6708,3266,692862,527396,1096346,1861196
2004-03-01,1704560,3030217,7279,3518,796897,637167,1242841,2321580
2004-04-01,1739719,3114345,7471,3654,847346,655050,1350007,2341342
2004-05-01,1781650,3262986,7534,3764,800658,697732,1302883,2606026
2004-06-01,1805732,3440506,7765,4024,862122,811550,1415118,2980914
2004-07-01,1885620,3804363,8403,4673,995869,877304,1613486,3068020
2004-08-01,1918756,3834902,8949,4681,1004811,858588,1614399,3042350
2004-09-01,1695558,3411401,7966,4072,717881,709460,1173293,2641940
2004-10-01,1780931,3331062,8484,3953,855339,672849,1364315,2494599
2004-11-01,1677746,3108177,8190,3785,826229,654381,1265452,2356280
2004-12-01,1748034,3310544,8426,4124,891376,777747,1374552,2710575
2005-01-01,1672003,3308954,7991,4043,808722,650579,1249977,2345629
2005-02-01,1526091,2921478,7653,3597,776136,589888,1176290,2065986
2005-03-01,1738770,3338356,8756,4056,955440,742130,1419626,2643980
2005-04-01,1695405,3382608,8702,4027,933765,709373,1389225,2542117
2005-05-01,1765869,3660193,9016,4294,899456,811020,1397579,3056705
2005-06-01,1817746,3702961,8921,4301,947863,855988,1491149,3190891
2005-07-01,1957328,4005889,9495,4783,1111863,944970,1749112,3374283
2005-08-01,1938869,4020252,9552,4768,1072926,896659,1679134,3254647
2005-09-01,1717371,3696989,8683,4320,775953,756734,1232500,2896525
2005-10-01,1741064,3602699,8941,4302,829913,722815,1303271,2715466
2005-11-01,1680298,3364772,8864,4000,890132,683447,1322092,2521625
2005-12-01,1704039,3559272,8663,4292,925739,794530,1381389,2854338
2006-01-01,1665421,3484649,8492,4214,848899,644811,1266466,2393044
2006-02-01,1461256,3048225,7475,3710,773149,575766,1130287,2070765
2006-03-01,1745960,3509319,8908,4356,948653,718841,1364524,2625021
2006-04-01,1712509,3600970,8841,4377,955169,776845,1394286,2799141
2006-05-01,1746118,3904012,8696,4656,870453,824723,1333768,3108193
2006-06-01,1780586,4072284,8900,4861,943149,933967,1424182,3523680
2006-07-01,1873142,4356751,10098,5344,1105676,992307,1636205,3572368
2006-08-01,1891022,4340642,10723,5336,1086334,952303,1592410,3426120
2006-09-01,1636559,4278321,10533,5095,844020,868795,1205362,3277745
2006-10-01,1710421,4037819,11443,4847,988603,779606,1371349,2950133
2006-11-01,1669048,3765656,11252,4589,991399,743814,1350441,2734969
2006-12-01,1761922,3992474,11655,4943,1036237,867727,1416371,3188454
2007-01-01,1747951,3940935,11765,4925,955506,714831,1301975,2669571
2007-02-01,1510602,3353242,9876,4306,833932,626947,1142819,2280503
2007-03-01,1781350,3931370,12171,5047,1083416,822638,1438685,3009997
2007-04-01,1780722,4010533,11929,5041,1075930,823068,1442861,2987533
2007-05-01,1861662,4284425,12258,5308,1092079,899200,1513473,3405089
2007-06-01,1805236,4542598,11632,5603,1110430,1025256,1550925,3870036
2007-07-01,1905276,4793269,12208,5995,1231490,1060929,1721631,3863269
2007-08-01,1968350,4880416,12532,6030,1228913,1050456,1730120,3852416
2007-09-01,1892736,4475253,11949,5427,959361,900203,1390954,3434299
2007-10-01,1954528,4348622,12114,5268,1052152,872296,1526675,3327147
2007-11-01,1885545,4126754,11842,5152,1032271,839540,1462408,3096557
2007-12-01,1893108,4333168,11674,5479,1033487,945784,1476399,3489831
2008-01-01,1819905,4187810,11277,5139,950531,776813,1355023,2951689
2008-02-01,1717890,3927059,10495,5015,900436,721064,1274573,2629804
2008-03-01,1926290,4264534,11712,5453,1089610,885758,1522867,3220138
