Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1574563,84757,12495,214,1211108,29512,1260917,59292
2002-11-01,1500183,83038,11789,209,1180223,30674,1145173,57043
2002-12-01,1496633,87052,11744,224,1174078,31444,1128549,64019
2003-01-01,1572021,90123,12073,222,1253995,30987,1222814,65089
2003-02-01,1472938,84208,11103,221,1178244,31354,1159089,61999
2003-03-01,1709875,97305,12674,252,1399653,31783,1427537,62678
2003-04-01,1637885,65320,12233,220,1294743,26668,1324410,47934
2003-05-01,1691505,66339,12471,233,1353836,26411,1402357,50475
2003-06-01,1687866,64887,12387,235,1396773,30337,1444615,56194
2003-07-01,1784585,74247,12886,294,1443385,34359,1520464,56673
2003-08-01,1807890,76640,12992,278,1462733,36329,1532674,64815
2003-09-01,1805460,76641,12605,235,1320668,32126,1391511,60867
2003-10-01,1941728,80880,13267,251,1443634,35502,1563637,67770
2003-11-01,1887029,86494,12776,267,1340729,39057,1410593,71790
2003-12-01,1894611,89939,13113,300,1264755,38667,1314848,66973
2004-01-01,1932589,96311,13441,332,1330626,42169,1394837,73723
2004-02-01,1889912,86163,12975,303,1372696,38070,1439785,67846
2004-03-01,2107444,112848,14438,405,1620655,47030,1734734,87449
2004-04-01,2031338,120367,13979,424,1582143,51190,1699559,94740
2004-05-01,2114720,116509,14412,407,1629677,48255,1753403,89908
2004-06-01,2073748,113313,14255,419,1603461,44780,1741839,84644
2004-07-01,2127994,118413,14636,436,1644886,47021,1791751,84523
2004-08-01,2146475,122928,14843,437,1650277,46648,1791765,83881
2004-09-01,2074072,113777,14111,368,1524120,42887,1657022,88781
2004-10-01,2208638,113469,14704,372,1670015,45238,1842776,91331
2004-11-01,2072600,131148,14328,446,1553246,51754,1649477,97819
2004-12-01,2086286,140272,14842,522,1464711,52038,1516846,89893
2005-01-01,2064497,133730,14611,490,1507019,52571,1575488,94568
2005-02-01,1911267,123198,13516,460,1407073,51135,1480365,90939
2005-03-01,2227756,164393,15641,608,1743505,70679,1904276,130356
2005-04-01,2190547,146485,15232,555,1679709,62345,1839122,120406
2005-05-01,2271747,152723,15868,552,1800535,62339,1943058,120659
2005-06-01,2181745,142222,15486,525,1733541,60543,1881332,118710
2005-07-01,2222653,155188,15614,570,1807535,60592,1928278,110943
2005-08-01,2275710,163711,16252,553,1775183,60263,1921155,124252
2005-09-01,2194333,171553,15621,536,1626122,60297,1754548,128852
2005-10-01,2281501,191230,16240,628,1753227,71791,1902548,156202
2005-11-01,2137681,200532,15477,687,1651270,79021,1754066,159919
2005-12-01,2132019,195997,15619,665,1569592,72816,1656840,136599
2006-01-01,2108634,206131,15522,696,1587055,78451,1661135,153683
2006-02-01,1923438,176904,14098,615,1524273,73936,1598662,141710
2006-03-01,2296266,197041,16313,680,1823142,85401,1990966,167846
2006-04-01,2204549,196367,15795,669,1769305,83333,1921781,170541
2006-05-01,2305512,201033,16362,618,1794851,76428,1957629,161964
2006-06-01,2260083,193431,16094,582,1783290,72146,1954658,164051
2006-07-01,2333872,202656,16568,598,1835127,69468,2012951,143349
2006-08-01,2354942,203271,16780,599,1794837,75049,1982715,164510
2006-09-01,2279010,210626,15955,608,1638038,73287,1806606,164852
2006-10-01,2390485,240234,16599,686,1798861,83447,1994576,191891
2006-11-01,2254311,250649,15825,733,1691653,88600,1835580,201143
2006-12-01,2252169,256578,16143,781,1646528,84083,1771172,177377
2007-01-01,2180711,259501,15814,778,1625850,87562,1725803,193763
2007-02-01,2010521,232642,14455,685,1520831,74773,1631278,169253
2007-03-01,2352341,265117,16661,815,1843701,93016,2031392,211580
2007-04-01,2279471,258355,16188,769,1784150,89557,1954153,209322
2007-05-01,2389246,282492,16859,763,1838159,91774,2021554,220205
2007-06-01,2271477,257727,16261,670,1851110,83613,2026639,214391
2007-07-01,2337233,265810,16802,687,1900139,82500,2075582,196166
2007-08-01,2344095,270113,16775,715,1892959,90590,2074723,216572
2007-09-01,2305031,282818,16193,761,1708629,91469,1879688,225093
2007-10-01,2457997,292928,17116,817,1810917,99492,2022404,239394
2007-11-01,2340799,273413,16415,813,1673529,96971,1850249,221298
2007-12-01,2290225,255729,16360,787,1630878,91573,1797257,196131
2008-01-01,2263332,255994,16264,784,1599175,91672,1727768,197589
2008-02-01,2131333,282973,15110,943,1580111,110881,1716211,229491
2008-03-01,2367780,255916,16521,786,1851918,100699,2061858,215660
2008-04-01,2212801,284375,15629,755,1707404,93755,1896347,225421
2008-05-01,2311941,250844,16153,722,1776851,90315,1990348,205635
2008-06-01,2210867,229431,15634,658,1754604,81047,1949501,196148
2008-07-01,2267319,236777,16075,687,1746025,78889,1941196,177873
2008-08-01,2202101,239259,15581,713,1727212,88193,1917883,197312
2008-09-01,2013467,229181,14224,723,1507243,81665,1663067,171858
2008-10-01,2108118,244378,14765,776,1578004,90171,1764416,188733
2008-11-01,1959581,250245,13680,844,1436176,102400,1575239,213139
2008-12-01,1893761,236632,13544,830,1385793,89616,1499470,174508
2009-01-01,1918272,270432,13727,885,1351069,92886,1453763,188364
2009-02-01,1775335,242042,12615,805,1341869,95374,1448283,182112
2009-03-01,2053823,269731,14449,890,1646877,107382,1803742,214061
2009-04-01,1989760,245640,13956,862,1592761,111786,1760073,214540
2009-05-01,2029255,210752,14294,687,1592854,89353,1761223,178526
2009-06-01,1962360,189722,13987,604,1570293,77253,1739291,163551
