Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,3145924,3621595,21018,3649,1584391,555909,2182810,2722551
2002-11-01,2979775,3497708,19952,3625,1522333,533949,2056578,2509096
2002-12-01,3121668,3742268,20607,3878,1703329,630439,2369511,2881486
2003-01-01,3033226,3670713,20146,3807,1517819,579915,2096337,2798212
2003-02-01,2666412,3254882,17954,3314,1359793,482550,1833559,2348932
2003-03-01,3038412,3690470,19978,3731,1596890,515048,2208725,2432253
2003-04-01,2876279,3301513,18707,3459,1552962,445420,2166057,1989419
2003-05-01,2943458,3132407,19071,3338,1612036,484810,2240661,2150922
2003-06-01,3047355,3318762,19191,3427,1786573,573697,2566473,2672601
2003-07-01,3237125,3683746,19967,3783,1922016,639717,2756781,2921845
2003-08-01,3230284,3683434,19949,3633,1935574,637922,2759312,2933909
2003-09-01,2979642,3551018,18855,3289,1442395,515078,1982115,2615132
2003-10-01,3111059,3621700,19229,3426,1562283,534379,2198890,2662971
2003-11-01,3043025,3465079,18783,3485,1556539,541693,2160277,2551302
2003-12-01,3203266,3604601,20039,3747,1689803,626792,2408173,2778802
2004-01-01,3114463,3628432,19823,3696,1507158,586736,2122414,2791208
2004-02-01,2915446,3363224,18572,3393,1475107,519944,2037584,2476091
2004-03-01,3248954,3639545,20229,3654,1777029,584122,2511676,2731155
2004-04-01,3243342,3639629,20067,3660,1813687,581303,2585268,2643893
2004-05-01,3300356,3813404,20628,3814,1780922,634284,2522892,2961446
2004-06-01,3387748,3951515,20584,3972,1946516,718433,2881574,3382268
2004-07-01,3537397,4097803,21346,4316,2074232,738176,3067814,3291681
2004-08-01,3509257,4119644,21274,4326,2078545,721797,3035411,3185911
2004-09-01,3073076,3959565,19525,3977,1616600,596975,2294544,2881608
2004-10-01,3219801,3909940,20238,4061,1741268,624616,2488926,2931215
2004-11-01,3091198,3665139,19489,3994,1701516,588192,2403703,2654814
2004-12-01,3226310,3884338,20235,4339,1758657,696168,2511212,2987399
2005-01-01,3039337,3881179,19617,4246,1605493,650420,2241152,2965791
2005-02-01,2717848,3447551,17805,3710,1467274,557626,2025104,2582663
2005-03-01,3076347,3869223,20063,4195,1818118,676853,2587181,3022911
2005-04-01,2941652,3769039,19200,4171,1704464,608998,2391918,2744743
2005-05-01,3131723,3901367,20152,4238,1798725,683410,2541326,3113701
2005-06-01,3200480,4062666,19943,4444,1939391,754021,2819811,3457015
2005-07-01,3341310,4361814,20572,4866,2055964,799220,2985996,3546176
2005-08-01,3298510,4325710,20736,4801,2033031,767810,2933177,3357727
2005-09-01,3013532,4120639,19441,4184,1653004,645101,2322669,3082163
2005-10-01,3072561,4039874,19845,4074,1705441,652407,2410739,3072407
2005-11-01,2964347,3670279,19116,3896,1694115,608694,2375344,2787473
2005-12-01,3076150,3913275,19646,4295,1720593,722699,2462282,3143868
2006-01-01,2992766,3862282,19412,4135,1574335,664219,2234744,3020837
2006-02-01,2678467,3512499,17618,3569,1479124,564375,2057641,2620034
2006-03-01,3139053,3946525,19924,4039,1801087,660461,2585699,3000662
2006-04-01,3079876,3907083,19200,3916,1797761,645780,2600557,2896392
2006-05-01,3213033,4037413,20092,4006,1800739,684130,2598193,3210126
2006-06-01,3285124,4081092,20054,4062,1947582,750862,2874768,3545769
2006-07-01,3390398,4361494,20812,4561,2043036,767395,2986484,3528296
2006-08-01,3376160,4309817,21115,4500,2019472,729487,2929988,3347465
2006-09-01,3029011,4301069,19547,4083,1621930,645273,2300123,3228123
2006-10-01,3155298,3904410,20275,3985,1724778,625194,2489634,3029519
2006-11-01,3049396,3552282,19350,3797,1726812,592681,2450879,2723041
2006-12-01,3224806,3840054,20219,4327,1786734,704989,2623023,3087072
2007-01-01,3079938,3820102,20028,4382,1607153,643785,2301017,2945737
2007-02-01,2740747,3423729,18022,3893,1498540,568061,2110579,2597185
2007-03-01,3154095,3806284,20488,4324,1860164,679454,2649514,3027563
2007-04-01,3051247,3778962,19667,4195,1826651,656073,2606861,2870247
2007-05-01,3250811,3956277,20490,4208,1847406,697499,2667200,3167761
2007-06-01,3271519,4034990,20259,4487,1995580,766492,2941522,3486926
2007-07-01,3470716,4234408,21808,4940,2087248,813278,3088292,3540478
2007-08-01,3452099,4288861,22093,4859,2121246,783716,3077763,3451016
2007-09-01,3055451,4062303,20623,4274,1644719,650628,2340818,3113101
2007-10-01,3156230,4030803,21442,4296,1753267,667827,2480656,3190391
2007-11-01,3152279,3682511,20739,4088,1750143,644780,2497667,2868191
2007-12-01,3300101,4052966,21294,4602,1773523,745366,2600199,3226075
2008-01-01,3109663,4154836,20038,4438,1592544,705041,2312736,3248825
2008-02-01,2864623,3673836,18608,4148,1532242,601655,2175976,2715580
2008-03-01,3134886,4005197,19941,4411,1814625,700913,2631472,3059491
2008-04-01,2910675,3989675,19376,4206,1733686,630830,2436628,2834800
2008-05-01,3157113,4119652,20259,4240,1829683,712002,2660283,3187236
2008-06-01,3286603,4247468,20578,4398,1961443,773970,2891274,3515605
2008-07-01,3464590,4143115,21336,4413,2028005,755287,3001077,3406333
2008-08-01,3339177,4131642,20775,4339,2022602,738906,2959126,3310058
2008-09-01,2723108,3837328,17255,3778,1520214,603157,2169429,2933158
2008-10-01,2883857,3660386,17927,3753,1621964,622124,2356108,2895718
2008-11-01,2702297,3295841,16316,3480,1498081,566725,2153730,2513231
2008-12-01,2890616,3474522,17045,3762,1619412,638452,2415508,2753797
2009-01-01,2749859,3443141,16731,3659,1430889,585423,2092894,2646400
2009-02-01,2484220,2996989,15336,3199,1345676,498949,1915579,2232710
2009-03-01,2866152,3445135,17421,3645,1660896,577821,2394813,2538065
2009-04-01,2826832,3455245,16784,3588,1672419,581804,2442025,2591801
2009-05-01,2978230,3561554,17393,3485,1696267,562614,2527080,2665806
2009-06-01,3081878,3616913,17756,3519,1855874,644777,2793651,3058656
2009-07-01,3256638,4039478,18727,4008,1976827,717370,2932370,3378941
2009-08-01,3198626,3981290,18579,3956,1952178,690076,2882949,3234625
2009-09-01,2730020,3658189,16816,3507,1584158,595756,2281603,2973927
2009-10-01,2900516,3634032,17443,3595,1685663,629728,2449986,3098863
2009-11-01,2791968,3347009,16628,3506,1581536,576365,2282065,2702636
2009-12-01,2983035,3725790,17329,3974,1682151,682927,2472038,3101096
2010-01-01,2966571,3653546,17180,3840,1536125,630506,2254641,2977919
2010-02-01,2539084,3191833,15593,3351,1376241,542452,1962896,2533443
2010-03-01,3036014,3590972,18038,3713,1753492,619127,2583508,2826559
2010-04-01,3011193,3459207,17520,3650,1726373,591192,2571917,2680628
2010-05-01,3171036,3753661,18163,3763,1772082,653625,2674304,3057719
2010-06-01,3284870,3790712,18497,3785,1957415,709203,2994368,3312300
2010-07-01,3422761,4063408,19241,4184,2033895,745650,3065504,3479303
2010-08-01,3337947,3956353,19134,3940,2044854,697381,3035540,3269894
2010-09-01,2964151,3740154,17522,3330,1685182,610584,2454709,3072979
2010-10-01,3127829,3659835,18128,3451,1796893,623355,2637863,3158172
2010-11-01,3001092,3425436,17205,3381,1710005,590548,2508554,2799332
2010-12-01,3114182,3819596,17865,3734,1771068,650446,2633110,3131901
2011-01-01,2941505,3802350,17597,3722,1609702,639308,2323818,3094602
2011-02-01,2651477,3444410,15992,3402,1474587,553811,2103666,2689453
2011-03-01,3109756,3805593,18619,3816,1819697,636397,2644089,2922360
2011-04-01,3050819,3733731,18699,3714,1820448,643010,2622726,2975642
2011-05-01,3227560,3927307,19610,3820,1928013,699183,2793195,3334588
2011-06-01,3401170,4114534,20200,3896,2080569,744409,3057370,3613270
2011-07-01,3539024,4485956,21071,4226,2195514,782742,3189143,3805281
2011-08-01,3455823,4408355,20841,4156,2164073,740679,3119754,3549511
2011-09-01,3040489,4188949,18734,3829,1806812,665440,2584723,3352748
2011-10-01,3135794,4160668,19211,3857,1871127,679590,2672303,3394079
2011-11-01,3016810,3636715,18275,3501,1804587,600549,2592711,2851170
2011-12-01,3228708,3965913,19138,3789,1864639,680140,2748258,3262398
2012-01-01,3023865,3958924,18491,3753,1711549,671022,2499911,3253400
2012-02-01,2846566,3538547,17530,3326,1621215,570782,2319774,2744768
2012-03-01,3241569,3914654,19614,3774,1949639,660016,2846896,3064119
2012-04-01,3178543,3916422,18846,3669,1892632,648247,2757360,3075898
2012-05-01,3339117,4118343,19418,3662,1949002,705836,2879250,3476602
2012-06-01,3527648,4215643,20014,3767,2102307,768084,3164772,3780438
2012-07-01,3692590,4580885,21064,4149,2216144,797168,3271134,3927029
2012-08-01,3601821,4470922,20786,4072,2223302,761764,3251254,3736396
2012-09-01,3131041,4121651,18543,3628,1807584,668794,2580824,3419358
2012-10-01,3174346,4072060,18795,3598,1872910,687433,2683555,3488393
2012-11-01,3086700,3670368,17980,3334,1821117,614447,2620646,3008916
2012-12-01,3244158,4102109,18634,3770,1852211,707209,2742820,3361563
2013-01-01,3032317,4085124,18077,3695,1714369,680649,2486394,3379676
2013-02-01,2761586,3457249,16478,3216,1583359,574580,2272940,2769057
2013-03-01,3241522,3929237,19036,3700,1976624,677131,2874178,3206894
2013-04-01,3228590,4027166,18673,3667,1928911,657324,2817827,3171900
2013-05-01,3407776,4278190,19712,3792,2051053,739092,2980785,3671368
2013-06-01,3632144,4409697,20429,3948,2234306,790191,3298961,3894900
