Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,952903,44723,14137,1056,900610,56390,627215,24305
2002-11-01,931640,40595,14021,963,884062,52396,623828,23829
2002-12-01,931529,39658,13652,938,942382,50864,692310,22744
2003-01-01,949908,40407,14152,963,768496,42741,562916,19096
2003-02-01,800998,33555,11700,812,709180,41816,526195,19501
2003-03-01,936763,40100,14074,995,834533,46695,599878,23699
2003-04-01,915877,38859,13928,909,893967,41118,639576,21005
2003-05-01,955646,40061,14523,985,938076,46537,670956,21961
2003-06-01,946537,40588,14576,947,958080,51320,685582,23863
2003-07-01,969856,39368,14456,946,1006841,56254,739073,26468
2003-08-01,948086,37909,13917,882,1008678,56638,749711,27026
2003-09-01,924555,37998,13702,914,810992,43655,575034,17616
2003-10-01,996389,39963,14885,975,976285,50050,691282,21903
2003-11-01,944978,34964,14396,853,935615,45501,677106,21179
2003-12-01,940633,33639,13974,824,953505,43498,722606,19880
2004-01-01,965725,33400,14490,874,769545,35358,588673,16366
2004-02-01,943475,34241,14308,884,826512,40191,613291,19179
2004-03-01,1015437,38023,15358,970,947447,48998,705724,23056
2004-04-01,1000420,37953,15281,874,1030478,51869,745217,24989
2004-05-01,998643,40011,15130,911,984105,55661,712036,24679
2004-06-01,994600,40605,15131,963,1021336,58930,742792,26313
2004-07-01,1003943,42860,14925,972,1038569,64537,783533,30287
2004-08-01,1020744,43258,15485,1006,1069012,70119,804838,32726
2004-09-01,939000,39253,14651,976,873189,57849,625515,22217
2004-10-01,1052460,44655,15727,1078,1031534,68853,750697,28233
2004-11-01,1044562,45140,15385,1032,1012148,61801,745355,26592
2004-12-01,1046924,42702,15213,968,1035878,62857,785684,26637
2005-01-01,992825,42657,14559,957,868025,55396,666618,23380
2005-02-01,948157,41068,13931,910,877549,56288,664540,25156
2005-03-01,1034059,44450,15271,993,1044647,69211,794137,30923
2005-04-01,1026251,46239,15224,1039,1084323,66057,798098,29800
2005-05-01,1063401,49550,15864,1115,1086325,72543,804060,30667
2005-06-01,997183,46396,14877,1022,1089183,72950,801516,30924
2005-07-01,1014188,46056,15169,1004,1118318,73996,845675,33852
2005-08-01,1029680,42336,15723,993,1108851,73021,835036,33019
2005-09-01,968783,37540,15036,977,945121,62067,678487,23599
2005-10-01,967252,35712,14978,945,971427,60845,703760,23741
2005-11-01,982196,43094,14830,931,1005552,64532,741172,29255
2005-12-01,1041328,40066,15129,908,1019433,59990,792551,25145
2006-01-01,1030341,39253,15028,897,889166,52351,690463,22892
2006-02-01,911029,34180,13472,851,856042,51781,651611,22494
2006-03-01,1066682,38121,15750,981,1058283,62112,804203,27764
2006-04-01,1026654,40213,15113,970,1078388,61775,814230,28294
2006-05-01,1046457,34266,15771,955,1079928,64117,808626,24802
2006-06-01,1017292,33135,15007,943,1111257,61522,830962,24536
2006-07-01,1019672,33879,15049,916,1103706,62574,857267,25924
2006-08-01,1057525,35185,16005,982,1103506,69773,853114,27448
2006-09-01,966884,30523,14979,910,909989,58632,671531,21276
2006-10-01,1007520,29664,15640,922,1013227,56505,752428,20993
2006-11-01,975145,30729,14831,904,1008155,54876,749297,21655
2006-12-01,1006162,31480,14924,892,997736,52792,776376,21461
2007-01-01,1018884,29503,15296,850,870327,44210,666862,18371
2007-02-01,899550,26665,13438,767,818658,43839,622367,18908
2007-03-01,1001767,29607,15099,842,1007872,51654,763165,23551
2007-04-01,993117,33707,14995,918,1033824,52340,769011,23676
2007-05-01,1002921,32420,15709,973,1060528,56992,776476,22747
2007-06-01,927813,31368,14220,884,1057646,56446,779757,23204
2007-07-01,958928,33218,14842,939,1096801,58191,828316,24869
2007-08-01,998793,34682,15532,978,1143378,63787,855322,27426
2007-09-01,954017,27770,14768,888,905268,52293,659695,19362
2007-10-01,995623,33386,15375,899,1006727,53968,740031,20205
2007-11-01,969839,28066,14699,836,976253,47828,728899,19359
2007-12-01,952305,27718,13777,843,919370,45588,722705,18971
2008-01-01,966649,29049,14643,934,814214,45596,631798,18034
2008-02-01,889040,27239,13398,832,798776,45476,612852,19180
2008-03-01,997895,32032,14809,941,951548,53472,736415,23636
2008-04-01,972179,31214,14658,981,954223,48129,718011,20323
2008-05-01,1000396,29304,14958,1004,987206,51608,746010,20036
2008-06-01,933175,29361,14306,970,973233,49789,737142,20509
2008-07-01,976668,31205,15079,1005,1045667,53011,803339,22108
2008-08-01,970680,29501,14878,979,1035421,55456,791142,21990
2008-09-01,889219,24302,14462,963,813381,45743,593015,16022
2008-10-01,935511,25178,15126,1007,910205,45596,665520,15944
2008-11-01,857641,26678,13014,921,813225,43442,609918,17350
2008-12-01,885934,26850,12851,902,881210,45886,689769,19045
2009-01-01,865850,24152,12940,896,685918,36260,536464,13639
2009-02-01,808809,24326,12331,852,680547,36115,523039,14856
2009-03-01,897964,29207,13723,973,824146,43067,627730,18801
2009-04-01,869193,27161,13281,928,879022,43399,655856,18609
2009-05-01,879626,24582,13434,802,877073,41575,656645,16541
2009-06-01,872824,28066,13366,953,914185,46831,688052,19132
2009-07-01,925887,29155,14140,990,1034808,52691,785379,21452
2009-08-01,924951,27249,14038,980,1033025,52745,783003,21417
2009-09-01,852499,23249,13432,1034,865401,43710,628680,15393
2009-10-01,882848,23246,13847,1044,948857,45191,692984,15738
2009-11-01,860606,25376,13264,997,896590,41025,662618,16271
2009-12-01,878029,25309,12713,989,911596,44833,705656,17459
2010-01-01,883266,25115,13219,997,753879,35073,583247,13726
2010-02-01,750568,22693,10973,854,689459,30857,535314,12793
2010-03-01,931631,28296,14020,1061,962352,44261,737804,18609
2010-04-01,939531,28203,14289,1097,975850,44596,730822,18126
2010-05-01,930494,28435,14122,1095,1013093,50533,752999,18881
2010-06-01,911762,28312,13788,1092,1015933,46900,760756,18487
2010-07-01,939458,29683,13864,1098,1066327,51193,816026,20289
2010-08-01,973595,27367,14563,1107,1099737,55110,832373,20141
2010-09-01,936628,24093,13981,1044,939885,47753,698470,16142
2010-10-01,978005,24934,14454,1062,1037748,48359,773813,16302
2010-11-01,937313,23211,14110,930,969356,41623,722852,14852
2010-12-01,883980,23191,12622,874,928146,40555,712823,14946
2011-01-01,896032,23339,13022,867,777171,35182,603252,13304
2011-02-01,841203,21108,12399,781,747344,31358,576751,12030
2011-03-01,1007899,24228,14905,931,945079,40246,723696,14799
2011-04-01,953668,23671,13900,875,970037,39957,739318,14594
2011-05-01,991751,24473,14662,945,1023997,51476,777042,16818
2011-06-01,974537,23672,14279,916,1029592,48835,779038,16065
2011-07-01,985744,24751,14365,925,1067331,53346,823605,18184
2011-08-01,940848,24380,13853,893,1045938,55467,799995,18397
2011-09-01,934036,26251,14050,950,921129,50006,688383,16740
2011-10-01,947917,26494,14441,977,993143,49040,743934,16597
2011-11-01,918791,23714,13723,949,963731,42121,726992,14402
2011-12-01,955989,25059,13439,992,960583,41213,750842,14697
2012-01-01,935945,24643,13470,979,809313,41200,628240,14685
2012-02-01,904982,24592,13371,956,794891,38829,610122,14432
2012-03-01,1004954,30329,14483,1039,965765,47483,752712,19747
2012-04-01,1027668,29560,14296,1000,1036629,48764,796618,19658
2012-05-01,1045569,31371,14409,1054,1061869,56571,819473,21709
2012-06-01,1028873,37031,13877,1166,1056572,67640,824394,25614
2012-07-01,1057963,43861,13710,1386,1125493,77473,898888,30277
2012-08-01,1124424,47752,14335,1541,1195265,91113,955678,35575
2012-09-01,1060990,43806,13395,1467,979647,73627,762137,26948
2012-10-01,1028851,41163,13201,1404,1031281,69996,809040,25981
2012-11-01,1035411,40165,12989,1322,956994,56464,760462,21712
2012-12-01,1070962,39714,13022,1296,1054724,59687,864867,23513
2013-01-01,1051246,41246,13438,1372,916970,59410,746691,22576
2013-02-01,942904,35249,11906,1173,847033,52664,683309,21024
2013-03-01,1114225,41253,13894,1408,1093938,70381,896644,27475
2013-04-01,1093633,41955,14026,1362,1038782,66061,822210,26265
2013-05-01,1099485,43422,14246,1363,1095281,72407,868626,29229
2013-06-01,1068308,45640,13547,1349,1091153,78878,878656,31746
2013-07-01,1079232,49549,13721,1397,1139522,85665,924726,36193
2013-08-01,1126424,51900,14514,1475,1172878,97452,947703,40944
2013-09-01,1031151,43035,13450,1268,957270,70637,755515,27681
2013-10-01,1108568,48936,14653,1504,1088324,78753,863995,30462
2013-11-01,1044320,39338,13336,1155,980035,57390,789453,23335
2013-12-01,1080551,36490,13152,1055,1096456,59098,914942,24945
2014-01-01,985580,40485,11991,1226,874070,62765,727452,25088
2014-02-01,895445,37615,10803,1126,793824,56372,665169,23623
2014-03-01,1143762,45504,13937,1375,1046360,75559,864521,30811
2014-04-01,1121729,45044,14084,1359,1091353,75653,881541,30925
2014-05-01,1118483,39961,13888,1341,1122697,87301,907523,31848
2014-06-01,1099013,38967,13912,1336,1115340,82481,903507,30102
2014-07-01,1113396,39914,13950,1353,1168189,84445,962314,30620
2014-08-01,1134507,41829,14435,1427,1173474,98369,958216,35939
2014-09-01,1043587,40124,13535,1406,977207,81774,778972,29025
2014-10-01,1114738,34897,14432,1171,1105269,70144,878753,25089
2014-11-01,1099695,33155,13294,1158,1014868,67022,825010,23438
2014-12-01,1178171,34582,13588,1189,1124994,69479,954906,24818
2015-01-01,1065360,32249,12578,1088,856233,58048,726330,21144
2015-02-01,975153,30023,11426,1010,859733,56326,720121,20353
2015-03-01,1163840,34536,13547,1152,1093517,72221,913191,26058
2015-04-01,1170508,36118,13929,1219,1133232,73935,924773,26659
2015-05-01,1166220,39971,13772,1293,1160253,89318,943774,32218
2015-06-01,1147765,39172,13639,1264,1190178,90243,973726,32661
2015-07-01,1192769,41614,14262,1336,1269970,94446,1055386,34250
2015-08-01,1198280,42037,14516,1350,1258173,97184,1040890,35267
2015-09-01,1102479,36962,13581,1261,1077285,83522,879544,28685
2015-10-01,1154939,38040,14313,1279,1207247,81250,980102,27880
2015-11-01,1097039,33499,13426,1093,1116376,67433,912273,23400
2015-12-01,1144568,36689,13089,1192,1159015,74288,981667,26369
2016-01-01,1074214,34652,12673,1143,952412,61414,807547,21570
2016-02-01,1056787,32198,12338,1075,940003,60025,796468,20738
2016-03-01,1234048,37395,14602,1246,1194997,79033,1001856,27333
2016-04-01,1176114,34643,13934,1163,1179220,73908,969185,25207
2016-05-01,1226839,39988,14652,1281,1223579,95818,1003862,32808
2016-06-01,1201102,38608,14357,1221,1250835,94501,1021861,32434
2016-07-01,1177796,37536,13773,1179,1251950,97878,1043501,33421
2016-08-01,1216430,39496,14505,1245,1236943,102559,1032880,34783
2016-09-01,1157118,38378,13980,1233,1083869,93504,896792,31959
2016-10-01,1169671,38206,14112,1245,1167033,89396,963852,30601
2016-11-01,1134160,35842,13787,1149,1133983,79719,928217,27325
2016-12-01,1144002,35534,13104,1132,1079039,79690,960110,27904
2017-01-01,1084399,,13109,,950587,,795684,
2017-02-01,984434,,11969,,859324,,725194,
2017-03-01,1157342,,13858,,1112751,,916759,
