Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1127455,263573,9559,489,963671,66591,845534,214634
2002-11-01,1114397,212875,9533,468,959769,63435,842539,192886
2002-12-01,1175565,223016,10018,546,1008717,60632,898921,172216
2003-01-01,1176243,205052,10127,553,998239,61976,892253,173794
2003-02-01,1081548,211204,9279,554,935322,59098,836305,152501
2003-03-01,1265859,237099,10842,604,1159957,75855,1047037,201530
2003-04-01,1182373,224154,10210,563,1065512,67935,949557,191263
2003-05-01,1157335,270988,10246,515,1036026,68163,925357,214311
2003-06-01,1153941,262291,10498,467,1033043,36615,924421,235549
2003-07-01,1214782,283466,10687,569,1125936,70116,1011168,206452
2003-08-01,1232156,292163,10680,554,1110167,83520,1007748,262790
2003-09-01,1114405,257451,9703,448,798919,57066,710540,199681
2003-10-01,1245948,322321,10666,483,1044190,76689,933256,265382
2003-11-01,1262094,268770,10531,494,1068071,76340,969107,245870
2003-12-01,1331779,261374,11006,542,1059379,66292,979497,197852
2004-01-01,1330755,249237,10876,545,1112966,72314,1024217,214982
2004-02-01,1324540,248336,10620,523,1161765,70072,1059843,194849
2004-03-01,1456402,283120,11638,593,1342897,83322,1234228,237526
2004-04-01,1413606,284027,11385,572,1296031,86020,1187957,256410
2004-05-01,1381907,303145,11341,554,1264246,81177,1158510,263276
2004-06-01,1369972,294658,11128,540,1229087,79517,1139367,261777
2004-07-01,1431500,316363,11648,618,1289114,86469,1205539,257381
2004-08-01,1376846,308693,11169,590,1189465,91370,1108224,284591
2004-09-01,1045345,255765,8642,371,738756,53044,679359,186812
2004-10-01,1406680,300282,11590,501,1186499,74836,1084755,248416
2004-11-01,1437891,284952,11957,549,1213514,76715,1106147,253740
2004-12-01,1513169,304922,12892,600,1210504,73283,1116858,217792
2005-01-01,1497919,298353,12826,592,1280823,80603,1175648,239954
2005-02-01,1420922,274049,11894,566,1240561,75849,1131879,213582
2005-03-01,1634837,320165,13608,648,1492942,95883,1370481,265054
2005-04-01,1528075,309445,12951,603,1384536,94383,1255782,289276
2005-05-01,1467909,339712,12281,547,1360350,85768,1241129,276780
2005-06-01,1439070,336852,12095,575,1303170,85645,1197337,282896
2005-07-01,1503593,351240,12758,620,1384916,84386,1269294,255808
2005-08-01,1455767,352734,12468,605,1250399,94475,1147160,309787
2005-09-01,1284527,286393,11101,503,1010012,64064,918091,206286
2005-10-01,1422353,327281,12111,550,1218877,76814,1107039,245438
2005-11-01,1481868,306393,12675,563,1267834,86797,1153105,268234
2005-12-01,1570481,325716,13044,681,1275942,85747,1185535,230817
2006-01-01,1525419,290716,12704,676,1314135,87023,1204378,232972
2006-02-01,1406203,287910,11707,649,1212786,82374,1106947,206925
2006-03-01,1651351,323502,13620,711,1514036,98590,1393529,235645
2006-04-01,1601229,297969,13230,652,1477298,102796,1359146,275813
2006-05-01,1532933,286889,12820,530,1423899,87656,1304519,256451
2006-06-01,1466197,274139,12308,566,1358264,77295,1238845,236237
2006-07-01,1538514,321454,12818,672,1416149,85328,1306177,225921
2006-08-01,1487590,320165,12339,664,1300499,94972,1192824,271282
2006-09-01,1312756,316064,10941,512,1010615,65221,918456,203503
2006-10-01,1422836,301104,11875,496,1198474,66245,1086983,197952
2006-11-01,1410731,296406,11709,583,1242983,82823,1122319,245504
2006-12-01,1485273,327725,12285,725,1261468,86731,1176244,217837
2007-01-01,1516438,284117,12515,671,1319030,87801,1199561,223282
2007-02-01,1414386,299470,11611,654,1246576,83135,1133859,208282
2007-03-01,1659987,335074,13586,743,1512929,92315,1386968,227838
2007-04-01,1622317,309165,13233,645,1505207,101038,1373940,281615
2007-05-01,1581504,320332,13162,557,1459008,88093,1323522,262273
2007-06-01,1541890,312253,13034,548,1429838,81566,1297933,255561
2007-07-01,1619352,322494,13682,633,1492300,87209,1358966,244046
2007-08-01,1603641,330295,13476,630,1444745,100763,1310687,303827
2007-09-01,1413904,257080,11883,481,1100356,65901,984516,206121
2007-10-01,1521129,320317,12663,523,1303194,76774,1167081,244998
2007-11-01,1547197,372935,12815,688,1336309,102794,1208648,317468
2007-12-01,1641329,379456,13343,779,1332061,100806,1230026,274128
2008-01-01,1602032,339282,13120,748,1383289,109239,1262573,291078
2008-02-01,1542668,372757,12583,774,1367644,108466,1247139,279284
2008-03-01,1768478,401720,14227,917,1619419,132945,1491244,320773
2008-04-01,1666816,372492,13313,811,1500050,124496,1382602,333859
2008-05-01,1603568,356513,12805,680,1434543,102455,1316048,294178
2008-06-01,1528660,336653,12222,640,1397859,88667,1280400,251890
2008-07-01,1573285,349608,12484,673,1440962,101798,1328012,277138
2008-08-01,1484853,359392,11693,704,1346136,120968,1236939,330604
2008-09-01,1189161,316545,9448,480,941173,78695,835345,234427
2008-10-01,1309024,358980,10117,506,1166661,84751,1046435,248929
2008-11-01,1369032,394316,10636,645,1147394,111995,1035978,347523
2008-12-01,1445617,402955,11170,793,1234577,110963,1135177,303479
2009-01-01,1420497,369133,10842,798,1216935,121800,1114474,312313
2009-02-01,1339316,369191,10193,778,1154517,109459,1063442,267635
2009-03-01,1575751,411952,11931,888,1443660,122562,1336805,292055
2009-04-01,1494827,418154,11353,893,1370772,136789,1269121,350078
2009-05-01,1445730,405066,11067,714,1280923,116635,1186296,345632
2009-06-01,1398658,382894,10834,665,1285151,106673,1184875,317057
2009-07-01,1437277,421206,11234,795,1360363,121399,1258455,330867
2009-08-01,1381720,411764,10832,756,1294854,132857,1189379,374405
2009-09-01,1149414,311748,9130,607,966668,93886,872508,274979
2009-10-01,1270113,399342,9995,669,1153117,109856,1042069,329912
2009-11-01,1287355,406688,10140,772,1154401,126221,1047230,361848
2009-12-01,1376752,423331,10809,884,1202474,123944,1108530,315741
2010-01-01,1362196,396010,10645,910,1238257,127340,1138388,322850
2010-02-01,1252475,357611,9749,877,1122586,115707,1031278,278605
2010-03-01,1543384,362944,12001,950,1439449,131420,1317640,302559
2010-04-01,1458776,419789,11396,933,1399838,143714,1272416,363726
2010-05-01,1420626,413468,11269,801,1304209,125472,1180928,348997
2010-06-01,1412457,410857,11211,745,1311898,121627,1191013,347717
2010-07-01,1491830,469784,11753,864,1418428,138404,1293558,378629
2010-08-01,1407448,414783,11119,797,1326496,138761,1205459,378666
2010-09-01,1186345,344369,9433,678,1037584,106774,923849,303315
2010-10-01,1318343,420387,10318,730,1254938,121177,1133503,348913
2010-11-01,1350192,376343,10658,682,1283386,116142,1165737,334279
2010-12-01,1429929,423064,11184,914,1301169,130264,1198912,318896
2011-01-01,1423513,415063,11064,964,1278271,133227,1177727,319162
2011-02-01,1303089,397748,10093,876,1176605,123762,1082984,294181
2011-03-01,1597097,443335,12296,973,1513751,141111,1404171,326434
2011-04-01,1532193,456137,11854,966,1392844,152295,1296089,378902
2011-05-01,1444190,403232,11335,755,1386114,130596,1274778,348745
2011-06-01,1442020,417849,11324,766,1318063,126694,1219467,345393
2011-07-01,1513236,496075,11867,946,1429027,142989,1327090,383372
2011-08-01,1377970,490622,10871,921,1267673,153983,1167275,429452
2011-09-01,1177722,411487,9363,810,1043585,124406,942082,343466
2011-10-01,1294901,479661,10116,874,1232841,138695,1112527,391510
2011-11-01,1298740,441304,10157,966,1242164,147889,1128950,388663
2011-12-01,1423439,481136,10971,1137,1256245,146531,1160769,353183
2012-01-01,1361960,437187,10450,1076,1248267,150135,1144638,359299
2012-02-01,1345105,427199,10290,1040,1220839,140114,1119330,322807
2012-03-01,1579761,513246,11952,1196,1470741,164944,1374213,387563
2012-04-01,1472309,504600,11167,1125,1412747,174258,1304148,435751
2012-05-01,1427992,472509,10996,927,1331485,145956,1225991,388007
2012-06-01,1409627,480614,10821,915,1319435,140506,1222164,391608
2012-07-01,1469366,499892,11303,1021,1369082,158729,1279017,409499
2012-08-01,1350059,502023,10350,984,1267087,167913,1177652,442144
2012-09-01,1150152,395663,8921,806,1003314,127082,909385,343480
2012-10-01,1244951,452643,9418,873,1170961,136119,1075635,371477
2012-11-01,1337313,450004,9819,1031,1218039,156075,1129015,397610
2012-12-01,1428573,496363,10455,1233,1235144,157534,1165902,361756
2013-01-01,1355918,471475,9939,1186,1231937,166834,1147836,393371
2013-02-01,1285366,434855,9416,1101,1157669,149718,1080849,335621
2013-03-01,1581688,513920,11564,1266,1459884,173171,1376331,387782
2013-04-01,1458496,507118,10783,1192,1352095,179014,1263723,436877
2013-05-01,1425961,483805,10533,1103,1309954,168308,1228694,400310
2013-06-01,1418060,447731,10437,975,1314938,143490,1250476,370178
2013-07-01,1462858,501304,10881,1123,1312466,166260,1256687,415249
2013-08-01,1331804,508480,9934,1092,1242508,176439,1167778,451566
2013-09-01,1100899,428127,8337,876,974698,137278,891863,368896
2013-10-01,1258870,471459,9264,928,1147492,142816,1063017,378552
2013-11-01,1330238,428480,9672,994,1174545,149513,1098726,377107
2013-12-01,1422645,461116,10385,1214,1261007,163135,1192478,361382
2014-01-01,1335285,491389,9636,1204,1223283,179168,1151653,422125
2014-02-01,1269443,400523,9091,1046,1169972,145225,1102688,317464
2014-03-01,1576397,455337,11203,1261,1468562,175041,1392492,379430
2014-04-01,1430904,567973,10302,1249,1306463,182595,1231034,457592
2014-05-01,1428571,557806,10335,1193,1327415,185224,1251973,467720
2014-06-01,1443344,518742,10268,1094,1288270,161344,1241751,422554
2014-07-01,1481033,598284,10559,1252,1324976,190387,1284436,482533
2014-08-01,1359028,579386,9795,1246,1275575,207245,1215088,530484
2014-09-01,1138829,461605,8352,936,1006580,148254,931581,406688
2014-10-01,1271185,544132,9216,1181,1188487,181609,1101813,456193
2014-11-01,1364691,479943,9834,1063,1237560,166107,1165533,427067
2014-12-01,1526022,499533,10817,1290,1311291,182083,1263522,401879
2015-01-01,1504650,565461,10664,1369,1322561,203550,1261853,483817
2015-02-01,1372968,481250,9635,1209,1235516,172698,1172722,387077
2015-03-01,1711549,563338,11885,1406,1535724,196332,1474156,431932
2015-04-01,1575818,656722,11138,1384,1452470,214014,1382782,537289
2015-05-01,1580741,652767,11050,1285,1390675,205172,1342239,539584
2015-06-01,1546414,631723,10805,1243,1355275,187303,1314949,505349
2015-07-01,1591275,772791,11080,1466,1417909,231193,1383819,616007
2015-08-01,1457771,771311,10158,1436,1338641,247390,1285814,686564
2015-09-01,1246586,669685,8759,1194,1100116,192906,1035879,557561
2015-10-01,1372869,741473,9468,1292,1287968,201008,1214040,598759
2015-11-01,1537230,623640,10300,1246,1388009,202202,1325758,533676
2015-12-01,1698935,701779,11220,1468,1444564,220435,1410956,565522
2016-01-01,1673322,719404,10957,1540,1456202,233701,1416621,604821
2016-02-01,1602506,636845,10514,1423,1402743,201346,1363944,492294
2016-03-01,1879507,718090,12227,1580,1662187,222176,1630720,528329
2016-04-01,1727857,795163,11365,1534,1557037,233874,1520451,646648
2016-05-01,1663853,774246,10968,1374,1521874,228733,1482217,648616
2016-06-01,1675659,736879,11024,1298,1478265,209203,1459321,614747
2016-07-01,1750921,895878,11494,1487,1542009,255072,1528116,725087
2016-08-01,1592210,929039,10497,1454,1404696,273003,1378095,817412
2016-09-01,1366559,727209,9160,1183,1211491,208169,1158756,615995
2016-10-01,1446119,768980,9496,1206,1308655,212961,1255955,626508
2016-11-01,1635983,648280,10554,1163,1470414,203684,1423539,558450
2016-12-01,1796025,691182,11405,1414,1528755,223027,1508418,568804
2017-01-01,1803130,,11341,,1563974,,1545818,
2017-02-01,1648050,,10419,,1420060,,1397018,
2017-03-01,1983873,,12384,,1741084,,1725410,
