Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,852366,18337,9697,62,668576,6823,530879,7279
2002-11-01,799036,25414,9020,79,592723,8747,479564,13102
2002-12-01,831521,23584,9236,74,666624,14832,564438,17126
2003-01-01,856090,25722,9458,74,581017,12483,492283,13914
2003-02-01,763320,28633,8261,84,550601,11072,472073,18363
2003-03-01,861358,30848,9270,90,709773,20210,615320,21503
2003-04-01,839605,16621,9230,49,689931,10000,591599,10218
2003-05-01,863915,18618,9342,63,737701,6849,625990,11004
2003-06-01,851964,16382,9459,56,810021,8177,692664,13181
2003-07-01,875000,15928,9516,55,836571,7816,726880,12572
2003-08-01,877230,17067,9572,58,796213,7767,689344,12829
2003-09-01,875223,12103,9460,40,683014,3986,576735,6944
2003-10-01,937423,14926,10120,51,768736,6035,658906,9959
2003-11-01,878104,17192,9384,59,683626,7649,581246,12622
2003-12-01,906076,23857,9831,77,712988,12106,620610,19890
2004-01-01,909814,29437,9619,91,578770,12512,506662,20710
2004-02-01,870372,26994,9369,83,632643,12153,545123,19598
2004-03-01,954630,27491,10252,85,803440,12415,686187,20253
2004-04-01,931712,27508,9992,83,804632,11737,684126,19162
2004-05-01,938708,18297,9983,62,782278,7299,651751,11916
2004-06-01,950039,28134,10251,129,873121,6651,747925,18418
2004-07-01,977191,30911,10379,119,909646,13121,792607,21140
2004-08-01,988406,27682,10604,110,865128,11899,747917,19098
2004-09-01,871395,12975,9671,64,689755,4993,573494,7842
2004-10-01,927606,18991,10372,69,768195,6974,632152,11327
2004-11-01,870566,17289,9474,62,680355,3294,575036,11751
2004-12-01,909068,24894,9721,83,698320,12160,599174,19920
2005-01-01,838695,27740,8245,85,513752,9595,455334,16014
2005-02-01,688092,19284,6870,67,469204,7344,402822,11985
2005-03-01,818435,21018,7988,72,685410,9876,599938,16048
2005-04-01,819865,20137,7649,71,601516,7663,520718,12427
2005-05-01,857452,17029,7991,63,708030,7627,600560,12317
2005-06-01,865834,17498,8069,63,776629,9718,666148,15730
2005-07-01,930620,16581,8509,61,861682,8495,743050,13685
2005-08-01,938118,16624,8651,61,838200,7513,718624,12263
2005-09-01,864915,12487,8098,45,705393,4371,601328,7374
2005-10-01,895994,11333,8319,40,751434,4549,640353,7900
2005-11-01,835859,9384,7791,32,694492,4011,594265,6982
2005-12-01,844902,12530,7915,46,664311,6869,591307,11212
2006-01-01,866548,14342,8197,54,569469,5709,513272,9103
2006-02-01,788661,14859,7418,55,586087,5064,525970,7915
2006-03-01,899134,17599,8522,66,772062,7462,684109,11549
2006-04-01,857587,17433,8167,64,733661,7829,654786,12336
2006-05-01,877269,16721,8543,60,774583,6803,673141,10783
2006-06-01,875677,16937,8576,60,841072,9529,726830,15267
2006-07-01,915944,17420,8905,62,870203,9502,760854,15327
2006-08-01,928407,16924,9060,60,840623,8209,738740,12918
2006-09-01,855777,10849,8258,38,672253,4533,587900,7528
2006-10-01,901834,10524,8783,37,758766,5196,663571,8289
2006-11-01,864577,12802,8363,46,711332,6357,623458,10143
2006-12-01,877042,14700,8486,53,683509,8483,600501,13485
2007-01-01,898049,11348,8680,40,587793,4051,532372,7346
2007-02-01,780168,9890,7593,35,554373,3213,495129,5923
2007-03-01,928797,13811,9018,49,770006,4753,679824,8707
2007-04-01,924777,11897,8943,41,734131,3476,640320,6400
2007-05-01,964968,9808,9201,35,802965,3014,700688,5487
2007-06-01,947097,10173,8930,35,893070,4758,793585,8458
2007-07-01,972640,10148,9043,35,921877,5139,832155,9126
2007-08-01,972466,9644,9078,34,895669,4615,809155,7280
2007-09-01,922574,9536,8516,35,713632,3193,633890,5311
2007-10-01,968281,9493,8972,35,787574,3303,705172,5392
2007-11-01,912206,10739,8468,39,727010,4411,650273,7053
2007-12-01,891808,11948,8195,45,672721,6421,613099,10323
2008-01-01,886772,10326,8301,37,564482,3971,535947,6475
2008-02-01,784101,10693,7342,38,572386,4014,532139,6718
2008-03-01,916794,14199,8419,51,752688,7410,695944,12223
2008-04-01,886403,552,8252,2,700678,217,636749,336
2008-05-01,895748,,8266,,741372,,675591,
2008-06-01,864995,,7906,,754642,13,689295,
2008-07-01,883411,,8085,,745151,20,681556,
2008-08-01,870629,,7959,,731534,14,681620,
2008-09-01,816246,,7548,,599399,7,544385,
2008-10-01,853732,8,7875,1,682583,21,627430,3
2008-11-01,753797,1554,7147,50,559568,796,498073,345
2008-12-01,712076,2176,6826,70,580343,1356,527893,598
2009-01-01,700970,3543,6760,114,486504,1182,453950,525
2009-02-01,648886,3885,6300,125,485753,1300,452276,577
2009-03-01,797407,4569,7709,147,705001,1369,637886,608
2009-04-01,791652,3947,7671,127,692143,1457,622242,647
2009-05-01,816701,4165,7863,134,713732,2199,631184,970
2009-06-01,813435,4569,7842,147,765047,2502,675393,1110
2009-07-01,847662,4848,8179,156,831802,2735,735274,1214
2009-08-01,818545,4538,7959,146,775851,3255,692322,1444
2009-09-01,750910,4693,7430,151,683869,2976,603109,1321
2009-10-01,773740,4724,7667,152,733522,3420,644536,1515
2009-11-01,743294,4507,7374,145,665579,3080,578066,1360
2009-12-01,760216,4164,7498,130,674629,3020,589634,1420
2010-01-01,707405,3636,7018,117,556933,1802,502735,798
2010-02-01,607545,3512,6044,113,518206,1939,456991,859
2010-03-01,773955,4165,7622,134,748169,2805,659021,1241
2010-04-01,787153,4382,7699,141,714222,3372,629466,1488
2010-05-01,818984,4569,7940,147,746837,4577,653849,2014
2010-06-01,800752,4693,7693,151,782492,4523,681949,1994
2010-07-01,810977,4848,7709,156,820999,4949,723308,2196
2010-08-01,793933,4755,7576,153,779301,5449,690048,2402
2010-09-01,741455,4699,7086,151,673572,4412,593425,1950
2010-10-01,768243,4538,7331,146,747263,4417,661877,1958
2010-11-01,748196,4677,7082,150,694424,4198,616974,1866
2010-12-01,732806,7772,6901,140,674880,5549,606146,4941
2011-01-01,712786,8084,6798,136,593439,4382,538010,4041
2011-02-01,610665,3667,5818,111,528504,2485,473357,1204
2011-03-01,818626,12126,7707,170,783345,6373,701671,6065
2011-04-01,829038,11536,7744,158,742606,6885,669261,6625
2011-05-01,840583,13620,7970,185,810672,9725,717531,8909
2011-06-01,871619,16672,8119,201,841678,12247,758154,13029
2011-07-01,897321,18697,8321,210,869629,11731,794005,11784
2011-08-01,853406,18262,8009,217,822929,12575,735950,12181
2011-09-01,776531,12114,7373,180,736397,9941,643378,8445
2011-10-01,824124,13680,7783,192,804827,10868,707512,9403
2011-11-01,770446,19925,7315,216,738936,12968,643135,13606
2011-12-01,796725,27621,7517,224,728751,17288,639178,22965
2012-01-01,695624,26242,6735,208,592997,12590,527282,16371
2012-02-01,671775,7783,6476,141,586156,4848,517248,3872
2012-03-01,840990,19212,7898,196,806223,10998,721524,12470
2012-04-01,830072,20385,7788,202,757464,12010,668897,13525
2012-05-01,843724,23386,7959,233,815995,14354,717533,16349
2012-06-01,872880,28756,8022,257,873087,19471,774584,23742
2012-07-01,916123,33728,8344,286,894452,21883,807608,26107
2012-08-01,883813,33999,8028,289,859003,21811,774158,25073
2012-09-01,814158,29428,7352,255,745783,16622,667391,18895
2012-10-01,844671,30288,7732,258,832399,17323,724584,20120
2012-11-01,773510,29396,7090,255,738511,15750,641070,19458
2012-12-01,791987,34070,7123,245,728286,20484,639873,28058
2013-01-01,730250,39324,6690,280,605536,15524,544684,20753
2013-02-01,665726,31510,6035,240,582481,14009,520739,18494
2013-03-01,852262,34610,7565,261,814401,20107,729470,26732
2013-04-01,870127,37343,7726,281,768085,19149,678832,24837
2013-05-01,894557,42757,7970,323,876625,25187,764499,33226
2013-06-01,950348,38970,8140,303,923695,25968,830868,34181
2013-07-01,991413,41185,8526,334,935133,25734,849932,33573
2013-08-01,955680,40406,8271,330,895343,26754,806993,33283
2013-09-01,867282,37434,7639,296,804624,21623,707187,27195
2013-10-01,896986,39253,7913,305,850112,21642,740571,28158
2013-11-01,801308,40688,7085,300,758178,21109,648084,28815
2013-12-01,843897,41072,7378,272,817687,25278,712097,35430
2014-01-01,648001,37956,5781,263,554864,18873,491660,26987
2014-02-01,650928,33397,5805,240,587769,17000,515671,24521
2014-03-01,873597,46055,7545,315,845290,25744,743371,36598
2014-04-01,878830,43092,7704,305,838066,24478,728411,33990
2014-05-01,891144,44214,7786,327,900375,26869,771099,36181
2014-06-01,946616,39421,8028,310,954824,27009,839528,35317
2014-07-01,1006694,39540,8421,327,1004713,26249,901676,33189
2014-08-01,958940,39183,8102,318,963411,24831,848860,29206
2014-09-01,856799,33023,7293,276,831766,19803,724717,23529
2014-10-01,923556,35403,7913,299,905767,22088,787182,27197
2014-11-01,821543,50503,7139,348,785278,26661,675359,36402
2014-12-01,850779,53042,7381,327,829601,31457,717673,45201
2015-01-01,756618,49840,6630,291,659197,23147,575485,34494
2015-02-01,655513,43397,5719,248,615458,21711,533134,32627
2015-03-01,872981,60803,7340,348,867172,33434,767712,47693
2015-04-01,896985,58214,7539,352,859819,29708,756127,41478
2015-05-01,916100,58440,7669,366,916781,33666,803685,45997
2015-06-01,964771,61102,7974,399,975168,40090,864023,54990
2015-07-01,1034872,65457,8535,436,1051989,40462,945848,55011
2015-08-01,970223,55819,8119,388,985177,34148,871139,44747
2015-09-01,898322,47104,7583,336,905059,28210,789610,37055
2015-10-01,935580,49190,7856,339,964870,30166,839822,41290
2015-11-01,820619,52898,7021,334,819420,28771,708174,40861
2015-12-01,819100,58856,6959,336,806487,34422,702004,50632
2016-01-01,776335,52251,6745,315,699339,27223,610670,40550
2016-02-01,703058,46168,6155,290,648946,24693,561883,36542
2016-03-01,868569,60262,7276,367,874566,34769,771401,50680
2016-04-01,894719,57262,7419,357,881949,30211,768241,43362
2016-05-01,912604,58087,7674,379,957329,35737,824370,49726
2016-06-01,975764,60627,8069,391,1002044,39717,879553,55119
2016-07-01,992024,65114,8138,415,994738,43175,884679,58838
2016-08-01,963676,48253,8059,352,993943,32735,870162,41660
2016-09-01,895857,40723,7524,325,932364,27772,805588,34811
2016-10-01,933228,40892,7805,320,973273,27835,841008,35361
2016-11-01,833472,51047,7155,339,861888,30291,734254,41663
2016-12-01,818115,57338,7015,338,817215,34803,700892,51021
2017-01-01,755480,,6607,,671545,,590256,
2017-02-01,673890,,5954,,627510,,546700,
2017-03-01,880255,,7327,,883753,,779195,
