Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,864919,1646764,6467,5510,523140,488316,530688,1117767
2002-11-01,870417,1627063,6325,5761,577629,528580,594036,1166147
2002-12-01,942773,2074437,6655,6350,634826,650330,674069,1373503
2003-01-01,958337,1784668,6748,6180,676466,558920,724804,1266646
2003-02-01,866279,1562061,6062,5367,590231,490027,621073,1132849
2003-03-01,989074,1701954,6928,5920,707601,545017,751126,1239200
2003-04-01,923194,1556675,6553,5624,621626,492574,661575,1065309
2003-05-01,891642,1550203,6327,5428,588555,496303,622949,1110541
2003-06-01,859171,1558991,6119,5402,571548,563592,602809,1230334
2003-07-01,900053,1678069,6301,6013,617312,644309,662993,1297974
2003-08-01,900080,1658030,6406,5878,627893,608422,683564,1289094
2003-09-01,821780,1533991,5973,5168,441528,446707,466136,1048456
2003-10-01,867185,1634604,6297,5233,528829,484569,548671,1122919
2003-11-01,957233,1634035,6493,5502,609323,541930,648730,1228734
2003-12-01,1001604,1786662,6817,6058,621359,673254,668774,1398293
2004-01-01,1005512,1838723,6871,5926,702337,578449,754903,1330673
2004-02-01,963495,1649068,6526,5343,647673,529683,687914,1210772
2004-03-01,1039797,1735805,7089,5632,747615,575695,800872,1317980
2004-04-01,980173,1610165,6692,5264,698587,534891,747151,1168791
2004-05-01,950524,1626185,6738,5387,626404,534267,663177,1178739
2004-06-01,900691,1643506,6384,5481,613559,592335,653690,1252327
2004-07-01,924255,1750628,6588,5931,651537,667966,698787,1333351
2004-08-01,913099,1723042,6468,5913,628568,618936,691458,1298443
2004-09-01,722899,1375730,5218,4234,408835,394521,441738,912269
2004-10-01,882943,1541676,6462,4883,552169,499149,581262,1061649
2004-11-01,880754,1575808,6484,5081,593764,548423,620637,1155556
2004-12-01,925683,1752804,6883,5509,606305,670062,638954,1340360
2005-01-01,919597,1779682,6788,5471,715908,610010,753077,1327518
2005-02-01,854205,1551935,6273,4815,612701,528691,638011,1158033
