Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1484027,288312,17802,1026,1176919,87993,1018632,224659
2002-11-01,1423715,252295,16866,938,1062035,71891,930286,178537
2002-12-01,1506421,278603,17392,969,1241626,84281,1096921,220191
2003-01-01,1490567,273150,17325,937,1064645,79500,959450,203872
2003-02-01,1384276,245842,15733,889,1056850,78042,951515,177966
2003-03-01,1628402,277658,18071,1000,1328275,90743,1193950,214773
2003-04-01,1439755,244969,16514,869,1112681,69409,980035,162548
2003-05-01,1448993,252986,17014,924,1172952,79142,1026435,201090
2003-06-01,1549529,270194,17992,988,1353986,95297,1201527,229487
2003-07-01,1655890,290788,19072,1038,1490512,103024,1338377,242061
2003-08-01,1663411,301772,19144,1039,1443695,103193,1298512,257211
2003-09-01,1433512,262427,17270,971,1142623,83950,993264,211856
2003-10-01,1518476,259552,18190,959,1253719,82317,1089225,212724
2003-11-01,1439699,234268,17145,861,1141946,70535,1003041,187119
2003-12-01,1561982,248440,18021,886,1283978,80744,1156143,204010
2004-01-01,1565680,264166,17975,917,1119671,80771,1040092,207845
2004-02-01,1548435,263128,17569,915,1136133,91967,1055704,211753
2004-03-01,1718012,285075,19278,1007,1425957,103047,1310109,244817
2004-04-01,1594297,294520,18371,914,1252800,89948,1138764,229693
2004-05-01,1617871,299409,18807,942,1282050,97619,1156272,261247
2004-06-01,1710165,304910,19496,1020,1525446,108159,1377531,271894
2004-07-01,1804222,327222,20451,1095,1613510,114199,1485617,276691
2004-08-01,1800882,319896,20747,1093,1553693,111493,1417208,273247
2004-09-01,1496284,299194,18499,1034,1238817,98319,1064594,255076
2004-10-01,1605661,300700,19385,1018,1353061,97047,1186019,249108
2004-11-01,1555839,276401,18376,894,1255254,80186,1111554,216850
2004-12-01,1661831,295764,18938,963,1333535,92687,1215274,244157
2005-01-01,1561522,324840,18006,1023,1179892,96993,1093571,246192
2005-02-01,1493602,316293,17356,1022,1173537,102686,1088509,238775
2005-03-01,1751619,352414,19682,1147,1511720,121870,1410002,296956
2005-04-01,1611952,316807,18969,986,1319640,97932,1188884,249745
2005-05-01,1606986,299839,19376,983,1379097,100530,1220947,267731
2005-06-01,1710990,328665,19659,1056,1576651,111381,1417304,291721
2005-07-01,1818936,354793,20465,1125,1686350,116922,1554004,294608
2005-08-01,1720302,343461,19890,1074,1565385,110598,1415929,283704
2005-09-01,1493915,318529,18080,997,1302162,97730,1137427,251107
2005-10-01,1481352,291879,17843,930,1333752,90519,1160036,242128
2005-11-01,1419130,236975,16575,840,1228048,71178,1082752,189896
2005-12-01,1550459,246160,17326,883,1293692,77954,1184949,202879
2006-01-01,1381574,256962,16265,957,1156693,87300,1045669,206909
2006-02-01,1295559,249582,14939,932,1128655,88376,1019142,195644
2006-03-01,1539429,354759,17184,1129,1441331,122943,1306117,303223
2006-04-01,1423620,336129,16389,1033,1273130,100056,1138401,254976
2006-05-01,1418727,291483,16735,938,1338214,98654,1170605,263899
2006-06-01,1499506,301498,16801,955,1459121,102778,1290016,275461
2006-07-01,1576971,323980,17358,1060,1516619,107377,1373655,280443
2006-08-01,1549330,311678,17317,1027,1463407,105597,1311855,268455
2006-09-01,1368541,292880,15835,917,1219020,90900,1061256,249462
