Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,3109047,1709354,35632,2995,2440166,361881,2167178,1279762
2002-11-01,2853726,1531424,32679,2796,2148454,308576,1918335,1080045
2002-12-01,2946323,1574091,33274,2897,2397757,349569,2187864,1221984
2003-01-01,2880320,1581349,33304,2926,2038053,305307,1872765,1071030
2003-02-01,2561186,1412418,29502,2640,2002131,265423,1817113,899092
2003-03-01,2890489,1585001,33209,2969,2443706,332562,2203941,1124395
2003-04-01,2725231,1417738,31614,2772,2287731,274001,2054518,907443
2003-05-01,2790337,1464331,32880,2921,2424974,345631,2174918,1202136
2003-06-01,2870275,1660827,33235,3185,2601212,426808,2350977,1460314
2003-07-01,2932663,1763325,31592,3300,2656796,422397,2387436,1402086
2003-08-01,2973307,1797601,34078,3374,2567497,421109,2335254,1437253
2003-09-01,2804124,1762529,33086,3103,2231254,386771,1988615,1413204
2003-10-01,2927621,1737784,34906,3083,2478985,363882,2205908,1314580
2003-11-01,2864505,1596981,33890,2880,2316263,335372,2046543,1207078
2003-12-01,3026144,1675915,36154,3049,2461374,389712,2240967,1379540
2004-01-01,2916777,1704933,34272,3044,2032667,331854,1862897,1187273
2004-02-01,2872517,1570751,34169,2900,2200983,306513,2001399,1046023
2004-03-01,3113185,1706457,36326,3148,2637680,394514,2384624,1368583
2004-04-01,3035593,1714691,35923,3130,2557628,375974,2300416,1303654
2004-05-01,3074942,1811118,35177,3145,2597114,424823,2333733,1530322
2004-06-01,3193473,1876248,35842,3321,2891712,480111,2659713,1696240
2004-07-01,3272309,2003606,36914,3498,2946134,468324,2728675,1606417
2004-08-01,3319114,1986484,37250,3513,2889955,454590,2657382,1565327
2004-09-01,3063324,1879642,35227,3280,2556251,434674,2305685,1533040
2004-10-01,3209570,1853773,36766,3300,2771638,405032,2490568,1418404
2004-11-01,2940105,1777370,34124,3183,2443911,362363,2199244,1306425
2004-12-01,3061099,1851729,34912,3314,2501422,412046,2311453,1482312
2005-01-01,2875423,1856128,32757,3334,2165220,365078,2030870,1298000
2005-02-01,2711848,1674716,31589,3107,2143058,328450,1996204,1119806
2005-03-01,3075286,1909911,35696,3492,2753365,440563,2535442,1531882
2005-04-01,2939943,2000129,34848,3492,2541964,411193,2279283,1464367
2005-05-01,2989906,2167270,35482,3641,2699717,499545,2424338,1847205
2005-06-01,2997563,2165352,35130,3640,2881258,536708,2605987,1949677
2005-07-01,3074793,2240693,35568,3804,2919819,513203,2668465,1834812
2005-08-01,3073709,2225126,36328,3763,2810887,483456,2529754,1736509
2005-09-01,2886631,2106411,33945,3511,2546890,456494,2275533,1676616
2005-10-01,2955311,2118886,34904,3487,2700719,434858,2405862,1613018
2005-11-01,2847997,1852564,33213,3226,2552818,385747,2266756,1382081
2005-12-01,2909294,1939246,33304,3374,2537854,434265,2312353,1585162
2006-01-01,2850507,2004801,33356,3543,2313790,387764,2131194,1399127
2006-02-01,2648004,1803447,30866,3209,2257206,343445,2069807,1201871
2006-03-01,3000164,2070811,34437,3608,2775206,460986,2530073,1634405
2006-04-01,2867945,2210847,33553,3593,2583489,439592,2337182,1607942
2006-05-01,2938843,2331634,34679,3732,2712717,523139,2430679,1986275
2006-06-01,2928947,2307980,34628,3827,2846936,564555,2545082,2114289
2006-07-01,2984589,2413131,34993,3956,2864664,540689,2615335,1989781
2006-08-01,3022544,2405177,35691,3956,2759642,504947,2474536,1832560
2006-09-01,2797988,2352736,33197,3658,2445699,492795,2163039,1854887
2006-10-01,2903898,2254396,34342,3616,2686526,446743,2372758,1669270
2006-11-01,2726678,2113738,32794,3570,2502023,421667,2201938,1552728
2006-12-01,2776339,2151385,32467,3678,2388152,461756,2177751,1690937
2007-01-01,2865028,2166585,33770,3761,2321926,407324,2114435,1474701
2007-02-01,2498800,1914649,28895,3305,2141920,344636,1950272,1221966
2007-03-01,2929858,2176121,34067,3803,2736628,490427,2492944,1766603
2007-04-01,2782445,2176198,32813,3667,2577386,432627,2306676,1578971
2007-05-01,2891409,2294240,35031,3767,2779638,515243,2453128,1956461
2007-06-01,2797534,2313268,33182,3757,2814795,557762,2504302,2097918
2007-07-01,2901821,2422686,34337,3985,2854152,534736,2564728,1955554
2007-08-01,2891730,2412142,34413,3968,2788406,507032,2476577,1848936
2007-09-01,2707801,2282637,32786,3709,2461840,477303,2144084,1795767
2007-10-01,2833662,2226832,34405,3743,2681107,456765,2334874,1690348
2007-11-01,2676033,2017362,32475,3504,2456002,414533,2149481,1517071
2007-12-01,2601681,2133799,30039,3639,2221522,454500,2011381,1674923
2008-01-01,2564339,2186275,30675,3812,2054376,408688,1862431,1496053
2008-02-01,2348225,1983080,27443,3463,1994088,359604,1803052,1259801
2008-03-01,2677493,2184328,31805,3922,2493535,482158,2244329,1706124
2008-04-01,2610077,2179369,31905,3807,2420284,430809,2119632,1547500
2008-05-01,2741505,2311466,33204,3885,2579839,512691,2273694,1919459
2008-06-01,2663979,2443835,32314,4015,2614842,557792,2314204,2099175
2008-07-01,2774234,2435976,34221,4139,2682934,513179,2390739,1879490
2008-08-01,2734362,2427142,33248,4181,2588579,507137,2309333,1824331
2008-09-01,2474436,2169002,30872,3750,2241562,437073,1938756,1632657
2008-10-01,2559523,2157904,31939,3876,2453305,437468,2111924,1613070
2008-11-01,2258680,1876717,28066,3528,2003233,381347,1749316,1369488
2008-12-01,2291564,1930406,27727,3632,2042041,428916,1841798,1521176
2009-01-01,2237813,1900445,28018,3663,1780448,374712,1600601,1279031
2009-02-01,2113318,1643437,26500,3305,1759014,320525,1572893,1046192
2009-03-01,2436848,1945513,30047,3830,2267624,415437,1994121,1392332
2009-04-01,2327476,2017114,28933,3742,2158812,402713,1897838,1416146
2009-05-01,2379297,2095594,29718,3607,2236470,447952,1951641,1716384
2009-06-01,2383870,2140329,29717,3759,2382222,499773,2074958,1890412
2009-07-01,2482874,2250637,31050,3970,2494585,499076,2186088,1803870
2009-08-01,2497065,2214936,31110,3953,2403902,480322,2104365,1707328
2009-09-01,2296959,1951694,29508,3555,2125351,413803,1813866,1539343
2009-10-01,2381782,1951127,30450,3701,2327561,424962,2000204,1577461
2009-11-01,2221500,1773138,28536,3398,2053195,362682,1770390,1354924
2009-12-01,2295452,1844605,28295,3558,2056288,415606,1846435,1544442
2010-01-01,2256364,1854343,28651,3685,1839373,374236,1646824,1359608
2010-02-01,2060017,1646277,26406,3322,1791110,329257,1607675,1153051
2010-03-01,2415042,1884477,31009,3813,2328662,430917,2049782,1525203
2010-04-01,2401720,1844026,31290,3564,2226156,379074,1939901,1385600
2010-05-01,2485702,2176305,32024,3903,2362635,494670,2087096,1890466
2010-06-01,2499584,2224657,31592,3941,2449884,521385,2196102,2009151
2010-07-01,2638590,2347724,33623,4187,2555653,516951,2326020,1935513
2010-08-01,2644302,2267524,34187,4011,2512934,486172,2246109,1825434
2010-09-01,2422691,2085686,32299,3546,2281338,442024,1973034,1749808
2010-10-01,2492440,2077509,33119,3593,2446353,423967,2127087,1678874
2010-11-01,2354442,1869442,31318,3255,2198438,354912,1908221,1418477
2010-12-01,2268492,1903582,27514,3368,2001834,398340,1840470,1582511
2011-01-01,2220985,1982772,27183,3535,1776465,368717,1647219,1414712
2011-02-01,2004546,1686186,25627,2996,1710867,298785,1547922,1111882
2011-03-01,2524290,2030576,32865,3651,2344944,408972,2099995,1492349
2011-04-01,2386612,2119949,30940,3662,2161200,401534,1927803,1510505
2011-05-01,2439331,2289000,31589,3844,2329934,496288,2072923,1948925
2011-06-01,2528136,2245133,32536,3809,2436170,508946,2193717,2007530
2011-07-01,2626590,2351888,33885,3961,2525583,497585,2301599,1934170
2011-08-01,2604596,2364814,34035,3936,2467849,488765,2223395,1899432
2011-09-01,2385806,2297372,31569,3651,2274962,457659,2008916,1837616
2011-10-01,2463106,2374156,32443,3758,2417073,452783,2131761,1869452
2011-11-01,2245643,1886569,29766,3153,2142822,357686,1894680,1452585
2011-12-01,2323653,1961487,30314,3397,2102690,412967,1928247,1646304
2012-01-01,2221390,1947486,29200,3302,1870122,355744,1708872,1407631
2012-02-01,2167338,1815730,28160,3120,1912781,302238,1718032,1168118
2012-03-01,2485769,1980942,31283,3455,2348842,409498,2111868,1573687
2012-04-01,2398386,1987270,31707,3357,2231742,388551,1965851,1540853
2012-05-01,2432258,2200490,32107,3608,2355823,475443,2077253,1933150
2012-06-01,2461985,2223803,33112,3764,2480870,509977,2170087,2030867
2012-07-01,2503355,2292818,33523,3975,2498266,489409,2211197,1911062
2012-08-01,2506621,2297121,34214,3993,2489434,489234,2170460,1907053
2012-09-01,2275543,2146670,31342,3660,2221834,443589,1905446,1747510
2012-10-01,2353664,2142598,32390,3730,2368804,436661,2040672,1720700
2012-11-01,2202994,1772485,30141,3201,2153216,364797,1853221,1434815
2012-12-01,2215714,1779098,29164,3225,2076496,386407,1838118,1513558
2013-01-01,2155356,1833892,29291,3306,1928466,354575,1697023,1375612
2013-02-01,1966374,1605330,26224,2954,1824565,297091,1597063,1121332
2013-03-01,2323050,1882559,30949,3556,2257564,403981,1983803,1505128
2013-04-01,2227649,2030413,30341,3500,2106565,386016,1816821,1478975
2013-05-01,2392707,2287281,32789,3828,2366564,502040,2044369,2017071
2013-06-01,2425625,2386885,32778,4018,2431750,542421,2133338,2127555
2013-07-01,2526781,2463153,34573,4198,2461924,523511,2208111,2029206
2013-08-01,2529805,2475033,34426,4215,2454754,536573,2169952,2075646
2013-09-01,2324878,2369603,31793,3634,2241606,467985,1937237,1881977
2013-10-01,2483371,2322333,33736,3996,2464561,460237,2119716,1810387
2013-11-01,2310902,1937972,30621,3133,2179626,360063,1887499,1453626
2013-12-01,2308371,2000550,29200,3245,2232916,426544,2012104,1708842
2014-01-01,1999657,2003752,24854,3268,1754729,364608,1583940,1430779
2014-02-01,1948014,1818664,25816,3056,1870399,321756,1634221,1227721
2014-03-01,2378615,2179237,31157,3824,2364317,443380,2066272,1623213
2014-04-01,2307413,2184149,31273,3755,2299097,424950,1971398,1571192
2014-05-01,2428759,2530946,32103,4088,2454807,559899,2107934,2201834
2014-06-01,2514261,2592514,32691,4229,2559051,595977,2214543,2308392
2014-07-01,2654087,2702768,35115,4473,2695144,567259,2350346,2135359
2014-08-01,2585174,2770321,33973,4263,2578210,568691,2233813,2216168
2014-09-01,2377881,2533375,31231,3844,2305025,493652,1968539,1932688
2014-10-01,2605862,2474971,33516,3548,2575987,444883,2201748,1811349
2014-11-01,2389857,2049825,30834,3187,2282095,375824,1951455,1503899
2014-12-01,2440655,2138400,30846,3392,2359587,455759,2081271,1819829
2015-01-01,2237152,2127099,28363,3268,2011759,387807,1762045,1531070
2015-02-01,2004847,1821724,25400,2896,1926363,327538,1674185,1229591
2015-03-01,2600759,2203895,31442,3496,2561418,454360,2247057,1706674
2015-04-01,2533263,2243108,30964,3541,2457810,426674,2104457,1595747
