Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,685012,6172,7223,265,473429,8697,458092,4813
2002-11-01,627431,2733,6783,248,449191,8477,427713,1328
2002-12-01,640810,2801,7035,255,529963,9796,500248,1641
2003-01-01,611395,4107,6919,395,404283,11187,380502,1977
2003-02-01,547185,2558,6270,233,383854,8074,351876,1283
2003-03-01,614551,3659,6943,257,462846,9751,435128,2596
2003-04-01,599222,40924,6786,263,431736,12853,404872,32346
2003-05-01,627479,43022,7035,165,480710,13417,461134,39375
2003-06-01,686437,44292,7304,294,559940,16999,554311,38827
2003-07-01,735895,47043,7698,389,596620,16544,596562,30770
2003-08-01,750750,46776,7703,354,598594,16863,614389,35500
2003-09-01,662744,44593,7148,325,482711,15361,473152,38145
2003-10-01,678932,42406,7366,292,497736,13911,477858,27910
2003-11-01,616504,27474,6858,272,468583,12031,441814,19745
2003-12-01,653916,30958,7294,277,527045,13839,502604,23744
2004-01-01,555596,34667,6314,251,377962,11568,361756,21831
2004-02-01,551724,18338,6558,247,401486,10814,373566,11345
2004-03-01,626252,35015,7252,276,496994,15884,463133,30267
2004-04-01,611136,43428,7006,283,478980,14111,455890,30881
2004-05-01,643461,46556,7193,298,496410,16928,481456,39255
2004-06-01,669795,71791,7289,329,583556,23543,574841,66201
2004-07-01,709726,87097,7609,373,610426,22584,603576,64476
2004-08-01,718313,88564,7688,376,638329,23879,627050,69003
2004-09-01,637549,80165,7037,322,512167,22223,497860,67354
2004-10-01,638107,82761,7113,316,505930,21214,486610,62807
2004-11-01,601956,65040,6865,283,505866,17575,477324,47981
2004-12-01,647976,56102,7208,298,548687,18113,524165,44012
2005-01-01,593565,62413,6768,275,445882,16216,426555,42494
2005-02-01,539068,56886,6404,273,421445,15525,392297,38685
2005-03-01,615948,81244,7315,324,515518,22675,483115,65585
2005-04-01,603503,80880,7026,311,508484,20209,485876,56349
2005-05-01,655356,83437,7383,320,537668,24950,520249,73573
2005-06-01,693600,81456,7438,349,608785,26872,605324,74634
2005-07-01,750456,84507,7849,363,641298,25639,646839,70759
2005-08-01,754478,84483,7932,355,661464,25974,666214,75541
2005-09-01,702354,81081,7336,322,546507,22936,546057,67710
2005-10-01,723581,82914,7532,317,548235,21703,547489,64479
2005-11-01,683356,58579,7146,288,535134,17576,525708,44301
2005-12-01,690469,61633,7316,294,559740,19558,548462,50630
2006-01-01,650088,63974,7075,273,461588,17398,458519,48389
2006-02-01,578940,57052,6382,256,444030,16457,427573,41223
2006-03-01,657441,68579,7147,319,558431,24080,540253,61412
2006-04-01,642085,86982,7209,321,512267,20556,497927,60702
2006-05-01,684988,89781,7563,334,550308,26430,536071,79606
2006-06-01,736175,86703,7684,309,621944,23460,631824,79747
2006-07-01,780073,90569,7966,356,647981,26321,671745,79182
2006-08-01,787838,90102,8094,354,664533,27302,687564,80223
2006-09-01,692482,86267,7466,318,549279,24641,549882,75684
2006-10-01,703453,87779,7657,326,555258,23143,553383,70378
2006-11-01,662660,79059,7259,320,543357,20242,535512,61431
2006-12-01,685803,82428,7396,336,562630,24262,563176,68008
2007-01-01,656794,83060,7307,345,469082,21818,468673,61254
2007-02-01,593770,73955,6754,317,454018,20067,440645,55662
2007-03-01,668509,85267,7591,351,569959,26990,551143,77509
2007-04-01,655581,90714,7420,340,535534,22882,518947,68702
2007-05-01,724245,87045,7768,320,582628,25820,578806,76002
2007-06-01,770115,90065,7793,358,652554,28397,667447,80965
2007-07-01,806830,94969,8084,376,679645,27463,702145,80544
2007-08-01,815325,94695,8162,375,700287,29258,725369,83430
2007-09-01,734951,92124,7497,326,579012,25997,601227,77591
2007-10-01,736734,92787,7801,316,586361,25717,600617,73866
2007-11-01,719551,84323,7555,322,565692,24804,567360,65056
2007-12-01,742570,87989,7733,333,593287,27906,590248,72300
2008-01-01,673506,85837,7474,337,491286,24621,486491,62449
2008-02-01,618166,82777,7005,317,492189,24552,470908,60223
2008-03-01,678123,92563,7584,338,585277,31124,567882,78143
2008-04-01,672073,127641,7388,355,544739,28025,537277,83941
2008-05-01,732106,125747,7686,309,582299,31772,594779,99708
2008-06-01,802164,124122,7917,337,647625,34150,677204,107973
2008-07-01,848739,130620,8313,374,672044,32993,708807,98677
2008-08-01,856355,126554,8154,368,679760,34853,740423,105541
2008-09-01,695610,117389,7081,313,543555,30769,564195,103380
2008-10-01,684179,101510,7078,272,537648,25551,552092,79161
2008-11-01,619123,87388,6219,226,476998,18113,482607,55742
2008-12-01,614725,86020,6290,230,492999,21424,501028,66099
2009-01-01,588833,81049,6486,253,421217,19412,423079,54743
2009-02-01,530318,67891,5910,234,402603,15826,396122,37970
2009-03-01,604784,77236,6761,252,510873,21651,502324,58636
2009-04-01,589451,88451,6669,264,476772,19678,470441,57057
2009-05-01,658503,92966,6917,146,510018,18916,525907,68014
2009-06-01,712245,100490,7090,273,583684,25572,617337,88919
2009-07-01,754235,94708,7372,290,623010,26357,663053,81990
2009-08-01,748644,95833,7275,292,625021,26499,670905,84343
2009-09-01,643268,65711,6624,259,515116,19464,538201,55726
2009-10-01,640036,56392,6738,252,510944,16733,527240,45430
2009-11-01,578266,52946,6254,234,478220,14410,477611,38637
2009-12-01,612597,53985,6539,236,521320,16823,521153,45146
2010-01-01,571723,55260,6339,248,427288,14799,432512,36854
2010-02-01,517183,49609,5828,233,407489,14822,402503,31914
2010-03-01,618258,57246,6663,256,514261,18252,521042,46372
2010-04-01,611091,57093,6453,239,486533,16428,496549,40832
2010-05-01,673489,63891,6708,268,513470,21368,542067,55937
2010-06-01,729855,73330,7058,271,592084,24336,635877,67489
2010-07-01,766566,78302,7338,296,624216,23411,670022,62694
2010-08-01,752430,78250,7237,302,640823,25498,682642,69638
2010-09-01,677108,76882,6720,295,541578,23385,569625,64866
2010-10-01,675003,69495,6663,290,539392,20102,564753,49701
2010-11-01,614246,61451,6175,236,510680,16468,515516,39561
2010-12-01,633850,63958,6448,240,541854,17690,542528,44071
2011-01-01,589909,65582,6305,243,459645,16875,461241,39963
2011-02-01,526829,57296,5618,220,423883,14802,420203,29443
2011-03-01,632399,66011,6422,244,531589,19426,534404,41668
2011-04-01,611292,68757,6191,246,504130,18986,507393,45760
2011-05-01,669096,71059,6487,294,541682,23480,563935,57156
2011-06-01,733742,76114,6728,296,608187,25320,646618,65930
2011-07-01,769647,80248,6907,304,634800,24110,678904,63242
2011-08-01,748752,80182,6856,306,656789,25947,684397,70165
2011-09-01,676937,75007,6212,294,556560,22880,584060,63840
2011-10-01,660203,55848,6293,272,545537,18331,558899,44638
2011-11-01,610787,45623,5975,209,532460,14780,531521,35291
2011-12-01,643047,52126,6215,220,563577,16810,564020,41252
2012-01-01,553506,49287,5872,213,463918,15273,457195,34605
2012-02-01,519714,44553,5433,201,448670,13655,430476,27369
2012-03-01,613565,53068,6225,228,548790,19122,540834,42918
2012-04-01,604409,65628,6142,251,514123,17983,506491,45957
2012-05-01,671443,78367,6508,306,557487,23107,569929,58531
2012-06-01,762921,79375,7050,295,642213,25210,663667,70771
2012-07-01,812249,85030,7377,307,696488,24094,718455,66048
2012-08-01,788381,87038,7271,292,712750,27118,724243,78479
