Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1117550,395819,14733,1143,869043,105740,722878,277595
2002-11-01,1041176,398256,13986,1135,818717,108680,671965,282170
2002-12-01,1030912,405463,13862,1137,890226,113561,742157,304899
2003-01-01,1042454,419945,13709,1177,729478,103022,626699,267343
2003-02-01,889555,361456,11415,1011,674490,90885,580011,233435
2003-03-01,1080160,442484,13898,1281,852594,124160,726041,315677
2003-04-01,1062960,406151,13711,1205,863681,109323,737139,285244
2003-05-01,1077023,464039,13997,1194,866652,131558,745295,369506
2003-06-01,1098810,483964,14168,1327,922004,153858,814193,431696
2003-07-01,1138700,477752,14710,1376,1003240,143702,903183,380987
2003-08-01,1139954,508757,14631,1449,981047,153981,875903,409596
2003-09-01,1067182,483779,13886,1352,756737,128236,656723,367772
2003-10-01,1110285,483859,14547,1406,913406,126675,775480,335278
2003-11-01,1054370,413572,13563,1368,853069,121030,721545,307787
2003-12-01,1094487,423958,13804,1397,880721,128952,771137,327836
2004-01-01,1101727,448271,14106,1474,747234,121359,659508,302223
2004-02-01,1057743,429247,13456,1412,786611,123183,680671,283728
2004-03-01,1140122,466538,14481,1551,929472,154961,802035,380620
2004-04-01,1110820,455528,14315,1489,973927,147280,833628,362579
2004-05-01,1179960,548636,14944,1675,979927,167776,854205,436137
2004-06-01,1221462,532876,14903,1576,1083519,175349,976667,460581
2004-07-01,1289486,553233,15165,1589,1162714,174425,1065080,438496
2004-08-01,1327615,551495,15701,1616,1130646,173612,1034036,441551
2004-09-01,1203073,481991,15148,1348,897786,136435,804941,393715
2004-10-01,1331843,487750,16829,1365,1113228,135924,974682,366024
2004-11-01,1379630,420072,17129,1392,1107020,130328,955265,320288
2004-12-01,1394832,431387,17209,1435,1093551,135390,961167,326332
2005-01-01,1310660,435601,16273,1432,961496,130059,866809,307750
2005-02-01,1250014,400382,16081,1355,966512,119692,855388,269260
2005-03-01,1428553,447074,18451,1557,1265220,163122,1109085,374974
2005-04-01,1370800,476049,18303,1567,1153002,153037,1000305,370502
2005-05-01,1402187,552830,18805,1633,1209905,171756,1050723,457060
2005-06-01,1335582,567339,17692,1617,1249474,184091,1090719,491777
2005-07-01,1350657,594897,17800,1702,1267194,181477,1124016,466636
2005-08-01,1349279,584388,18455,1681,1215200,178416,1063646,469689
2005-09-01,1216148,541244,17280,1523,1014829,155681,872077,448121
2005-10-01,1246124,524583,17473,1498,1110106,141841,951280,381445
2005-11-01,1229783,385444,17334,1338,1088945,118098,929515,297330
2005-12-01,1243248,406489,17467,1377,1033071,119662,905914,299545
2006-01-01,1209365,409400,16373,1322,929496,112196,830913,269921
2006-02-01,1114588,378694,15057,1262,946689,107336,824786,244036
2006-03-01,1321885,430041,17774,1481,1204227,147824,1041433,345636
2006-04-01,1289698,419972,17049,1376,1197681,138495,1041640,328402
2006-05-01,1340860,527496,17774,1525,1224831,165396,1050940,441593
2006-06-01,1304066,606235,16874,1580,1249608,191444,1091928,539890
2006-07-01,1372647,637204,17673,1650,1279454,178866,1141783,490076
2006-08-01,1380918,622768,18096,1634,1263142,172718,1114408,470112
2006-09-01,1272266,613554,16751,1459,1006878,157847,881869,479689
2006-10-01,1328465,521641,17655,1381,1153215,132071,1004129,367121
2006-11-01,1278358,384829,16757,1211,1122789,116598,975621,288060
2006-12-01,1304127,406547,16790,1269,1061948,120785,949796,306728
2007-01-01,1291909,401283,17027,1279,994247,109975,885777,270273
2007-02-01,1118739,377513,14604,1165,941986,102004,831833,231024
2007-03-01,1285386,447954,16683,1332,1188099,141366,1026786,346073
2007-04-01,1277069,441152,16628,1314,1187683,139427,1018285,348517
2007-05-01,1292658,578956,17328,1469,1229075,169229,1035715,477842
2007-06-01,1267466,682200,16372,1558,1266248,200634,1095100,597047
2007-07-01,1331654,717244,16936,1635,1311283,192344,1154942,558475
2007-08-01,1317081,711742,17156,1614,1321898,185395,1147062,541709
2007-09-01,1216854,650375,16212,1431,1066805,163048,918664,511234
2007-10-01,1243120,527554,16746,1293,1194317,131262,1001054,367959
2007-11-01,1212153,421396,16319,1238,1124874,119226,951385,304308
2007-12-01,1210316,455095,16049,1284,1030473,128987,903965,337789
2008-01-01,1216711,449592,16580,1276,1006905,119527,883550,303896
