Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1989018,128646,18761,438,1407732,39883,1389554,87520
2002-11-01,1917604,136481,17898,505,1345740,47177,1313457,89603
2002-12-01,2007893,152828,18633,716,1474411,61008,1459141,105055
2003-01-01,1983967,154207,18149,712,1324980,55511,1313004,101408
2003-02-01,1795130,139640,16355,650,1290730,56043,1265833,97977
2003-03-01,2040769,154631,18431,722,1625383,63710,1628831,113564
2003-04-01,1985110,129778,17996,644,1497358,52848,1517819,93983
2003-05-01,1976042,130104,18007,574,1544961,53034,1545100,104404
2003-06-01,1898420,148654,17702,618,1562760,62336,1571997,124244
2003-07-01,1921596,156705,18036,645,1617886,57049,1605729,104968
2003-08-01,1897513,150798,18092,629,1512909,52831,1476263,102943
2003-09-01,1830015,136269,17161,555,1287683,39447,1250122,89443
2003-10-01,1939743,138136,17913,613,1407743,48210,1447097,99984
2003-11-01,1881087,131470,16954,683,1403941,56388,1380933,97250
2003-12-01,1968471,141164,17569,763,1457231,65186,1447709,105248
2004-01-01,1993199,156841,17562,792,1363324,62726,1358023,106742
2004-02-01,1943054,125512,16783,688,1399904,59949,1396616,92808
2004-03-01,2103210,138777,18183,733,1684903,68195,1696775,110588
2004-04-01,1987587,137888,17368,694,1592211,65231,1621981,106051
2004-05-01,1988964,135527,17679,707,1566207,61754,1570629,107434
2004-06-01,1940839,133117,17368,686,1619660,64621,1641325,109509
2004-07-01,1979146,145154,17858,746,1681860,66429,1688276,109591
2004-08-01,1997392,139762,18095,737,1562070,60950,1575244,98120
2004-09-01,1907984,129795,17276,651,1415858,50979,1393790,93539
2004-10-01,2065478,144558,18116,713,1583922,60179,1587834,101904
2004-11-01,1992279,140195,17591,697,1530969,62742,1509196,103150
2004-12-01,2086763,154259,18331,777,1554145,72548,1533644,115387
2005-01-01,2064895,162065,18009,801,1460509,72428,1453715,117521
2005-02-01,1897566,139380,16680,696,1412006,69035,1397041,106467
2005-03-01,2133719,157098,18791,790,1762324,80202,1769586,127059
2005-04-01,2085974,150611,18226,777,1671462,72825,1682778,122973
2005-05-01,2135966,152377,19014,784,1708214,74679,1703808,126474
2005-06-01,2065106,142905,18485,739,1704932,74587,1722563,122890
2005-07-01,2080332,154491,18580,804,1752696,76213,1742861,123377
2005-08-01,2132580,155768,19012,802,1635911,67831,1656924,110382
2005-09-01,2021768,139483,18099,697,1479313,58832,1455243,100299
2005-10-01,2132867,155734,18922,806,1614379,72240,1602472,112869
2005-11-01,2092721,144586,18372,765,1609804,70336,1601324,108221
2005-12-01,2210366,165431,18863,862,1605146,81045,1619918,119762
2006-01-01,2149016,168337,18591,872,1553139,77995,1560996,120661
2006-02-01,1926123,147904,16708,755,1477726,73005,1475712,108168
2006-03-01,2250190,166204,18961,828,1809795,86978,1857573,134534
2006-04-01,2102617,177202,17993,781,1717340,85081,1773870,148635
2006-05-01,2160100,139495,18531,701,1723519,75453,1775756,122027
2006-06-01,2126293,131448,18199,677,1742990,70772,1823197,112097
2006-07-01,2193860,140754,18756,714,1750908,70802,1835364,110805
2006-08-01,2182264,134737,18811,697,1636922,63942,1708250,95732
2006-09-01,2060264,171745,17827,625,1451720,61136,1474014,133393
2006-10-01,2167106,136835,18645,692,1626043,64156,1672450,103073
2006-11-01,2099766,150993,17872,782,1612901,72617,1636570,108292
2006-12-01,2186788,168218,18476,865,1589413,79576,1659235,123369
2007-01-01,2182948,173379,18297,859,1555176,78248,1604229,121709
2007-02-01,1973809,153136,16647,768,1491938,73939,1520908,109385
2007-03-01,2286643,173739,18881,874,1841829,88182,1910569,137425
2007-04-01,2187175,158737,18178,782,1757658,78970,1836579,123473
2007-05-01,2193561,146654,18333,732,1771354,73876,1835673,117427
2007-06-01,2089991,136452,17405,697,1761130,73150,1842869,115805
2007-07-01,2160911,134444,18208,704,1762185,66549,1848369,103676
2007-08-01,2148277,136504,18268,711,1719642,67303,1791006,99517
