Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,841962,48035,7729,116,596485,12010,586583,32996
2002-11-01,760280,46035,7080,123,565392,12919,542146,35451
2002-12-01,785696,45275,7222,131,607662,12718,590692,33231
2003-01-01,766940,45218,7105,130,528855,11273,504751,30103
2003-02-01,676648,41096,6373,118,512902,11108,487180,28944
2003-03-01,761402,47169,7113,133,596167,13809,578849,36844
2003-04-01,744935,43392,6820,126,602708,12951,587672,32662
2003-05-01,798109,43055,7051,120,609541,13083,598303,34340
2003-06-01,829572,35488,7085,92,670917,12702,679623,30997
2003-07-01,888742,36333,7193,100,746254,12471,769733,28617
2003-08-01,893931,32797,7433,53,743983,7879,769851,27606
2003-09-01,822749,31552,7101,50,576348,6316,578350,25839
2003-10-01,859041,23902,7263,47,612811,6294,636727,18320
2003-11-01,812991,7567,6958,70,594580,6584,600750,5473
2003-12-01,852356,8251,7240,78,627516,6402,646567,5066
2004-01-01,823634,7958,7228,76,559911,4627,572458,3742
2004-02-01,772515,7042,6709,67,568137,5173,566528,4463
2004-03-01,858008,7335,7379,70,665254,6304,675293,5001
2004-04-01,847896,7095,7188,69,696629,6800,709264,5343
2004-05-01,888724,7314,7480,71,673807,6975,690412,5478
2004-06-01,902808,7067,7392,68,712957,7037,751449,5245
2004-07-01,959923,8552,7719,79,774532,8262,815865,6060
2004-08-01,965427,8343,7795,79,790620,8151,836462,6003
2004-09-01,854682,7243,7239,69,624340,5046,638854,3711
2004-10-01,890690,7687,7512,72,681709,7037,708084,5718
2004-11-01,844224,10051,7281,102,642792,7453,653754,6838
2004-12-01,878416,11173,7482,113,653067,8610,673855,7558
2005-01-01,871352,12154,7468,116,601256,6665,627690,6325
2005-02-01,788750,13061,6775,119,575107,8403,589103,8531
2005-03-01,881743,21370,7576,196,725175,16285,757148,15481
2005-04-01,882975,21173,7421,195,702384,14393,743332,13734
2005-05-01,931574,21637,7791,200,717577,15164,760443,14725
2005-06-01,957538,23155,7835,211,766437,16389,834164,17131
2005-07-01,1004867,21949,7991,194,815379,18703,882151,17179
2005-08-01,1005184,26454,8199,222,817801,18584,884902,19090
2005-09-01,883818,21046,7641,173,673931,12204,695600,12243
2005-10-01,908517,19211,7861,161,705040,12739,729578,12863
2005-11-01,856820,15592,7413,127,681813,11090,696219,10496
2005-12-01,893708,17449,7728,145,673032,12141,695636,11913
2006-01-01,859443,19158,7570,161,614680,10227,640460,10271
2006-02-01,789426,17478,6931,148,617024,10393,634538,10583
2006-03-01,917514,19738,7887,168,716862,13731,756765,14316
2006-04-01,886289,18997,7478,163,725087,13981,754180,13944
2006-05-01,951248,17878,7906,156,710721,12598,757624,12639
2006-06-01,976777,15865,7899,146,758015,12327,825580,12299
2006-07-01,1024188,24533,8188,183,808879,15977,880554,19661
2006-08-01,1028644,24233,8251,179,804610,16479,876628,20652
2006-09-01,922424,21536,7583,151,669213,11235,708530,14235
2006-10-01,960270,22816,7881,164,716887,13090,766938,16163
2006-11-01,904685,15410,7429,122,696553,10738,732512,10806
2006-12-01,935120,21217,7707,151,693124,12970,731531,14910
2007-01-01,883500,20794,7638,150,626189,11575,654863,13234
2007-02-01,785368,18246,6841,136,628728,11205,640574,12414
2007-03-01,908465,21561,7824,161,740648,13848,765638,15608
2007-04-01,895594,22110,7477,153,746219,14047,770566,15724
2007-05-01,953936,20533,7990,140,741642,13414,782139,16136
2007-06-01,1009412,19079,8342,135,805427,14105,871759,15667
2007-07-01,1084144,19200,8796,137,858713,13957,937697,14898
2007-08-01,1092363,18665,8967,133,882372,14199,956424,15186
2007-09-01,1013169,17013,8470,121,724847,9468,770467,11022
2007-10-01,1049470,17687,8765,129,754277,11129,814357,13642
2007-11-01,999090,17345,8345,125,750030,11669,797053,13552
2007-12-01,1009254,20829,8944,147,717798,11909,776641,14731
2008-01-01,958931,18589,8072,133,659072,10381,700387,13305
2008-02-01,908342,17041,7643,122,679364,10331,706706,13343
