Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1666559,324859,12415,1329,916207,83724,1100741,257278
2002-11-01,1494915,319777,11485,1278,854178,76350,1016040,236268
2002-12-01,1570129,324966,12084,1341,1027647,83919,1222944,253254
2003-01-01,1522813,327286,11784,1343,810326,79184,971812,238916
2003-02-01,1346755,287446,10599,1210,774837,77349,903766,210386
2003-03-01,1517763,318028,11887,1363,904072,88487,1073199,244050
2003-04-01,1483199,314295,11592,1282,910822,74833,1087820,201316
2003-05-01,1610764,312385,12278,1151,992129,78980,1211431,221666
2003-06-01,1780801,323304,13188,1372,1154312,92753,1433577,269660
2003-07-01,1958314,334159,14192,1524,1284843,103301,1601626,287647
2003-08-01,1968984,332366,14251,1456,1314408,106050,1654906,299610
2003-09-01,1639731,319990,12520,1325,987492,89984,1209230,278938
2003-10-01,1635850,333252,12607,1291,948986,86467,1137648,269062
2003-11-01,1487264,325430,11648,1230,908366,82613,1072142,256952
2003-12-01,1606415,342772,12256,1317,1021628,91416,1222633,278969
2004-01-01,1551348,401474,11328,1308,826236,84982,1005644,255655
2004-02-01,1461808,315089,11155,1344,830863,89017,987342,238683
2004-03-01,1638842,344467,12297,1482,1019667,102698,1245239,288854
2004-04-01,1615274,324085,12106,1437,1020371,92040,1243225,260710
2004-05-01,1763531,330849,12847,1440,1044235,96179,1286085,295388
2004-06-01,1912779,328892,13461,1421,1255642,98395,1586501,302918
2004-07-01,2043738,348499,14221,1514,1358887,100666,1723808,305830
2004-08-01,2046919,344542,14299,1522,1407725,101737,1776131,301026
2004-09-01,1768414,331282,12741,1401,1098903,92930,1370051,287879
2004-10-01,1729552,342900,12699,1389,1011453,84884,1246204,275853
2004-11-01,1590584,331808,11720,1293,991698,79845,1199018,246383
2004-12-01,1648962,347480,11969,1400,1065771,90641,1291672,272623
2005-01-01,1517190,359942,11351,1403,888108,89208,1083318,274793
2005-02-01,1384368,318835,10480,1312,845074,85494,1006602,238175
2005-03-01,1574084,356214,11808,1473,1040846,101378,1258404,301321
2005-04-01,1526717,348744,11411,1377,1026813,91283,1237862,276022
2005-05-01,1665951,342011,11878,1369,1090781,93575,1352742,297606
2005-06-01,1830383,350476,12509,1438,1265479,98135,1593094,317505
2005-07-01,1969391,362696,13383,1536,1373576,99501,1717850,321410
2005-08-01,1937357,359785,13347,1441,1401359,95724,1730567,319754
2005-09-01,1756722,355532,12179,1355,1137642,93296,1411821,307336
2005-10-01,1731409,356327,12209,1350,1039344,90029,1282265,296119
2005-11-01,1565564,353124,11244,1166,1011614,84067,1219904,277246
2005-12-01,1642386,358308,11602,1226,1072835,91307,1307775,298004
2006-01-01,1538116,355040,11248,1273,917131,92132,1125251,290023
2006-02-01,1380678,324211,10244,1167,886381,86956,1060707,251040
2006-03-01,1567935,353273,11527,1293,1075128,103820,1307472,304616
2006-04-01,1589071,335890,11517,1222,1066372,90413,1297121,272813
2006-05-01,1815147,345718,12450,1235,1147223,94047,1432873,296424
2006-06-01,1915486,298872,12876,1163,1323192,80607,1680841,271545
2006-07-01,2013676,381223,13537,1370,1389439,95897,1763407,322400
2006-08-01,2033057,398958,13746,1415,1412110,103903,1778681,342033
2006-09-01,1718491,439459,12171,1306,1144537,108207,1415805,369347
2006-10-01,1707252,388342,12249,1280,1067961,92155,1317066,293147
2006-11-01,1552527,366030,11240,1228,1034109,86368,1247111,284970
2006-12-01,1646246,365825,11733,1290,1088164,94687,1331272,297849
2007-01-01,1578932,393481,11515,1289,923729,92230,1147475,292289
2007-02-01,1419607,350281,10466,1187,883775,88811,1072768,264785
2007-03-01,1628107,383314,11792,1320,1100412,105639,1358470,321603
2007-04-01,1637710,370486,11705,1255,1097420,93045,1341326,284597
2007-05-01,1852488,367225,12671,1251,1208808,104174,1501904,319232
2007-06-01,1974598,381704,12999,1336,1351479,109406,1728976,353942
2007-07-01,2098690,411431,13818,1474,1450863,115422,1846795,359645
2007-08-01,2061179,422558,13751,1491,1486319,122400,1872486,375520
2007-09-01,1844919,406795,12364,1299,1201184,110649,1515967,346882
2007-10-01,1831133,395228,12658,1271,1150933,110559,1441751,319575
2007-11-01,1708142,396301,11852,1245,1113100,104855,1373981,314405
2007-12-01,1755359,401928,12171,1295,1155161,115384,1403385,321633
2008-01-01,1656730,421168,11868,1306,996359,116686,1231061,318424
2008-02-01,1537811,377696,11127,1210,996689,111438,1192290,285067
2008-03-01,1710370,425019,12100,1315,1187164,132110,1452702,350817
2008-04-01,1704167,461530,11925,1298,1112424,111312,1358548,319214
2008-05-01,1920913,455209,13052,1322,1243599,118037,1536416,348172
2008-06-01,2078393,505835,13582,1389,1399182,127815,1755239,416464
2008-07-01,2208413,519103,14308,1491,1479950,127112,1854415,397439
2008-08-01,2159720,510685,13926,1473,1516999,135354,1910024,425922
2008-09-01,1819265,451274,11986,1270,1203441,118463,1499303,375349
2008-10-01,1792179,424336,12048,1246,1141156,105940,1407389,316237
2008-11-01,1593272,390509,10841,1165,1022753,100482,1246277,287963
2008-12-01,1633167,415233,10828,1168,1103995,110843,1360237,331972
2009-01-01,1576297,398163,10737,1169,930933,103206,1152573,291262
2009-02-01,1441819,361756,9940,1110,908563,95078,1096548,252923
2009-03-01,1628540,426144,11138,1208,1139130,114341,1390441,313590
2009-04-01,1603470,412012,10902,1193,1068228,101499,1306610,297493
2009-05-01,1812308,400006,11668,1165,1183243,104011,1492300,309956
2009-06-01,1968588,412083,12306,1155,1341432,109427,1713615,346143
2009-07-01,2086963,455934,12881,1335,1444320,118424,1856111,373657
2009-08-01,2056180,455667,12662,1354,1453497,124966,1868496,395615
2009-09-01,1780185,370740,11309,1135,1201569,101189,1522849,307214
2009-10-01,1726776,370527,11369,1144,1130489,97076,1410036,301171
2009-11-01,1546800,374911,10473,1115,1036456,95300,1267419,285908
2009-12-01,1609817,403811,10774,1194,1128739,112126,1375301,341536
2010-01-01,1486509,440373,10239,1212,954905,110845,1175030,332176
2010-02-01,1340886,347526,9327,1049,895211,97506,1088713,270921
2010-03-01,1561571,386809,10693,1161,1105311,112932,1359644,334577
2010-04-01,1526120,377524,10416,1101,1047501,100703,1290928,290542
2010-05-01,1746909,389233,11360,1173,1142114,112728,1447183,336556
2010-06-01,1949799,456815,12243,1275,1333245,124937,1715701,418686
2010-07-01,2091818,492696,12931,1331,1444478,124206,1859972,411890
2010-08-01,2049203,472451,12710,1299,1456885,126893,1871098,413248
2010-09-01,1808701,467721,11314,1230,1217637,120085,1567334,396670
2010-10-01,1746597,465245,11340,1240,1149889,115713,1453336,380085
2010-11-01,1588806,424404,10566,1064,1092604,101096,1350330,316009
2010-12-01,1641811,448860,10916,1150,1167287,113377,1430371,352905
2011-01-01,1518705,458307,10424,1162,990835,110663,1219464,338742
2011-02-01,1381193,397126,9359,1008,928579,99817,1128039,295419
2011-03-01,1627826,445171,10788,1140,1174099,119347,1442551,360393
2011-04-01,1612616,447219,10572,1140,1100898,112657,1359812,340292
2011-05-01,1790079,448780,11431,1263,1208753,123831,1519979,376380
2011-06-01,1991134,533133,12295,1295,1375375,131417,1758772,454064
2011-07-01,2103019,571194,12861,1372,1472834,135808,1884651,465146
2011-08-01,2065276,577878,12814,1350,1500128,147424,1899558,501692
2011-09-01,1798461,516443,11396,1231,1259634,124712,1590773,421045
2011-10-01,1719087,514989,11236,1237,1153751,119831,1435230,411490
2011-11-01,1594939,411395,10517,1051,1129912,101699,1387090,315847
2011-12-01,1668842,443987,10979,1124,1194183,114731,1464172,365529
2012-01-01,1450048,441739,9767,1096,982707,107613,1213790,326020
2012-02-01,1393984,394933,9552,1045,983699,99524,1181984,282107
2012-03-01,1594801,517552,10680,1179,1180559,130885,1438412,421246
2012-04-01,1593331,501631,10587,1132,1126168,116396,1377997,378964
2012-05-01,1769129,525500,11391,1233,1203543,126767,1512026,430213
2012-06-01,2001347,582466,12251,1260,1388964,142994,1791702,526229
2012-07-01,2120400,632724,12792,1344,1487415,141961,1917094,508158
2012-08-01,2049654,662104,12602,1364,1500333,161832,1901977,582071
2012-09-01,1781805,618099,11162,1308,1236922,139342,1557591,498908
2012-10-01,1643564,585783,10795,1294,1155693,133407,1423806,467604
2012-11-01,1571777,502256,10166,1121,1121010,117166,1379433,400088
