Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2000674,1767420,11214,1555,915470,286708,1313902,1404389
2002-11-01,1890095,1690417,10275,1552,831029,258839,1197150,1248756
2002-12-01,1957927,1741308,10616,1594,966707,297720,1407954,1389889
2003-01-01,1836721,1761657,10531,1598,757505,266743,1095676,1293467
2003-02-01,1622099,1547049,9382,1415,709874,221850,1002092,1050242
2003-03-01,1853957,1744250,10504,1591,860106,244025,1251304,1159938
2003-04-01,1771450,1512400,9943,1418,843806,193945,1261232,856281
2003-05-01,1770466,1357800,10260,1357,885800,219026,1304498,959627
2003-06-01,1881321,1492767,10491,1450,1015994,263641,1545715,1229492
2003-07-01,2004297,1735737,11048,1595,1087004,307228,1640852,1430157
2003-08-01,2006510,1856925,11017,1661,1098104,332106,1652921,1580528
2003-09-01,1755524,1749255,10175,1495,849512,281325,1229177,1389262
2003-10-01,1869799,1796669,10671,1589,924918,295392,1365335,1442551
2003-11-01,1813970,1667999,10163,1515,888193,272276,1294066,1324369
2003-12-01,1961411,1675560,10806,1569,953534,300882,1435535,1393053
2004-01-01,1938957,1718345,10799,1548,785999,277255,1187444,1338362
2004-02-01,1810627,1604370,10017,1432,784474,240901,1144392,1168456
2004-03-01,2027761,1740670,11237,1536,957180,281865,1439070,1377474
2004-04-01,2019462,1739466,10989,1521,989400,279736,1521208,1362571
2004-05-01,2108832,1774148,11499,1547,1016174,321068,1566136,1559963
2004-06-01,2146590,1776265,11471,1578,1142625,345180,1813473,1643077
2004-07-01,2208148,1970470,11817,1781,1188024,344149,1843063,1626912
2004-08-01,2216949,1983302,11756,1777,1172231,339499,1808333,1606378
2004-09-01,1982507,1864146,10940,1568,977646,304304,1464559,1513334
2004-10-01,2006370,1847640,11109,1568,1041457,302941,1578579,1499332
2004-11-01,1809915,1741174,10251,1535,940864,271627,1384506,1323218
