Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,917674,5853,10444,106,717649,7195,618863,3245
2002-11-01,875839,10097,10414,220,659370,6566,559874,5367
2002-12-01,924228,10141,10754,221,782694,8309,667425,6428
2003-01-01,917492,10063,10772,224,715684,8451,626687,6483
2003-02-01,837060,9385,9934,208,674259,7737,577786,6155
2003-03-01,941708,10638,11107,231,803929,8450,710138,6765
2003-04-01,871730,9804,10511,219,662086,6608,581376,5245
2003-05-01,841165,10264,10154,226,690150,7064,604314,5747
2003-06-01,885188,10167,11054,223,802649,8588,704468,6980
2003-07-01,911915,10336,11434,229,858117,9083,750449,7052
2003-08-01,912039,7990,11468,212,854157,7721,739081,5736
2003-09-01,883640,7763,11030,206,680714,5956,590040,4453
2003-10-01,904412,7946,11148,211,722985,5763,620917,4196
2003-11-01,860884,9960,10685,215,649355,6416,548407,5551
2003-12-01,875180,9330,11014,218,724930,6775,610883,5164
2004-01-01,844612,11200,11271,222,667261,6102,571847,6357
2004-02-01,793180,11154,10916,210,670099,7444,567488,7489
2004-03-01,857180,11456,11837,230,760944,6567,666378,6694
2004-04-01,821143,10135,11401,226,678061,7682,590398,6285
2004-05-01,852368,12059,11947,235,678079,8145,589016,8062
2004-06-01,872944,10020,12053,225,801027,7948,709941,6571
2004-07-01,898554,10588,12419,235,841712,9931,746670,7717
2004-08-01,904313,11689,12416,240,819183,9377,726835,8355
2004-09-01,856992,11050,11758,230,699994,7934,612662,7001
2004-10-01,869832,11975,11952,240,714457,8070,619296,7389
2004-11-01,845828,11863,11517,224,684990,7762,587215,7728
2004-12-01,895543,12184,11996,237,752391,9905,643568,8837
2005-01-01,904579,12897,11969,233,750662,10815,660345,9835
2005-02-01,939277,18278,12666,267,782974,13939,685589,14224
2005-03-01,1064728,20706,14429,298,958368,14585,863721,15813
2005-04-01,1016969,20895,13587,293,841036,14954,759769,15787
2005-05-01,1084220,20800,14084,299,851156,14521,787549,15154
2005-06-01,1080393,25469,14085,308,943857,17505,886352,19690
2005-07-01,1116397,27363,14708,328,1020183,18127,947906,20213
2005-08-01,1121913,26682,14843,323,997468,17606,926108,20013
2005-09-01,1007452,24297,14024,308,827734,22314,753343,15614
2005-10-01,1045887,20282,14323,300,842444,12837,756424,13034
2005-11-01,979492,19436,13512,287,799549,13679,708507,13117
2005-12-01,942824,24782,11949,302,782690,15842,702781,17033
2006-01-01,932101,25243,11769,324,798568,16944,730593,17174
2006-02-01,852371,23340,10698,303,739416,16995,673692,17767
2006-03-01,991407,29201,12453,367,908773,21771,838814,23622
2006-04-01,937895,28432,11782,348,800219,19481,731563,21962
2006-05-01,939839,24573,12179,330,792913,18854,708504,19479
2006-06-01,977909,34869,12630,393,896407,22230,826393,26521
2006-07-01,1017673,44833,13264,468,952012,25860,873679,31983
2006-08-01,1030089,43938,13393,463,939623,26552,852541,32901
2006-09-01,912210,28337,12038,359,796254,16992,709344,18231
2006-10-01,920701,23635,12186,325,823397,15734,729432,16664
2006-11-01,875757,31270,11562,353,766070,16937,673361,21268
2006-12-01,950691,43659,12201,440,818851,25782,731980,33177
2007-01-01,945091,42245,12231,468,830004,23781,741709,28919
2007-02-01,840623,38225,11052,415,750708,22096,658677,27368
2007-03-01,977302,42694,12727,445,916091,26539,827698,33240
2007-04-01,918763,37336,11818,423,827446,21997,744832,26114
2007-05-01,924478,36694,11781,407,834693,23680,746152,26387
2007-06-01,983471,37536,13046,409,942006,24539,856607,28730
2007-07-01,1028303,37975,13620,416,985232,26142,895484,30311
2007-08-01,1030110,35824,13612,416,998221,25179,897514,27980
2007-09-01,911299,25422,12050,323,818163,17660,727257,17528
2007-10-01,923316,24158,12326,313,827046,16792,727112,18218
2007-11-01,904731,27188,11954,312,769344,17000,674003,20294
2007-12-01,934931,34313,12222,325,784442,20638,682308,26860
2008-01-01,960778,35310,12167,349,820163,21540,733853,26885
2008-02-01,909099,32463,11599,310,798650,20551,703955,26585
2008-03-01,981330,38675,12603,388,920169,25545,834654,32569
2008-04-01,907880,31406,11605,332,797755,20688,722640,25244
2008-05-01,930198,29025,11636,324,813577,20650,740047,23860
2008-06-01,989350,65790,12248,370,881970,27174,816870,53204
2008-07-01,1018757,72411,12751,377,930655,27383,850436,54115
2008-08-01,983035,60681,12487,342,918623,25245,836372,48513
2008-09-01,794604,48852,10465,292,716537,17045,633488,39247
2008-10-01,817424,36340,10638,291,742029,15466,652567,26981
2008-11-01,771408,39411,10092,289,654176,15695,569176,26879
2008-12-01,834806,52152,10671,369,728281,21628,647557,36503
2009-01-01,862242,45931,10973,331,728767,19150,655485,31203
2009-02-01,807457,39204,10199,271,693949,17630,621531,26054
2009-03-01,914970,38238,11495,292,834960,19406,760254,31118
2009-04-01,865729,44735,11029,288,779340,18678,700790,33629
2009-05-01,885109,46967,11283,283,781631,17859,707005,35459
2009-06-01,977275,80689,12256,310,899852,26156,828493,66614
2009-07-01,1040716,77923,13194,303,995281,23046,902381,54141
2009-08-01,1005752,74132,12669,274,962624,20548,871426,54028
2009-09-01,808080,51389,10669,194,776244,13747,675261,40044
2009-10-01,816240,35314,10814,185,778593,12484,673723,28946
2009-11-01,772680,37564,10220,190,698965,12753,603430,27118
