Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,659214,37917,7313,100,571221,11355,456579,31442
2002-11-01,659323,44491,6920,113,585579,14743,476880,35938
2002-12-01,695412,45485,7277,122,651555,15315,532776,33901
2003-01-01,687006,48037,7280,139,588100,15514,482326,35628
2003-02-01,629052,45129,6742,128,576897,15964,473833,32167
2003-03-01,741791,48334,7829,140,743206,20073,614145,41957
2003-04-01,697184,50626,7408,136,678986,18522,559919,42626
2003-05-01,653445,37431,7266,104,633789,13064,512427,32851
2003-06-01,646019,38257,7045,113,607742,12842,497471,30838
2003-07-01,669826,37945,7528,111,646055,12819,533349,26505
2003-08-01,662712,39657,7343,115,606521,14013,498625,33417
2003-09-01,646417,36668,7028,100,502508,8642,404181,22093
2003-10-01,697854,32202,7423,113,585320,10060,475340,22424
2003-11-01,697363,44658,7222,138,618245,16383,513538,37646
2003-12-01,742835,43128,7705,138,647398,14710,543131,31372
2004-01-01,751521,44573,7727,145,604884,14634,511677,31675
2004-02-01,745158,44300,7513,140,660465,15597,558463,31414
2004-03-01,825766,44969,8242,141,824325,18970,702456,38142
2004-04-01,771068,44744,7702,130,780803,17875,654894,40335
2004-05-01,737712,37297,7634,106,724667,13184,607261,32387
2004-06-01,713971,37308,7353,102,704965,11783,594597,30343
2004-07-01,730405,40714,7421,109,707308,12678,599262,29786
2004-08-01,706779,35538,7134,103,641539,12680,543430,31497
2004-09-01,602203,35976,6128,77,507311,8762,426464,25260
2004-10-01,740214,37475,7653,94,651157,10923,541680,29565
2004-11-01,790764,41565,8495,126,711524,14928,592108,34319
2004-12-01,842226,39230,9010,142,732713,14950,618541,29845
2005-01-01,841837,40123,8995,146,716024,15182,609332,29573
2005-02-01,814658,36890,8346,139,717325,14812,612784,28408
2005-03-01,945443,43837,9549,165,924791,20684,794884,37324
2005-04-01,887102,41223,8984,146,862866,18595,732569,38017
2005-05-01,827025,37303,8539,125,820692,14973,695489,33433
2005-06-01,799340,35594,8191,133,778619,12763,664677,29133
2005-07-01,821353,38146,8428,182,791252,13341,683872,27436
2005-08-01,804665,36056,8415,180,709095,12516,612557,28378
2005-09-01,714081,39934,7678,177,619744,11034,526061,25348
2005-10-01,781761,38093,7926,195,667267,13462,576753,27290
2005-11-01,819113,39630,8347,195,749282,16668,644037,32719
2005-12-01,875479,40522,8558,185,745656,17839,652783,31527
2006-01-01,851035,43500,8391,171,734291,17849,640010,32656
2006-02-01,791802,40903,7687,157,713683,18270,621094,30592
2006-03-01,938629,46953,8907,178,906689,23677,795421,40219
2006-04-01,886156,43427,8480,166,853718,21593,748765,39332
2006-05-01,791772,32991,8002,112,802625,14886,689735,30256
2006-06-01,754980,93289,7489,156,758378,24574,651476,82874
2006-07-01,776465,35059,7667,118,738962,13452,644068,24743
2006-08-01,780412,34409,7773,111,682531,12672,594844,27828
2006-09-01,738876,60008,7317,106,590760,13083,505499,37383
2006-10-01,793371,33708,7787,83,687875,9573,587344,20823
2006-11-01,839558,40917,7980,131,755647,17142,649495,33804
2006-12-01,923240,46025,8716,156,748850,18538,667595,34714
2007-01-01,897466,48511,8550,178,729766,17919,632587,33805
2007-02-01,816852,45738,7785,171,711010,18756,612954,32907
2007-03-01,968669,51509,9130,196,892978,25166,794033,44745
2007-04-01,908360,49038,8654,185,877878,23327,762862,43354
2007-05-01,836620,37949,8216,118,825491,14478,704787,33586
2007-06-01,792673,32874,7808,88,787794,10514,673639,27342
2007-07-01,812859,33070,8040,93,787271,9629,680797,22213
2007-08-01,803673,32767,7977,92,741911,10621,639472,26820
2007-09-01,735814,32612,7281,82,596955,7967,504849,20767
2007-10-01,780980,32110,7726,83,689677,9535,579529,24130
2007-11-01,822686,42776,7938,145,738396,16845,626423,34199
2007-12-01,870238,47034,8291,166,731568,18061,632317,35527
2008-01-01,846610,40211,8236,165,723340,18159,621964,32272
2008-02-01,824833,46298,8086,170,723408,19677,620777,34256
2008-03-01,969174,53288,9331,200,937148,26268,814884,44800
2008-04-01,878903,48301,8700,177,849269,23876,734673,42999
2008-05-01,819399,37714,8361,99,777479,14326,668160,33741
2008-06-01,770118,32076,7744,81,763346,10461,658191,25838
2008-07-01,788805,32310,7731,76,752487,9987,651801,22534
2008-08-01,743538,34685,7182,82,668532,11567,577188,29089
2008-09-01,630971,29739,6199,76,521023,7958,428501,20344
2008-10-01,690013,31839,6695,76,644302,9552,532609,24741
2008-11-01,723297,39066,6684,122,634942,15587,534660,33272
2008-12-01,769291,42546,6999,151,676568,17570,582331,33327
2009-01-01,726757,43528,6644,178,617490,18760,527966,33932
2009-02-01,692670,39553,6293,162,649431,18651,553101,30910
2009-03-01,821378,46354,7436,181,831553,22008,714408,37545
2009-04-01,751109,47009,6931,177,782913,22728,665204,41824
2009-05-01,703959,38056,6649,113,692272,15624,587180,34010
2009-06-01,664614,35503,6330,112,683573,14116,577701,29660
2009-07-01,685533,37435,6513,120,710230,15484,604621,30419
2009-08-01,653006,38738,6284,121,647793,16882,551791,35190
2009-09-01,557468,33794,5544,90,529728,10873,434585,26336
2009-10-01,611451,34371,5946,89,613912,12243,501775,27983
2009-11-01,638798,42863,6061,127,630240,17631,526427,36037
2009-12-01,696790,42191,6482,136,656127,17497,557916,32601
2010-01-01,678319,42167,6327,154,615558,17937,522684,31755
2010-02-01,624445,43086,5791,149,596361,18235,506890,31019
2010-03-01,784576,52216,7118,186,795378,25021,680366,42419
2010-04-01,748881,43928,6811,173,770472,23376,654272,39426
2010-05-01,701818,39231,6529,105,677459,15712,571065,34030
2010-06-01,666065,34589,6205,89,677334,13150,571417,30450
2010-07-01,682575,38295,6364,99,682538,13255,581162,30609
2010-08-01,650064,36465,6155,93,636988,14414,539228,32061
2010-09-01,575756,33769,5558,82,538260,10597,440955,26299
2010-10-01,627319,36147,5942,88,631764,13408,520515,30289
2010-11-01,665223,37120,6210,97,656438,13570,549410,31062
2010-12-01,708798,37844,6571,139,653296,16709,552832,29252
2011-01-01,682186,47305,6232,154,604591,17676,518451,33351
2011-02-01,638566,43960,5791,166,580233,18377,493524,30133
2011-03-01,815110,49666,7091,172,816439,22326,706824,39393
2011-04-01,768822,57638,6865,174,751007,23588,647438,47522
2011-05-01,693871,48875,6369,110,708332,18207,602796,44703
2011-06-01,686918,45649,6351,99,687311,14704,585912,37819
2011-07-01,703543,84849,6487,136,700783,21657,602650,64903
2011-08-01,647648,47499,6069,103,619965,16356,525365,39747
2011-09-01,573258,45179,5480,93,536032,12014,438929,30055
2011-10-01,621571,45376,5878,96,620757,14492,508441,35062
2011-11-01,642608,47226,5980,129,658478,18033,549786,40008
