Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,10194,,31,,3277,,8179,
2002-11-01,8686,,29,,2269,,5663,
2002-12-01,9285,,31,,2807,,7006,
2003-01-01,9285,,31,,1980,,4942,
2003-02-01,8087,,27,,1696,,4233,
2003-03-01,9285,,31,,2039,,5089,
2003-04-01,10184,,34,,2962,,7393,
2003-05-01,18570,,62,,5417,,13521,
2003-06-01,20956,,60,,6667,,16641,
2003-07-01,22594,,62,,7696,,19209,
2003-08-01,22594,,62,,7891,,19696,
2003-09-01,18750,,60,,5533,60,13960,
2003-10-01,16733,,55,,5781,69,14602,
2003-11-01,8986,,30,,2958,,7383,
2003-12-01,8946,,29,,3169,,7910,
2004-01-01,8986,,30,,2250,,5616,
2004-02-01,8686,,29,,2279,,5688,
2004-03-01,12530,,31,,2999,,7486,
2004-04-01,15089,,36,,3942,,9676,
2004-05-01,26488,,62,,6484,,16184,
2004-06-01,25828,,62,,7725,,19339,
2004-07-01,26617,,62,,8776,,21905,
2004-08-01,26617,,62,,9177,,22906,
2004-09-01,23422,,60,,7301,,18223,
2004-10-01,22294,,61,,8005,,19980,
2004-11-01,12450,,29,,4070,,10159,
2004-12-01,13179,,31,,4449,,11105,
2005-01-01,12190,,29,,3751,,9362,
2005-02-01,11861,,28,,3342,,8342,
2005-03-01,13219,,31,,4014,,10019,
2005-04-01,12849,,30,,4542,,11337,
2005-05-01,26290,,62,,8367,,20847,
2005-06-01,25699,,60,,8965,,22377,
2005-07-01,26587,,62,,9759,,24358,
2005-08-01,26557,,62,,9748,,24331,
2005-09-01,25729,,60,,7592,,18950,
2005-10-01,25759,,60,,8778,,21910,
2005-11-01,12849,,30,,4563,,11389,
2005-12-01,13309,,31,,4855,,12118,
2006-01-01,13279,,31,,3517,,8778,
2006-02-01,11561,,27,,3897,,9727,
2006-03-01,13309,,31,,4673,,11664,
2006-04-01,13279,,31,,4942,,12335,
2006-05-01,25651,,62,,9086,,22679,
2006-06-01,24710,,60,,9307,,23230,
2006-07-01,25599,,62,,9692,,24191,
2006-08-01,25502,,62,,9481,,23665,
2006-09-01,24688,,60,,8002,,19973,
2006-10-01,23577,,59,,8252,,20597,
2006-11-01,11876,,30,,3897,,9727,
2006-12-01,12229,,31,,4107,,10244,
2007-01-01,12096,,31,,3300,,8237,
2007-02-01,10513,,27,,3279,,8184,
2007-03-01,19713,,50,,6475,,16162,
2007-04-01,23601,,60,,8355,,20769,
2007-05-01,24334,,62,,8802,,21970,
2007-06-01,24392,,60,,9448,,23364,
2007-07-01,25457,,62,,9624,,24022,
2007-08-01,25502,,62,,9436,,23552,
2007-09-01,30890,,82,,9684,,24265,
2007-10-01,34101,,93,,11683,,29295,
2007-11-01,20909,,59,,6946,,17456,
2007-12-01,21770,,62,,7166,,17891,
2008-01-01,21526,,61,,5747,,14439,
2008-02-01,20265,,58,,6116,,15110,
2008-03-01,33582,,92,,10344,,25945,
2008-04-01,33017,,90,,10985,,27545,
2008-05-01,34108,,93,,11837,,29685,
2008-06-01,33017,,90,,11841,,29690,
2008-07-01,34138,,93,,12303,,30848,
2008-08-01,34739,,93,,12633,,31680,
2008-09-01,35175,,89,,11855,,29747,
2008-10-01,36665,,93,,12707,,31796,
2008-11-01,27323,,69,,8371,,21036,
2008-12-01,23458,,59,,7661,,19261,
2009-01-01,24519,,62,,6103,,15346,
2009-02-01,21620,,55,,5972,,15027,
2009-03-01,24534,,62,,7986,,20099,
2009-04-01,23400,,60,,8327,,20616,
2009-05-01,30017,,77,,10960,,27138,
2009-06-01,35514,,90,,12534,,31455,
2009-07-01,36659,,93,,13391,,33603,
2009-08-01,36704,,93,,13572,,34061,
2009-09-01,35544,,90,,12569,,31548,
2009-10-01,36674,,93,,13054,,32762,
2009-11-01,27935,,72,,8989,,22597,
2009-12-01,24526,,62,,8603,,21645,
2010-01-01,21669,,55,,6240,,15685,
2010-02-01,19764,,50,,6111,,15360,
2010-03-01,24556,,62,,7933,,19962,
2010-04-01,23750,,60,,8188,,20598,
2010-05-01,24533,,62,,8792,,22120,
2010-06-01,33532,,85,,12115,,30413,
2010-07-01,36697,,93,,13721,,34435,
2010-08-01,36704,,93,,13887,,34852,
2010-09-01,35517,,90,,12136,,30427,
2010-10-01,36674,,93,,13389,,33602,
2010-11-01,25627,,65,,8532,,21451,
2010-12-01,23412,,59,,8385,,21101,
2011-01-01,20616,,52,,6733,,16924,
2011-02-01,20216,,51,,6494,,16334,
2011-03-01,24518,,62,,8764,,22048,
2011-04-01,23766,,60,,8562,,21539,
2011-05-01,24160,,61,,9104,,22878,
2011-06-01,33592,,85,,12288,,30850,
2011-07-01,36704,,93,,13475,,33815,
2011-08-01,35347,,89,,13412,,33659,
2011-09-01,35537,,90,,12769,,32048,
2011-10-01,36603,,93,,13490,,33784,
2011-11-01,25719,,65,,8991,,22610,
2011-12-01,30035,,76,,10838,,27230,
2012-01-01,24948,,63,,8232,,20700,
2012-02-01,22960,,58,,7723,,19429,
2012-03-01,24548,,62,,8856,,22285,
2012-04-01,31588,,80,,11513,,28914,
2012-05-01,36726,,93,,13443,,33736,
2012-06-01,35596,,90,,12864,,32282,
2012-07-01,36711,,93,,13494,,33864,
2012-08-01,36433,,92,,13826,,34692,
2012-09-01,35507,,90,,12756,,32009,
2012-10-01,35574,,90,,13337,,33472,
2012-11-01,24956,,63,,8748,,22003,
2012-12-01,24660,,62,,8881,,22340,
2013-01-01,24607,,62,,8025,,20188,
2013-02-01,20687,,52,,7375,,18552,
2013-03-01,27017,,65,,9503,,23924,
2013-04-01,46194,,112,,15725,,39759,
2013-05-01,51973,,124,,17620,,44459,
2013-06-01,59162,,141,,20939,,52795,
2013-07-01,64210,,155,,23394,,58738,
2013-08-01,61048,,148,,21975,,55422,
2013-09-01,50800,,120,,17244,,43543,
2013-10-01,50370,,124,,18097,,45733,
2013-11-01,45199,,113,,14643,,36991,
2013-12-01,45145,,114,,15655,,39640,
2014-01-01,42770,,107,,12939,,32707,
2014-02-01,37215,,91,,12031,,30400,
2014-03-01,48661,,118,,16676,,42144,
2014-04-01,49903,,120,,18014,,45341,
2014-05-01,58983,,142,,21109,,53258,
2014-06-01,62001,,150,,21947,,55334,
2014-07-01,66568,,155,,23978,,60437,
2014-08-01,64573,,152,,23059,,58128,
2014-09-01,61887,,142,,20882,,52646,
2014-10-01,62573,,146,,22077,,55704,
2014-11-01,45669,,108,,15639,,39534,
2014-12-01,47152,,114,,16789,,42453,
2015-01-01,43410,,105,,13641,,34473,
2015-02-01,36067,,85,,12078,,30553,
2015-03-01,52497,,120,,18441,,46324,
2015-04-01,53124,,121,,19063,,48222,
2015-05-01,63187,,145,,23303,,58525,
2015-06-01,65635,,150,,23829,,60064,
2015-07-01,67537,,154,,24802,,62506,
2015-08-01,68005,,155,,24814,,62552,
2015-09-01,53266,,120,,19061,,48163,
2015-10-01,55279,,124,,20396,,51549,
2015-11-01,51314,,117,,17551,,44349,
2015-12-01,48107,,115,,17039,,43078,
2016-01-01,48137,,116,,15453,,39095,
2016-02-01,45520,,106,,15514,,39083,
2016-03-01,53698,,121,,19196,,48529,
2016-04-01,61071,,136,,22103,,55757,
2016-05-01,68158,,154,,25136,,63357,
2016-06-01,65425,,150,,23496,,59217,
2016-07-01,68556,,156,,24706,,62313,
2016-08-01,68608,,155,,25858,,65191,
2016-09-01,64562,,146,,23058,,58119,
2016-10-01,66033,,150,,24369,,61041,
2016-11-01,54290,,123,,19305,,48789,
2016-12-01,50781,,115,,17782,,44805,
2017-01-01,46644,,107,,14675,,36649,
2017-02-01,40390,,92,,13355,,33561,
2017-03-01,50523,,114,,18026,,45548,
