Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,8664,,31,,2486,,5790,
2002-11-01,8105,,29,,2147,,5000,
2002-12-01,8664,,31,,2857,,6654,
2003-01-01,8664,,31,,2078,,4840,
2003-02-01,6987,,25,,1939,,4516,
2003-03-01,8664,,31,,2643,,6156,
2003-04-01,8384,,30,,2747,,6398,
2003-05-01,8664,,31,,3238,,7541,
2003-06-01,8506,,30,,3111,,7246,
2003-07-01,8664,,31,,3204,,7462,
2003-08-01,8664,,31,,3178,,7402,
2003-09-01,8105,,29,,2501,,5825,
2003-10-01,8664,,31,,2764,,6437,
2003-11-01,8384,,30,,2568,,5981,
2003-12-01,8664,,31,,2700,,6288,
2004-01-01,8664,,31,,2249,,5238,
2004-02-01,8105,,29,,2426,,5650,
2004-03-01,8664,,31,,2596,,6046,
2004-04-01,8384,,30,,2671,,6221,
2004-05-01,8664,,31,,2868,,6680,
2004-06-01,21750,,78,,8022,,18643,
2004-07-01,25925,,93,,9647,,22415,
2004-08-01,25925,,93,,8659,,20123,
2004-09-01,25088,,90,,7612,,17698,
2004-10-01,25645,,92,,9493,,22062,
2004-11-01,24529,,88,,8604,,19989,
2004-12-01,25925,,93,,9771,,22703,
2005-01-01,25925,,93,,8666,,20134,
2005-02-01,23416,,84,,7871,,18397,
2005-03-01,27043,,93,,10081,,23424,
2005-04-01,27911,,90,,10243,,23808,
2005-05-01,28775,,93,,10478,,24352,
2005-06-01,27634,,88,,9722,,22594,
2005-07-01,26919,,92,,10134,,23544,
2005-08-01,26789,,93,,9883,,22966,
2005-09-01,25925,,90,,7981,,18556,
2005-10-01,26789,,93,,8885,,20655,
2005-11-01,25636,,89,,9202,,21377,
2005-12-01,26761,,93,,9699,,22511,
2006-01-01,26211,,91,,8868,,20593,
2006-02-01,23383,,82,,8626,,19726,
2006-03-01,26957,,93,,10326,,23989,
2006-04-01,26009,,90,,10366,,24081,
2006-05-01,27187,,93,,10582,,24583,
2006-06-01,29908,,90,,11775,,27329,
2006-07-01,31391,,92,,12303,,28591,
2006-08-01,31694,,93,,11302,,26268,
2006-09-01,30515,,90,,10883,,25179,
2006-10-01,31797,,93,,10994,,25525,
2006-11-01,32894,,90,,9789,1,22756,
2006-12-01,33722,,93,,10964,17,25520,
2007-01-01,33391,,92,,8521,11,19827,
2007-02-01,29635,,81,,9314,7,21662,
2007-03-01,33699,,92,,12645,20,29421,
2007-04-01,32859,,90,,12274,2,28520,
2007-05-01,33953,,93,,12694,4,29503,
2007-06-01,32873,,90,,12963,1,30119,
2007-07-01,33842,,93,,13414,,31162,
2007-08-01,33200,,92,,12679,,29109,
2007-09-01,31050,,90,,10250,,23724,
2007-10-01,31547,,93,,11452,,26578,
2007-11-01,30606,,90,,10612,,24659,
2007-12-01,31428,,93,,10823,,25150,
2008-01-01,33919,,93,,9580,,22251,
2008-02-01,31737,,87,,9716,,22574,
2008-03-01,33608,,92,,12236,,28425,
2008-04-01,32859,,90,,12359,,28711,
2008-05-01,33932,,93,,12879,,29919,
2008-06-01,32754,,90,,12392,,28788,
2008-07-01,33918,,93,,12739,,29596,
2008-08-01,33925,,93,,12257,,28476,
2008-09-01,32824,,90,,11429,,26555,
2008-10-01,33918,,93,,12459,,28942,
2008-11-01,32114,,88,,10736,,24936,
2008-12-01,32055,,88,,12020,,27886,
2009-01-01,33870,,93,,10260,,23838,
2009-02-01,30650,,84,,9208,,21389,
2009-03-01,33946,,93,,11607,,26964,
2009-04-01,32824,,90,,11755,,27302,
2009-05-01,33925,,93,,12549,,29148,
2009-06-01,32747,,90,,12222,,28391,
2009-07-01,33925,,93,,13121,,30480,
2009-08-01,33932,,93,,12257,,28473,
2009-09-01,32754,,90,,10862,,25233,
2009-10-01,33842,,93,,12573,,29208,
2009-11-01,31727,,87,,10827,,25151,
2009-12-01,31748,,87,,11287,,26220,
2010-01-01,33778,,93,,9840,,22857,
2010-02-01,25165,,69,,7530,,17495,
2010-03-01,33918,,93,,11768,,27341,
2010-04-01,32838,,90,,11908,,27668,
2010-05-01,33855,,93,,12622,,29325,
2010-06-01,32824,,90,,12625,,29328,
2010-07-01,33552,,92,,13323,,30948,
2010-08-01,33918,,93,,13290,,30873,
2010-09-01,32824,,90,,12083,,28067,
2010-10-01,33918,,93,,13705,,31839,
2010-11-01,32093,,88,,12354,,28697,
2010-12-01,33187,,91,,13319,,30938,
2011-01-01,32831,,90,,11155,,25911,
2011-02-01,30636,,84,,10673,,24790,
2011-03-01,33918,,93,,13114,,30465,
2011-04-01,32789,,90,,12612,,29271,
2011-05-01,33842,,93,,13492,,31347,
2011-06-01,32824,,90,,12926,,30030,
