Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,13001,,92,,6875,,7040,
2002-11-01,12276,,87,,6295,,6446,
2002-12-01,12966,,92,,8679,,8887,
2003-01-01,13001,,92,,6185,,6333,
2003-02-01,11004,,78,,5610,,5745,
2003-03-01,12081,,85,,7138,,7309,
2003-04-01,13283,,94,,7873,,8062,
2003-05-01,17558,,124,,12767,,13073,
2003-06-01,23609,,166,,18472,,18769,
2003-07-01,26493,,186,,21036,,21331,
2003-08-01,26252,,186,,19923,,20197,
2003-09-01,21094,,156,,12146,,12304,
2003-10-01,23533,,178,,12570,,12747,
2003-11-01,23698,,173,,13370,,13514,
2003-12-01,24479,,180,,15670,,15898,
2004-01-01,23686,,172,,13929,,14536,
2004-02-01,24312,,181,,13464,,13637,
2004-03-01,26853,,208,,16146,,16319,
2004-04-01,25877,,200,,13684,,13866,
2004-05-01,27569,,208,,17105,,17327,
2004-06-01,36363,,234,,24376,,28060,
2004-07-01,39300,,247,,27326,,31972,
2004-08-01,39107,,244,,22945,,27222,
2004-09-01,26594,,195,,16084,,16972,
2004-10-01,23043,,185,,14433,,14626,
2004-11-01,23367,,177,,15616,,15811,
2004-12-01,24408,,183,,17331,,17541,
2005-01-01,23752,,177,,12460,,12634,
2005-02-01,21672,,166,,13027,,13433,
2005-03-01,23426,,184,,16871,,17101,
2005-04-01,22201,,172,,15777,,15999,
2005-05-01,24575,,179,,18554,,18950,
2005-06-01,29926,,187,,20869,,24144,
2005-07-01,36584,,217,,25704,,29654,
2005-08-01,36786,,217,,24792,,28347,
2005-09-01,27297,,190,,17867,,18901,
2005-10-01,23629,,182,,15531,,15746,
2005-11-01,24179,,178,,16265,,16494,
2005-12-01,25133,,185,,17607,,17852,
2006-01-01,24552,,181,,13467,,13663,
2006-02-01,21992,,162,,11918,,12112,
2006-03-01,25178,,186,,18013,,18272,
2006-04-01,24144,,178,,19430,,19689,
2006-05-01,23829,,181,,19810,,20082,
2006-06-01,35193,,208,,26123,,30524,
2006-07-01,37291,,217,,28229,,33318,
2006-08-01,37474,,218,,26225,,30557,
2006-09-01,27746,,188,,19115,,20096,
2006-10-01,25539,,187,,17335,,17784,
2006-11-01,23403,,175,,16419,,16648,
2006-12-01,23224,,174,,15985,,16187,
2007-01-01,24224,,183,,13990,,14306,
2007-02-01,21338,,161,,12798,,12990,
2007-03-01,24170,,182,,17689,,17959,
2007-04-01,24694,,179,,18884,,19154,
2007-05-01,28215,,185,,22970,,23316,
2007-06-01,37611,,209,,26586,,31912,
2007-07-01,39486,,216,,27941,,33969,
2007-08-01,39306,,216,,26755,,31881,
2007-09-01,28191,,187,,20001,,20740,
2007-10-01,26355,,186,,18772,,19005,
2007-11-01,25964,,179,,18656,,18917,
2007-12-01,25813,,180,,19512,,19782,
2008-01-01,25838,,181,,16539,,17067,
2008-02-01,24273,,173,,16623,,16873,
2008-03-01,25592,,185,,19615,,19894,
2008-04-01,24742,,179,,18995,,19281,
2008-05-01,28331,,186,,23021,,23373,
2008-06-01,35179,,199,,24783,,29187,
2008-07-01,38598,,213,,27469,,33354,
2008-08-01,34990,,202,,25237,,29239,
2008-09-01,26400,,177,,20538,,20954,
2008-10-01,26923,,182,,20176,,20568,
2008-11-01,23600,,164,,17208,,17460,
2008-12-01,22975,,160,,17990,,18243,
2009-01-01,20982,,144,,13662,,13789,
2009-02-01,19426,,133,,12670,,12836,
2009-03-01,22036,,151,,16455,,16674,
2009-04-01,21635,,145,,17470,,17669,
2009-05-01,30891,,181,,23768,,26604,
2009-06-01,38124,,209,,27421,,33131,
2009-07-01,39137,,217,,29464,,35637,
2009-08-01,34085,,196,,25289,,29280,
2009-09-01,21213,,142,,17361,,17588,
2009-10-01,21396,,144,,17307,,17675,
2009-11-01,18401,,123,,14536,,14768,
2009-12-01,18260,,120,,14737,,14997,
2010-01-01,17822,,117,,13259,,13505,
2010-02-01,15882,,105,,12506,,12881,
2010-03-01,18068,,121,,15172,,15440,
2010-04-01,18703,,120,,14877,,15151,
2010-05-01,25756,,142,,19199,,22090,
2010-06-01,33024,,175,,23706,,29352,
2010-07-01,36663,,186,,27877,,34329,
2010-08-01,35071,,176,,24626,,29644,
2010-09-01,18045,,102,,14507,,15417,
2010-10-01,15038,,93,,12185,,12477,
2010-11-01,14422,,90,,11589,,11867,
2010-12-01,14424,,93,,11610,,11889,
2011-01-01,13789,,89,,10641,,10896,
2011-02-01,11861,,82,,8883,,9096,
2011-03-01,13750,,93,,11424,,11698,
2011-04-01,13066,,90,,10661,,10917,
2011-05-01,13702,,93,,12437,,12735,
2011-06-01,28978,,142,,20095,,25588,
