Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1152,,4,,136,,327,
2002-11-01,8644,,30,,1943,,4665,
2002-12-01,8647,,30,,2821,,6776,
2003-01-01,8932,,31,,1859,,4463,
2003-02-01,7779,,27,,1606,,3856,
2003-03-01,8932,,31,,2056,,4936,
2003-04-01,8644,,30,,2581,,6197,
2003-05-01,9931,,31,,3195,,7671,
2003-06-01,15270,,53,,5077,160,12574,
2003-07-01,17863,,62,,6399,204,15854,
2003-08-01,17634,,62,,6402,217,15686,
2003-09-01,17287,,60,,4910,33,11868,
2003-10-01,17786,,62,,4978,41,11977,
2003-11-01,17287,,60,,4647,120,11446,
2003-12-01,17287,,60,,5865,163,14473,
2004-01-01,17287,,60,,4617,110,11350,
2004-02-01,16711,,58,,4233,165,10560,
2004-03-01,17863,,62,,5905,97,14411,
2004-04-01,18036,,60,,5812,186,14401,
2004-05-01,21734,,62,,6736,174,16591,
2004-06-01,24154,,60,,7845,45,18944,
2004-07-01,25604,,62,,9353,,22457,
2004-08-01,25604,,62,,8970,,21537,
2004-09-01,22531,,60,,7061,,16953,
2004-10-01,21734,,62,,7808,,18747,
2004-11-01,17623,,59,,6051,,14528,
2004-12-01,17863,,62,,6728,,16154,
2005-01-01,17575,,61,,5596,,13436,
2005-02-01,19102,,56,,6125,,14706,
2005-03-01,20577,,62,,7287,,17530,
2005-04-01,19967,,59,,7379,,17717,
2005-05-01,21071,,62,,8063,,19359,
2005-06-01,23472,,60,,8025,,19268,
2005-07-01,24855,,62,,9298,,22324,
2005-08-01,24769,,62,,8747,,21002,
2005-09-01,21580,,60,,6116,,14685,
2005-10-01,20922,,62,,7018,,16625,
2005-11-01,21321,,60,,7638,,18339,
2005-12-01,21916,,62,,8265,,19844,
2006-01-01,21801,,62,,6587,,15815,
2006-02-01,18785,,54,,6051,,14528,
2006-03-01,21196,,62,,7241,,17386,
2006-04-01,20485,,60,,7826,,18790,
2006-05-01,21110,,62,,7750,,18608,
2006-06-01,18137,,60,,7038,,16898,
2006-07-01,21160,,62,,8088,,19419,
2006-08-01,21111,,62,,7564,,18138,
2006-09-01,20399,,60,,7104,,17057,
2006-10-01,20843,,62,,7164,,17201,
2006-11-01,20125,,60,,6474,,15544,
2006-12-01,23436,,62,,7769,,18653,
2007-01-01,22587,,62,,5510,,13219,
2007-02-01,20860,,55,,6085,,14612,
2007-03-01,22351,,60,,6591,,15825,
2007-04-01,22697,,60,,7564,,18161,
2007-05-01,23350,,62,,8145,,19556,
2007-06-01,22675,,60,,8624,,20706,
