Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,42994,4276,367,31,38707,3791,32366,3761
2002-11-01,39883,4158,339,30,35994,3346,30066,3319
2002-12-01,41658,4297,354,31,38839,3254,32358,3228
2003-01-01,40672,4283,344,31,37319,3406,31171,3379
2003-02-01,37960,3843,324,28,36241,3285,30241,3259
2003-03-01,42472,4285,365,31,41013,3503,34141,3475
2003-04-01,41639,4129,358,30,38708,3248,32251,3222
2003-05-01,45862,4244,395,31,42139,3617,34988,3588
2003-06-01,42539,4014,362,29,43009,3411,35936,3257
2003-07-01,43935,4166,364,30,42593,3485,35655,3341
2003-08-01,43328,4303,362,31,42880,3466,35797,3438
2003-09-01,45115,4119,357,30,39254,3233,32926,3207
2003-10-01,46307,4244,371,31,44064,3848,36600,3817
2003-11-01,41919,4107,353,30,40164,3545,33496,3517
2003-12-01,44082,4244,373,31,40624,3420,33811,3393
2004-01-01,40648,4100,341,30,38041,3336,31930,3317
2004-02-01,43886,3861,366,28,40968,3146,34186,3121
2004-03-01,51148,4305,425,31,48790,3235,40699,3209
2004-04-01,48075,4166,406,30,46004,2956,38403,2932
2004-05-01,45932,4305,402,31,43282,3255,36050,3229
2004-06-01,42945,3432,355,28,41839,2441,34897,2421
2004-07-01,44918,3710,368,31,44024,2701,36774,2679
2004-08-01,45128,3589,371,30,43467,2942,36356,2918
2004-09-01,43800,3948,358,30,39513,3231,32998,3205
2004-10-01,48677,4305,398,31,44156,3691,36943,3661
2004-11-01,46966,4028,365,29,41424,3018,35673,2994
2004-12-01,49457,4305,379,31,41625,3524,36245,3496
2005-01-01,48863,4305,376,31,39973,3669,34859,3640
2005-02-01,44598,4333,351,31,37528,3809,32495,3779
2005-03-01,53417,5607,428,40,48789,4727,42051,4689
2005-04-01,51991,5317,418,38,47393,4380,40894,4345
2005-05-01,48583,5654,381,40,47811,4661,41438,4624
2005-06-01,44435,3539,363,28,43434,2651,37940,2571
2005-07-01,42420,3813,344,31,42862,2988,37146,2964
2005-08-01,41741,3813,337,31,40901,3109,35367,3084
2005-09-01,47307,4087,365,30,41727,3314,35934,3287
2005-10-01,50588,4559,392,32,45368,3774,39375,3744
2005-11-01,43750,5277,350,38,41037,4263,35707,4229
2005-12-01,45391,5555,360,40,41694,4264,36584,4230
2006-01-01,44587,5555,359,40,38116,4714,33261,4676
2006-02-01,41019,5004,327,36,37077,4348,32368,4313
2006-03-01,45710,5555,363,40,44449,4751,39101,4713
2006-04-01,46902,5277,373,38,45155,4438,39249,4402
2006-05-01,45772,4305,361,31,46850,3948,39219,3916
2006-06-01,38633,3797,326,30,41565,3201,34525,3175
2006-07-01,39944,3813,337,31,43214,3089,35893,3064
2006-08-01,39244,3813,334,31,40076,3022,33275,2998
2006-09-01,46245,4107,382,30,42540,2961,35642,2937
2006-10-01,50534,4428,413,31,48094,3476,40394,3448
2006-11-01,38756,4008,324,28,38682,3069,32425,3012
2006-12-01,39022,4389,326,31,39284,3447,32914,3419
2007-01-01,34418,4408,287,31,32711,3577,27345,3548
2007-02-01,33101,4000,273,28,31012,3015,26018,2991
2007-03-01,37185,4266,306,30,35104,2916,29384,2893
2007-04-01,40320,4285,327,30,40796,3252,34387,3226
2007-05-01,48814,4408,392,31,46771,2889,39540,2866
2007-06-01,41002,3750,326,30,43834,3062,36444,3038
2007-07-01,42098,3813,335,31,46780,3407,38785,3380
2007-08-01,43349,3567,345,29,46264,3100,38495,2975
2007-09-01,48942,4127,390,30,44913,3244,37560,3218
2007-10-01,52236,4408,419,31,49378,3981,41440,3949
2007-11-01,42679,4301,350,30,41039,3799,34328,3769
2007-12-01,43630,4285,359,30,40999,3792,34473,3628
2008-01-01,43186,4262,358,30,38134,3636,31911,3607
2008-02-01,40668,4143,333,29,40805,3810,34093,3780
2008-03-01,43560,4402,356,31,47149,3859,39462,3828
2008-04-01,42640,3727,345,26,46137,3125,38572,3100
2008-05-01,47455,,369,,48555,,40761,
2008-06-01,41702,,326,,43221,,36120,
2008-07-01,43185,,341,,44516,,37265,
2008-08-01,40966,,322,,42068,,35337,
2008-09-01,39326,,307,,37087,,31057,
2008-10-01,46094,,357,,42870,,35939,
2008-11-01,40124,,302,,38537,,32336,
2008-12-01,37625,,279,,35780,,29931,
2009-01-01,40258,,296,,34636,,28968,
2009-02-01,36436,,267,,34764,,29150,
2009-03-01,40555,,297,,42659,,35651,
2009-04-01,39266,,288,,41890,,35034,
2009-05-01,38154,,287,,40504,,33916,
2009-06-01,34330,,273,,37140,,31143,
2009-07-01,36863,,293,,40616,,34205,
2009-08-01,37458,,298,,39559,,33370,
2009-09-01,35967,,281,,36527,,30737,
2009-10-01,36502,,293,,36189,,30512,
2009-11-01,36143,,283,,37612,,31683,
2009-12-01,38771,209,300,1,40364,,33985,183
2010-01-01,37349,,295,,37359,,31487,
2010-02-01,36375,,281,,37556,,31644,
2010-03-01,45099,,341,,48287,,40715,
2010-04-01,48795,,365,,49873,,42228,
2010-05-01,47928,,354,,50491,,42720,
2010-06-01,43867,,332,,47470,,40171,
2010-07-01,44882,,341,,49031,,41456,
2010-08-01,43856,,331,,48344,,40908,
2010-09-01,39474,,297,,42512,,35613,
2010-10-01,40342,,306,,43662,,36996,
2010-11-01,41070,,312,,42251,,35814,
2010-12-01,43473,,331,,42681,,36237,
2011-01-01,43523,,333,,42817,,36375,
2011-02-01,39632,,303,,39570,,33718,
2011-03-01,52171,,388,,53991,,45877,
2011-04-01,53564,,411,,55518,,47336,
2011-05-01,51916,,404,,55889,,47439,
2011-06-01,47596,,365,,50675,,42881,
2011-07-01,51023,,389,,53830,,45623,
2011-08-01,51299,,388,,54350,,46075,
2011-09-01,50798,,377,,51933,,44077,
2011-10-01,51891,,390,,54947,,46674,
2011-11-01,44824,,349,,47995,,40707,
2011-12-01,43013,,336,,45896,,38941,
2012-01-01,42170,,328,,42214,,35983,
2012-02-01,42239,,327,,43436,,36887,
2012-03-01,49380,,379,,51349,,43805,
2012-04-01,52755,,398,,54085,,46189,
2012-05-01,54706,,419,,55793,,47772,
2012-06-01,48417,,376,,50831,,43148,
2012-07-01,49264,,386,,52383,,44453,
2012-08-01,49279,,382,,50019,,42459,
2012-09-01,48164,,372,,48705,,41389,
2012-10-01,49595,,382,,50725,,43212,
2012-11-01,46001,,342,,48174,,40699,
2012-12-01,43109,,337,,45043,,38160,
2013-01-01,40758,,314,,42464,,36074,
2013-02-01,38007,,292,,40283,,34311,
2013-03-01,51885,,400,,54690,,46704,
2013-04-01,56634,,419,,57283,,48942,
2013-05-01,58202,,435,,58717,,50310,
2013-06-01,54835,,410,,56001,,47551,
2013-07-01,55116,,422,,54863,,46513,
2013-08-01,52978,,424,,53678,,45476,
2013-09-01,51060,,402,,49856,,42317,
2013-10-01,54191,,416,,53310,,45271,
2013-11-01,48172,,368,,46372,,39287,
2013-12-01,46908,,351,,45360,,39595,
2014-01-01,48798,,343,,45853,,41202,
2014-02-01,45487,,326,,43764,,39223,
2014-03-01,59241,,421,,58369,,52209,
2014-04-01,60028,,446,,57873,,51903,
2014-05-01,64442,,464,,58079,,52701,
2014-06-01,56345,,401,,53268,,48082,
2014-07-01,56754,,394,,54460,,48884,
2014-08-01,55113,,390,,51105,,45980,
2014-09-01,50165,,355,,44456,,39376,
2014-10-01,53671,,369,,47422,,42190,
2014-11-01,52864,,363,,49155,,44083,
2014-12-01,57289,,386,,50371,,44911,
2015-01-01,58720,,383,,50408,,45138,
2015-02-01,54544,,356,,48231,,42893,
2015-03-01,60720,,405,,56954,,51080,
2015-04-01,58453,,394,,54078,,48114,
2015-05-01,59739,,412,,54586,,49055,
2015-06-01,48122,,357,,48088,,40998,
2015-07-01,46810,,363,,47336,,39820,
2015-08-01,46089,,355,,45972,,38701,
2015-09-01,44466,,314,,42646,,35871,
2015-10-01,48139,,327,,47151,,39628,
2015-11-01,53554,,351,,47518,,42423,
2015-12-01,54469,,379,,47458,,41312,
2016-01-01,56198,,370,,49741,,44750,
2016-02-01,53648,,365,,46841,,41536,
2016-03-01,58030,,398,,56217,,50173,
2016-04-01,59813,,403,,56708,,49972,
2016-05-01,62955,,430,,59817,,52988,
2016-06-01,50155,,366,,47759,,40808,
2016-07-01,51149,,375,,49076,,41354,
2016-08-01,52840,,372,,50763,,42864,
2016-09-01,49580,,345,,48096,,40454,
2016-10-01,52292,,351,,51887,,43610,
2016-11-01,55270,,369,,53217,,45653,
2016-12-01,55052,,365,,52748,,45346,
2017-01-01,59434,,390,,51431,,45556,
2017-02-01,53553,,350,,48394,,42876,
2017-03-01,65280,,419,,61517,,55028,
