Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,70678,70875,557,411,43750,31709,42771,42352
2002-11-01,65981,82074,520,477,45003,37642,45066,53272
2002-12-01,75218,85063,572,494,55858,43448,57171,60919
2003-01-01,69066,81431,538,467,45646,40333,47137,55587
2003-02-01,67369,75983,503,441,43449,40254,46170,55940
2003-03-01,76584,84479,566,493,49212,44394,52269,61246
2003-04-01,76493,80694,562,472,50859,41737,53026,56556
2003-05-01,83765,74806,620,448,53907,43174,55017,56037
2003-06-01,94137,67743,693,423,59365,39921,61431,50635
2003-07-01,102181,74381,749,466,70475,49141,71336,59321
2003-08-01,101704,76333,746,477,75991,54888,76588,65920
2003-09-01,85471,69078,658,416,47760,31059,44595,40030
2003-10-01,82309,74108,653,438,48657,36982,44957,49864
2003-11-01,76113,84523,638,474,58150,42435,52964,57452
2003-12-01,83484,89028,684,500,64861,50437,60159,68045
2004-01-01,71533,87383,606,490,53526,44059,49560,59610
2004-02-01,74324,81701,619,461,54982,41867,51953,57356
2004-03-01,86454,87985,692,500,65326,46642,61658,60460
2004-04-01,81989,83373,669,477,63011,49309,58245,64328
2004-05-01,84602,78891,712,468,64815,46244,60819,60874
2004-06-01,94354,71803,702,432,71829,46510,73867,59197
2004-07-01,101973,73849,741,447,78430,50303,82158,61872
2004-08-01,101410,73836,737,446,77686,51170,80965,62299
2004-09-01,89716,64989,694,406,61121,36773,58256,44746
2004-10-01,87773,65368,706,414,62510,40745,58714,50145
2004-11-01,89478,85379,707,477,69333,45954,65964,60706
2004-12-01,94474,89261,731,495,77929,52613,75155,69371
2005-01-01,87452,89585,685,497,69731,49277,66610,65711
2005-02-01,78410,78984,622,443,63165,43000,60304,57697
2005-03-01,87287,86928,648,493,69338,51539,72022,66815
2005-04-01,83140,84584,609,480,65137,46676,67964,61025
2005-05-01,87897,74846,620,436,67384,45000,72828,56549
2005-06-01,93106,69356,607,398,70712,43515,77640,55133
2005-07-01,91982,71438,617,409,75908,47307,79688,58291
2005-08-01,96138,78546,647,443,78531,52046,81668,65107
2005-09-01,84522,68052,601,396,59413,39005,59519,47371
2005-10-01,83597,66838,599,397,56050,41780,56472,50826
2005-11-01,82729,84243,587,480,62061,52499,63787,65530
2005-12-01,87991,91355,615,512,64164,58946,67344,75414
2006-01-01,85720,94495,609,524,57401,55711,62687,72767
2006-02-01,76072,87244,539,473,55565,51959,59754,69332
2006-03-01,91609,101700,641,547,68237,60853,73933,79845
2006-04-01,85655,98761,610,533,67217,60956,71116,79336
2006-05-01,94302,83905,648,464,70023,51687,76088,68470
2006-06-01,99283,74677,657,423,74314,48871,82355,62557
2006-07-01,105333,79914,702,462,79311,52018,86640,65319
2006-08-01,107223,80621,710,463,80810,52563,87011,65623
2006-09-01,91182,76234,639,419,61645,41481,63419,55099
2006-10-01,89435,82852,635,444,58952,43502,59851,60641
2006-11-01,86063,95814,615,527,63093,50804,63191,66094
2006-12-01,88961,100710,631,556,66058,57722,66835,75415
2007-01-01,86427,101076,626,555,55074,51563,57345,68689
2007-02-01,78030,92572,563,498,54399,51671,56217,68756
2007-03-01,89560,103936,634,557,66532,60411,71015,78106
2007-04-01,88195,99779,612,531,68711,57164,72491,73285
2007-05-01,99423,89400,681,495,72675,53002,79433,69960
2007-06-01,108239,84575,683,473,80226,52521,89384,69066
2007-07-01,108597,87602,678,492,81307,53369,90167,69131
2007-08-01,107988,87886,674,493,78917,55204,85884,70416
2007-09-01,86996,80234,611,450,57932,42566,59342,55420
2007-10-01,82106,86036,593,471,54799,45948,55480,62372
2007-11-01,67802,86183,488,479,51208,49621,52052,63001
2007-12-01,71012,91085,506,497,51352,55583,51953,70862
2008-01-01,73750,91497,505,499,48480,47522,50329,60666
2008-02-01,67882,84121,467,462,49268,47862,51668,60768
2008-03-01,72634,89831,501,496,56862,57800,59780,73520
2008-04-01,81431,86025,555,474,64679,53134,68134,67128
2008-05-01,100354,83212,673,465,75698,54631,80869,68983
2008-06-01,102776,75540,660,431,76175,49555,84449,62797
2008-07-01,108249,75208,684,437,78386,50912,87593,63898
2008-08-01,104703,74490,679,425,79305,51945,86826,64552
2008-09-01,91773,65232,634,365,64436,37754,64802,48288
2008-10-01,92922,68673,650,377,64019,39023,64718,51369
2008-11-01,76150,75927,546,390,61107,46780,60461,61044
2008-12-01,74631,78361,541,400,61566,50118,61136,66223
2009-01-01,76525,79578,557,407,55709,43701,55582,58433
2009-02-01,65891,72470,464,368,52454,42061,52385,55215
2009-03-01,71591,80055,499,406,60750,48649,61648,64618
2009-04-01,70218,77452,485,394,61493,45599,62049,60022
2009-05-01,78284,69717,515,363,64429,37108,67440,47792
2009-06-01,91402,66613,538,342,71023,41817,80222,55033
2009-07-01,94414,54816,550,290,71739,38590,82269,47760
2009-08-01,89505,54364,544,291,69174,38218,76387,47934
2009-09-01,73898,47361,510,264,61715,30858,60573,38329
