Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,10587,,31,,2189,,6230,
2002-11-01,9563,85,28,1,2185,,5877,85
2002-12-01,10587,,31,,2613,,7437,
2003-01-01,10246,,30,,2272,,6466,
2003-02-01,9221,,27,,1885,,5365,
2003-03-01,10580,,31,,2230,,6344,
2003-04-01,9904,,29,,1911,,5439,
2003-05-01,10246,,30,,2797,,7960,
2003-06-01,10246,,30,,2864,,8151,
2003-07-01,10673,,32,,3142,,9015,
2003-08-01,10587,,31,,3086,,8783,
2003-09-01,10246,,30,,2215,,6304,
2003-10-01,10587,,31,,2806,,7986,
2003-11-01,9904,,29,,2624,,7468,
2003-12-01,10587,,31,,3006,,8555,
2004-01-01,10587,,31,,2631,,7488,
2004-02-01,9904,,29,,2060,,5863,
2004-03-01,10587,,31,,2605,,7414,
2004-04-01,12290,,39,,3111,,8065,
2004-05-01,24410,,93,,9929,,20563,
2004-06-01,24279,,90,,10648,,21947,
2004-07-01,25436,,94,,11539,,23820,
2004-08-01,25221,,93,,10775,,21899,
2004-09-01,25500,,89,,10073,,19894,
2004-10-01,27274,,94,,10913,,21765,
2004-11-01,30884,,120,,11878,,23505,
2004-12-01,30916,,118,,12072,,24132,
2005-01-01,29767,,115,,9940,,20178,
2005-02-01,28893,,111,,10001,,19881,
2005-03-01,32210,,124,,13647,,27032,
2005-04-01,31318,,120,,13726,,26823,
2005-05-01,32202,,124,,15122,,29727,
2005-06-01,31538,,119,,14162,,27855,
2005-07-01,32630,,123,,14864,,28990,
2005-08-01,32673,,123,,14642,,28577,
2005-09-01,33435,,120,,13445,,25537,
2005-10-01,35062,,124,,15091,,29491,
2005-11-01,30861,,120,,13068,,26043,
2005-12-01,31991,,124,,13459,,26972,
2006-01-01,30721,,120,,11720,,23687,
2006-02-01,28867,,112,,11850,,23774,
2006-03-01,31854,,124,,13584,,27082,
2006-04-01,31858,,120,,13555,,26939,
2006-05-01,37670,,124,,16557,,33392,
2006-06-01,36575,,120,,17193,,33595,
2006-07-01,38511,,124,,18215,,35287,
2006-08-01,37984,,124,,16959,,32686,
2006-09-01,38243,,119,,15443,,30065,
2006-10-01,40580,,124,,16184,,32037,
2006-11-01,35585,,120,,14194,,28740,
2006-12-01,35514,,119,,13989,,28092,
2007-01-01,36522,,124,,11175,,22804,
2007-02-01,31761,,107,,9577,,19125,
2007-03-01,35962,,121,,14168,,28564,
2007-04-01,35265,,117,,14106,,28322,
2007-05-01,39864,,124,,18118,,36059,
2007-06-01,38593,,120,,17837,,35535,
2007-07-01,39968,,124,,18637,,36988,
2007-08-01,39485,,123,,17663,,34792,
2007-09-01,38145,223,119,1,14925,,28744,189
2007-10-01,39568,,124,,15924,,31401,
2007-11-01,36459,,120,,14809,,29937,
2007-12-01,36873,,121,,14097,,28400,
2008-01-01,36665,,121,,12519,,25632,
2008-02-01,33553,,111,,11739,,23627,
2008-03-01,37439,,123,,14748,,29533,
2008-04-01,36438,,119,,14537,,28676,
2008-05-01,40279,,124,,17853,,35341,
2008-06-01,38598,,120,,16805,,33444,
2008-07-01,39833,,124,,17524,,34806,
2008-08-01,39659,,123,,17023,,33425,
2008-09-01,39300,,120,,15058,,29135,
2008-10-01,40500,,124,,16684,,32431,
2008-11-01,37851,,117,,15169,,29873,
2008-12-01,37443,,117,,15470,,31130,
2009-01-01,37199,,119,,12585,,25104,
2009-02-01,34682,,108,,11215,,22335,
2009-03-01,37537,,119,,15800,,30990,
2009-04-01,37289,,116,,15883,,31364,
2009-05-01,38944,,121,,17850,,35697,
2009-06-01,48655,,143,,20313,,43134,
2009-07-01,53419,,155,,22884,,49425,
2009-08-01,53894,,155,,22159,,47531,
2009-09-01,42031,,126,,17351,,34162,
2009-10-01,40663,,124,,17918,,35263,
2009-11-01,35117,,111,,15040,,30097,
2009-12-01,34922,,124,,15553,,30383,
2010-01-01,34530,,120,,12713,,25351,
2010-02-01,33486,,111,,11957,,23415,
2010-03-01,39408,,124,,16316,,32469,
2010-04-01,38594,,120,,15893,,31532,
2010-05-01,45206,,149,,20401,,39914,
2010-06-01,56610,,174,,24499,,50872,
2010-07-01,61014,,185,,27046,,56304,
2010-08-01,61509,,186,,26064,,53533,
2010-09-01,48305,,156,,20709,,39448,
2010-10-01,47006,,155,,20647,,39551,
2010-11-01,45175,,147,,20054,,38815,
2010-12-01,45830,,150,,20411,,39713,
2011-01-01,37892,,122,,14719,,29385,
2011-02-01,35404,,114,,13193,,25895,
2011-03-01,45570,,148,,20181,,39431,
2011-04-01,43203,,141,,18752,,36598,
2011-05-01,47260,,155,,21789,,42551,
2011-06-01,44758,,149,,20705,,40610,
2011-07-01,47456,,155,,22794,,44391,
2011-08-01,49065,,155,,23411,,45478,
2011-09-01,47498,,150,,21619,,41787,
2011-10-01,49082,,156,,21283,,41093,
2011-11-01,44393,,144,,20149,,39181,
2011-12-01,42973,,139,,19189,,37621,
2012-01-01,39036,,128,,15904,,31660,
2012-02-01,36451,,119,,14833,,29108,
2012-03-01,43315,,143,,19935,,39033,
2012-04-01,44325,,146,,20075,,39171,
2012-05-01,45899,,150,,21813,,42597,
2012-06-01,45193,,150,,21682,,42554,
2012-07-01,46088,,155,,22085,,43211,
2012-08-01,47630,,155,,22784,,44263,
2012-09-01,45723,,144,,20346,,39087,
2012-10-01,47869,,151,,21569,,41266,
2012-11-01,41992,,139,,18749,,35924,
2012-12-01,36597,,123,,17638,,33146,
2013-01-01,30027,,104,,14887,,26841,
2013-02-01,22507,,84,,11557,,19921,
2013-03-01,42407,,140,,18830,,36547,
2013-04-01,44280,,142,,18443,,35577,
2013-05-01,45861,,148,,21577,,42084,
2013-06-01,46377,,145,,22032,,42994,
2013-07-01,48850,,152,,23439,,45635,
2013-08-01,48173,,150,,22441,,43670,
2013-09-01,45581,,147,,18953,,36590,
2013-10-01,46455,,151,,19900,,38434,
2013-11-01,43110,,138,,17534,,33637,
2013-12-01,35477,,121,,17566,,32439,
2014-01-01,29385,,102,,12671,,22554,
2014-02-01,23778,,84,,11574,,19977,
2014-03-01,43724,,136,,20218,,38274,
2014-04-01,46722,,146,,20769,,39810,
2014-05-01,47283,,150,,21764,,42923,
2014-06-01,52805,,168,,24780,,47790,
2014-07-01,58048,,182,,28574,,54562,
2014-08-01,54713,,173,,25503,,49013,
2014-09-01,46644,,145,,20659,,39715,
2014-10-01,48840,,151,,21799,,41795,
2014-11-01,47147,,143,,21133,,40519,
2014-12-01,40741,,134,,20479,,37488,
2015-01-01,30116,,101,,14862,,26351,
2015-02-01,23894,,83,,12487,,21332,
2015-03-01,51725,,160,,24458,,46149,
2015-04-01,58337,,175,,26047,,49121,
2015-05-01,59767,,179,,29191,,55788,
2015-06-01,63861,,185,,29152,,57158,
2015-07-01,67376,,196,,31563,,61778,
2015-08-01,66120,,194,,28697,,55992,
2015-09-01,59978,,179,,25203,,47487,
2015-10-01,59902,,181,,25194,,46978,
2015-11-01,49644,,146,,21121,,40117,
2015-12-01,47062,,148,,22527,,41164,
2016-01-01,37982,,125,,17783,,31068,
2016-02-01,31249,,110,,15097,,26048,
2016-03-01,49088,,157,,22558,,41510,
2016-04-01,57470,,174,,24347,,44978,
2016-05-01,60940,,181,,28140,,53304,
2016-06-01,63301,,185,,27745,,54664,
2016-07-01,68031,,195,,29588,,58919,
2016-08-01,66131,,193,,29186,,56828,
2016-09-01,60331,,178,,26756,,50236,
2016-10-01,61056,,181,,27845,,51279,
2016-11-01,58105,,174,,26608,,49388,
2016-12-01,51703,,163,,25387,,45967,
2017-01-01,49303,,161,,22025,,39187,
