Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,135361,,1304,,95679,2077,76681,
2002-11-01,128770,,1219,,97050,2994,78820,
2002-12-01,135708,,1281,,121677,2950,98240,
2003-01-01,127494,,1198,,88231,3083,73113,
2003-02-01,112234,,1072,,87223,2718,72006,
2003-03-01,129938,,1223,,104618,3388,87002,
2003-04-01,126308,,1198,,98192,1925,80041,
2003-05-01,125332,,1204,,103530,1763,83602,
2003-06-01,142822,,1282,,117674,1797,101201,
2003-07-01,152890,35,1348,1,125806,1027,109548,29
2003-08-01,151839,,1341,,127373,899,110183,
2003-09-01,135401,,1227,,98167,1185,80145,
2003-10-01,137498,,1263,,103928,2211,84089,
2003-11-01,130197,,1205,,105418,2360,85981,
2003-12-01,138008,,1277,,118272,2292,96393,
2004-01-01,118075,,1092,,86423,2448,71669,
2004-02-01,125886,,1165,,91403,3079,76205,
2004-03-01,134512,,1255,,109959,3189,91775,
2004-04-01,129183,,1207,,100976,2133,82636,
2004-05-01,129337,,1220,,99376,2231,82596,
2004-06-01,134360,,1199,,115188,2170,101435,
2004-07-01,141178,,1253,,119861,1336,105467,
2004-08-01,141202,,1256,,124061,1222,107883,
2004-09-01,124909,,1150,,96507,1207,81004,
2004-10-01,122448,,1145,,96354,2071,79369,
2004-11-01,117843,,1073,,102558,1822,84409,
2004-12-01,122163,,1092,,106917,1772,89083,
2005-01-01,119147,,1061,,87859,1674,74136,
2005-02-01,108654,,991,,84867,1605,70659,
2005-03-01,118792,,1099,,106639,2230,88621,
2005-04-01,113890,,1049,,100225,1623,82849,
2005-05-01,106839,,987,,92909,1427,77091,
2005-06-01,119591,,1054,,112047,1463,96971,
2005-07-01,123349,,1078,,114761,840,99490,
2005-08-01,123690,,1089,,117517,962,100880,
2005-09-01,113189,,1019,,94643,835,77825,
2005-10-01,113549,,1037,,94562,1193,76497,
2005-11-01,113736,,1017,,99304,1619,82073,
2005-12-01,115877,,1037,,98822,1631,82078,
2006-01-01,114635,,1028,,82009,1663,68904,
2006-02-01,103576,,927,,81892,1738,68353,
2006-03-01,116315,,1040,,105866,2226,88661,
2006-04-01,112346,,1003,,93619,1321,77844,
2006-05-01,110170,,1009,,93672,2062,78703,
2006-06-01,119843,,1027,,108791,1502,96013,
2006-07-01,125179,,1072,,111790,1190,98717,
2006-08-01,125194,,1067,,111834,1043,98433,
2006-09-01,111838,,988,,90617,1122,76077,
2006-10-01,111219,949,1004,4,91840,2129,75660,788
2006-11-01,103285,6898,945,30,92889,3668,76086,5363
2006-12-01,105382,7155,972,31,94069,4360,77232,5585
2007-01-01,106005,7036,960,31,79731,3668,66224,4896
2007-02-01,97506,6441,879,28,75899,3814,63024,5138
2007-03-01,107157,7084,970,31,94354,5097,78798,6054
2007-04-01,102328,6333,941,28,86610,3622,71418,4749
2007-05-01,104940,,946,,89596,1796,74770,
2007-06-01,118157,,1001,,106949,1482,95628,
2007-07-01,122764,,1035,,111220,1020,99362,
2007-08-01,122294,,1033,,111372,1035,98773,
2007-09-01,124703,,1029,,93474,1420,85996,
2007-10-01,126582,914,1053,4,96928,2703,90894,685
2007-11-01,132915,6790,1074,30,105099,4839,97207,5834
2007-12-01,140832,7058,1139,31,108159,5499,100376,5941
2008-01-01,135353,7101,1117,31,87196,4556,82549,4928
2008-02-01,126300,6545,1043,29,94332,5236,88084,5475
2008-03-01,127160,7070,1048,31,107454,6481,101953,6104
2008-04-01,121739,5876,991,26,92076,3944,87991,4110
2008-05-01,115441,,911,,87079,2348,87294,
2008-06-01,120684,,932,,94860,2257,97708,
2008-07-01,125603,,967,,94862,1434,97264,
2008-08-01,120907,,925,,95472,1272,98112,
2008-09-01,107967,,843,,81018,1564,80338,
2008-10-01,106857,,862,,81756,2507,80155,
2008-11-01,97552,,766,,74560,2035,72590,
2008-12-01,96701,2015,756,7,77028,2869,75170,1751
2009-01-01,100837,1426,801,5,65933,2555,65151,987
2009-02-01,96560,,755,,68073,2304,65718,
2009-03-01,108549,,847,,89408,2906,86968,
2009-04-01,106617,,824,,81294,1736,78755,
2009-05-01,104054,,767,,74856,1291,76633,
2009-06-01,99556,,680,,74934,1505,81675,
2009-07-01,109563,,723,,82150,749,91055,
2009-08-01,118932,,759,,87163,676,98341,
2009-09-01,111002,,726,,75096,558,83195,
2009-10-01,108022,,723,,74868,1014,83088,
2009-11-01,103021,,692,,73641,1454,82675,
2009-12-01,110335,,728,,80837,1848,92449,
2010-01-01,107600,,711,,70013,1707,79912,
2010-02-01,97178,,644,,67278,1905,75956,
2010-03-01,111365,,741,,83701,2285,94005,
2010-04-01,108413,,729,,78079,1401,87149,
2010-05-01,116096,,765,,79951,1518,91099,
2010-06-01,119311,,766,,89340,1302,102570,
2010-07-01,121920,,791,,92964,881,105858,
2010-08-01,124494,,800,,97811,732,110292,
2010-09-01,118675,,743,,81520,880,93863,
2010-10-01,122502,,753,,82225,1506,99736,
2010-11-01,131593,,796,,89451,1629,107592,
2010-12-01,138790,,845,,96858,2274,117426,
2011-01-01,137990,,848,,87996,2290,108838,
2011-02-01,124412,,768,,85281,2624,102511,
2011-03-01,142756,,876,,105080,3222,125507,
2011-04-01,134651,,864,,98365,1715,112676,
2011-05-01,133809,,852,,96198,1406,113474,
2011-06-01,132461,,836,,99698,1153,116724,
2011-07-01,135823,,850,,102711,899,119388,
2011-08-01,137513,,862,,108845,797,123904,
2011-09-01,130250,,797,,92906,791,106092,
2011-10-01,133466,,816,,94780,1641,110622,
2011-11-01,132623,,827,,97532,1811,115705,
2011-12-01,135596,,830,,98799,2212,119291,
2012-01-01,129833,,781,,89424,2099,111516,
2012-02-01,121641,,738,,85732,2275,103932,
2012-03-01,138936,,838,,103825,2886,126898,
2012-04-01,136492,,832,,97011,1866,115690,
2012-05-01,139189,,851,,98770,1998,118998,
2012-06-01,143571,,890,,106620,1477,126205,
2012-07-01,147853,,921,,111296,936,129697,
2012-08-01,148091,,911,,114490,989,132384,
2012-09-01,133794,,799,,92629,1099,111448,
2012-10-01,136396,,827,,96905,1759,116338,
2012-11-01,161627,,904,,110073,2145,140589,
2012-12-01,169027,,919,,113151,2150,147806,
2013-01-01,166058,,895,,104125,1583,136659,
2013-02-01,147207,,793,,95921,1781,125889,
2013-03-01,171955,,936,,118703,2329,152950,
2013-04-01,154920,,894,,108234,1473,132133,
2013-05-01,147386,,859,,103912,1425,127308,
2013-06-01,160207,,908,,116103,1186,141846,
2013-07-01,169901,,971,,124620,607,149885,
2013-08-01,170296,,959,,122747,646,147097,
2013-09-01,163466,,917,,107792,712,130943,
2013-10-01,175491,,994,,120337,1414,145635,
2013-11-01,201200,,1052,,124126,1249,163053,
2013-12-01,199708,,1038,,133469,1161,175206,
2014-01-01,200430,,1015,,120177,1379,162350,
2014-02-01,183851,,912,,113340,1322,153854,
2014-03-01,216422,,1111,,142890,1558,185310,
2014-04-01,206395,,1083,,133142,828,173107,
2014-05-01,190530,,1047,,128990,1025,161135,
2014-06-01,193296,,1072,,138544,868,170242,
2014-07-01,202678,,1115,,147883,443,178764,
2014-08-01,198534,,1138,,144877,591,172107,
2014-09-01,175619,,1032,,124130,267,141144,
2014-10-01,179917,,1080,,132586,503,150344,
2014-11-01,201579,6320,1122,20,139334,3641,166558,5474
2014-12-01,208846,9685,1132,31,148784,5501,181638,8181
2015-01-01,207010,9929,1130,31,139541,4776,166407,7029
2015-02-01,184908,8912,1028,28,132790,4593,154569,7028
2015-03-01,213887,9502,1144,31,150981,4790,181465,7091
2015-04-01,204684,6725,1104,26,142351,3457,167780,5134
2015-05-01,190889,,1103,,138655,1069,158928,
2015-06-01,201315,,1180,,157675,988,177822,
2015-07-01,213182,,1251,,168413,535,186378,
2015-08-01,208647,,1319,,173168,464,186214,
2015-09-01,199547,,1170,,149253,537,163138,
2015-10-01,206934,,1215,,157646,1259,173222,
2015-11-01,221240,,1209,,157280,1670,183978,
2015-12-01,226240,5177,1234,18,163761,3674,192188,4744
2016-01-01,216344,8754,1163,31,146158,4680,176393,7028
2016-02-01,199066,7680,1099,29,141319,4300,166722,6582
2016-03-01,217325,8394,1205,31,162357,4704,189072,6683
2016-04-01,207344,6419,1160,24,154868,3685,175381,4909
2016-05-01,204258,,1183,,158321,1134,175186,
2016-06-01,207809,,1175,,163028,994,184061,
2016-07-01,218406,,1209,,166855,586,187338,
2016-08-01,205226,,1213,,160581,491,178078,
2016-09-01,184246,,1052,,141081,473,154202,
2016-10-01,197115,,1095,,155065,1197,170354,
2016-11-01,222977,,1160,,164687,1649,192592,
2016-12-01,232529,4620,1193,16,166982,3511,198993,4214
2017-01-01,233413,,1184,,151336,,181781,
2017-02-01,209720,,1090,,145933,,171349,
2017-03-01,249088,,1288,,186679,,220115,
