Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,43975,2058,293,14,24745,429,26720,573
2002-11-01,52052,5480,342,43,26982,1694,29847,2657
2002-12-01,55587,5731,361,45,35773,1970,39253,3120
2003-01-01,53661,5427,346,43,26721,2006,29961,2897
2003-02-01,48558,5101,315,40,27173,2056,30300,2865
2003-03-01,55674,5843,372,46,40260,3695,44163,4077
2003-04-01,53242,4601,346,36,35395,1485,39350,2442
2003-05-01,41360,1198,273,7,29651,784,32178,808
2003-06-01,37116,342,245,2,28056,207,30189,255
2003-07-01,38526,,248,,28933,,31123,
2003-08-01,38380,,247,,25833,,27805,
2003-09-01,36443,,236,,20523,,22128,
2003-10-01,39422,,256,,24225,,26127,
2003-11-01,45400,,295,,29914,,32389,
2003-12-01,47520,218,307,1,33253,,35926,185
2004-01-01,43075,,282,,26868,,29080,
2004-02-01,44663,,292,,28673,,31028,
2004-03-01,51765,,336,,37483,,40608,
2004-04-01,47778,,312,,34094,,36806,
2004-05-01,40910,,272,,28557,,30791,
2004-06-01,36923,,241,,29057,118,31326,
2004-07-01,37913,,247,,30958,113,33319,
2004-08-01,37834,,246,,27159,98,29282,
2004-09-01,35987,,242,,22708,39,24450,
2004-10-01,40280,,273,,26141,,28175,
2004-11-01,45282,,293,,31878,,34369,
2004-12-01,47388,,304,,35785,,38558,
2005-01-01,44696,,286,,29270,,31568,
2005-02-01,42080,,272,,28188,,30424,
2005-03-01,47972,,309,,37064,,40030,
2005-04-01,45652,,296,,34631,,37427,
2005-05-01,35553,,246,,28616,,30766,
2005-06-01,43163,,263,,30402,,35071,
2005-07-01,36882,,248,,30677,,32963,
2005-08-01,36354,,245,,27358,,29381,
2005-09-01,38548,,257,,23561,,25362,
2005-10-01,41927,,278,,28373,2,30537,
2005-11-01,45021,,299,,32193,20,34771,
2005-12-01,46220,167,307,1,31673,34,34209,155
2006-01-01,46228,,307,,27585,66,29884,
2006-02-01,41808,,275,,27753,3,29975,
2006-03-01,47578,,310,,36775,,39701,
2006-04-01,48295,,316,,37593,,40673,
2006-05-01,41821,,278,,32030,,34494,
2006-06-01,37333,,244,,30273,,32573,
2006-07-01,37651,,247,,31570,,33837,
2006-08-01,37554,,245,,28462,,30559,
2006-09-01,39552,,260,,23521,,25346,
2006-10-01,41514,,273,,27028,,29059,
2006-11-01,43769,,290,,30565,,32965,
2006-12-01,46857,,306,,33876,,36532,
2007-01-01,43262,,276,,28205,,30474,
2007-02-01,42747,,272,,30124,,32425,
2007-03-01,48277,,309,,35997,,38901,
2007-04-01,49529,,325,,39125,,42334,
2007-05-01,48539,,308,,36634,,39527,
2007-06-01,38580,,244,,31839,,34143,
2007-07-01,38975,,247,,32230,,34499,
2007-08-01,39057,,247,,30806,,33042,
2007-09-01,39827,,259,,25736,,27723,
2007-10-01,42581,,282,,29084,,31230,
2007-11-01,44945,,300,,32193,,34681,
2007-12-01,46787,,307,,34433,,37036,
2008-01-01,46361,,305,,28332,,30616,
2008-02-01,43917,,288,,31073,,33626,
2008-03-01,47438,,310,,38960,,42059,
2008-04-01,46129,,299,,36180,7,39071,
2008-05-01,48897,,305,,35537,45,38471,
2008-06-01,43251,,275,,31193,11,33669,
2008-07-01,41536,,264,,31805,,34231,
2008-08-01,38963,,246,,28027,,30163,
2008-09-01,37275,,232,,21960,,23658,
2008-10-01,38928,,240,,26007,,27953,
2008-11-01,37048,,233,,26178,,28349,
2008-12-01,37012,,235,,27659,,29933,
2009-01-01,37903,,242,,22808,,24557,
2009-02-01,37361,,242,,24813,,26765,
2009-03-01,43898,,279,,34418,,37120,
2009-04-01,42518,,270,,33063,,35653,
2009-05-01,41795,,260,,29549,,31840,
2009-06-01,38582,,238,,27565,,29719,
2009-07-01,39905,,247,,30767,,33126,
2009-08-01,39950,,245,,25896,,27911,
2009-09-01,36956,,226,,21690,,23390,
2009-10-01,38408,,235,,25880,,27869,
2009-11-01,35651,,232,,27360,,29454,
2009-12-01,38264,,249,,30275,,32596,
2010-01-01,35555,,231,,25840,,27895,
2010-02-01,32777,,210,,24649,,26625,
2010-03-01,38117,,246,,31129,,33616,
2010-04-01,36521,,233,,29586,,31971,
2010-05-01,35598,,233,,28189,,30458,
2010-06-01,30481,,187,,24843,,26833,
2010-07-01,32475,,204,,26499,,28658,
2010-08-01,33159,,213,,23137,,25037,
2010-09-01,34765,,226,,23637,,25464,
2010-10-01,35491,,234,,27104,,29185,
2010-11-01,35030,,226,,26755,,28759,
2010-12-01,34277,,224,,28278,,30395,
2011-01-01,35471,,233,,26633,,28668,
2011-02-01,33939,,208,,25544,,27508,
2011-03-01,39090,,237,,33019,,35736,
2011-04-01,39111,,235,,32383,,35179,
2011-05-01,32508,,210,,28454,,30811,
2011-06-01,31468,,198,,26806,,29034,
2011-07-01,29974,,199,,25451,,27556,
2011-08-01,30578,,205,,24708,,26737,
2011-09-01,29936,,205,,22175,,24018,
2011-10-01,33061,,212,,26203,,28363,
2011-11-01,33635,,207,,27599,,29905,
2011-12-01,33324,,215,,27944,,30253,
2012-01-01,34919,,227,,26165,,28306,
2012-02-01,36064,,232,,28728,,31165,
2012-03-01,45248,,276,,36549,,39649,
2012-04-01,40520,,249,,34734,,37597,
2012-05-01,35388,,217,,30317,,32763,
2012-06-01,27003,,178,,23243,,25252,
2012-07-01,26056,,181,,21791,,23782,
2012-08-01,25122,,176,,20714,,22590,
2012-09-01,24362,,149,,18414,,20047,
2012-10-01,29681,,185,,22702,,24658,
2012-11-01,32098,,200,,26168,,28342,
2012-12-01,32174,,189,,26694,,28933,
2013-01-01,35782,,212,,27254,,29493,
2013-02-01,32361,,192,,26259,,28425,
2013-03-01,40781,,235,,34357,,37169,
2013-04-01,38215,,238,,32035,,34728,
2013-05-01,34588,,216,,28264,,30881,
2013-06-01,27082,,188,,21955,,23963,
2013-07-01,26525,,185,,21760,,23741,
2013-08-01,29102,,186,,22005,,24013,
2013-09-01,27163,,180,,19064,,20842,
2013-10-01,33018,,189,,24304,,26693,
2013-11-01,34514,,207,,26143,,28273,
2013-12-01,36483,,206,,28872,,32429,
2014-01-01,40344,,226,,27652,,32243,
2014-02-01,39177,,216,,29341,,33918,
2014-03-01,46111,,252,,35766,,41303,
2014-04-01,42250,,237,,33606,,38299,
2014-05-01,32690,,186,,27442,,30078,
2014-06-01,30495,,176,,25007,,27306,
2014-07-01,29859,,181,,24418,,26652,
2014-08-01,30042,,188,,22656,,24704,
2014-09-01,31092,,206,,22018,,23840,
2014-10-01,36124,,221,,26897,,29212,
2014-11-01,44848,,229,,32172,,37096,
2014-12-01,42064,,215,,32262,,37742,
2015-01-01,42821,,208,,28603,,33799,
2015-02-01,42323,,204,,31410,,36737,
2015-03-01,47790,,242,,37277,,43182,
2015-04-01,45707,,236,,34671,,39869,
2015-05-01,39225,,217,,32576,,35248,
2015-06-01,32518,,187,,26448,,28828,
2015-07-01,31926,,186,,26229,,28642,
2015-08-01,30393,,185,,23760,,25956,
2015-09-01,31095,,176,,22680,,24754,
2015-10-01,34126,,182,,25803,,28136,
2015-11-01,43020,,220,,30428,,35060,
2015-12-01,42040,,214,,29724,,34746,
2016-01-01,40281,,201,,28016,,33043,
2016-02-01,42235,,210,,31079,,36373,
2016-03-01,51877,,259,,40293,,46747,
2016-04-01,46921,,246,,37602,,42406,
2016-05-01,42470,,228,,34783,,37658,
2016-06-01,33038,,176,,25916,,28405,
2016-07-01,32738,,173,,27198,,29626,
2016-08-01,31845,,174,,25243,,27576,
2016-09-01,33751,,176,,26087,,28461,
2016-10-01,34979,,181,,28240,,30755,
2016-11-01,45636,,220,,33728,,39445,
2016-12-01,46610,,218,,33118,,39711,
2017-01-01,46628,,230,,31862,,37101,
2017-02-01,46777,,231,,34285,,39522,
2017-03-01,56770,,280,,44693,,52083,
