Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,50134,3435,352,31,27921,1930,28759,2161
2002-11-01,41637,3364,298,30,26736,2078,27372,2003
2002-12-01,43458,3476,311,31,32830,2090,33352,2019
2003-01-01,42692,3364,307,30,25839,1484,26313,1492
2003-02-01,40498,2997,290,27,27431,1625,28188,1649
2003-03-01,45046,3412,324,31,30075,2180,31058,2274
2003-04-01,47465,3323,341,30,32923,2461,34154,2385
2003-05-01,51061,3476,361,31,34098,2659,35304,2615
2003-06-01,52988,3364,370,30,37666,3130,38920,2965
2003-07-01,56786,3364,394,30,44972,2986,46359,2668
2003-08-01,55162,3364,387,30,43593,2636,44646,2479
2003-09-01,49204,3140,351,28,31015,1144,31901,1135
2003-10-01,48762,3476,349,31,30432,2554,31832,2589
2003-11-01,43893,3364,311,30,31322,2030,32398,2458
2003-12-01,46178,3476,327,31,35195,1985,36217,2325
2004-01-01,41723,3475,297,31,28262,855,29065,1392
2004-02-01,42184,3231,297,29,29536,1067,30654,1871
2004-03-01,46092,3433,324,31,33535,1159,34586,1922
2004-04-01,45192,3323,316,30,34496,1862,35664,2228
2004-05-01,51893,3435,363,31,35100,1985,36692,2351
2004-06-01,55292,3358,377,30,39011,2055,40652,2358
2004-07-01,58601,3476,398,31,43694,2289,45370,2284
2004-08-01,58942,3476,400,31,45181,2200,46768,2200
2004-09-01,52393,3364,363,30,33787,1457,35140,1555
2004-10-01,51392,3476,362,31,32757,2773,34601,2831
2004-11-01,49548,3364,338,30,35259,1903,36296,2604
2004-12-01,50501,3480,344,31,38655,2015,39350,2482
2005-01-01,49598,3632,339,32,31178,1851,32285,2438
2005-02-01,43813,5836,303,44,29867,3242,30977,4113
2005-03-01,48478,8561,337,61,37098,5046,38216,6246
2005-04-01,46509,8397,322,60,35959,4480,36963,5172
2005-05-01,47154,8354,339,60,36203,4922,37887,5745
2005-06-01,46322,7749,324,59,38018,4742,38844,6109
2005-07-01,49517,8100,338,62,43336,5352,44073,6492
2005-08-01,49590,8100,338,62,42741,5169,43472,6242
2005-09-01,48919,7861,346,60,34836,4431,36195,5264
2005-10-01,51166,8160,368,62,34149,4330,36236,5379
2005-11-01,47511,8074,322,58,34747,4515,35924,5016
2005-12-01,51021,8668,345,62,36008,5127,37166,5848
2006-01-01,49600,8519,337,61,29790,4030,31066,4696
2006-02-01,47339,7184,318,52,31721,3896,33119,4655
2006-03-01,54192,8860,368,63,34771,5247,36073,6483
2006-04-01,52916,8220,358,59,39270,5169,40697,5597
2006-05-01,49541,8759,341,62,35345,5101,37444,5981
2006-06-01,47011,7870,327,60,38265,5377,38947,6616
2006-07-01,52866,8084,369,62,44562,5664,44960,6965
2006-08-01,53326,8052,372,62,44062,6049,44465,7081
