Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,482754,2367,3676,63,299712,9504,301655,1203
2002-11-01,438145,11457,3330,72,286060,13812,293741,9054
2002-12-01,470548,11298,3533,74,349199,15130,362882,9293
2003-01-01,470060,11123,3502,74,287173,12857,299824,9157
2003-02-01,422800,10394,3155,67,280619,14694,288607,8945
2003-03-01,477527,12131,3530,77,322023,16723,336415,10375
2003-04-01,486099,10299,3568,73,329637,13878,344140,8299
2003-05-01,553621,3203,3979,72,365761,11777,393502,2485
2003-06-01,597128,1495,4263,64,418454,10004,452447,943
2003-07-01,643094,1066,4578,64,453528,9297,482660,789
2003-08-01,637918,1055,4563,63,463467,9628,492351,830
2003-09-01,543974,579,3902,37,340053,5729,360215,343
2003-10-01,541634,3514,3884,44,341874,8659,361208,2672
2003-11-01,501112,17722,3547,100,336031,14832,355942,15566
2003-12-01,528735,17895,3740,101,370639,15834,394893,15431
2004-01-01,498223,17603,3528,99,320409,15111,348981,14916
2004-02-01,498262,16615,3553,96,321566,16242,345612,14810
2004-03-01,559956,17901,3933,101,386416,15984,419068,15353
2004-04-01,552826,14287,3858,85,379619,13826,407494,11987
2004-05-01,618054,3050,4209,41,393013,8260,435449,2476
2004-06-01,652580,3109,4418,100,467582,11534,517205,1832
2004-07-01,688179,3480,4666,119,497930,11455,546415,2089
2004-08-01,683608,3523,4649,122,509625,11366,552253,2156
2004-09-01,600381,3080,4120,81,392725,7515,424863,1490
2004-10-01,600201,3680,4100,65,381264,7636,419669,2112
2004-11-01,544792,18998,3788,98,383054,14633,412609,15979
2004-12-01,565700,19062,3905,99,407014,16235,439222,16455
2005-01-01,552439,19272,3806,100,356101,15867,391196,16083
2005-02-01,512903,18970,3496,112,339237,17469,370490,16225
2005-03-01,581749,21645,3958,132,426348,18212,465016,17506
2005-04-01,560508,21145,3796,129,406291,16856,442412,16436
2005-05-01,588218,4546,3787,93,411901,10169,464301,2349
2005-06-01,618322,4137,4040,69,473339,8021,523003,1936
2005-07-01,647498,4440,4338,68,504722,8151,537888,2491
2005-08-01,650006,4884,4365,97,517534,9140,546101,2431
2005-09-01,607989,4713,4040,94,422602,8965,457097,2098
2005-10-01,616980,6078,4099,96,397990,12265,442434,3606
2005-11-01,560502,23248,3750,129,395403,17437,432194,19725
2005-12-01,582856,24085,3896,132,411281,20192,450523,21170
2006-01-01,575190,24479,3842,133,364452,20719,407103,20394
2006-02-01,527126,20639,3504,104,355732,19220,395951,18405
2006-03-01,599492,22086,3951,103,431610,20789,485996,19539
2006-04-01,587118,20546,3874,97,421644,16651,471015,17596
2006-05-01,649176,564,4199,31,452483,8328,512319,420
2006-06-01,669582,485,4338,30,505538,6668,569228,300
2006-07-01,701972,475,4545,30,524786,5760,587072,287
2006-08-01,706315,491,4582,31,529325,5903,583328,305
2006-09-01,646009,510,4192,29,441202,6893,490178,275
2006-10-01,642998,4270,4175,44,422401,11220,474885,3007
2006-11-01,565548,30759,3704,143,406695,19128,444685,24665
2006-12-01,590223,31654,3846,151,416065,21413,457850,26257
2007-01-01,574786,30784,3751,150,360723,19175,403741,23748
2007-02-01,532307,28117,3475,136,351599,19625,388488,23508
2007-03-01,605709,31653,3900,150,433922,22379,487233,26717
2007-04-01,604709,29447,3870,140,429649,19040,476284,24181
2007-05-01,689133,5736,4388,48,485595,10522,544972,4815
2007-06-01,691164,542,4346,30,517978,6779,589099,230
2007-07-01,715573,,4500,,538793,4065,609666,
2007-08-01,709389,,4470,,548203,4041,613297,
2007-09-01,661525,862,4167,27,441073,5946,488378,287
2007-10-01,660751,5271,4124,45,423551,11008,483692,4125
2007-11-01,594076,35153,3674,129,412146,20010,471365,31928
2007-12-01,616686,36816,3804,136,421504,21413,481385,33233
2008-01-01,609912,36199,3689,132,366526,20377,433275,30761
2008-02-01,580241,34007,3491,124,378400,20646,438839,30019
2008-03-01,641893,37111,3874,134,464374,23883,538894,33300
2008-04-01,634610,31938,3840,119,421614,17653,489085,26412
2008-05-01,718513,3913,4306,45,480061,6275,560385,3633
2008-06-01,728233,125,4330,7,515560,2780,596101,95
2008-07-01,772847,,4587,,533579,1421,612161,
