Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,37306,28210,474,184,31163,13254,20893,18662
2002-11-01,34569,32834,451,202,30197,15292,20700,22075
2002-12-01,36768,34637,473,214,36838,17539,25559,24306
2003-01-01,35306,34108,456,212,28133,14864,20227,20855
2003-02-01,28670,31480,376,195,25665,14744,18211,20977
2003-03-01,30562,34724,400,215,26336,14685,18927,22694
2003-04-01,29896,33044,390,206,26401,14834,18721,20910
2003-05-01,31781,27940,406,182,30807,14558,20972,20552
2003-06-01,31475,29545,379,202,31186,17019,21128,23255
2003-07-01,32333,31232,385,216,34427,19639,23057,24281
2003-08-01,32461,30863,386,214,34863,20514,23247,24714
2003-09-01,28609,27580,352,183,28261,12208,18960,14210
2003-10-01,29389,29699,367,190,29245,15969,20194,20917
2003-11-01,29736,33586,373,201,31386,17433,20574,24296
2003-12-01,31224,35049,391,212,31603,18575,21537,25761
2004-01-01,29033,34131,365,206,25364,14803,17481,22076
2004-02-01,28134,32615,358,197,26960,13725,18932,21097
2004-03-01,30307,34696,390,211,28390,13737,20475,22103
2004-04-01,29172,32281,377,199,27839,14878,19599,21397
2004-05-01,31730,26327,413,181,29271,14278,21043,18485
2004-06-01,29350,26936,373,180,34164,15845,22576,21702
2004-07-01,30674,28112,387,186,38025,16752,24578,21688
2004-08-01,30466,28011,385,186,35579,16655,23024,21401
2004-09-01,29111,26694,365,177,30314,12944,19505,15915
2004-10-01,29615,28346,366,185,31409,13897,21177,19641
2004-11-01,30598,34215,378,209,33647,17363,21691,23920
2004-12-01,31704,35498,385,214,34906,18993,23287,25694
2005-01-01,31885,35422,390,214,30181,15641,20328,22071
2005-02-01,28947,32526,357,193,30030,15282,20206,21284
2005-03-01,31814,36913,395,217,37253,18479,24658,25703
2005-04-01,30290,35053,378,206,33945,16179,22535,23014
2005-05-01,29870,28017,377,185,35412,15995,22641,19780
2005-06-01,29720,27768,356,177,36777,18388,24456,22510
2005-07-01,30917,29125,372,185,37344,19175,25224,22746
2005-08-01,31129,28798,372,184,37413,18544,25101,21588
2005-09-01,30729,29110,357,178,32146,15296,20967,18986
2005-10-01,32073,31300,370,187,31702,15824,21074,23107
2005-11-01,29724,34393,380,205,33655,18162,21269,25272
2005-12-01,30512,35354,390,211,34226,19132,22159,26514
2006-01-01,30987,36527,390,210,30406,16227,19904,24311
2006-02-01,28083,32612,356,191,29353,15275,20117,22975
2006-03-01,31542,36000,398,210,34901,16885,24108,25577
2006-04-01,30251,34569,383,202,33638,16531,22851,23880
2006-05-01,31357,28427,398,186,36057,15857,24183,20378
2006-06-01,31879,27383,386,178,37670,18107,26012,22877
2006-07-01,32593,28455,394,186,37369,17782,25450,22059
2006-08-01,33015,29224,393,184,37188,16543,25832,20916
2006-09-01,30098,26855,363,173,32663,14532,21610,18095
2006-10-01,31327,30493,383,191,34263,15744,22839,21601
2006-11-01,39475,40673,507,219,43841,17828,26595,27900
2006-12-01,40701,41672,523,223,44136,19304,27420,31138
2007-01-01,40919,40129,529,223,33856,16603,21524,26200
2007-02-01,36882,37016,474,202,37520,15940,23670,26056
2007-03-01,41054,42034,528,226,45927,18899,29378,31339
2007-04-01,38985,40028,513,218,47692,19156,29991,28764
2007-05-01,40659,28869,542,186,46812,16766,30136,22528
2007-06-01,46607,26855,562,179,54714,15646,38197,22500
2007-07-01,48626,27737,584,184,55380,15476,38639,21541
2007-08-01,42477,27590,556,183,54706,15467,34973,21898
2007-09-01,35980,28186,450,177,41070,14093,26004,18274
2007-10-01,35946,30854,432,184,40426,14628,26443,21398
2007-11-01,34780,41282,412,212,38223,19670,24073,31562
2007-12-01,36035,42313,428,218,38431,22573,24638,34427
2008-01-01,33598,41176,401,213,30634,19449,19760,29824
2008-02-01,33300,39692,396,204,35162,18824,23239,30148
2008-03-01,35524,42610,425,219,41702,19860,27807,33583
2008-04-01,34770,39800,414,208,40377,17898,27090,27823
2008-05-01,35192,29979,417,186,42526,20669,28192,24279
2008-06-01,38051,24791,406,155,43534,17666,31869,20962
2008-07-01,44823,21457,467,128,47418,14215,35656,17510
2008-08-01,42279,19111,457,108,45485,11609,33168,15386
2008-09-01,34865,13607,403,60,37690,6433,24960,10204
2008-10-01,36922,14385,420,62,40054,7984,26883,12999
2008-11-01,32807,13690,393,60,39302,7918,24587,12199
2008-12-01,31355,13832,386,62,38384,7324,23300,11733
2009-01-01,30606,13789,381,62,32338,6086,19927,10356
2009-02-01,28703,12516,351,56,32397,6030,20668,10384
2009-03-01,32263,13873,393,62,37591,6664,24795,11803
2009-04-01,31837,13403,382,60,40540,7450,25794,11257
2009-05-01,29545,13845,350,62,36343,5496,23635,8658
2009-06-01,33038,13865,322,60,35159,7848,28086,12175
2009-07-01,36128,9274,341,40,36514,5529,29568,8330
2009-08-01,33127,7339,330,31,34626,3983,26178,6099
2009-09-01,27003,6989,295,30,32350,3634,20786,5556
2009-10-01,27561,7320,302,31,34041,4015,22510,6712
2009-11-01,23937,12722,272,53,30249,7718,19544,11448
2009-12-01,23956,14903,276,62,30897,8956,20094,13233
2010-01-01,22250,13866,244,62,24248,6839,16790,11312
2010-02-01,19986,13232,220,56,22389,6586,16834,11312
2010-03-01,22904,14898,247,62,26356,6306,19613,13045
2010-04-01,22761,14440,241,60,27856,7339,19630,12310
2010-05-01,23556,14880,245,62,28177,6763,19750,12999
