Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,4819,,77,,4063,,1672,
2002-11-01,4319,,77,,4907,,2075,
2002-12-01,4517,,75,,6051,,2715,
2003-01-01,4042,,67,,5490,,2377,
2003-02-01,3530,,53,,4625,,2023,
2003-03-01,6475,,74,,7859,,4840,
2003-04-01,6402,,72,,7255,,4171,
2003-05-01,6821,,74,,7502,,4445,
2003-06-01,8499,,82,,11035,,6619,
2003-07-01,15779,,124,,14492,,11521,
2003-08-01,19333,,149,,17216,,14058,
2003-09-01,18352,,139,,14154,,11833,
2003-10-01,19394,,150,,15888,,13743,
2003-11-01,19856,,147,,15470,,12920,
2003-12-01,18820,,149,,15017,,12425,
2004-01-01,16007,,124,,13357,,11367,
2004-02-01,18467,,139,,16674,,14135,
2004-03-01,24883,,176,,21662,,19455,
2004-04-01,24684,,170,,19587,,18097,
2004-05-01,27423,,184,,19996,,18381,
2004-06-01,25672,,165,,20530,,19615,
2004-07-01,29864,,186,,24231,,24131,
2004-08-01,33043,,213,,24424,,23781,
2004-09-01,32455,,211,,23462,,22855,
2004-10-01,38132,,241,,27503,,28448,
2004-11-01,36614,,240,,27058,,27477,
2004-12-01,39699,,264,,28966,,28906,
2005-01-01,35629,,238,,25718,,26795,
2005-02-01,32696,,215,,25970,,27100,
2005-03-01,38111,,255,,33086,,34031,
2005-04-01,36839,,248,,31583,,32615,
2005-05-01,42787,,281,,35621,,37199,
2005-06-01,42773,,280,,35544,,36574,
2005-07-01,50167,,320,,37677,,39726,
2005-08-01,52724,,330,,37583,,40075,
2005-09-01,55193,,339,,37317,,40833,
2005-10-01,55696,,344,,42228,,46148,
2005-11-01,55721,,342,,40219,,43889,
2005-12-01,67612,,411,,46447,,50961,
2006-01-01,69920,,428,,47854,,52832,
2006-02-01,71673,,431,,49688,,55906,
2006-03-01,82485,,494,,61542,,70268,
2006-04-01,76051,,464,,55778,,63162,
2006-05-01,66315,,421,,50041,,54499,
2006-06-01,73749,,479,,61048,,64101,
2006-07-01,77838,,513,,65574,,67324,
2006-08-01,75174,,502,,59497,,60558,
2006-09-01,70478,,477,,50842,,51777,
2006-10-01,79173,,526,,60930,,62843,
2006-11-01,77924,,522,,58829,,59786,
2006-12-01,78144,,532,,64121,,63022,
2007-01-01,73415,,497,,54903,,55496,
2007-02-01,75873,,505,,57689,,58943,
2007-03-01,94457,,612,,77479,,82052,
2007-04-01,90643,,589,,72779,,75691,
2007-05-01,83021,,548,,67914,,70292,
2007-06-01,91655,,597,,78628,,81542,
2007-07-01,99017,,643,,87968,,90525,
2007-08-01,93049,,603,,78650,,81002,
2007-09-01,86021,,540,,62246,,67436,
2007-10-01,90927,,584,,67885,,72392,
2007-11-01,101828,,648,,73804,,78581,
2007-12-01,99890,,667,,82568,,82878,
2008-01-01,75599,,508,,61859,,62006,
2008-02-01,76238,,515,,64186,,64103,
2008-03-01,94444,,653,,86522,,84454,
2008-04-01,72102,,502,,66718,,64911,
2008-05-01,75222,,527,,71274,,68434,
2008-06-01,82390,,588,,79243,,77495,
2008-07-01,80730,,579,,81588,,76343,
2008-08-01,72612,,528,,74138,,68572,
2008-09-01,60423,,433,,59066,,55640,
2008-10-01,70950,,515,,68157,,63850,
2008-11-01,70819,,514,,68896,,64391,
2008-12-01,79789,,587,,76603,,70867,
2009-01-01,69705,,516,,66085,,61117,
2009-02-01,68649,,504,,66473,,61610,
2009-03-01,91104,,665,,90617,,84274,
2009-04-01,80379,,578,,79515,,74958,
2009-05-01,79982,,591,,79085,,73053,
2009-06-01,94231,,670,,91529,,87034,
2009-07-01,97436,,697,,90693,,85542,
2009-08-01,85260,,611,,81818,,77197,
2009-09-01,69458,,498,,65795,,62432,
2009-10-01,74812,,528,,69021,,66759,
2009-11-01,74533,,526,,71161,,68332,
2009-12-01,71818,,512,,67727,,64244,
2010-01-01,69516,,497,,65576,,62022,
2010-02-01,72620,,509,,67379,,64869,
2010-03-01,98566,,676,,92655,,90947,
2010-04-01,89350,,626,,86303,,82937,
2010-05-01,84944,,606,,84248,,79053,
2010-06-01,87726,,629,,87356,,81671,
2010-07-01,107117,,766,,100142,,94071,
2010-08-01,91405,,660,,90782,,84192,
2010-09-01,71037,,510,,68096,,63960,
2010-10-01,80220,,579,,77574,,72646,
2010-11-01,73077,,540,,73003,,66634,
2010-12-01,79351,,597,,78183,,70073,
2011-01-01,72006,,554,,74885,,66327,
2011-02-01,66472,,506,,68209,,60951,
2011-03-01,96661,,699,,95618,,89297,
2011-04-01,80894,,605,,84522,,76431,
2011-05-01,79723,,605,,82724,,73755,
2011-06-01,91648,,677,,91838,,83184,
2011-07-01,107604,,776,,108018,,98600,
2011-08-01,87479,,628,,87665,,80027,
2011-09-01,85727,,624,,82079,,74618,
2011-10-01,89790,,653,,87856,,79637,
2011-11-01,86352,,629,,84828,,76261,
2011-12-01,95541,,662,,88169,,81024,
2012-01-01,91017,,629,,85429,,78836,
2012-02-01,92465,,653,,86121,,79284,
2012-03-01,129715,,902,,123456,,116295,
2012-04-01,108761,,758,,106894,,99083,
2012-05-01,92038,,639,,89907,,82124,
2012-06-01,96008,,645,,94852,,87270,
2012-07-01,110716,,683,,107133,,103380,
2012-08-01,103736,,626,,96106,,93510,
2012-09-01,94456,,567,,81836,,78362,
2012-10-01,96169,,577,,86697,,83908,
2012-11-01,95722,,589,,86112,,83167,
2012-12-01,98529,,609,,88566,,84807,
2013-01-01,93764,,557,,82938,,81616,
2013-02-01,92401,,547,,83411,,82730,
2013-03-01,123695,,730,,112558,,112804,
2013-04-01,103171,,617,,96179,,95213,
2013-05-01,109169,,667,,98539,,97003,
2013-06-01,110127,,677,,103426,,99405,
2013-07-01,112294,,681,,106524,,103371,
2013-08-01,102032,,613,,96336,,94133,
2013-09-01,93496,,534,,79386,,79977,
2013-10-01,94164,,550,,82924,,82236,
2013-11-01,94845,,574,,83797,,82212,
2013-12-01,106445,,643,,92534,,89934,
2014-01-01,93890,,560,,81931,,81244,
2014-02-01,91728,,542,,81152,,80271,
2014-03-01,116921,,685,,107838,,107196,
2014-04-01,92160,,557,,87688,,84543,
2014-05-01,100850,,632,,95187,,89911,
2014-06-01,105565,,655,,101737,,97242,
2014-07-01,104060,,650,,101261,,96649,
2014-08-01,100234,,611,,94439,,91549,
2014-09-01,87671,,526,,77189,,75651,
2014-10-01,100440,,606,,87631,,86341,
2014-11-01,95953,,587,,86418,,83747,
2014-12-01,103022,,631,,90388,,87557,
2015-01-01,92882,,557,,80513,,79870,
2015-02-01,90336,,540,,79340,,79095,
2015-03-01,118846,,694,,106617,,107643,
2015-04-01,105256,,627,,93221,,92593,
2015-05-01,102969,,618,,92195,,91200,
2015-06-01,109094,,656,,99351,,98577,
2015-07-01,118123,,707,,110085,,108779,
2015-08-01,107161,,636,,96493,,96097,
2015-09-01,92577,,548,,77574,,77997,
2015-10-01,109283,,644,,90174,,91210,
2015-11-01,113106,,678,,96512,,95808,
2015-12-01,119536,,717,,98572,,97918,
2016-01-01,103863,,622,,84224,,84266,
2016-02-01,106304,,633,,87840,,89422,
2016-03-01,121303,,727,,107037,,107724,
2016-04-01,105370,,635,,92428,,92020,
2016-05-01,111859,,674,,97243,,97221,
2016-06-01,122847,,735,,109616,,109556,
2016-07-01,126482,,766,,116887,,114667,
2016-08-01,109506,,668,,100192,,98355,
2016-09-01,109076,,675,,93543,,91690,
2016-10-01,117120,,723,,101863,,100462,
2016-11-01,111606,,690,,97026,,95104,
2016-12-01,126273,,811,,102430,,99915,
2017-01-01,113824,,699,,93502,,91896,
2017-02-01,105241,,653,,86513,,85504,
2017-03-01,123242,,769,,107210,,105161,
