Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,59854,,774,,60464,59,38363,
2002-11-01,55009,,733,,57649,,36286,
2002-12-01,56586,,745,,66240,,41907,
2003-01-01,57448,,754,,55317,4,35118,
2003-02-01,54006,,674,,53216,65,33724,
2003-03-01,61306,,755,,62656,68,39839,
2003-04-01,59205,,739,,60998,98,38776,
2003-05-01,60778,,750,,66503,191,42659,
2003-06-01,58660,,749,,71537,153,45628,
2003-07-01,58967,,769,,72092,270,46152,
2003-08-01,59835,,758,,64000,104,41162,
2003-09-01,58603,,743,,55447,58,35554,
2003-10-01,61480,,773,,62865,58,40381,
2003-11-01,54231,,656,,50931,141,34286,
2003-12-01,56589,,687,,56330,183,37553,
2004-01-01,56186,,690,,50075,61,33625,
2004-02-01,50340,,621,,47066,35,31355,
2004-03-01,56737,,701,,57356,36,38286,
2004-04-01,56421,,687,,57307,43,38421,
2004-05-01,57392,,683,,59912,,40018,
2004-06-01,55382,,651,,59962,,40070,
2004-07-01,54610,,641,,58393,,39071,
2004-08-01,53930,,630,,51419,,34625,
2004-09-01,49847,,574,,47245,,32005,
2004-10-01,54755,,633,,56010,,37756,
2004-11-01,53410,,618,,53956,,36278,
2004-12-01,55263,,640,,60175,,40453,
2005-01-01,51011,,592,,46815,,31525,
2005-02-01,47408,,548,,47022,,31421,
2005-03-01,54469,,619,,58225,,38784,
2005-04-01,56520,,620,,56697,146,38066,
2005-05-01,60153,,650,,60327,160,40416,
2005-06-01,65703,,699,,69660,256,47284,
2005-07-01,68125,,722,,71360,341,48682,
2005-08-01,67223,,711,,61817,234,42603,
2005-09-01,64583,,680,,62012,118,42467,
2005-10-01,63408,,668,,66786,178,45712,
2005-11-01,61262,,644,,67391,48,46252,
2005-12-01,61800,,650,,70801,73,48229,
2006-01-01,62079,,655,,57655,35,39429,
2006-02-01,55361,,584,,56441,47,38536,
2006-03-01,62742,,661,,69593,74,47338,
2006-04-01,66036,,696,,74414,87,50720,
2006-05-01,68562,,722,,78972,212,54139,
2006-06-01,67165,,708,,79307,264,54173,
2006-07-01,67248,,710,,76982,361,52706,
2006-08-01,68005,,716,,65043,169,44676,
2006-09-01,62392,,655,,58299,102,39941,
2006-10-01,65455,,687,,65844,131,44926,
2006-11-01,61786,,649,,64960,142,44509,
2006-12-01,63029,,661,,68272,127,46582,
2007-01-01,63259,,664,,60206,118,41131,
2007-02-01,55289,,579,,57392,42,39295,
2007-03-01,63802,,668,,71184,80,48484,
2007-04-01,64960,,676,,69967,35,48008,
2007-05-01,68074,,709,,73728,9,50339,
2007-06-01,65374,,678,,76072,38,52026,
2007-07-01,67771,107,703,1,77005,12,52592,88
2007-08-01,68779,,711,,74170,20,50930,
2007-09-01,64457,,668,,64897,34,44276,
2007-10-01,68466,,707,,71648,56,48898,
2007-11-01,64764,,669,,67568,33,46242,
2007-12-01,66857,,687,,66547,31,45862,
2008-01-01,64953,,669,,57092,7,39242,
2008-02-01,60901,,626,,59175,22,40633,
2008-03-01,64161,,661,,69906,32,48187,
2008-04-01,62835,,645,,63995,161,43962,
2008-05-01,67912,,697,,68133,162,46738,
2008-06-01,66335,,683,,68780,224,47099,
2008-07-01,69194,,710,,69416,267,47691,
2008-08-01,67369,107,692,1,61618,235,42427,60
2008-09-01,65978,,681,,52321,49,35867,
2008-10-01,68695,,708,,59440,30,40489,
2008-11-01,53060,,555,,47032,75,31827,
2008-12-01,54601,,570,,54271,67,36446,
2009-01-01,52903,,554,,44906,51,30282,
2009-02-01,48424,,508,,44844,71,30114,
2009-03-01,54011,,565,,57072,82,38188,
2009-04-01,54179,,567,,61197,56,41005,
2009-05-01,56863,,595,,61885,58,41313,
2009-06-01,53875,,565,,67300,73,45028,
2009-07-01,55769,,586,,64983,157,43628,
2009-08-01,54669,,572,,55009,144,37216,
2009-09-01,51560,,536,,48954,145,33222,
2009-10-01,53947,,560,,55022,134,37390,
2009-11-01,49746,,518,,47385,110,32034,
2009-12-01,48657,,508,,51512,54,34627,
2010-01-01,48024,,503,,47152,22,31864,
2010-02-01,43257,,454,,43117,42,29000,
2010-03-01,50680,,531,,56901,29,38187,
2010-04-01,41749,107,427,1,45132,51,31091,97
2010-05-01,40388,,412,,45812,84,31582,
2010-06-01,39908,,404,,42620,213,29637,
2010-07-01,40742,,412,,46368,330,32299,
2010-08-01,41556,,418,,40127,118,28017,
2010-09-01,40497,,404,,38854,138,27119,
2010-10-01,42193,,421,,46181,109,32086,
2010-11-01,41164,,412,,40992,79,28470,
2010-12-01,43951,,438,,45964,129,31807,
2011-01-01,41915,,418,,35995,32,25309,
2011-02-01,37782,,378,,34060,24,23596,
2011-03-01,43670,,435,,39901,29,27775,
2011-04-01,42582,,425,,42252,444,29500,
2011-05-01,42193,,422,,44746,403,31167,
2011-06-01,44031,,434,,49199,209,34048,
2011-07-01,44486,,439,,50551,65,34667,
2011-08-01,44135,,436,,41232,189,28654,
2011-09-01,42495,,426,,40082,201,27630,
2011-10-01,44227,,443,,46420,190,31943,
2011-11-01,41991,,418,,43833,218,30068,
2011-12-01,45311,,449,,47597,222,32240,
2012-01-01,47536,,474,,39279,50,26826,
2012-02-01,41712,,414,,34833,109,23828,
2012-03-01,47784,,470,,45290,237,31160,
2012-04-01,38000,,378,,36496,60,25327,
2012-05-01,40870,,406,,41541,74,28759,
2012-06-01,39626,,394,,40313,188,27842,
2012-07-01,38715,,385,,39204,298,27209,
2012-08-01,37161,,369,,34557,216,24278,
2012-09-01,35344,,352,,29218,110,20444,
2012-10-01,38684,,385,,37039,97,25786,
2012-11-01,38877,,387,,36367,85,25265,
2012-12-01,41483,,414,,41561,,28488,
2013-01-01,42387,,426,,34681,,24128,
2013-02-01,38150,,385,,33428,,22927,
2013-03-01,42564,,432,,40483,,27744,
2013-04-01,36929,,384,,36335,,25185,
2013-05-01,37555,,393,,41227,,28199,
2013-06-01,37077,,388,,42449,142,29235,
2013-07-01,39514,,408,,41420,212,28963,
2013-08-01,38453,,398,,35129,120,24432,
2013-09-01,35174,,365,,31665,,22067,
2013-10-01,37415,,387,,42063,,29357,
2013-11-01,35374,,366,,36082,,25022,
2013-12-01,35386,,368,,40889,,27830,
2014-01-01,38586,,400,,36528,,25348,
2014-02-01,32939,,341,,37977,,26260,
2014-03-01,39151,,406,,45699,,31551,
2014-04-01,38317,,397,,45052,,31344,
2014-05-01,38130,,395,,51104,,35199,
2014-06-01,38195,,399,,50156,,34569,
2014-07-01,39011,,411,,49595,,34223,
2014-08-01,36188,,380,,43880,,30671,
2014-09-01,33972,,352,,39408,,27966,
2014-10-01,34592,,360,,41631,,29519,
2014-11-01,33700,,360,,39628,,27943,
2014-12-01,36682,,389,,42697,,30005,
2015-01-01,36459,,396,,40162,,28042,
2015-02-01,31150,,339,,34902,,24384,
2015-03-01,58303,,476,,50790,,45511,
2015-04-01,59041,,465,,52245,,47842,
2015-05-01,57560,,461,,54770,,48291,
2015-06-01,58795,,479,,59954,16,53764,
2015-07-01,118893,,1040,,142974,32,112338,
2015-08-01,110300,,978,,128972,37,97669,
2015-09-01,100630,,912,,121215,63,87525,
2015-10-01,108766,,968,,129563,46,98774,
2015-11-01,104448,,927,,122524,122,93355,
2015-12-01,104262,,922,,124347,145,95897,
2016-01-01,90239,,815,,105835,65,81073,
2016-02-01,81977,,792,,87860,38,70421,
2016-03-01,88853,,858,,98310,83,77773,
2016-04-01,88782,,844,,104517,283,81573,
2016-05-01,110759,,1082,,144985,282,105595,
2016-06-01,103866,,1005,,127941,255,98451,
2016-07-01,108980,,1048,,127795,150,101562,
2016-08-01,107707,,1056,,112763,130,91377,
2016-09-01,106585,,1053,,118802,171,91677,
2016-10-01,118251,,1138,,131622,194,102655,
2016-11-01,109399,,1077,,115485,51,90406,
2016-12-01,113250,,1082,,119060,54,93736,
2017-01-01,112822,,1084,,106483,,85825,
2017-02-01,107408,,1031,,105617,,83535,
2017-03-01,126094,,1194,,131823,,105153,
