Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,348977,75175,1500,143,158879,20535,239300,54921
2002-11-01,327450,56237,1375,95,133940,15244,197628,40650
2002-12-01,323427,55904,1404,94,160942,16236,241108,42896
2003-01-01,326567,57787,1384,96,127975,13528,190911,36833
2003-02-01,276674,51205,1178,84,132958,13314,197936,34386
2003-03-01,325011,59419,1371,100,147227,15288,219729,39323
2003-04-01,315673,58436,1324,90,149094,14227,223055,39420
2003-05-01,302893,52249,1255,90,140062,14882,211572,41375
2003-06-01,312306,73014,1263,120,151221,21915,235796,65112
2003-07-01,329275,87075,1306,161,163896,23224,262522,61303
2003-08-01,327060,88151,1316,166,163779,25029,262926,67112
2003-09-01,309192,76249,1242,125,123023,17861,190768,52682
2003-10-01,328178,78220,1288,138,153833,19257,237822,54905
2003-11-01,325583,63378,1313,118,141159,17709,217324,46140
2003-12-01,327018,66339,1303,120,157455,21656,247659,52312
2004-01-01,327534,67736,1356,128,133279,15986,207924,41459
2004-02-01,325819,65874,1381,123,151067,17142,229655,42828
2004-03-01,391444,69407,1558,127,175978,20181,284189,53007
2004-04-01,392015,63855,1551,114,181431,18673,289645,48152
2004-05-01,360257,90722,1468,143,157558,24244,254796,70758
2004-06-01,359107,95196,1424,145,165347,28020,275996,83808
2004-07-01,373829,103780,1477,163,174268,28261,293114,79789
2004-08-01,379712,107295,1498,173,178308,29454,301487,84788
2004-09-01,311807,91229,1263,137,134903,24015,225835,74090
2004-10-01,331185,94648,1375,147,167429,25313,269456,75752
2004-11-01,332377,57144,1398,94,154032,16432,240427,45369
2004-12-01,352633,61270,1458,107,166540,17692,257903,47002
2005-01-01,292867,62776,1182,116,132694,16972,207043,42999
2005-02-01,280639,62380,1171,117,140795,18391,214557,43290
2005-03-01,308126,69070,1282,129,162436,21883,248005,52478
2005-04-01,322402,61427,1304,109,162039,19097,247765,50190
2005-05-01,321526,116297,1282,186,152982,31199,237875,94929
2005-06-01,302875,112246,1209,179,159783,32098,249311,98303
2005-07-01,311530,116270,1237,185,172311,31318,273232,94121
2005-08-01,306810,115145,1216,181,167339,31518,264859,95767
2005-09-01,287390,109040,1124,167,136538,29409,218051,90557
2005-10-01,289454,114532,1127,181,155628,29734,250271,88525
2005-11-01,280336,83326,1120,133,144760,23579,233010,67313
2005-12-01,268398,88202,1065,145,136806,24187,218539,67775
2006-01-01,261047,80332,1042,139,121530,19701,193530,52131
2006-02-01,234241,68308,930,121,119826,18202,189045,45502
2006-03-01,275218,84720,1104,151,144253,24457,226101,62358
2006-04-01,272745,89832,1123,148,149834,24893,230002,69700
2006-05-01,276369,117064,1146,178,148848,28942,228415,88100
2006-06-01,270098,111526,1120,172,154231,32980,237535,99613
2006-07-01,276431,114446,1136,176,162568,30594,253011,90649
2006-08-01,277327,111659,1148,171,156096,29773,242017,88537
2006-09-01,253233,106592,1047,157,124864,26348,193893,82154
2006-10-01,260730,112431,1076,174,146100,25530,225236,75712
2006-11-01,246832,70233,1014,109,133347,18814,204698,52866
2006-12-01,257517,66549,1022,107,130596,17957,205143,48848
2007-01-01,258360,63301,1014,106,113475,16323,177255,42531
2007-02-01,227966,56404,878,95,113817,15716,179127,39806
2007-03-01,256261,62191,999,106,133138,19303,208229,48887
2007-04-01,259241,72241,1046,122,138028,20837,213174,55307
2007-05-01,269894,94995,1111,136,145621,24446,223134,74515
2007-06-01,267078,93365,1090,138,156012,27305,243397,80704
2007-07-01,283341,98805,1145,146,164982,24306,260794,68581
2007-08-01,285748,98180,1155,145,165681,26595,260222,76485
