Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,85735,262,637,1,65110,1,60497,115
2002-11-01,79935,,573,,57830,27,55162,
2002-12-01,82924,,599,,62702,36,60831,
2003-01-01,83159,,608,,53109,104,51231,
2003-02-01,63796,,475,,44316,58,43215,
2003-03-01,80080,,603,,56500,42,55114,
2003-04-01,77780,,575,,59228,51,56690,
2003-05-01,84152,,597,,62889,36,61598,
2003-06-01,80759,,592,,64557,58,63150,
2003-07-01,83534,,622,,69396,128,68278,
2003-08-01,83071,,614,,66197,87,64271,
2003-09-01,75692,,560,,51717,57,49303,
2003-10-01,79741,,597,,64204,66,63098,
2003-11-01,68823,,494,,53455,53,54454,
2003-12-01,73140,,518,,56805,113,58766,
2004-01-01,67360,,484,,48282,77,50195,
2004-02-01,73033,,488,,50110,106,52836,
2004-03-01,79340,,537,,59032,136,61648,
2004-04-01,72158,,499,,58943,89,60589,
2004-05-01,77118,,506,,58732,135,60663,
2004-06-01,80935,,553,,65449,113,66530,
2004-07-01,82018,,567,,64793,157,65729,
2004-08-01,81298,,573,,60941,163,61256,
2004-09-01,78303,,524,,52647,28,54287,
2004-10-01,86503,,563,,59417,63,61896,
2004-11-01,83393,,553,,56782,189,60077,
2004-12-01,87221,,569,,57766,110,61648,
2005-01-01,82976,,523,,50905,116,54711,
2005-02-01,77051,,488,,47131,224,50913,
2005-03-01,88985,,570,,64769,319,69707,
2005-04-01,83132,,520,,57639,465,60548,
2005-05-01,87022,,539,,61348,718,64916,
2005-06-01,82783,,515,,64930,530,67312,
2005-07-01,89426,,553,,70027,469,72832,
2005-08-01,87532,,545,,63429,428,65946,
2005-09-01,79404,,488,,53816,111,56711,
2005-10-01,79344,,485,,57320,138,61351,
2005-11-01,71781,,409,,50288,202,56632,
2005-12-01,73287,,416,,49734,326,56586,
2006-01-01,73321,,415,,43285,188,49057,
2006-02-01,62790,,354,,41348,296,46673,
2006-03-01,73500,,415,,51407,278,57517,
2006-04-01,73532,,421,,55210,208,61624,
2006-05-01,75753,,429,,56739,201,63563,
2006-06-01,73621,,421,,58714,258,65661,
2006-07-01,75751,,436,,59217,174,66593,
2006-08-01,74507,,426,,55158,180,61719,
2006-09-01,64648,,309,,40549,278,47670,
2006-10-01,66664,268,304,1,44171,368,53164,221
2006-11-01,63261,,288,,42317,439,51145,
2006-12-01,67694,,319,,44640,464,53205,
2007-01-01,65767,,314,,39012,461,46684,
2007-02-01,57716,,277,,38381,404,45425,
2007-03-01,67067,,320,,45860,405,54285,
2007-04-01,66588,,324,,45650,376,54356,
2007-05-01,68436,,337,,47086,452,56228,
2007-06-01,66724,,329,,49273,315,58625,
2007-07-01,68028,,343,,49920,269,59368,
2007-08-01,69292,,339,,48209,265,57306,
2007-09-01,60609,,288,,35851,321,43086,
2007-10-01,63417,,304,,41778,431,50480,
2007-11-01,57708,,289,,39157,392,47410,
2007-12-01,54624,,270,,36225,585,43750,
2008-01-01,52653,,260,,32775,483,39601,
2008-02-01,49289,,241,,31425,467,37972,
2008-03-01,53283,,263,,37643,412,45562,
2008-04-01,47582,,251,,32250,412,38756,
2008-05-01,51019,,277,,36552,376,43793,
2008-06-01,50188,,280,,37585,441,45596,
2008-07-01,51006,,277,,37861,426,45579,
2008-08-01,51483,,285,,35843,422,43490,
2008-09-01,40836,,238,,28049,199,32340,
2008-10-01,42074,,248,,31606,155,36117,
2008-11-01,39201,,231,,26972,215,32293,
2008-12-01,41104,,243,,29730,344,35875,
2009-01-01,40514,,239,,27969,209,33464,
2009-02-01,37011,,217,,26309,177,31620,
2009-03-01,40604,,241,,29139,194,34773,
2009-04-01,43572,,258,,31205,212,37218,
2009-05-01,45949,,274,,32988,148,39459,
2009-06-01,44244,,266,,33687,112,40508,
2009-07-01,46873,,280,,35329,133,42719,
2009-08-01,46842,,279,,33344,78,40026,
2009-09-01,44331,,260,,29826,88,35780,
2009-10-01,46200,,272,,34043,129,40613,
2009-11-01,45041,136,265,2,31490,409,38094,68
2009-12-01,44627,,264,,31508,419,38097,
2010-01-01,45812,,271,,30348,207,36497,
2010-02-01,34294,,204,,23439,78,28017,
2010-03-01,46412,,274,,34346,33,40892,
2010-04-01,44580,,262,,31421,70,37591,
2010-05-01,45724,,269,,33370,67,39863,
2010-06-01,44348,,265,,33483,281,40448,
2010-07-01,45713,,272,,34871,328,42058,
2010-08-01,47280,,275,,34167,253,41162,
2010-09-01,44529,,264,,29136,226,35068,
2010-10-01,46321,,272,,33956,151,40752,
2010-11-01,45411,,263,,32042,235,38816,
2010-12-01,46210,,272,,32394,432,39506,
2011-01-01,44765,,260,,28871,285,35112,
2011-02-01,40867,,236,,27032,225,32737,
2011-03-01,47118,,271,,32658,251,39501,
2011-04-01,42763,,263,,31613,231,36008,
2011-05-01,42585,,266,,32628,222,36749,
2011-06-01,43241,,271,,35291,218,39995,
2011-07-01,44774,,276,,36497,172,41168,
2011-08-01,42252,,262,,33897,300,38444,
2011-09-01,39562,,243,,29478,158,33190,
