Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,27785,,295,,19650,20,15483,
2002-11-01,17106,,170,,10407,,9741,
2002-12-01,18624,,188,,14859,42,13475,
2003-01-01,20191,,206,,11205,57,9990,
2003-02-01,15279,,167,,9502,,8340,
2003-03-01,23004,,203,,12926,68,11484,
2003-04-01,22272,,194,,12723,17,11284,
2003-05-01,23367,,203,,14234,27,12807,
2003-06-01,22921,,199,,15807,28,14047,
2003-07-01,26545,,238,,17426,26,15319,
2003-08-01,25108,,225,,14153,125,12679,
2003-09-01,21935,,200,,10597,8,9355,
2003-10-01,23019,,209,,13475,,11861,
2003-11-01,21885,,200,,13213,1,11412,
2003-12-01,22807,,209,,15554,5,13288,
2004-01-01,19031,,168,,10356,2,9072,
2004-02-01,17562,,154,,10371,,9157,
2004-03-01,20208,,178,,12899,,11487,
2004-04-01,19661,,172,,14438,,12783,
2004-05-01,16645,,148,,12122,30,10696,
2004-06-01,15727,,141,,12362,58,10909,
2004-07-01,15519,,138,,12465,88,10955,
2004-08-01,15173,,136,,9877,61,8805,
2004-09-01,15220,,134,,9357,2,8369,
2004-10-01,16123,,143,,11935,,10547,
2004-11-01,15918,,141,,11020,,9665,
2004-12-01,16364,,145,,12387,,10846,
2005-01-01,15898,,141,,9818,,8679,
2005-02-01,14396,,127,,9585,,8356,
2005-03-01,17012,,147,,13938,,12211,
2005-04-01,17135,,146,,13003,,11589,
2005-05-01,17972,,150,,15020,,13222,
2005-06-01,20804,,171,,18410,95,16493,
2005-07-01,25911,,212,,20274,111,18380,
2005-08-01,23716,,195,,16403,70,14982,
2005-09-01,17447,,145,,11956,21,10820,
2005-10-01,17691,,146,,14354,27,12878,
2005-11-01,17311,,144,,14194,,12724,
2005-12-01,17659,,147,,15248,,13433,
2006-01-01,18073,,150,,12422,,11070,
2006-02-01,15932,,132,,12140,,10784,
2006-03-01,18258,,151,,15719,,13967,
2006-04-01,18874,,149,,16189,,15088,
2006-05-01,19638,,155,,17946,,16818,
2006-06-01,18857,,149,,18189,,17042,
2006-07-01,19075,,150,,17917,,16752,
2006-08-01,19507,,154,,16417,,15462,
2006-09-01,17818,,140,,14902,,13945,
2006-10-01,19229,,151,,17324,,16215,
2006-11-01,17914,,141,,15382,,14367,
2006-12-01,18464,,145,,15405,,14401,
2007-01-01,18001,,141,,13665,,12790,
2007-02-01,15519,,122,,12592,,11705,
2007-03-01,18707,,146,,15844,,14818,
2007-04-01,16019,,126,,14762,,13839,
2007-05-01,18901,,147,,17295,,16173,
2007-06-01,18667,,145,,18220,,17031,
2007-07-01,19356,,150,,17959,,16810,
2007-08-01,18669,,145,,17244,,16168,
2007-09-01,17945,,138,,14931,29,14024,
2007-10-01,19454,,150,,16744,29,15721,
2007-11-01,18583,,143,,15316,26,14335,
2007-12-01,18368,,141,,14824,19,13893,
2008-01-01,18368,,141,,12805,,11985,
2008-02-01,16957,,130,,12625,,11817,
2008-03-01,16807,,129,,14064,,13179,
2008-04-01,19028,,147,,14440,,13573,
2008-05-01,22333,,172,,17811,,16671,
2008-06-01,22236,,171,,20208,,18915,
2008-07-01,23361,,180,,19902,,18648,
2008-08-01,22483,,172,,17154,,16074,
2008-09-01,19181,,147,,13031,,12197,
2008-10-01,19731,,151,,15546,,14551,
2008-11-01,17657,,136,,13102,5,12212,
2008-12-01,19079,,146,,15723,8,14863,
2009-01-01,18462,,141,,13452,19,12609,
2009-02-01,16773,,128,,11916,,11153,
2009-03-01,18892,,144,,15035,,14095,
2009-04-01,18388,,141,,15614,9,14543,
2009-05-01,18360,,140,,15759,13,14781,
2009-06-01,18648,,142,,16800,25,15779,
2009-07-01,19240,,147,,17424,,16309,
2009-08-01,19255,,147,,15945,,14925,
2009-09-01,18207,,139,,15065,,14101,
2009-10-01,18870,,144,,16454,,15401,
2009-11-01,17952,,137,,13908,,13018,
2009-12-01,17640,,135,,13895,,13069,
2010-01-01,16773,,128,,11577,,10836,
2010-02-01,16006,,123,,11451,,10733,
2010-03-01,18646,,143,,15043,,14102,
2010-04-01,18396,,142,,16004,,14975,
2010-05-01,18566,,142,,17203,,16064,
2010-06-01,18527,,142,,17770,,16680,
2010-07-01,18759,,144,,17938,,16808,
2010-08-01,19132,,146,,17222,,16120,
2010-09-01,18346,,140,,15404,,14418,
2010-10-01,18846,,144,,17558,,16414,
2010-11-01,20704,,158,,17129,,16033,
2010-12-01,25380,,194,,20140,,18835,
2011-01-01,23194,,177,,15012,,14051,
2011-02-01,21622,,165,,13825,13,12952,
2011-03-01,26601,,203,,17729,30,16622,
2011-04-01,24409,,186,,18020,2,16892,
2011-05-01,23312,,178,,18326,,17138,
2011-06-01,25015,,191,,20010,,18725,
2011-07-01,25160,,192,,19512,,18263,
2011-08-01,24504,,187,,17024,,15934,
2011-09-01,24892,,191,,17100,,16008,
2011-10-01,26470,,202,,18701,,17504,
2011-11-01,20180,,154,,15013,,14052,
2011-12-01,19918,,152,,14804,,13857,
2012-01-01,18739,,143,,11777,,11023,
2012-02-01,17188,,131,,11680,,10944,
2012-03-01,18739,,143,,13752,,12872,
2012-04-01,19658,,150,,13651,,12779,
2012-05-01,22393,,171,,16801,,15712,
2012-06-01,21204,,162,,17763,,16607,
2012-07-01,18584,,142,,16379,,15311,
2012-08-01,19632,,150,,15586,,14569,
2012-09-01,19484,,149,,12891,,12066,
2012-10-01,23325,,178,,15735,,14728,
2012-11-01,21753,,166,,14449,,13524,
2012-12-01,21163,,162,,15706,,14643,
2013-01-01,21374,,164,,14496,,13578,
2013-02-01,19927,,152,,13530,,12669,
2013-03-01,21987,,170,,15556,,14560,
2013-04-01,20131,,159,,16250,,15128,
2013-05-01,21027,,167,,19395,,18100,
2013-06-01,20484,,162,,20084,79,18873,
2013-07-01,21608,,171,,20146,77,18929,
2013-08-01,21870,,174,,19510,49,18317,
2013-09-01,21154,,169,,17391,,16243,
2013-10-01,21794,,178,,18951,,17738,
2013-11-01,19977,,161,,16101,,15184,
2013-12-01,19682,,155,,17803,,16720,
2014-01-01,21534,,171,,18246,,17038,
2014-02-01,16936,,134,,14093,,13191,
2014-03-01,21223,,168,,18070,,16914,
2014-04-01,21451,,171,,18892,,17650,
2014-05-01,21579,,174,,19454,,18309,
2014-06-01,22077,,180,,21054,,19805,
2014-07-01,30892,,273,,31767,,26534,
2014-08-01,30816,,271,,30228,,25014,
2014-09-01,38113,,335,,32637,,26018,
2014-10-01,43233,,357,,41775,,33358,
2014-11-01,42129,,338,,36700,,29082,
2014-12-01,44818,,350,,42413,,33927,
2015-01-01,50109,,395,,39749,,31080,
2015-02-01,41641,117,334,1,39054,,30286,113
2015-03-01,47971,,385,,48128,,37395,
2015-04-01,45526,,378,,46317,,35153,
2015-05-01,43873,,362,,44767,,34290,
2015-06-01,40364,,324,,43538,,34473,
2015-07-01,1059545,416697,7901,983,1096439,149155,953559,332721
2015-08-01,1027547,393438,7743,856,1053922,127397,901812,313704
