Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,108340,,1009,,85812,172,76807,
2002-11-01,97775,,929,,74913,126,66079,
2002-12-01,100000,,946,,81269,172,72893,
2003-01-01,102448,,973,,67720,181,60444,
2003-02-01,82593,,787,,65328,89,58408,
2003-03-01,102296,,970,,78758,208,70390,
2003-04-01,103456,,958,,81132,205,71905,
2003-05-01,102146,150,916,1,83175,163,73685,95
2003-06-01,105220,,940,,85104,282,75749,
2003-07-01,109468,,970,,84157,339,75766,
2003-08-01,107616,,951,,82734,327,74791,
2003-09-01,98997,,878,,65098,149,57467,
2003-10-01,110316,,974,,83325,122,74909,
2003-11-01,89657,,782,,66416,201,63680,
2003-12-01,90875,,797,,69616,164,67324,
2004-01-01,89037,,775,,54638,142,53324,
2004-02-01,92113,,812,,65104,173,61621,
2004-03-01,101329,,901,,78759,153,73850,
2004-04-01,97972,,875,,78155,166,72902,
2004-05-01,98559,,849,,78216,568,73235,
2004-06-01,95460,,843,,79989,270,73650,
2004-07-01,96700,,833,,80026,284,74229,
2004-08-01,96430,,789,,74381,247,70533,
2004-09-01,90850,,734,,65124,96,61246,
2004-10-01,99695,,786,,76532,424,71702,
2004-11-01,96582,,769,,73271,107,68611,
2004-12-01,98247,,788,,75885,287,71957,
2005-01-01,94942,,762,,66019,162,63057,
2005-02-01,89976,,728,,70509,151,65937,
2005-03-01,104568,,841,,92176,185,85335,
2005-04-01,105951,,841,,94130,349,87565,
2005-05-01,111022,,869,,98038,435,91015,
2005-06-01,107677,,837,,98141,249,90759,
2005-07-01,108745,,844,,98546,219,91232,
2005-08-01,109659,,852,,93052,278,86613,
2005-09-01,104875,,816,,87475,226,81029,
2005-10-01,106480,,829,,94305,279,88256,
2005-11-01,108238,,842,,96159,338,89668,
2005-12-01,108953,,834,,95040,324,90256,
2006-01-01,108106,,822,,74789,326,72520,
2006-02-01,93149,,709,,73055,517,70910,
2006-03-01,108950,141,826,1,92871,559,89565,139
2006-04-01,106990,,809,,96183,336,91144,
2006-05-01,110090,,830,,97387,357,92725,
2006-06-01,107110,,809,,99845,445,95125,
2006-07-01,108392,,816,,97695,313,93566,
2006-08-01,110101,,836,,90769,393,86685,
2006-09-01,111272,,847,,84152,118,79756,
2006-10-01,117629,,896,,100293,130,94168,
2006-11-01,111338,,850,,97349,158,90822,
2006-12-01,108411,,829,,94387,93,88996,
2007-01-01,110698,,855,,82250,112,77329,
2007-02-01,95454,,728,,81803,156,77319,
2007-03-01,111768,,856,,101817,224,95557,
2007-04-01,106891,,820,,98239,286,91106,
2007-05-01,115530,,884,,105825,456,98063,
2007-06-01,106918,,818,,105121,351,97115,
2007-07-01,112935,,862,,107390,269,99841,
2007-08-01,115923,,882,,105588,317,98861,
2007-09-01,112363,,849,,92001,142,86123,
2007-10-01,118301,,893,,106232,121,99044,
2007-11-01,112571,,848,,100444,134,93716,
2007-12-01,111502,,832,,95398,141,90481,
2008-01-01,112008,,831,,81618,293,78553,
2008-02-01,102654,,759,,82540,335,79568,
2008-03-01,108021,,808,,97409,337,91883,
2008-04-01,109690,,812,,91165,246,86499,
2008-05-01,119955,,890,,102416,319,96820,
2008-06-01,110760,,827,,101305,248,95538,
2008-07-01,119031,,882,,104536,266,99481,
2008-08-01,119642,,884,,99148,251,94788,
2008-09-01,111746,,831,,83218,209,79080,
2008-10-01,116651,,868,,97376,253,92050,
2008-11-01,108235,,798,,84532,175,80907,
2008-12-01,113024,,827,,95211,276,91793,
2009-01-01,111901,,822,,76913,146,74138,
2009-02-01,102452,,751,,77927,72,75222,
2009-03-01,115316,,846,,99520,86,95055,
2009-04-01,117914,,861,,101420,160,97509,
2009-05-01,120610,,883,,102184,248,98223,
2009-06-01,116487,,857,,102689,640,98956,
2009-07-01,121785,,889,,106204,1017,103117,
2009-08-01,120429,,880,,98456,846,95508,
2009-09-01,108125,,793,,84623,354,80759,
2009-10-01,112274,,821,,98145,464,93410,
2009-11-01,108125,,790,,90286,359,85803,
2009-12-01,109723,,796,,89503,440,86122,
2010-01-01,111372,,814,,73754,309,70922,
2010-02-01,80467,141,586,1,61091,306,58362,141
2010-03-01,116040,,847,,100035,308,94991,
2010-04-01,119035,,862,,100963,159,96013,
2010-05-01,121794,141,880,1,104662,202,99689,67
2010-06-01,119227,,854,,104659,358,100695,
2010-07-01,122463,,874,,106453,433,103040,
2010-08-01,124215,,889,,103737,551,100347,
2010-09-01,116267,,841,,90983,579,86859,
2010-10-01,119450,,865,,107250,682,102152,
2010-11-01,116793,,845,,98011,461,93038,
2010-12-01,118644,,857,,99190,359,94210,
2011-01-01,118391,,853,,78088,269,75457,
2011-02-01,103602,,749,,78846,446,75873,
2011-03-01,121263,,881,,98232,516,93683,
2011-04-01,120487,,851,,99991,190,95038,
2011-05-01,119209,,846,,103996,124,98076,
2011-06-01,120741,,855,,104477,116,99823,
2011-07-01,122310,,868,,104946,175,100563,
2011-08-01,120656,,853,,97523,171,93889,
2011-09-01,120116,,839,,93812,185,89911,
