Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,88078,,754,,70245,,55770,
2002-11-01,79665,,685,,59901,,48461,
2002-12-01,87646,144,740,1,73345,,61311,135
2003-01-01,90576,,754,,65410,,55045,
2003-02-01,78434,,666,,59678,,49441,
2003-03-01,80207,,688,,74485,,61695,
2003-04-01,86484,,744,,62302,40,51643,
2003-05-01,82792,,740,,70703,87,57253,
2003-06-01,82519,,755,,79780,113,64852,
2003-07-01,84752,,786,,85454,93,68413,
2003-08-01,83446,,777,,82004,71,65149,
2003-09-01,81687,196,750,1,63529,9,50208,117
2003-10-01,85161,,779,,67978,19,54305,
2003-11-01,78777,187,682,1,54370,102,44798,134
2003-12-01,82934,,726,,63488,65,53648,
2004-01-01,79704,,720,,58517,25,49558,
2004-02-01,74615,,675,,56146,6,47348,
2004-03-01,80650,,730,,68890,25,58775,
2004-04-01,78272,,706,,57991,55,49867,
2004-05-01,71902,,679,,55043,,44693,
2004-06-01,71609,,678,,66465,,54449,
2004-07-01,72903,,695,,71398,,57655,
2004-08-01,73218,,696,,67160,,53728,
2004-09-01,66284,,636,,57553,,45580,
2004-10-01,68451,,649,,62245,,50575,
2004-11-01,65601,1098,623,1,58478,64,47380,1032
2004-12-01,68561,,654,,64180,83,51808,
2005-01-01,68633,,656,,63778,2,51377,
2005-02-01,64304,,605,,59255,,48225,
2005-03-01,72266,,672,,71924,,57980,
2005-04-01,68428,,630,,66157,95,53983,
2005-05-01,73118,,669,,70130,40,57202,
2005-06-01,74873,,692,,79668,182,63853,
2005-07-01,77344,,721,,83275,143,65977,
2005-08-01,75887,,703,,81409,82,64152,
2005-09-01,69794,152,637,1,71095,25,56983,127
2005-10-01,68507,,623,,66513,33,53521,
2005-11-01,64418,122,587,1,63017,19,50660,108
2005-12-01,67920,,623,,67673,2,53985,
2006-01-01,72508,,669,,73514,,58920,
2006-02-01,64289,,596,,64721,,51441,
2006-03-01,71741,,663,,78237,,62704,
