Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1743807,460156,13083,1334,1161982,125265,1201010,304759
2002-11-01,1594750,428182,11981,1270,1021354,123532,1038874,290464
2002-12-01,1669405,450676,12626,1341,1191018,148186,1226770,343228
2003-01-01,1635626,459101,12395,1335,1024774,129477,1049177,313166
2003-02-01,1411991,395426,10633,1161,947174,115074,958878,271608
2003-03-01,1670971,457560,12522,1347,1179615,136932,1195955,326829
2003-04-01,1602178,422007,11952,1212,1092125,111283,1130859,266840
2003-05-01,1670156,421666,12522,1210,1202930,125793,1243184,318380
2003-06-01,1648853,453317,12164,1286,1260140,147699,1312658,368491
2003-07-01,1748802,510405,12825,1423,1371897,164504,1446857,380185
2003-08-01,1736147,523681,12663,1452,1277577,157711,1347042,377233
2003-09-01,1613392,454455,11957,1194,1023290,118903,1051876,312284
2003-10-01,1706821,461782,12580,1203,1185046,122985,1216031,308313
2003-11-01,1751057,490612,13021,1266,1235596,135681,1251311,347073
2003-12-01,1850825,509443,13817,1356,1341502,159789,1371193,401538
2004-01-01,1857446,522171,13826,1377,1257421,140689,1270958,367185
2004-02-01,1736334,487921,12807,1328,1221133,138450,1224828,331224
2004-03-01,1877311,523480,13756,1433,1422635,163011,1425822,399030
2004-04-01,1801467,520771,13210,1361,1345815,149042,1362429,364976
2004-05-01,1835983,543674,13436,1343,1375535,156768,1402081,412750
2004-06-01,1836160,559449,13304,1384,1450704,171580,1494574,446384
2004-07-01,1875634,599419,13499,1499,1480193,185155,1543516,450042
2004-08-01,1882577,582068,13588,1470,1376389,164472,1433435,409185
2004-09-01,1715793,517880,12511,1226,1237116,137789,1270840,388629
2004-10-01,1802740,529405,13197,1237,1361891,138014,1384425,377006
2004-11-01,1795888,509026,13059,1262,1335612,139757,1355631,363243
2004-12-01,1879960,540918,13604,1366,1403283,166534,1433236,422319
2005-01-01,1858004,548596,13461,1424,1357598,152527,1380582,396345
2005-02-01,1708400,496752,12310,1322,1283829,140691,1291427,352054
